match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2984,2576,114,47,47,12,35,8,21,6,0,0,12
1,qm,blue,1159,4984,6560,30,30,9,18,6,6,6,3,0,9
2,qm,red,3021,5474,1661,19,19,3,3,0,0,3,13,0,3
2,qm,blue,2102,5059,5025,51,51,9,42,6,18,18,0,0,9
3,qm,red,5199,585,3256,9,9,3,6,0,6,0,0,0,3
3,qm,blue,6948,399,2945,35,35,9,23,2,15,6,3,0,9
4,qm,red,4415,7137,3341,29,29,9,20,2,15,3,0,0,9
4,qm,blue,359,3255,4738,44,44,9,29,8,9,12,6,0,9
5,qm,red,5526,3328,8,33,33,15,18,6,9,3,0,0,15
5,qm,blue,6918,6402,4414,32,32,6,23,8,12,3,3,0,6
6,qm,red,3647,192,7426,47,47,15,32,8,18,6,0,0,15
6,qm,blue,1661,2543,5137,41,41,9,32,8,12,12,0,0,9
7,qm,red,4984,4414,114,33,33,9,24,0,18,6,0,0,9
7,qm,blue,585,3341,3255,31,31,6,22,4,15,3,3,0,6
8,qm,red,2576,2543,3647,71,71,15,56,14,36,6,0,0,15
8,qm,blue,6918,5199,4415,36,36,6,30,0,15,15,0,0,6
9,qm,red,8,4738,5137,53,53,15,38,14,12,12,0,0,15
9,qm,blue,3256,192,5025,33,33,6,27,6,15,6,0,0,6
10,qm,red,3021,2102,6948,50,50,9,41,2,21,18,0,0,9
10,qm,blue,399,5526,6560,31,31,12,19,4,12,3,0,0,12
11,qm,red,2945,5059,5474,33,33,6,27,0,18,9,0,0,6
11,qm,blue,1159,6402,7137,21,21,6,15,6,3,6,0,0,6
12,qm,red,3328,359,399,42,42,9,21,12,0,9,12,0,9
12,qm,blue,7426,2984,6918,33,33,6,27,6,9,12,0,0,6
13,qm,red,3255,5526,192,51,51,9,42,6,18,18,0,0,9
13,qm,blue,7137,3021,5059,42,42,12,27,0,18,9,3,0,12
14,qm,red,3647,5199,2945,62,62,12,41,8,24,9,9,0,12
14,qm,blue,1661,3328,2984,23,23,6,17,2,0,15,0,0,6
15,qm,red,3256,4738,1159,49,49,12,31,4,21,6,6,0,12
15,qm,blue,7426,5137,6402,35,35,12,20,2,9,9,3,0,12
16,qm,red,4414,2543,3341,69,69,9,60,12,30,18,0,0,9
16,qm,blue,359,2576,6948,66,66,12,51,12,18,21,3,0,12
17,qm,red,4984,4415,2102,38,38,6,32,2,18,12,0,0,6
17,qm,blue,8,5474,114,43,43,9,25,4,18,3,9,0,9
18,qm,red,6560,5025,2576,49,49,12,34,4,21,9,3,0,12
18,qm,blue,6948,585,7137,41,41,12,29,2,15,12,0,0,12
19,qm,red,7426,3021,399,41,41,6,29,14,9,6,6,0,6
19,qm,blue,8,3647,6402,41,41,12,29,14,9,6,0,0,12
20,qm,red,2984,192,2543,32,32,9,23,2,15,6,0,0,9
20,qm,blue,2102,3255,2945,43,43,9,34,4,12,18,0,0,9
21,qm,red,4738,6560,3341,46,46,12,34,4,12,18,0,0,12
21,qm,blue,585,5137,114,46,46,9,37,4,24,9,0,0,9
22,qm,red,5474,1159,6918,39,39,12,27,0,18,9,0,0,12
22,qm,blue,3256,3328,4984,34,34,6,25,4,15,6,3,0,6
23,qm,red,5025,1661,4414,55,55,12,43,10,18,15,0,0,12
23,qm,blue,4415,359,5526,74,74,9,44,8,18,18,21,0,9
24,qm,red,3328,1159,5199,38,38,9,26,2,15,9,3,0,9
24,qm,blue,192,585,5059,26,26,6,20,2,12,6,0,0,6
25,qm,red,5526,5025,6402,35,35,9,23,8,9,6,3,0,9
25,qm,blue,359,4984,2543,48,48,9,30,12,9,9,9,0,9
26,qm,red,6918,399,8,45,45,15,30,6,15,9,0,0,15
26,qm,blue,4738,3021,2576,52,52,15,31,4,24,3,6,0,15
27,qm,red,5474,3256,5137,45,45,15,30,0,18,12,0,0,15
27,qm,blue,5059,2984,5199,36,36,6,24,6,15,3,6,0,6
28,qm,red,4415,2945,1661,50,50,9,41,2,21,18,0,0,9
28,qm,blue,7137,114,6560,48,48,12,36,0,18,18,0,0,12
29,qm,red,2102,4414,3647,67,67,15,52,10,24,18,0,0,15
29,qm,blue,3255,6948,7426,55,55,6,49,10,27,12,0,0,6
30,qm,red,6402,3341,5474,24,24,12,12,0,9,3,0,0,12
30,qm,blue,1661,5199,8,41,41,12,29,8,15,6,0,0,12
31,qm,red,399,7137,5137,41,41,15,26,2,21,3,0,0,15
31,qm,blue,5526,2102,2543,35,35,9,26,2,18,6,0,0,9
32,qm,red,5059,6918,3255,47,47,9,38,2,18,18,0,0,9
32,qm,blue,114,6948,5025,71,71,9,62,14,36,12,0,0,9
33,qm,red,6560,7426,3328,44,44,9,35,8,21,6,0,0,9
33,qm,blue,4984,3341,2576,57,57,12,42,12,24,6,3,0,12
34,qm,red,4414,192,1159,68,68,12,56,8,30,18,0,0,12
34,qm,blue,3647,4415,3021,67,67,9,58,10,27,21,0,0,9
35,qm,red,359,2945,3256,54,54,9,45,6,27,12,0,0,9
35,qm,blue,585,2984,4738,23,23,15,5,2,0,3,3,0,15
36,qm,red,5137,4415,3328,43,43,12,31,4,21,6,0,0,12
36,qm,blue,3341,1661,6948,40,40,6,34,4,21,9,0,0,6
37,qm,red,2945,5526,7137,36,36,15,21,0,18,3,0,0,15
37,qm,blue,2576,7426,2102,75,75,15,57,12,27,18,3,0,15
38,qm,red,2543,6918,3021,24,24,6,18,0,12,6,0,0,6
38,qm,blue,4984,4738,5474,35,35,15,17,2,9,6,3,0,15
39,qm,red,6402,3256,5059,25,25,3,22,4,12,6,0,0,3
39,qm,blue,4414,8,585,46,46,15,28,10,12,6,3,0,15
40,qm,red,114,359,1159,58,58,9,49,10,30,9,0,0,9
40,qm,blue,192,5199,399,35,35,12,20,2,12,6,3,0,12
41,qm,red,2984,6560,3255,39,39,9,30,0,9,21,0,0,9
41,qm,blue,5025,3647,4738,42,42,15,27,6,12,9,0,0,15
42,qm,red,7426,5474,585,42,42,15,21,0,12,9,6,0,15
42,qm,blue,4414,6948,4415,70,70,12,55,10,24,21,3,0,12
43,qm,red,6560,3021,3256,36,36,6,30,0,15,15,0,0,6
43,qm,blue,3328,7137,2543,27,27,12,15,0,6,9,0,0,12
44,qm,red,3341,5137,359,63,63,12,48,6,21,21,3,0,12
44,qm,blue,3255,1159,399,48,48,12,36,6,12,18,0,0,12
45,qm,red,2984,4984,5526,48,48,9,39,6,18,15,0,0,9
45,qm,blue,5059,3647,1661,56,56,12,41,8,24,9,3,0,12
46,qm,red,6402,2576,5199,54,54,12,39,6,24,9,3,0,12
46,qm,blue,192,2102,6918,59,59,9,47,8,21,18,3,0,9
47,qm,red,5025,8,359,56,56,12,44,8,18,18,0,0,12
47,qm,blue,114,2945,7426,47,47,12,35,8,18,9,0,0,12
48,qm,red,7137,6918,4984,39,39,6,33,6,24,3,0,0,6
48,qm,blue,5199,5137,4414,56,56,12,35,14,12,9,9,0,12
49,qm,red,2945,2576,585,52,52,15,34,4,21,9,3,0,15
49,qm,blue,5474,3255,3647,67,67,12,46,10,30,6,9,0,12
50,qm,red,5059,114,4738,43,43,9,34,10,15,9,0,0,9
50,qm,blue,3021,6402,3328,33,33,6,24,0,18,6,3,0,6
51,qm,red,1661,6560,192,39,39,12,24,0,6,18,3,0,12
