match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5669,4481,3309,72,72,9,60,12,30,18,3,0,9
1,qm,blue,3250,3473,7524,26,26,6,20,8,9,3,0,0,6
2,qm,red,6220,4619,5012,12,12,9,3,0,0,3,0,0,9
2,qm,blue,2493,812,7447,46,46,15,21,12,0,9,10,0,15
3,qm,red,330,3952,6072,53,53,9,41,14,12,15,3,0,9
3,qm,blue,5966,5802,7230,31,31,6,25,4,18,3,0,0,6
4,qm,red,5851,3859,4079,45,45,9,33,6,9,18,3,0,9
4,qm,blue,841,4161,3295,6,6,3,3,0,0,3,0,0,3
5,qm,red,5500,6499,2496,24,24,6,15,6,6,3,3,0,6
5,qm,blue,1160,159,973,84,84,15,69,18,33,18,0,0,15
6,qm,red,7482,4201,597,40,40,12,22,4,9,9,6,0,12
6,qm,blue,4763,4056,294,43,43,15,28,4,9,15,0,0,15
7,qm,red,4114,5835,7157,7,7,0,4,4,0,0,3,0,0
7,qm,blue,3953,4276,6535,33,33,12,21,0,12,9,0,0,12
8,qm,red,5805,1836,1515,45,45,9,33,6,18,9,3,0,9
8,qm,blue,5810,6692,3759,35,35,6,20,2,15,3,9,0,6
9,qm,red,4913,5500,2493,31,31,9,22,4,9,9,0,0,9
9,qm,blue,3952,159,3295,19,19,3,16,4,12,0,0,0,3
10,qm,red,5851,7447,597,54,54,12,36,12,21,3,6,0,12
10,qm,blue,3250,1160,6072,45,45,9,36,12,18,6,0,0,9
11,qm,red,6499,4201,5012,46,46,15,28,4,12,12,3,0,15
11,qm,blue,5802,4114,4161,32,32,9,23,2,18,3,0,0,9
12,qm,red,6220,4763,6692,29,29,12,17,8,6,3,0,0,12
12,qm,blue,4079,3473,4276,54,54,12,32,2,12,18,10,0,12
13,qm,red,7157,3309,2496,9,9,9,0,0,0,0,0,0,9
13,qm,blue,330,4913,1836,68,68,15,50,14,24,12,3,0,15
14,qm,red,4481,6535,5835,13,13,3,10,4,3,3,0,0,3
14,qm,blue,4619,973,1515,56,56,15,41,8,24,9,0,0,15
15,qm,red,4056,7230,841,36,36,15,8,2,0,6,13,0,15
15,qm,blue,7524,5805,3759,18,18,3,15,0,9,6,0,0,3
16,qm,red,3859,5966,5669,21,21,6,15,0,9,6,0,0,6
16,qm,blue,5810,812,7482,6,6,0,6,0,0,6,0,0,0
17,qm,red,3473,1836,3953,27,27,12,15,0,9,6,0,0,12
17,qm,blue,5012,159,294,38,38,15,20,2,12,6,3,0,15
18,qm,red,973,597,4913,50,50,15,35,8,18,9,0,0,15
