match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4795,7676,6887,0,0,0,0,0,0,0,0,0,0
1,qm,blue,1102,5651,3494,36,36,9,27,12,9,6,0,0,9
2,qm,red,5109,4188,166,24,24,3,21,12,6,3,0,0,3
2,qm,blue,4701,4189,1746,22,22,6,16,4,3,9,0,0,6
3,qm,red,5734,4112,6471,19,19,3,16,4,6,6,0,0,3
3,qm,blue,6705,4509,6905,6,6,3,3,0,0,3,0,0,3
4,qm,red,7104,1683,7060,15,15,6,9,0,6,3,0,0,6
4,qm,blue,6750,6340,832,27,27,3,24,6,12,6,0,0,3
5,qm,red,1648,7514,3998,10,10,0,10,4,6,0,0,0,0
5,qm,blue,1747,2655,7538,46,46,6,40,16,15,9,0,0,6
6,qm,red,5608,3581,6910,5,5,0,5,2,0,3,0,0,0
6,qm,blue,1414,4240,7449,29,29,3,23,8,12,3,3,0,3
7,qm,red,7676,6919,4189,24,24,9,15,6,0,9,0,0,9
7,qm,blue,6887,6712,4112,20,20,3,17,2,9,6,0,0,3
8,qm,red,166,1102,4509,65,65,15,47,14,24,9,3,0,15
8,qm,blue,6750,1648,7060,3,3,0,0,0,0,0,3,0,0
9,qm,red,1747,3998,3581,18,18,6,9,6,3,0,3,0,6
9,qm,blue,6705,6910,3494,25,25,9,16,4,6,6,0,0,9
10,qm,red,5109,2655,4240,42,42,9,33,6,15,12,0,0,9
10,qm,blue,5734,5651,6340,25,25,6,19,4,15,0,0,0,6
11,qm,red,6712,7538,7514,9,9,3,6,0,0,6,0,0,3
11,qm,blue,1683,4188,7449,45,45,12,33,6,18,9,0,0,12
12,qm,red,4701,5608,832,21,21,6,15,0,9,6,0,0,6
12,qm,blue,6905,1746,6919,12,12,3,9,6,0,3,0,0,3
13,qm,red,7104,4509,6471,9,9,3,6,0,0,6,0,0,3
13,qm,blue,4795,6910,1414,46,46,6,40,4,18,18,0,0,6
14,qm,red,1648,6705,4189,40,40,6,31,4,21,6,3,0,6
14,qm,blue,3494,7514,7060,22,22,6,16,4,0,12,0,0,6
15,qm,red,6750,6905,6712,6,6,6,0,0,0,0,0,0,6
15,qm,blue,7676,3998,7538,14,14,3,11,2,0,9,0,0,3
16,qm,red,6471,5651,7449,34,34,12,22,4,9,9,0,0,12
16,qm,blue,6919,5734,832,35,35,6,29,8,6,15,0,0,6
17,qm,red,3581,4795,1683,33,33,6,27,0,12,15,0,0,6
17,qm,blue,1746,1414,5109,25,25,6,19,4,9,6,0,0,6
18,qm,red,1747,5608,6887,31,31,6,22,10,9,3,3,0,6
18,qm,blue,7104,166,6340,42,42,9,33,6,18,9,0,0,9
19,qm,red,1102,4112,4240,37,37,12,22,4,9,9,3,0,12
19,qm,blue,4701,4188,2655,37,37,9,28,4,18,6,0,0,9
