match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6618,4840,3604,33,33,9,24,6,15,3,0,0,9
1,qm,blue,1701,280,5090,31,31,15,16,4,3,9,0,0,15
2,qm,red,815,7789,6570,19,19,3,16,4,9,3,0,0,3
2,qm,blue,4838,6081,5067,27,27,9,18,0,12,6,0,0,9
3,qm,red,5498,6190,7788,22,22,12,10,4,3,3,0,0,12
3,qm,blue,6029,5197,5901,16,16,3,3,0,0,3,10,0,3
4,qm,red,4568,7856,5853,12,12,3,6,0,6,0,3,0,3
4,qm,blue,2620,7143,7807,16,16,9,7,4,0,3,0,0,9
5,qm,red,4384,7196,548,40,40,12,28,10,15,3,0,0,12
5,qm,blue,1023,3641,703,58,58,6,39,6,15,18,13,0,6
6,qm,red,1718,7865,1481,58,58,15,43,10,15,18,0,0,15
6,qm,blue,3547,1528,6528,48,48,12,33,6,9,18,3,0,12
7,qm,red,3655,1250,6618,66,66,12,41,8,18,15,13,0,12
7,qm,blue,3536,5263,2620,50,50,15,35,2,18,15,0,0,15
8,qm,red,4568,7789,280,38,38,15,23,2,15,6,0,0,15
8,qm,blue,4838,7856,5090,35,35,12,23,2,15,6,0,0,12
9,qm,red,1023,7807,4840,46,46,9,37,10,12,15,0,0,9
9,qm,blue,7196,6029,3547,39,39,12,27,0,12,15,0,0,12
10,qm,red,5067,5263,1528,41,41,15,26,2,18,6,0,0,15
10,qm,blue,703,815,5853,32,32,12,20,2,9,9,0,0,12
11,qm,red,5498,1718,1250,55,55,15,40,10,24,6,0,0,15
11,qm,blue,1701,548,6570,52,52,15,37,10,15,12,0,0,15
12,qm,red,3536,3655,3641,64,64,9,34,4,21,9,21,0,9
12,qm,blue,7788,1481,5901,58,58,15,43,4,21,18,0,0,15
13,qm,red,6190,7143,4384,17,17,9,8,2,3,3,0,0,9
13,qm,blue,7865,6081,3604,77,77,6,36,6,15,15,35,0,6
14,qm,red,1718,6618,6528,47,47,9,38,14,24,0,0,0,9
14,qm,blue,1250,5197,4840,41,41,9,32,2,18,12,0,0,9
15,qm,red,7789,3547,1023,49,49,12,37,10,21,6,0,0,12
15,qm,blue,4568,5498,7807,50,50,15,35,8,21,6,0,0,15
16,qm,red,6081,703,7856,30,30,6,24,6,12,6,0,0,6
16,qm,blue,1481,3641,5853,44,44,12,32,2,15,15,0,0,12
17,qm,red,6190,4838,5263,34,34,12,22,4,9,9,0,0,12
17,qm,blue,1528,3536,7196,43,43,9,34,4,18,12,0,0,9
18,qm,red,6570,5090,6528,62,62,12,47,14,21,12,3,0,12
18,qm,blue,7143,5901,3655,40,40,9,31,4,18,9,0,0,9
19,qm,red,2620,1701,5067,21,21,9,12,0,6,6,0,0,9
19,qm,blue,6029,280,4384,35,35,12,20,8,6,6,3,0,12
20,qm,red,7865,5197,7788,15,15,3,9,0,0,9,3,0,3
20,qm,blue,3604,548,815,61,61,15,46,16,12,18,0,0,15
21,qm,red,7807,1718,7856,46,46,12,34,16,15,3,0,0,12
21,qm,blue,3547,5901,4838,40,40,15,25,4,15,6,0,0,15
22,qm,red,6618,1481,7196,55,55,15,40,10,21,9,0,0,15
22,qm,blue,6190,5853,7789,36,36,12,24,0,18,6,0,0,12
23,qm,red,5197,5090,7143,31,31,9,22,4,6,12,0,0,9
23,qm,blue,2620,548,3641,54,54,15,39,12,18,9,0,0,15
24,qm,red,3604,7788,280,48,48,15,33,0,18,15,0,0,15
24,qm,blue,4568,1023,1250,54,54,12,42,12,21,9,0,0,12
