match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3535,1506,5533,38,38,6,32,8,18,6,0,0,6
1,qm,blue,5084,5538,5260,32,32,6,26,8,9,9,0,0,6
2,qm,red,5215,6019,6548,22,22,6,16,4,3,9,0,0,6
2,qm,blue,5697,6595,5774,12,12,6,6,0,0,6,0,0,6
3,qm,red,3542,5562,2145,45,45,6,39,6,24,9,0,0,6
3,qm,blue,5527,4994,1322,6,6,3,3,0,0,3,0,0,3
4,qm,red,70,468,5234,17,17,9,8,2,3,3,0,0,9
4,qm,blue,5561,5086,3568,32,32,9,23,8,3,12,0,0,9
5,qm,red,6102,6610,6091,6,6,3,3,0,3,0,0,0,3
5,qm,blue,5114,5150,7501,43,43,15,28,10,12,6,0,0,15
6,qm,red,7491,27,7818,54,54,15,39,6,18,15,0,0,15
6,qm,blue,245,5641,6086,53,53,6,47,14,15,18,0,0,6
7,qm,red,6597,7772,5697,10,10,6,4,4,0,0,0,0,6
7,qm,blue,2612,5612,5533,15,15,0,15,0,9,6,0,0,0
8,qm,red,5562,7501,6595,30,30,6,24,6,9,9,0,0,6
8,qm,blue,5774,4994,5260,31,31,6,15,0,9,6,10,0,6
9,qm,red,3535,5084,6610,29,29,6,23,2,12,9,0,0,6
9,qm,blue,5561,27,3542,65,65,12,50,8,21,21,3,0,12
10,qm,red,1322,2612,5234,27,27,9,18,6,6,6,0,0,9
10,qm,blue,3568,7818,5215,8,8,3,5,2,0,3,0,0,3
11,qm,red,7772,5114,6102,25,25,3,22,4,9,9,0,0,3
11,qm,blue,7491,1506,6597,45,45,12,24,6,15,3,9,0,12
12,qm,red,5086,6091,5612,64,64,9,25,4,18,3,30,0,9
12,qm,blue,6019,5527,5641,45,45,6,6,0,3,3,33,0,6
13,qm,red,70,5538,6086,27,27,12,15,0,3,12,0,0,12
13,qm,blue,5150,6548,468,38,38,15,23,2,9,12,0,0,15
14,qm,red,3542,5533,245,39,39,9,30,6,24,0,0,0,9
14,qm,blue,6597,2145,27,54,54,6,48,6,24,18,0,0,6
15,qm,red,5527,5114,7491,44,44,12,32,8,21,3,0,0,12
15,qm,blue,5084,7772,2612,29,29,9,20,2,12,6,0,0,9
16,qm,red,5612,5697,5234,52,52,6,27,6,18,3,19,0,6
16,qm,blue,5538,1322,6610,25,25,12,13,4,0,9,0,0,12
17,qm,red,2145,70,245,45,45,12,15,0,9,6,18,0,12
17,qm,blue,6102,5215,5260,27,27,6,11,2,0,9,10,0,6
18,qm,red,5561,5150,7818,44,44,18,23,2,3,18,3,0,18
18,qm,blue,6091,5562,5641,38,38,12,6,0,0,6,20,0,12
