match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6742,33,5532,60,60,15,45,18,9,18,0,0,15
1,qm,blue,5436,5531,5619,55,55,12,43,10,21,12,0,0,12
2,qm,red,94,5048,5467,8,8,0,5,2,0,3,3,0,0
2,qm,blue,6567,7073,7692,11,11,3,8,2,3,3,0,0,3
3,qm,red,3538,5478,2224,36,36,15,18,6,9,3,3,0,15
3,qm,blue,6616,7232,1188,21,21,9,12,6,0,6,0,0,9
4,qm,red,2048,7716,201,44,44,12,26,2,6,18,6,0,12
4,qm,blue,6545,7857,4854,6,6,3,3,0,0,3,0,0,3
5,qm,red,6013,4680,6093,19,19,0,13,4,0,9,6,0,0
5,qm,blue,7218,2834,6117,39,39,15,24,6,15,3,0,0,15
6,qm,red,835,573,4377,38,38,15,13,4,3,6,10,0,15
6,qm,blue,4737,5756,7191,33,33,9,18,6,9,3,6,0,9
7,qm,red,123,5467,2673,37,37,15,22,4,6,12,0,0,15
7,qm,blue,5532,4851,3414,22,22,3,9,6,0,3,10,0,3
8,qm,red,6616,2834,7073,34,34,12,22,4,6,12,0,0,12
8,qm,blue,7218,7232,2048,21,21,6,15,0,6,9,0,0,6
9,qm,red,7716,6742,573,39,39,12,24,12,3,9,3,0,12
9,qm,blue,835,7857,5756,22,22,9,13,4,3,6,0,0,9
10,qm,red,2673,5531,2224,22,22,9,13,4,3,6,0,0,9
10,qm,blue,4737,5048,6545,17,17,6,11,8,0,3,0,0,6
11,qm,red,4854,4377,7692,11,11,9,2,2,0,0,0,0,9
11,qm,blue,6093,33,6567,41,41,12,29,14,0,15,0,0,12
12,qm,red,123,7191,201,30,30,15,15,0,3,12,0,0,15
12,qm,blue,3538,5436,6117,63,63,15,48,6,24,18,0,0,15
13,qm,red,3414,6013,5619,34,34,9,15,0,6,9,10,0,9
13,qm,blue,1188,4680,5478,41,41,12,29,8,3,18,0,0,12
14,qm,red,94,4854,5756,29,29,12,17,8,3,6,0,0,12
14,qm,blue,5531,4851,2834,29,29,9,20,2,9,9,0,0,9
15,qm,red,7232,33,573,52,52,12,40,16,6,18,0,0,12
15,qm,blue,4377,7716,2673,6,6,3,3,0,0,3,0,0,3
16,qm,red,7218,201,5436,48,48,6,39,12,18,9,3,0,6
16,qm,blue,2048,3414,5467,46,46,12,34,4,21,9,0,0,12
17,qm,red,2224,6616,94,40,40,12,13,4,3,6,15,0,12
17,qm,blue,5532,123,6013,24,24,9,15,0,6,9,0,0,9
18,qm,red,4680,6545,7073,42,42,12,24,0,6,18,6,0,12
18,qm,blue,7692,6742,4737,33,33,9,24,12,3,9,0,0,9
19,qm,red,4851,1188,6567,34,34,15,19,10,3,6,0,0,15
19,qm,blue,5478,7191,6117,26,26,15,8,2,3,3,3,0,15
20,qm,red,5048,5619,7857,14,14,6,8,2,0,6,0,0,6
20,qm,blue,3538,835,6093,48,48,15,33,6,9,18,0,0,15
21,qm,red,573,5756,2673,49,49,12,27,12,6,9,10,0,12
21,qm,blue,7073,7218,4854,12,12,6,6,0,0,6,0,0,6
22,qm,red,4737,2224,6567,24,24,9,15,0,9,6,0,0,9
22,qm,blue,201,94,4851,32,32,12,20,8,3,9,0,0,12
23,qm,red,5478,33,5048,48,48,15,30,12,0,18,3,0,15
23,qm,blue,6013,7857,6742,37,37,12,19,10,0,9,6,0,12
24,qm,red,5467,6117,835,27,27,15,12,0,6,6,0,0,15
24,qm,blue,2048,3538,6616,56,56,15,41,2,21,18,0,0,15
