match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6895,1729,1512,9,9,6,3,0,0,3,0,0,6
1,qm,blue,811,131,4564,29,29,9,20,8,9,3,0,0,9
2,qm,red,1519,7913,6691,36,36,6,30,0,15,15,0,0,6
2,qm,blue,6328,3566,4958,22,22,6,16,10,0,6,0,0,6
3,qm,red,3467,95,467,39,39,9,27,6,15,6,3,0,9
3,qm,blue,348,4905,1277,16,16,3,13,4,6,3,0,0,3
4,qm,red,1721,7416,1247,22,22,6,16,10,0,6,0,0,6
4,qm,blue,5687,5265,4761,36,36,6,30,12,15,3,0,0,6
5,qm,red,4929,6690,2084,11,11,3,8,2,0,6,0,0,3
5,qm,blue,88,3958,4987,64,64,15,36,12,18,6,13,0,15
6,qm,red,5633,6329,1831,21,21,3,18,0,18,0,0,0,3
6,qm,blue,7907,5902,663,31,31,9,12,0,6,6,10,0,9
7,qm,red,467,1512,4958,20,20,6,14,8,0,6,0,0,6
7,qm,blue,6691,1729,5687,44,44,6,35,14,12,9,3,0,6
8,qm,red,7913,6690,348,11,11,3,8,2,6,0,0,0,3
8,qm,blue,7416,1519,1277,57,57,9,48,12,18,18,0,0,9
9,qm,red,131,4929,3566,32,32,9,23,2,12,9,0,0,9
9,qm,blue,6328,4987,2084,18,18,9,9,0,6,3,0,0,9
10,qm,red,4564,5902,5265,34,34,12,22,4,15,3,0,0,12
10,qm,blue,1721,811,3467,35,35,9,26,14,6,6,0,0,9
11,qm,red,1247,95,7907,6,6,6,0,0,0,0,0,0,6
11,qm,blue,4905,6895,3958,22,22,6,16,4,9,3,0,0,6
12,qm,red,6329,5633,88,52,52,9,43,10,24,9,0,0,9
12,qm,blue,1831,663,4761,33,33,9,24,6,9,9,0,0,9
13,qm,red,1277,2084,1721,50,50,12,38,20,9,9,0,0,12
13,qm,blue,5902,7913,4987,44,44,12,22,4,9,9,10,0,12
14,qm,red,1729,6328,4564,36,36,9,27,12,9,6,0,0,9
14,qm,blue,7416,467,7907,19,19,9,10,4,0,6,0,0,9
15,qm,red,5687,663,95,51,51,9,42,12,15,15,0,0,9
15,qm,blue,348,4929,5265,14,14,3,11,2,3,6,0,0,3
16,qm,red,1247,6329,131,48,48,12,36,6,24,6,0,0,12
16,qm,blue,811,4958,3958,34,34,6,28,10,12,6,0,0,6
17,qm,red,4761,6691,3566,51,51,6,30,6,6,18,15,0,6
17,qm,blue,6690,3467,5633,17,17,9,8,2,0,6,0,0,9
18,qm,red,1512,4905,88,42,42,9,23,2,18,3,10,0,9
18,qm,blue,1519,6895,1831,47,47,15,32,2,15,15,0,0,15
19,qm,red,467,3958,6328,24,24,6,18,12,0,6,0,0,6
19,qm,blue,7913,4958,6329,32,32,6,26,8,15,3,0,0,6
20,qm,red,1729,5633,4987,37,37,9,28,4,18,6,0,0,9
20,qm,blue,6691,2084,348,20,20,3,17,2,9,6,0,0,3
21,qm,red,88,5265,663,44,44,12,32,2,21,9,0,0,12
21,qm,blue,6690,1721,7907,11,11,6,2,2,0,0,3,0,6
22,qm,red,1831,4929,1512,21,21,6,15,0,9,6,0,0,6
22,qm,blue,131,3467,1247,38,38,12,26,2,18,6,0,0,12
23,qm,red,5687,1519,811,64,64,12,52,10,27,15,0,0,12
23,qm,blue,1277,4761,95,39,39,15,24,12,6,6,0,0,15
24,qm,red,4905,4564,7416,53,53,9,44,8,27,9,0,0,9
24,qm,blue,5902,6895,3566,24,24,15,6,0,3,3,3,0,15
25,qm,red,7907,1831,348,12,12,3,9,0,0,9,0,0,3
25,qm,blue,1247,4929,1729,49,49,12,34,4,21,9,3,0,12
26,qm,red,811,3467,95,58,58,12,43,16,18,9,3,0,12
26,qm,blue,4987,663,467,29,29,15,14,2,3,9,0,0,15
27,qm,red,3958,7913,1277,33,33,6,21,12,0,9,6,0,6
