match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6110,6866,6864,40,40,12,28,4,15,9,0,0,12
1,qm,blue,2200,3571,5036,64,64,6,55,10,30,15,3,0,6
2,qm,red,6514,7564,5409,24,24,15,6,0,0,6,3,0,15
2,qm,blue,6859,4015,4783,18,18,9,6,0,0,6,3,0,9
3,qm,red,7710,4476,5426,14,14,3,11,2,0,9,0,0,3
3,qm,blue,4525,6070,2386,33,33,12,21,6,0,15,0,0,12
4,qm,red,6987,7690,188,32,32,3,29,8,15,6,0,0,3
4,qm,blue,4946,4951,7614,27,27,9,18,0,15,3,0,0,9
5,qm,red,2852,4519,4704,26,26,12,11,2,6,3,3,0,12
5,qm,blue,6975,6867,7712,25,25,6,19,10,3,6,0,0,6
6,qm,red,610,6135,7267,48,48,15,33,6,21,6,0,0,15
6,qm,blue,4936,2994,4152,44,44,15,29,20,0,9,0,0,15
7,qm,red,7735,6110,4907,27,27,3,24,6,3,15,0,0,3
7,qm,blue,2708,6514,5885,39,39,9,30,12,3,15,0,0,9
8,qm,red,2200,4519,7712,55,55,9,46,4,24,18,0,0,9
8,qm,blue,5426,5036,188,35,35,12,23,2,18,3,0,0,12
9,qm,red,7564,4015,2994,42,42,12,15,0,0,15,15,0,12
9,qm,blue,6987,4525,6859,20,20,6,14,2,6,6,0,0,6
10,qm,red,4907,4946,6866,66,66,12,39,12,12,15,15,0,12
10,qm,blue,6070,5409,2852,32,32,15,11,2,3,6,6,0,15
11,qm,red,4476,4783,3571,35,35,9,17,2,9,6,9,0,9
11,qm,blue,4951,6975,4936,35,35,12,20,2,12,6,3,0,12
12,qm,red,4704,7735,7614,18,18,6,12,0,3,9,0,0,6
12,qm,blue,2386,7710,7690,48,48,15,33,12,3,18,0,0,15
13,qm,red,610,2708,6864,35,35,6,26,8,9,9,3,0,6
13,qm,blue,6135,6867,5885,64,64,15,49,16,15,18,0,0,15
14,qm,red,6975,7267,188,39,39,6,33,12,21,0,0,0,6
14,qm,blue,4152,6859,6866,36,36,12,24,6,9,9,0,0,12
15,qm,red,4936,5426,7690,34,34,15,19,10,6,3,0,0,15
15,qm,blue,4525,5409,2200,52,52,6,46,10,21,15,0,0,6
16,qm,red,4907,2994,6514,51,51,15,27,6,3,18,9,0,15
16,qm,blue,6864,4951,2852,46,46,15,31,4,18,9,0,0,15
17,qm,red,4946,2386,4519,73,73,15,48,6,21,21,10,0,15
17,qm,blue,6070,4704,2708,34,34,12,19,10,3,6,3,0,12
18,qm,red,7614,3571,7267,42,42,6,24,0,18,6,12,0,6
18,qm,blue,5885,7564,6110,50,50,15,35,8,9,18,0,0,15
19,qm,red,5036,4476,6867,63,63,15,48,12,24,12,0,0,15
19,qm,blue,4783,7710,6135,40,40,15,25,4,15,6,0,0,15
20,qm,red,7712,4015,4152,36,36,12,24,6,9,9,0,0,12
20,qm,blue,7735,6987,610,54,54,9,42,6,21,15,3,0,9
21,qm,red,7564,7690,4704,23,23,6,14,2,3,9,3,0,6
21,qm,blue,4936,2852,6866,53,53,15,38,14,15,9,0,0,15
22,qm,red,4519,6110,5036,46,46,12,34,4,24,6,0,0,12
22,qm,blue,4951,4525,7710,46,46,15,21,6,9,6,10,0,15
23,qm,red,6135,2200,6859,69,69,12,57,12,27,18,0,0,12
23,qm,blue,2386,6864,6987,45,45,15,30,0,12,18,0,0,15
24,qm,red,610,6070,5885,58,58,15,43,10,15,18,0,0,15
24,qm,blue,4783,7735,4152,49,49,15,34,10,12,12,0,0,15
25,qm,red,2708,4476,5409,43,43,15,28,4,15,9,0,0,15
25,qm,blue,3571,7712,6514,27,27,15,3,0,0,3,9,0,15
26,qm,red,7267,5426,2994,37,37,15,22,10,6,6,0,0,15
26,qm,blue,4907,7614,188,48,48,9,39,12,9,18,0,0,9
27,qm,red,4946,6975,4525,40,40,9,31,10,15,6,0,0,9
27,qm,blue,4015,6867,7710,45,45,15,30,12,6,12,0,0,15
28,qm,red,2708,7712,4783,26,26,12,14,8,0,6,0,0,12
28,qm,blue,7690,610,2200,57,57,6,45,12,15,18,6,0,6
29,qm,red,6864,5409,7735,35,35,15,17,2,9,6,3,0,15
29,qm,blue,7267,4519,4951,36,36,9,27,0,18,9,0,0,9
30,qm,red,6514,188,6070,51,51,12,23,8,6,9,16,0,12
30,qm,blue,7564,6975,6135,43,43,15,28,4,12,12,0,0,15
31,qm,red,6867,4152,6987,59,59,15,44,14,15,15,0,0,15
31,qm,blue,6110,5426,3571,17,17,15,2,2,0,0,0,0,15
32,qm,red,5885,6859,4907,48,48,15,33,12,0,21,0,0,15
32,qm,blue,4936,4476,4704,58,58,15,43,10,24,9,0,0,15
33,qm,red,7614,2994,2852,47,47,15,32,8,6,18,0,0,15
33,qm,blue,4015,5036,4946,35,35,6,29,2,21,6,0,0,6
34,qm,red,2386,6514,6975,42,42,12,30,6,6,18,0,0,12
34,qm,blue,6866,6070,7267,46,46,15,31,4,21,6,0,0,15
