match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5684,709,5401,43,43,12,31,4,18,9,0,0,12
1,qm,blue,6943,6808,1807,36,36,3,33,6,9,18,0,0,3
2,qm,red,5895,2095,5457,23,23,6,17,8,3,6,0,0,6
2,qm,blue,1391,2607,1218,43,43,12,31,10,15,6,0,0,12
3,qm,red,293,2559,708,26,26,15,11,2,6,3,0,0,15
3,qm,blue,6226,203,103,65,65,12,34,16,15,3,19,0,12
4,qm,red,2539,5181,4373,44,44,12,32,8,6,18,0,0,12
4,qm,blue,4652,4285,3974,25,25,9,13,4,3,6,3,0,9
5,qm,red,2234,319,1647,33,33,9,21,0,15,6,3,0,9
5,qm,blue,5666,7414,2458,25,25,9,10,4,0,6,6,0,9
6,qm,red,3929,4454,1143,7,7,0,7,4,3,0,0,0,0
6,qm,blue,816,6921,708,31,31,12,13,4,0,9,6,0,12
7,qm,red,2607,203,4285,40,40,15,25,10,9,6,0,0,15
7,qm,blue,2539,1218,7414,50,50,12,38,14,6,18,0,0,12
8,qm,red,3974,5401,2458,35,35,15,20,8,6,6,0,0,15
8,qm,blue,293,3929,5457,28,28,9,19,4,9,6,0,0,9
9,qm,red,2234,5895,1143,36,36,9,27,6,12,9,0,0,9
9,qm,blue,6226,4454,1807,84,84,12,62,14,27,21,10,0,12
10,qm,red,5666,6808,816,16,16,6,10,4,0,6,0,0,6
10,qm,blue,6943,4373,103,59,59,6,50,8,27,15,3,0,6
11,qm,red,709,4652,1647,45,45,15,30,0,12,18,0,0,15
11,qm,blue,2095,5181,2559,22,22,12,10,4,6,0,0,0,12
12,qm,red,6921,1391,2458,20,20,6,14,2,6,6,0,0,6
12,qm,blue,5684,103,319,52,52,9,43,4,21,18,0,0,9
13,qm,red,293,1807,203,36,36,9,27,6,6,15,0,0,9
13,qm,blue,6808,1647,4454,43,43,9,11,2,0,9,23,0,9
14,qm,red,7414,2559,1391,44,44,12,32,8,18,6,0,0,12
14,qm,blue,708,3974,3929,35,35,12,23,2,3,18,0,0,12
15,qm,red,5895,2607,319,58,58,12,46,10,24,12,0,0,12
15,qm,blue,6943,5684,4652,39,39,9,30,6,18,6,0,0,9
16,qm,red,4285,4373,5401,47,47,15,32,2,21,9,0,0,15
16,qm,blue,709,2234,5181,77,77,15,49,10,21,18,13,0,15
17,qm,red,5666,2539,6226,60,60,12,48,12,18,18,0,0,12
17,qm,blue,1143,2095,6921,28,28,9,16,4,9,3,3,0,9
18,qm,red,5457,816,2607,37,37,12,25,4,15,6,0,0,12
18,qm,blue,1218,293,2234,36,36,6,30,6,6,18,0,0,6
19,qm,red,5684,1807,3929,52,52,6,46,10,21,15,0,0,6
19,qm,blue,3974,709,2095,43,43,12,31,4,9,18,0,0,12
20,qm,red,103,4652,1391,43,43,12,31,4,12,15,0,0,12
20,qm,blue,203,816,5895,54,54,15,36,6,24,6,3,0,15
21,qm,red,7414,708,4454,31,31,9,22,4,9,9,0,0,9
21,qm,blue,319,2539,5401,62,62,12,47,8,18,21,3,0,12
22,qm,red,2458,5181,6808,31,31,15,16,4,9,3,0,0,15
22,qm,blue,5457,1143,5666,32,32,12,20,2,9,9,0,0,12
23,qm,red,1647,1218,4285,49,49,15,31,4,9,18,3,0,15
