match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3533,7053,3981,14,14,6,8,2,3,3,0,0,6
1,qm,blue,229,3990,3975,60,60,12,48,12,21,15,0,0,12
2,qm,red,4947,6869,5865,41,41,15,23,8,6,9,3,0,15
2,qm,blue,3532,4930,6540,35,35,3,32,8,9,15,0,0,3
3,qm,red,6953,3386,4957,26,26,3,10,4,6,0,13,0,3
3,qm,blue,6872,4955,3985,37,37,6,31,4,18,9,0,0,6
4,qm,red,5443,3379,7162,33,33,0,11,2,6,3,22,0,0
4,qm,blue,4594,6541,7116,26,26,6,17,2,12,3,3,0,6
5,qm,red,6851,7701,3986,37,37,9,25,10,9,6,3,0,9
5,qm,blue,3544,2626,3550,36,36,12,21,0,15,6,3,0,12
6,qm,red,7574,7471,5553,47,47,9,26,2,18,6,12,0,9
6,qm,blue,7700,7134,7615,21,21,0,18,0,9,9,3,0,0
7,qm,red,6929,1511,7605,32,32,12,20,8,0,12,0,0,12
7,qm,blue,3988,3360,7555,22,22,9,13,4,3,6,0,0,9
8,qm,red,6953,4594,6540,3,3,3,0,0,0,0,0,0,3
8,qm,blue,3986,3544,4957,38,38,12,16,4,9,3,10,0,12
9,qm,red,4947,7574,7053,54,54,12,32,8,15,9,10,0,12
9,qm,blue,7116,5553,3550,34,34,6,25,4,15,6,3,0,6
10,qm,red,3988,7471,6929,27,27,6,18,0,12,6,3,0,6
10,qm,blue,3533,3532,3990,34,34,12,22,10,9,3,0,0,12
11,qm,red,4930,229,3360,70,70,15,55,10,27,18,0,0,15
11,qm,blue,6541,7615,3985,26,26,3,23,2,18,3,0,0,3
12,qm,red,2626,5865,5443,36,36,9,18,6,6,6,9,0,9
12,qm,blue,6869,7555,3975,32,32,6,26,2,12,12,0,0,6
13,qm,red,7700,4955,3379,22,22,12,10,4,0,6,0,0,12
13,qm,blue,3981,7605,7134,37,37,6,31,10,9,12,0,0,6
14,qm,red,7701,6872,1511,39,39,9,30,12,9,9,0,0,9
14,qm,blue,3386,7162,6851,34,34,6,25,10,9,6,3,0,6
15,qm,red,3550,7574,3532,38,38,9,26,2,18,6,3,0,9
15,qm,blue,6953,3990,7555,14,14,6,8,2,3,3,0,0,6
16,qm,red,7471,4930,3544,34,34,6,28,4,18,6,0,0,6
16,qm,blue,3379,3975,3360,29,29,9,20,2,12,6,0,0,9
17,qm,red,3985,7700,7605,50,50,15,35,8,18,9,0,0,15
17,qm,blue,7701,7162,4947,26,26,9,17,2,6,9,0,0,9
18,qm,red,6541,3386,7134,17,17,3,14,2,0,12,0,0,3
18,qm,blue,3981,5553,5865,33,33,6,27,6,15,6,0,0,6
19,qm,red,6851,2626,7615,37,37,6,31,4,21,6,0,0,6
19,qm,blue,6540,6929,4955,26,26,6,20,2,9,9,0,0,6
20,qm,red,1511,6869,7053,54,54,12,23,8,3,12,19,0,12
20,qm,blue,3533,4594,3986,38,38,9,29,8,12,9,0,0,9
21,qm,red,4957,3988,6872,34,34,9,25,4,6,15,0,0,9
21,qm,blue,5443,7116,229,31,31,12,19,4,9,6,0,0,12
22,qm,red,3379,7134,3532,28,28,6,22,4,9,9,0,0,6
22,qm,blue,6851,7555,3544,45,45,9,26,2,18,6,10,0,9
23,qm,red,7605,6869,4930,52,52,15,37,10,12,15,0,0,15
23,qm,blue,7471,3981,6953,21,21,12,9,0,6,3,0,0,12
24,qm,red,5553,6872,6541,27,27,3,24,6,12,6,0,0,3
24,qm,blue,3986,3975,3985,50,50,6,44,8,27,9,0,0,6
25,qm,red,229,1511,3550,44,44,12,32,8,18,6,0,0,12
25,qm,blue,2626,4957,7700,23,23,9,14,2,9,3,0,0,9
26,qm,red,4955,3533,7116,33,33,9,24,6,12,6,0,0,9
26,qm,blue,5865,3360,7701,55,55,12,33,6,18,9,10,0,12
27,qm,red,7615,6540,7162,15,15,3,12,0,12,0,0,0,3
27,qm,blue,3988,7053,5443,35,35,6,19,4,12,3,10,0,6
28,qm,red,4594,3386,7574,30,30,9,21,6,9,6,0,0,9
28,qm,blue,3990,4947,6929,69,69,15,54,12,24,18,0,0,15
29,qm,red,4955,229,6869,51,51,15,36,6,21,9,0,0,15
29,qm,blue,7555,7116,6872,35,35,6,29,2,18,9,0,0,6
30,qm,red,7053,7700,3360,66,66,15,30,6,15,9,21,0,15
30,qm,blue,5865,6953,3988,34,34,9,25,4,18,3,0,0,9
31,qm,red,3981,3990,4930,58,58,15,43,10,15,18,0,0,15
31,qm,blue,1511,7574,5443,41,41,6,25,4,21,0,10,0,6
32,qm,red,3544,6541,3533,39,39,12,27,6,15,6,0,0,12
