match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3651,7489,1398,6,6,0,6,0,0,6,0,0,0
1,qm,blue,900,6222,4451,30,30,6,24,6,15,3,0,0,6
2,qm,red,86,1051,1293,55,55,12,43,16,21,6,0,0,12
2,qm,blue,4582,1758,6167,13,13,3,10,4,3,3,0,0,3
3,qm,red,4187,5063,4823,11,11,6,5,2,0,3,0,0,6
3,qm,blue,4073,7152,6366,25,25,6,19,10,6,3,0,0,6
4,qm,red,4020,263,1902,60,60,15,45,12,15,18,0,0,15
4,qm,blue,3824,2614,4965,33,33,12,21,6,6,9,0,0,12
5,qm,red,1553,7085,4748,30,30,9,18,6,3,9,3,0,9
5,qm,blue,5327,4504,5130,16,16,6,10,4,3,3,0,0,6
6,qm,red,4083,3976,281,23,23,3,10,4,0,6,10,0,3
6,qm,blue,283,6961,3489,16,16,3,13,4,6,3,0,0,3
7,qm,red,342,6626,5410,29,29,3,26,8,9,9,0,0,3
7,qm,blue,5777,7107,5949,29,29,3,23,8,9,6,3,0,3
8,qm,red,4005,4243,2187,16,16,3,13,10,0,3,0,0,3
8,qm,blue,3490,7072,5317,33,33,12,21,12,6,3,0,0,12
9,qm,red,4075,3140,7409,8,8,3,5,2,0,3,0,0,3
9,qm,blue,5022,2393,5472,41,41,6,35,8,18,9,0,0,6
10,qm,red,2815,4847,1539,17,17,3,11,8,0,3,3,0,3
10,qm,blue,21,1369,4267,24,24,6,18,0,9,9,0,0,6
11,qm,red,1287,108,1758,33,33,9,21,0,6,15,3,0,9
11,qm,blue,6222,379,4074,32,32,9,23,2,3,18,0,0,9
12,qm,red,1051,3824,5327,44,44,9,35,8,12,15,0,0,9
12,qm,blue,6366,6961,5410,31,31,6,25,10,3,12,0,0,6
13,qm,red,4005,7152,283,47,47,9,38,8,21,9,0,0,9
13,qm,blue,4020,4965,342,70,70,15,52,16,21,15,3,0,15
14,qm,red,1902,3976,3489,41,41,9,32,8,18,6,0,0,9
14,qm,blue,3651,5130,900,14,14,3,8,2,0,6,3,0,3
15,qm,red,2187,1293,2393,50,50,9,41,8,15,18,0,0,9
15,qm,blue,7085,5949,4823,30,30,6,24,6,12,6,0,0,6
16,qm,red,7107,4083,4073,16,16,6,10,4,0,6,0,0,6
16,qm,blue,4847,7489,4243,15,15,0,15,0,12,3,0,0,0
17,qm,red,281,21,5063,34,34,9,25,4,0,21,0,0,9
17,qm,blue,4504,7072,7409,56,56,15,41,8,15,18,0,0,15
18,qm,red,6167,6626,4074,24,24,9,15,12,0,3,0,0,9
18,qm,blue,2815,379,4187,35,35,6,29,8,15,6,0,0,6
19,qm,red,4451,5022,1287,67,67,12,55,16,21,18,0,0,12
19,qm,blue,3490,1539,1553,32,32,12,20,8,3,9,0,0,12
20,qm,red,1369,108,5472,56,56,12,34,10,9,15,10,0,12
20,qm,blue,5317,263,4582,42,42,12,27,6,12,9,3,0,12
21,qm,red,2614,5777,4748,24,24,3,21,0,9,12,0,0,3
21,qm,blue,86,4075,4267,32,32,3,29,8,15,6,0,0,3
22,qm,red,1398,7085,4965,42,42,6,26,8,12,6,10,0,6
22,qm,blue,7072,3651,3140,31,31,6,22,4,9,9,3,0,6
23,qm,red,4074,4073,3824,25,25,6,19,4,6,9,0,0,6
23,qm,blue,4504,7107,2187,36,36,12,21,12,6,3,3,0,12
24,qm,red,6222,1539,4020,49,49,12,37,10,12,15,0,0,12
24,qm,blue,4083,5949,7409,35,35,12,23,8,9,6,0,0,12
25,qm,red,6167,7152,3490,51,51,9,42,12,18,12,0,0,9
25,qm,blue,6366,281,1369,55,55,12,43,10,15,18,0,0,12
26,qm,red,4075,379,4582,34,34,9,25,4,15,6,0,0,9
26,qm,blue,263,4847,900,13,13,6,7,4,0,3,0,0,6
27,qm,red,283,86,5317,39,39,9,30,12,9,9,0,0,9
27,qm,blue,7489,5022,21,26,26,3,23,2,12,9,0,0,3
28,qm,red,3489,5063,1758,20,20,6,14,2,6,6,0,0,6
