match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6902,6988,6430,29,29,6,13,4,6,3,10,0,6
1,qm,blue,7570,6999,6232,40,40,9,31,4,18,9,0,0,9
2,qm,red,7682,7684,7600,18,18,6,12,0,6,6,0,0,6
2,qm,blue,7628,6429,6697,25,25,3,22,4,18,0,0,0,3
3,qm,red,7010,7033,7293,43,43,12,31,4,21,6,0,0,12
3,qm,blue,7108,6985,6838,63,63,6,41,8,21,12,16,0,6
4,qm,red,7466,7569,2905,18,18,6,12,0,6,6,0,0,6
4,qm,blue,7296,7683,7071,27,27,9,18,0,15,3,0,0,9
5,qm,red,5655,7481,7444,15,15,9,6,0,6,0,0,0,9
5,qm,blue,7637,3646,5883,47,47,12,35,8,12,15,0,0,12
6,qm,red,7033,7576,7228,39,39,15,24,6,9,9,0,0,15
6,qm,blue,7035,7585,7010,32,32,9,20,2,12,6,3,0,9
7,qm,red,6697,6232,5655,22,22,6,3,0,0,3,13,0,6
7,qm,blue,6902,3646,2905,32,32,12,20,2,9,9,0,0,12
8,qm,red,6429,6999,6985,27,27,9,18,12,6,0,0,0,9
8,qm,blue,7293,7683,7637,26,26,12,11,2,9,0,3,0,12
9,qm,red,7444,7071,7682,36,36,9,27,12,9,6,0,0,9
9,qm,blue,7628,7684,7570,39,39,3,24,6,18,0,12,0,3
10,qm,red,7569,6988,7296,56,56,9,37,4,24,9,10,0,9
10,qm,blue,7600,7228,7481,36,36,6,30,0,15,15,0,0,6
11,qm,red,6430,5883,7466,46,46,9,28,4,9,15,9,0,9
11,qm,blue,7108,7576,7585,39,39,12,27,0,12,15,0,0,12
12,qm,red,6838,6697,7682,40,40,6,25,10,9,6,9,0,6
12,qm,blue,7035,7033,6988,36,36,9,27,6,15,6,0,0,9
13,qm,red,7683,5655,7628,6,6,3,0,0,0,0,3,0,3
13,qm,blue,7637,6232,7010,49,49,12,37,10,18,9,0,0,12
14,qm,red,7600,7071,6999,20,20,6,14,2,9,3,0,0,6
14,qm,blue,7035,6985,6902,38,38,9,29,2,21,6,0,0,9
15,qm,red,7570,7108,6430,56,56,6,50,8,24,18,0,0,6
15,qm,blue,7296,7228,7466,47,47,12,35,2,15,18,0,0,12
16,qm,red,7569,3646,7576,48,48,6,32,2,12,18,10,0,6
16,qm,blue,7684,5883,2905,71,71,15,43,4,21,18,13,0,15
17,qm,red,7585,7293,7444,27,27,9,18,0,9,9,0,0,9
17,qm,blue,6838,6429,7481,28,28,12,16,4,3,9,0,0,12
18,qm,red,3646,7228,7684,40,40,15,25,4,15,6,0,0,15
18,qm,blue,5883,6988,7071,57,57,12,45,6,24,15,0,0,12
19,qm,red,7637,7600,6697,21,21,9,12,6,0,6,0,0,9
19,qm,blue,6999,7466,7585,22,22,9,13,4,3,6,0,0,9
20,qm,red,7628,2905,7010,42,42,6,26,2,21,3,10,0,6
20,qm,blue,7293,7035,7570,44,44,9,35,8,24,3,0,0,9
21,qm,red,7683,6902,7444,29,29,6,23,2,18,3,0,0,6
21,qm,blue,7682,5655,6430,24,24,9,15,0,6,9,0,0,9
22,qm,red,6232,7569,6985,38,38,9,26,8,12,6,3,0,9
22,qm,blue,7576,7296,6838,41,41,12,20,2,9,9,9,0,12
23,qm,red,7481,7108,7628,38,38,9,29,2,9,18,0,0,9
23,qm,blue,7033,6429,6902,53,53,15,38,8,21,9,0,0,15
24,qm,red,7010,6838,7466,52,52,12,28,4,18,6,12,0,12
24,qm,blue,6697,7296,7684,47,47,15,29,2,21,6,3,0,15
25,qm,red,2905,6430,7585,41,41,15,26,2,15,9,0,0,15
25,qm,blue,7444,6985,6988,40,40,9,31,4,18,9,0,0,9
26,qm,red,5883,7682,7576,63,63,12,48,12,18,18,3,0,12
26,qm,blue,7293,6999,7481,28,28,12,16,4,9,3,0,0,12
27,qm,red,5655,7071,7033,37,37,12,25,4,15,6,0,0,12
27,qm,blue,6429,7600,7569,35,35,6,29,2,21,6,0,0,6
28,qm,red,7228,7035,7637,39,39,12,27,0,9,18,0,0,12
28,qm,blue,3646,7570,7683,46,46,6,22,4,15,3,18,0,6
29,qm,red,6232,6838,5883,59,59,12,37,4,15,18,10,0,12
29,qm,blue,7108,7682,6429,72,72,12,50,8,27,15,10,0,12
30,qm,red,7481,3646,7010,46,46,12,28,4,18,6,6,0,12
30,qm,blue,6430,7683,7600,33,33,9,21,0,12,9,3,0,9
