match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7839,7086,7298,55,55,3,19,4,15,0,33,0,3
1,qm,blue,6874,7469,6380,15,15,6,9,0,6,3,0,0,6
2,qm,red,6014,7830,7439,44,44,12,26,2,18,6,6,0,12
2,qm,blue,7742,6064,7831,36,36,9,27,0,18,9,0,0,9
3,qm,red,7851,7458,7329,27,27,6,18,0,9,9,3,0,6
3,qm,blue,6838,7841,6228,42,42,6,36,6,18,12,0,0,6
4,qm,red,5883,7070,7828,53,53,9,41,8,18,15,3,0,9
4,qm,blue,5665,7536,6431,44,44,12,19,4,6,9,13,0,12
5,qm,red,7549,3646,7761,32,32,9,23,2,12,9,0,0,9
5,qm,blue,7544,6038,7840,60,60,12,45,6,27,12,3,0,12
6,qm,red,7828,6388,7469,9,9,3,6,0,0,6,0,0,3
6,qm,blue,6228,7458,7758,48,48,15,24,0,18,6,9,0,15
7,qm,red,6064,7536,7851,45,45,12,33,6,18,9,0,0,12
7,qm,blue,7439,7761,7742,29,29,9,20,2,12,6,0,0,9
8,qm,red,7841,5883,7830,61,61,15,46,4,24,18,0,0,15
8,qm,blue,6014,6380,6038,59,59,9,44,8,27,9,6,0,9
9,qm,red,7758,7070,7544,29,29,9,20,2,15,3,0,0,9
9,qm,blue,6388,6874,7298,15,15,6,9,0,0,9,0,0,6
10,qm,red,3646,7831,7839,12,12,6,6,0,6,0,0,0,6
10,qm,blue,6838,7329,7549,39,39,6,27,0,18,9,6,0,6
11,qm,red,5665,6388,7840,36,36,9,27,0,18,9,0,0,9
11,qm,blue,7544,7086,6431,40,40,6,34,4,21,9,0,0,6
12,qm,red,7831,6874,7758,17,17,3,11,2,3,6,3,0,3
12,qm,blue,7851,5883,7469,46,46,6,40,4,21,15,0,0,6
13,qm,red,6038,7830,7536,57,57,15,32,2,21,9,10,0,15
13,qm,blue,5665,7298,3646,29,29,6,17,2,0,15,6,0,6
