match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5052,2714,3679,32,32,9,17,2,6,9,6,0,9
1,qm,blue,2583,5103,418,26,26,9,17,2,12,3,0,0,9
2,qm,red,624,6646,6321,38,38,12,26,2,12,12,0,0,12
2,qm,blue,2881,7621,2950,9,9,6,0,0,0,0,3,0,6
3,qm,red,7872,6377,3676,31,31,12,19,4,12,3,0,0,12
3,qm,blue,7837,2721,5754,0,0,0,0,0,0,0,0,0,0
4,qm,red,3743,2468,647,35,35,6,29,8,6,15,0,0,6
4,qm,blue,6155,7511,5503,24,24,6,15,0,9,6,3,0,6
5,qm,red,2848,3834,7138,28,28,6,9,0,3,6,13,0,6
5,qm,blue,3561,3005,4610,40,40,15,25,4,18,3,0,0,15
6,qm,red,7264,2158,6180,43,43,9,8,2,0,6,26,0,9
6,qm,blue,6357,2789,6664,5,5,3,2,2,0,0,0,0,3
7,qm,red,2583,2714,6155,21,21,6,15,6,0,9,0,0,6
7,qm,blue,3743,2950,6321,12,12,3,9,0,0,9,0,0,3
8,qm,red,7621,2848,6377,32,32,9,23,2,12,9,0,0,9
8,qm,blue,418,3676,624,51,51,12,39,6,21,12,0,0,12
9,qm,red,2721,7511,3005,17,17,6,11,2,3,6,0,0,6
9,qm,blue,3834,6646,2158,18,18,9,9,0,3,6,0,0,9
10,qm,red,2789,6180,5754,14,14,3,11,2,0,9,0,0,3
10,qm,blue,7264,3679,2468,55,55,6,46,10,18,18,3,0,6
11,qm,red,6357,2881,5103,29,29,15,11,2,3,6,3,0,15
11,qm,blue,4610,5052,7837,41,41,9,32,2,21,9,0,0,9
12,qm,red,6664,5503,647,22,22,3,6,0,3,3,13,0,3
12,qm,blue,7138,7872,3561,21,21,12,6,0,0,6,3,0,12
13,qm,red,3005,2158,2468,48,48,12,36,12,9,15,0,0,12
13,qm,blue,6646,2583,3676,53,53,12,41,8,18,15,0,0,12
14,qm,red,6357,7264,624,50,50,12,38,8,18,12,0,0,12
14,qm,blue,2721,3679,6321,41,41,9,32,2,21,9,0,0,9
15,qm,red,6155,6664,7872,27,27,6,11,2,3,6,10,0,6
15,qm,blue,2714,5754,4610,49,49,12,37,10,21,6,0,0,12
16,qm,red,647,7837,2848,18,18,6,9,0,0,9,3,0,6
16,qm,blue,2950,2789,418,12,12,6,6,0,0,6,0,0,6
17,qm,red,5052,3743,7138,18,18,6,12,0,3,9,0,0,6
17,qm,blue,2881,6377,3834,70,70,12,45,6,21,18,13,0,12
18,qm,red,7511,7621,5103,22,22,6,13,4,0,9,3,0,6
18,qm,blue,6180,5503,3561,28,28,12,16,4,6,6,0,0,12
19,qm,red,647,6321,5754,34,34,6,15,6,0,9,13,0,6
19,qm,blue,2714,2848,2158,32,32,15,17,2,9,6,0,0,15
20,qm,red,2583,2721,3834,6,6,0,6,0,0,6,0,0,0
20,qm,blue,2468,2881,2789,47,47,9,38,8,15,15,0,0,9
21,qm,red,5103,7872,2950,34,34,12,22,4,12,6,0,0,12
21,qm,blue,418,5052,6377,55,55,12,40,4,21,15,3,0,12
22,qm,red,3561,7511,3676,56,56,9,26,2,18,6,21,0,9
22,qm,blue,6664,4610,7264,35,35,6,26,2,18,6,3,0,6
23,qm,red,3679,624,6155,68,68,9,36,6,18,12,23,0,9
23,qm,blue,7138,7837,7621,6,6,3,3,0,0,3,0,0,3
24,qm,red,6646,3005,6180,36,36,9,27,6,12,9,0,0,9
24,qm,blue,6357,3743,5503,40,40,9,31,10,12,9,0,0,9
25,qm,red,6377,2950,2468,64,64,12,49,10,24,15,3,0,12
25,qm,blue,6321,2158,7872,38,38,12,26,2,6,18,0,0,12
26,qm,red,3561,3834,3679,33,33,9,24,0,18,6,0,0,9
26,qm,blue,2789,3676,647,40,40,9,31,4,18,9,0,0,9
27,qm,red,418,4610,7511,44,44,9,32,8,21,3,3,0,9
27,qm,blue,2714,6180,7138,33,33,12,21,12,3,6,0,0,12
28,qm,red,6664,2881,2721,17,17,9,8,2,0,6,0,0,9
28,qm,blue,2583,6357,7621,23,23,9,14,2,0,12,0,0,9
29,qm,red,2848,5103,7264,15,15,9,6,0,3,3,0,0,9
29,qm,blue,6646,6155,3743,30,30,9,21,6,9,6,0,0,9
30,qm,red,3005,7837,5503,45,45,6,33,12,12,9,6,0,6
30,qm,blue,5754,5052,624,31,31,6,25,4,18,3,0,0,6
31,qm,red,2158,7511,2583,33,33,9,18,0,12,6,6,0,9
31,qm,blue,7872,6180,7621,28,28,12,16,10,0,6,0,0,12
32,qm,red,3834,647,4610,30,30,6,24,6,15,3,0,0,6
32,qm,blue,2721,6377,7264,36,36,3,30,0,15,15,3,0,3
33,qm,red,3679,6664,418,33,33,6,24,0,18,6,3,0,6
33,qm,blue,3005,6357,6155,79,79,9,34,10,15,9,36,0,9
34,qm,red,3743,2789,2714,31,31,15,16,4,6,6,0,0,15
34,qm,blue,5052,5103,6646,40,40,12,25,4,12,9,3,0,12
35,qm,red,5754,2468,3561,55,55,12,43,4,24,15,0,0,12
