match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7271,6974,4301,7,7,0,7,4,3,0,0,0,0
1,qm,blue,5047,4063,3847,50,50,6,44,14,15,15,0,0,6
2,qm,red,5613,4378,1164,13,13,3,10,4,0,6,0,0,3
2,qm,blue,7540,6682,4799,10,10,0,10,4,0,6,0,0,0
3,qm,red,4328,457,7750,19,19,6,3,0,0,3,10,0,6
3,qm,blue,3366,5783,118,45,45,6,39,12,12,15,0,0,6
4,qm,red,7533,7649,5866,6,6,0,6,0,0,6,0,0,0
4,qm,blue,6144,2613,4717,15,15,0,12,0,0,12,3,0,0
5,qm,red,4153,4063,7750,55,55,12,43,10,15,18,0,0,12
5,qm,blue,5613,6974,4328,6,6,3,3,0,0,3,0,0,3
6,qm,red,7540,7271,6144,31,31,6,25,4,6,15,0,0,6
6,qm,blue,7649,1164,4799,12,12,6,6,0,0,6,0,0,6
7,qm,red,5783,2613,4378,12,12,6,6,0,0,6,0,0,6
7,qm,blue,4301,5866,118,51,51,9,32,8,18,6,10,0,9
8,qm,red,457,4153,6682,49,49,9,6,0,0,6,34,0,9
8,qm,blue,7533,4717,5047,15,15,9,6,0,0,6,0,0,9
9,qm,red,3366,2613,7750,18,18,3,15,0,3,12,0,0,3
9,qm,blue,7271,5783,3847,32,32,6,26,8,9,9,0,0,6
10,qm,red,5613,4301,6682,20,20,6,14,2,3,9,0,0,6
10,qm,blue,4153,7540,7649,29,29,15,14,8,0,6,0,0,15
11,qm,red,4328,5047,5866,15,15,9,6,0,0,6,0,0,9
11,qm,blue,6974,3366,4799,30,30,6,21,0,15,6,3,0,6
12,qm,red,6144,3847,118,48,48,9,39,12,12,15,0,0,9
12,qm,blue,4378,4717,7533,28,28,3,15,0,9,6,10,0,3
13,qm,red,1164,4063,5783,50,50,12,32,8,6,18,6,0,12
13,qm,blue,6974,457,5866,33,33,15,18,0,9,9,0,0,15
14,qm,red,3366,3847,7540,25,25,6,19,10,6,3,0,0,6
14,qm,blue,5047,4799,4153,18,18,6,12,0,3,9,0,0,6
15,qm,red,2613,7533,7271,15,15,0,15,0,9,6,0,0,0
15,qm,blue,4328,4378,4063,33,33,6,27,6,6,15,0,0,6
16,qm,red,1164,6682,4717,15,15,9,6,0,0,6,0,0,9
16,qm,blue,5613,6144,7750,28,28,3,22,4,0,18,3,0,3
17,qm,red,7540,7649,4301,19,19,6,13,4,0,9,0,0,6
17,qm,blue,118,457,5047,47,47,9,38,8,12,18,0,0,9
18,qm,red,4063,7533,6682,30,30,6,24,6,9,9,0,0,6
18,qm,blue,7750,5866,4717,34,34,15,9,0,3,6,10,0,15
19,qm,red,3847,5613,4799,27,27,3,21,6,9,6,3,0,3
19,qm,blue,457,4378,4301,24,24,9,15,0,15,0,0,0,9
20,qm,red,5783,6974,6144,56,56,12,44,8,18,18,0,0,12
20,qm,blue,7649,3366,2613,17,17,3,14,2,3,9,0,0,3
21,qm,red,118,4328,7271,51,51,12,36,6,12,18,3,0,12
21,qm,blue,4153,1164,5613,21,21,12,9,0,3,6,0,0,12
22,qm,red,7750,4799,7533,14,14,3,11,2,0,9,0,0,3
22,qm,blue,6144,6682,457,27,27,9,18,0,0,18,0,0,9
23,qm,red,4328,5047,7649,32,32,12,10,4,0,6,10,0,12
23,qm,blue,1164,5866,3847,47,47,15,32,8,15,9,0,0,15
24,qm,red,4717,3366,7271,24,24,6,18,0,12,6,0,0,6
24,qm,blue,2613,6974,7540,43,43,15,28,4,12,12,0,0,15
25,qm,red,4063,4301,5783,51,51,9,42,12,15,15,0,0,9
25,qm,blue,4378,118,4153,77,77,12,65,14,30,21,0,0,12
26,qm,red,3847,4717,457,34,34,9,25,10,9,6,0,0,9
26,qm,blue,5047,1164,2613,33,33,12,21,6,3,12,0,0,12
27,qm,red,7533,4153,6974,11,11,6,5,2,0,3,0,0,6
27,qm,blue,7271,7750,7649,24,24,9,15,0,6,9,0,0,9
28,qm,red,118,5783,5613,52,52,6,46,16,15,15,0,0,6
28,qm,blue,4799,4063,3366,48,48,9,39,6,18,15,0,0,9
29,qm,red,4378,5866,6144,39,39,12,24,0,15,9,3,0,12
29,qm,blue,4301,7540,4328,30,30,9,21,6,9,6,0,0,9
30,qm,red,3847,2613,6974,42,42,15,27,6,9,12,0,0,15
30,qm,blue,6682,7750,118,57,57,9,48,12,18,18,0,0,9
31,qm,red,7540,1164,4378,37,37,12,25,4,12,9,0,0,12
31,qm,blue,5783,4153,7533,28,28,9,19,4,6,9,0,0,9
