match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1598,5950,6021,0,0,0,0,0,0,0,0,0,0
1,qm,blue,3361,1599,1522,33,33,9,24,6,6,12,0,0,9
2,qm,red,7429,1086,1262,40,40,12,28,4,18,6,0,0,12
2,qm,blue,6189,5546,346,57,57,9,48,12,21,15,0,0,9
3,qm,red,422,1610,122,50,50,12,38,8,18,12,0,0,12
3,qm,blue,384,619,2106,53,53,15,25,16,3,6,13,0,15
4,qm,red,1413,539,617,38,38,6,23,2,12,9,9,0,6
4,qm,blue,5957,540,6802,14,14,3,11,2,3,6,0,0,3
5,qm,red,6334,2998,4286,26,26,12,14,8,3,3,0,0,12
5,qm,blue,6882,3359,7330,0,0,0,0,0,0,0,0,0,0
6,qm,red,3258,1080,1793,27,27,6,18,0,12,6,3,0,6
6,qm,blue,5804,977,3136,26,26,9,17,2,9,6,0,0,9
7,qm,red,1908,5546,1086,26,26,6,20,2,15,3,0,0,6
7,qm,blue,540,122,5950,21,21,6,15,6,3,6,0,0,6
8,qm,red,6334,3361,6189,31,31,12,19,10,3,6,0,0,12
8,qm,blue,1522,2998,422,44,44,15,29,2,21,6,0,0,15
9,qm,red,1793,2106,7429,20,20,6,14,8,0,6,0,0,6
9,qm,blue,1080,1598,539,12,12,6,6,0,0,6,0,0,6
10,qm,red,3258,384,1610,50,50,12,25,10,9,6,13,0,12
10,qm,blue,6882,1599,3136,47,47,15,32,2,12,18,0,0,15
11,qm,red,6802,1908,346,73,73,9,64,10,33,21,0,0,9
11,qm,blue,3359,5957,4286,44,44,15,29,2,21,6,0,0,15
12,qm,red,6021,617,5804,21,21,6,15,0,12,3,0,0,6
12,qm,blue,7330,1262,619,43,43,9,28,10,9,9,6,0,9
13,qm,red,1413,540,6189,32,32,9,23,2,15,6,0,0,9
13,qm,blue,1080,977,1610,36,36,15,21,12,0,9,0,0,15
14,qm,red,5546,4286,3258,35,35,12,23,2,15,6,0,0,12
14,qm,blue,5957,1793,6334,31,31,15,13,4,0,9,3,0,15
15,qm,red,1086,5804,1522,35,35,15,20,2,12,6,0,0,15
15,qm,blue,6802,1599,1598,51,51,9,42,6,18,18,0,0,9
16,qm,red,7429,7330,346,51,51,9,42,12,15,15,0,0,9
16,qm,blue,539,3361,619,56,56,15,28,10,6,12,13,0,15
17,qm,red,617,977,1262,39,39,9,27,6,12,9,3,0,9
17,qm,blue,5950,6882,422,32,32,12,20,2,9,9,0,0,12
18,qm,red,3359,3136,2998,27,27,15,12,0,6,6,0,0,15
18,qm,blue,1908,6021,1413,33,33,6,24,0,12,12,3,0,6
19,qm,red,122,2106,1599,43,43,12,31,4,6,21,0,0,12
19,qm,blue,346,384,6334,61,61,15,43,16,12,15,3,0,15
20,qm,red,1598,1522,7429,12,12,6,3,0,0,3,3,0,6
20,qm,blue,977,422,7330,33,33,12,21,0,15,6,0,0,12
21,qm,red,1793,617,6802,29,29,6,20,8,9,3,3,0,6
21,qm,blue,5804,1413,3258,24,24,9,15,0,9,6,0,0,9
22,qm,red,1080,6882,5957,26,26,12,14,2,3,9,0,0,12
22,qm,blue,122,3361,5546,35,35,12,23,8,6,9,0,0,12
23,qm,red,1086,619,3359,42,42,15,27,6,9,12,0,0,15
23,qm,blue,1610,1262,539,64,64,12,52,16,21,15,0,0,12
24,qm,red,4286,540,384,42,42,15,27,6,15,6,0,0,15
24,qm,blue,2998,5950,2106,58,58,9,49,10,18,21,0,0,9
25,qm,red,617,1908,3136,35,35,9,23,2,18,3,3,0,9
25,qm,blue,6189,6021,1522,13,13,3,10,4,0,6,0,0,3
26,qm,red,5804,3359,1610,43,43,15,28,16,3,9,0,0,15
26,qm,blue,1086,122,3258,36,36,9,27,6,15,6,0,0,9
27,qm,red,1262,1080,540,48,48,9,39,12,21,6,0,0,9
27,qm,blue,3361,4286,1793,16,16,12,4,4,0,0,0,0,12
28,qm,red,2106,3136,1598,54,54,15,36,6,15,15,3,0,15
28,qm,blue,5546,5950,619,47,47,12,35,8,24,3,0,0,12
29,qm,red,1413,6334,422,56,56,9,31,4,18,9,16,0,9
29,qm,blue,7429,6802,6021,38,38,9,29,2,12,15,0,0,9
30,qm,red,977,384,1599,60,60,15,35,8,18,9,10,0,15
30,qm,blue,7330,539,1908,31,31,6,25,4,12,9,0,0,6
31,qm,red,2998,346,6882,57,57,15,39,6,15,18,3,0,15
31,qm,blue,6189,1086,5957,16,16,0,16,4,0,12,0,0,0
32,qm,red,5950,1610,3361,50,50,15,32,14,9,9,3,0,15
32,qm,blue,6334,617,7429,23,23,15,8,2,3,3,0,0,15
33,qm,red,422,1599,1908,61,61,12,49,4,24,21,0,0,12
33,qm,blue,6802,2106,1080,58,58,9,49,10,18,21,0,0,9
34,qm,red,619,6882,1793,57,57,12,45,12,24,9,0,0,12
34,qm,blue,3359,1413,1522,37,37,6,31,4,18,9,0,0,6
35,qm,red,5546,1598,5957,30,30,12,18,6,3,9,0,0,12
35,qm,blue,2998,5804,384,58,58,15,43,4,21,18,0,0,15
36,qm,red,3136,1262,6189,36,36,9,27,12,6,9,0,0,9
36,qm,blue,539,346,122,68,68,15,44,14,12,18,9,0,15
37,qm,red,540,3258,977,42,42,12,27,6,15,6,3,0,12
37,qm,blue,6021,7330,4286,6,6,3,3,0,0,3,0,0,3
38,qm,red,384,422,5546,55,55,12,43,4,21,18,0,0,12
38,qm,blue,617,3359,3361,46,46,12,34,4,15,15,0,0,12
39,qm,red,1599,5957,5950,22,22,9,13,4,3,6,0,0,9
