match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4505,2988,3941,32,32,9,23,2,12,9,0,0,9
1,qm,blue,620,339,5338,27,27,12,15,6,0,9,0,0,12
2,qm,red,2186,614,612,50,50,9,38,2,18,18,3,0,9
2,qm,blue,6504,1418,3373,41,41,9,29,8,12,9,3,0,9
3,qm,red,611,1731,3274,15,15,3,9,0,9,0,3,0,3
3,qm,blue,623,1719,2199,22,22,9,13,4,0,9,0,0,9
4,qm,red,2534,6584,3455,45,45,9,36,12,18,6,0,0,9
4,qm,blue,6863,116,1123,12,12,6,6,0,6,0,0,0,6
5,qm,red,6543,4464,888,14,14,6,8,2,6,0,0,0,6
5,qm,blue,4099,2819,2363,37,37,12,25,4,6,15,0,0,12
6,qm,red,5549,2028,2961,19,19,6,10,4,3,3,3,0,6
6,qm,blue,1895,2421,1629,19,19,6,13,4,3,6,0,0,6
7,qm,red,4242,6504,1731,38,38,15,17,2,9,6,6,0,15
7,qm,blue,1123,3455,316,28,28,12,16,10,0,6,0,0,12
8,qm,red,614,620,116,39,39,9,30,6,15,9,0,0,9
8,qm,blue,3373,6863,2819,2,2,0,2,2,0,0,0,0,0
9,qm,red,612,2988,1895,69,69,15,51,6,24,21,3,0,15
9,qm,blue,2199,4505,4099,53,53,15,35,2,15,18,3,0,15
10,qm,red,2421,3941,1719,23,23,6,17,2,9,6,0,0,6
10,qm,blue,2028,316,2363,50,50,15,35,2,15,18,0,0,15
11,qm,red,623,1418,4464,26,26,3,23,8,9,6,0,0,3
11,qm,blue,3274,339,2534,46,46,12,31,4,6,21,3,0,12
12,qm,red,2961,5338,4242,38,38,6,32,2,12,18,0,0,6
12,qm,blue,888,2186,5549,23,23,6,17,8,6,3,0,0,6
13,qm,red,6543,1629,2819,25,25,6,19,4,9,6,0,0,6
13,qm,blue,611,612,6584,33,33,12,18,0,12,6,3,0,12
14,qm,red,116,2363,623,51,51,12,33,0,18,15,6,0,12
14,qm,blue,1123,620,4505,18,18,12,6,0,0,6,0,0,12
15,qm,red,5549,2534,4099,48,48,12,36,12,18,6,0,0,12
15,qm,blue,614,339,2421,40,40,15,25,4,15,6,0,0,15
