match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4683,2910,2903,51,51,9,42,12,18,12,0,0,9
1,qm,blue,4173,5683,4309,33,33,6,27,12,9,6,0,0,6
2,qm,red,2147,4089,7627,30,30,9,21,12,3,6,0,0,9
2,qm,blue,1778,4469,1983,50,50,15,25,10,6,9,10,0,15
3,qm,red,3049,4682,3812,19,19,6,3,0,0,3,10,0,6
3,qm,blue,2930,5803,3219,26,26,12,14,2,6,6,0,0,12
4,qm,red,4512,4513,3826,42,42,15,24,12,3,9,3,0,15
4,qm,blue,2928,4180,1318,17,17,6,11,2,6,3,0,0,6
5,qm,red,4579,3786,2980,22,22,6,13,4,6,3,3,0,6
5,qm,blue,5295,3663,949,9,9,0,6,0,3,3,3,0,0
6,qm,red,3268,360,4180,9,9,6,3,0,0,3,0,0,6
6,qm,blue,1778,3238,2605,20,20,9,11,2,3,6,0,0,9
7,qm,red,4682,1983,5295,26,26,9,17,8,3,6,0,0,9
7,qm,blue,3049,4513,3663,31,31,3,28,4,18,6,0,0,3
8,qm,red,5803,5683,2910,64,64,15,49,16,18,15,0,0,15
8,qm,blue,4579,3238,4469,32,32,9,23,8,9,6,0,0,9
9,qm,red,3268,4309,2605,20,20,9,11,8,0,3,0,0,9
9,qm,blue,7627,3812,3826,30,30,15,15,6,3,6,0,0,15
10,qm,red,4173,2928,4512,40,40,15,25,4,12,9,0,0,15
10,qm,blue,2903,2147,3786,27,27,12,12,6,0,6,3,0,12
11,qm,red,2930,949,1318,65,65,6,59,14,30,15,0,0,6
11,qm,blue,4089,3219,2980,31,31,15,16,4,6,6,0,0,15
12,qm,red,4683,4469,3786,29,29,9,20,8,3,9,0,0,9
12,qm,blue,360,4682,3663,51,51,15,36,0,18,18,0,0,15
13,qm,red,2903,3219,1983,36,36,15,15,6,3,6,6,0,15
13,qm,blue,4579,4180,1778,28,28,12,16,4,3,9,0,0,12
14,qm,red,7627,3049,3238,25,25,12,10,4,0,6,3,0,12
14,qm,blue,1318,3812,5683,41,41,12,26,8,12,6,3,0,12
15,qm,red,2605,360,2930,47,47,9,38,8,12,18,0,0,9
15,qm,blue,5803,3268,2980,51,51,15,36,12,6,18,0,0,15
16,qm,red,4683,3826,4089,23,23,9,14,2,3,9,0,0,9
16,qm,blue,2910,2147,4512,78,78,12,48,24,9,15,18,0,12
17,qm,red,949,2928,4309,49,49,9,40,10,18,12,0,0,9
17,qm,blue,4173,5295,4513,29,29,9,20,2,12,6,0,0,9
18,qm,red,1983,1318,3238,49,49,15,28,10,15,3,6,0,15
18,qm,blue,2605,2910,3219,41,41,9,29,8,12,9,3,0,9
19,qm,red,7627,4579,4513,23,23,6,17,8,3,6,0,0,6
19,qm,blue,4309,4683,4682,30,30,6,24,12,9,3,0,0,6
20,qm,red,1778,2147,3268,36,36,15,21,6,6,9,0,0,15
20,qm,blue,4469,5803,949,36,36,12,21,6,12,3,3,0,12
21,qm,red,4512,2930,4180,50,50,9,41,8,18,15,0,0,9
21,qm,blue,4173,4089,3049,27,27,12,12,0,3,9,3,0,12
22,qm,red,3826,2928,5295,34,34,12,22,10,6,6,0,0,12
22,qm,blue,360,3812,2903,33,33,15,18,0,3,15,0,0,15
23,qm,red,2147,2980,5683,52,52,15,34,16,9,9,3,0,15
23,qm,blue,3663,3786,1318,32,32,12,20,2,9,9,0,0,12
24,qm,red,3268,4579,5295,24,24,3,21,6,12,3,0,0,3
24,qm,blue,3826,4173,4469,36,36,15,21,6,9,6,0,0,15
25,qm,red,2605,3812,4683,20,20,9,8,2,0,6,3,0,9
25,qm,blue,2980,3049,2903,16,16,12,4,4,0,0,0,0,12
26,qm,red,4180,949,4089,18,18,6,12,0,0,12,0,0,6
26,qm,blue,2910,3786,360,65,65,12,43,16,9,18,10,0,12
27,qm,red,5803,4309,3663,52,52,12,40,10,12,18,0,0,12
27,qm,blue,1983,4512,7627,42,42,15,27,0,9,18,0,0,15
28,qm,red,4513,5683,4682,34,34,6,25,10,6,9,3,0,6
28,qm,blue,2930,1778,2928,48,48,12,30,6,15,9,6,0,12
29,qm,red,3219,3786,949,18,18,9,9,6,0,3,0,0,9
29,qm,blue,3238,3826,5803,52,52,15,34,10,6,18,3,0,15
30,qm,red,4469,4309,360,50,50,15,35,8,9,18,0,0,15
30,qm,blue,4513,2980,2928,45,45,15,27,6,15,6,3,0,15
31,qm,red,4089,4512,3812,52,52,15,37,10,9,18,0,0,15
31,qm,blue,4579,3049,1983,53,53,12,41,8,15,18,0,0,12
32,qm,red,7627,1778,2910,56,56,9,47,14,15,18,0,0,9
32,qm,blue,5295,2605,1318,27,27,3,21,0,15,6,3,0,3
33,qm,red,3663,4683,2930,72,72,9,31,4,18,9,32,0,9
33,qm,blue,3238,3219,4173,20,20,12,8,2,3,3,0,0,12
34,qm,red,5683,2903,3268,36,36,12,24,6,12,6,0,0,12
34,qm,blue,4180,4682,2147,32,32,15,17,2,9,6,0,0,15
35,qm,red,5295,2980,1778,8,8,3,5,2,0,3,0,0,3
35,qm,blue,4513,3238,3812,45,45,15,27,6,12,9,3,0,15
36,qm,red,4089,1983,4309,46,46,12,31,10,3,18,3,0,12
36,qm,blue,4180,2903,5803,48,48,15,33,6,9,18,0,0,15
37,qm,red,3826,360,949,42,42,15,24,6,3,15,3,0,15
37,qm,blue,4682,2930,4579,29,29,9,17,8,3,6,3,0,9
38,qm,red,3219,3049,2928,48,48,15,24,6,12,6,9,0,15
38,qm,blue,3663,4469,2605,35,35,15,20,2,9,9,0,0,15
39,qm,red,5683,7627,3786,28,28,9,19,10,3,6,0,0,9
39,qm,blue,4512,3268,4683,30,30,9,18,6,6,6,3,0,9
40,qm,red,2147,4173,2930,58,58,12,46,10,27,9,0,0,12
40,qm,blue,1318,2910,4579,59,59,9,50,14,18,18,0,0,9
41,qm,red,2903,2605,4682,28,28,12,16,4,3,9,0,0,12
41,qm,blue,3238,949,4512,37,37,12,25,16,0,9,0,0,12
42,qm,red,2928,4469,3812,58,58,15,43,4,21,18,0,0,15
42,qm,blue,3268,1318,4089,42,42,12,30,6,18,6,0,0,12
43,qm,red,3219,4180,5683,25,25,6,3,0,0,3,16,0,6
43,qm,blue,4309,5295,2147,51,51,12,39,12,6,21,0,0,12
44,qm,red,3786,1778,3826,28,28,9,19,4,9,6,0,0,9
44,qm,blue,3049,5803,4683,35,35,9,26,2,6,18,0,0,9
45,qm,red,1983,4173,2910,59,59,9,44,14,15,15,6,0,9
45,qm,blue,2980,7627,360,48,48,15,33,12,3,18,0,0,15
46,qm,red,4513,4089,2605,20,20,6,14,8,3,3,0,0,6
46,qm,blue,3663,1778,5683,45,45,12,30,12,9,9,3,0,12
47,qm,red,1318,2980,4173,61,61,12,49,16,21,12,0,0,12
47,qm,blue,5803,4682,7627,50,50,12,38,8,12,18,0,0,12
48,qm,red,360,3238,2928,54,54,15,27,6,6,15,12,0,15
48,qm,blue,4683,3219,2147,28,28,9,19,4,3,12,0,0,9
49,qm,red,4512,5295,4469,58,58,15,43,10,15,18,0,0,15
49,qm,blue,4309,3826,2930,62,62,12,47,14,18,15,3,0,12
50,qm,red,2910,3049,3268,68,68,12,53,14,21,18,3,0,12
50,qm,blue,949,2903,4513,11,11,6,5,2,0,3,0,0,6
51,qm,red,3812,4579,3663,48,48,15,33,6,18,9,0,0,15
51,qm,blue,3786,4180,1983,46,46,15,31,4,12,15,0,0,15
