match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5809,5006,6186,58,58,6,32,2,15,15,20,0,6
1,qm,blue,3991,6886,1723,9,9,9,0,0,0,0,0,0,9
2,qm,red,1939,6055,7255,27,27,9,18,0,15,3,0,0,9
2,qm,blue,1982,7430,7483,17,17,6,11,2,3,6,0,0,6
3,qm,red,7908,4603,7568,9,9,0,9,0,6,3,0,0,0
3,qm,blue,7123,6855,4576,17,17,3,11,2,6,3,3,0,3
4,qm,red,7767,7798,2164,21,21,6,15,0,12,3,0,0,6
4,qm,blue,7804,7878,5437,19,19,3,16,10,0,6,0,0,3
5,qm,red,3937,4087,3616,45,45,3,42,12,12,18,0,0,3
5,qm,blue,7910,323,3039,48,48,12,36,6,15,15,0,0,12
6,qm,red,6586,5965,7868,23,23,12,11,2,6,3,0,0,12
6,qm,blue,6840,2357,5454,26,26,6,20,2,9,9,0,0,6
7,qm,red,7467,6131,7075,18,18,6,12,6,0,6,0,0,6
7,qm,blue,4336,6640,6404,20,20,3,17,2,6,9,0,0,3
8,qm,red,7896,2992,7655,3,3,0,3,0,0,3,0,0,0
8,qm,blue,7459,7846,7702,15,15,0,15,6,0,9,0,0,0
9,qm,red,5568,7842,7106,0,0,0,0,0,0,0,0,0,0
9,qm,blue,5729,3011,3946,21,21,12,9,0,3,6,0,0,12
10,qm,red,1939,7263,5002,16,16,3,13,4,3,6,0,0,3
10,qm,blue,7766,2080,6055,19,19,0,19,4,9,6,0,0,0
11,qm,red,6186,6840,7868,5,5,0,5,2,0,3,0,0,0
11,qm,blue,7878,6855,7767,20,20,9,11,2,3,6,0,0,9
12,qm,red,1723,7430,6404,9,9,6,3,0,0,3,0,0,6
12,qm,blue,323,5437,7908,58,58,9,30,6,6,18,19,0,9
13,qm,red,6131,7910,7804,24,24,12,9,0,0,9,3,0,12
13,qm,blue,2992,7467,3991,30,30,6,24,0,9,15,0,0,6
14,qm,red,5454,7896,3039,31,31,9,22,4,12,6,0,0,9
14,qm,blue,7255,6886,7842,26,26,3,23,2,6,15,0,0,3
15,qm,red,7766,7459,5006,41,41,3,38,8,12,18,0,0,3
15,qm,blue,6586,7123,5809,26,26,9,11,2,6,3,6,0,9
16,qm,red,3946,6640,2164,59,59,15,34,4,12,18,10,0,15
16,qm,blue,5002,1982,4603,35,35,12,23,2,12,9,0,0,12
17,qm,red,2080,7702,2357,36,36,12,24,6,12,6,0,0,12
17,qm,blue,7075,4087,4336,49,49,15,34,10,6,18,0,0,15
18,qm,red,5729,7483,7263,18,18,9,9,0,0,9,0,0,9
18,qm,blue,7655,7846,3937,38,38,3,35,14,12,9,0,0,3
19,qm,red,5965,5568,3011,28,28,12,16,4,9,3,0,0,12
19,qm,blue,7798,3616,7568,29,29,12,14,8,0,6,3,0,12
20,qm,red,7767,4576,3039,47,47,9,29,2,15,12,9,0,9
20,qm,blue,7106,5006,7430,38,38,9,29,2,12,15,0,0,9
21,qm,red,6055,6840,6640,35,35,15,17,2,6,9,3,0,15
21,qm,blue,2164,7766,7896,27,27,6,11,2,0,9,10,0,6
22,qm,red,7878,4336,323,43,43,12,28,4,9,15,3,0,12
22,qm,blue,7075,5454,1939,41,41,9,32,2,21,9,0,0,9
23,qm,red,4603,6186,7910,27,27,12,15,0,9,6,0,0,12
23,qm,blue,7483,7842,7459,13,13,6,7,4,0,3,0,0,6
24,qm,red,2992,7568,3937,54,54,12,42,12,21,9,0,0,12
24,qm,blue,3616,3946,2080,47,47,15,32,8,6,18,0,0,15
25,qm,red,7846,7106,7123,12,12,6,6,0,6,0,0,0,6
25,qm,blue,6404,5965,5809,18,18,9,9,0,0,9,0,0,9
26,qm,red,6886,6586,5002,45,45,12,27,6,3,18,6,0,12
26,qm,blue,4576,3011,7467,0,0,0,0,0,0,0,0,0,0
27,qm,red,1723,5729,7702,17,17,6,11,2,0,9,0,0,6
27,qm,blue,7798,7255,7263,16,16,3,3,0,0,3,10,0,3
28,qm,red,1982,2357,5437,42,42,12,30,6,18,6,0,0,12
28,qm,blue,6131,7655,6855,34,34,12,22,4,9,9,0,0,12
29,qm,red,3991,7804,5568,27,27,9,18,0,9,9,0,0,9
29,qm,blue,4087,7868,7908,14,14,6,8,2,0,6,0,0,6
30,qm,red,1939,6404,5006,64,64,9,52,10,24,18,3,0,9
30,qm,blue,4603,2164,2992,33,33,6,27,6,15,6,0,0,6
31,qm,red,3946,7123,7075,40,40,9,21,6,6,9,10,0,9
31,qm,blue,6586,7767,6055,44,44,15,29,2,21,6,0,0,15
32,qm,red,5965,4576,1723,21,21,9,12,0,6,6,0,0,9
32,qm,blue,7483,2080,7910,42,42,15,27,6,9,12,0,0,15
33,qm,red,3616,4336,1982,47,47,15,32,8,6,18,0,0,15
33,qm,blue,5437,7896,7459,22,22,6,16,10,3,3,0,0,6
34,qm,red,6886,7568,6640,33,33,15,18,0,3,15,0,0,15
34,qm,blue,7804,5729,7106,29,29,9,20,2,12,6,0,0,9
35,qm,red,323,3937,6840,71,71,12,59,14,27,18,0,0,12
35,qm,blue,7255,3991,7702,39,39,12,12,0,3,9,15,0,12
36,qm,red,5454,7655,7430,26,26,6,20,2,12,6,0,0,6
36,qm,blue,4087,5002,6186,39,39,9,30,12,0,18,0,0,9
37,qm,red,7766,7868,7798,14,14,3,8,2,0,6,3,0,3
37,qm,blue,7842,7908,6131,33,33,12,15,6,0,9,6,0,12
38,qm,red,7878,5809,5568,24,24,6,15,6,0,9,3,0,6
38,qm,blue,2357,7263,7467,15,15,6,9,0,6,3,0,0,6
39,qm,red,6855,7846,6640,33,33,9,24,6,12,6,0,0,9
39,qm,blue,3011,3039,1939,48,48,12,36,6,18,12,0,0,12
40,qm,red,7767,5965,2080,43,43,15,28,4,15,9,0,0,15
40,qm,blue,7702,6404,1982,33,33,9,24,6,12,6,0,0,9
41,qm,red,4576,6186,323,44,44,9,20,2,12,6,15,0,9
41,qm,blue,2992,6055,5729,40,40,15,25,4,15,6,0,0,15
42,qm,red,7106,1723,4603,36,36,12,24,0,18,6,0,0,12
42,qm,blue,6131,7896,4087,34,34,6,28,10,0,18,0,0,6
43,qm,red,7467,7908,7798,6,6,0,3,0,0,3,3,0,0
43,qm,blue,5006,3937,2357,61,61,9,49,10,21,18,3,0,9
44,qm,red,7804,3616,7846,37,37,9,28,10,9,9,0,0,9
44,qm,blue,5002,7878,7075,24,24,6,18,6,6,6,0,0,6
45,qm,red,6840,6855,7842,28,28,12,16,4,3,9,0,0,12
45,qm,blue,4336,5568,7430,36,36,9,27,18,6,3,0,0,9
46,qm,red,7568,3991,6586,39,39,15,24,0,15,9,0,0,15
46,qm,blue,7655,7255,2164,22,22,9,13,4,0,9,0,0,9
47,qm,red,5809,3039,7766,31,31,0,31,4,15,12,0,0,0
47,qm,blue,7868,3946,7483,22,22,12,10,4,0,6,0,0,12
48,qm,red,7263,7910,7123,21,21,12,9,0,0,9,0,0,12
48,qm,blue,3011,5437,6886,55,55,6,24,6,3,15,25,0,6
49,qm,red,7459,6404,4576,13,13,6,7,4,0,3,0,0,6
49,qm,blue,5454,3937,7804,69,69,9,48,12,27,9,12,0,9
50,qm,red,7842,2357,2992,43,43,12,31,4,9,18,0,0,12
50,qm,blue,1723,5002,7767,36,36,12,24,0,18,6,0,0,12
51,qm,red,7908,3616,6055,43,43,9,34,4,12,18,0,0,9
51,qm,blue,4336,7655,7106,38,38,15,20,2,12,6,3,0,15
52,qm,red,7896,1939,6840,21,21,6,15,0,6,9,0,0,6
52,qm,blue,4087,5809,5729,30,30,12,18,0,0,18,0,0,12
53,qm,red,7075,1982,7766,34,34,15,13,4,3,6,6,0,15
53,qm,blue,7910,5568,7568,34,34,15,10,4,0,6,9,0,15
54,qm,red,2080,7798,7846,18,18,6,3,0,0,3,9,0,6
54,qm,blue,6640,323,6586,47,47,15,32,2,12,18,0,0,15
55,qm,red,3946,7459,5454,34,34,12,19,4,6,9,3,0,12
55,qm,blue,3991,7263,6855,32,32,9,20,2,18,0,3,0,9
56,qm,red,7430,4603,5437,34,34,6,28,4,24,0,0,0,6
56,qm,blue,7868,7702,6886,18,18,15,3,0,0,3,0,0,15
57,qm,red,3011,6131,7878,3,3,0,3,0,0,3,0,0,0
57,qm,blue,7255,5006,7483,39,39,9,30,0,15,15,0,0,9
58,qm,red,3039,7123,5965,48,48,9,39,6,24,9,0,0,9
58,qm,blue,2164,6186,7467,32,32,6,5,2,0,3,21,0,6
59,qm,red,6640,7804,1982,34,34,15,19,4,6,9,0,0,15
59,qm,blue,6586,1723,4336,23,23,6,17,8,3,6,0,0,6
60,qm,red,7842,4576,3991,22,22,12,10,4,0,6,0,0,12
60,qm,blue,2357,1939,3616,65,65,12,50,8,30,12,3,0,12
61,qm,red,6886,7767,7655,52,52,15,37,4,15,18,0,0,15
61,qm,blue,6855,323,5568,38,38,12,26,8,12,6,0,0,12
62,qm,red,5006,2080,6840,42,42,6,36,6,12,18,0,0,6
62,qm,blue,7106,7910,7459,35,35,15,20,2,9,9,0,0,15
63,qm,red,7483,5002,6131,31,31,12,19,10,0,9,0,0,12
63,qm,blue,7123,7568,7896,15,15,6,9,0,0,9,0,0,6
64,qm,red,7263,7075,2992,33,33,12,21,6,6,9,0,0,12
64,qm,blue,3039,4603,7798,54,54,9,35,8,21,6,10,0,9
65,qm,red,5437,3946,4087,44,44,15,29,2,12,15,0,0,15
65,qm,blue,7846,6186,7255,15,15,9,6,0,0,6,0,0,9
66,qm,red,3937,7766,7878,42,42,9,33,12,18,3,0,0,9
66,qm,blue,6055,7430,5965,45,45,12,23,2,18,3,10,0,12
67,qm,red,7908,2164,5809,14,14,6,8,2,0,6,0,0,6
67,qm,blue,7702,5454,3011,12,12,9,3,0,0,3,0,0,9
68,qm,red,7868,5729,3991,29,29,9,20,2,12,6,0,0,9
68,qm,blue,2080,7467,6404,23,23,9,14,2,6,6,0,0,9
69,qm,red,6855,7483,7896,34,34,15,19,10,0,9,0,0,15
69,qm,blue,7798,7075,5006,40,40,9,32,2,12,18,0,-1,9
70,qm,red,5568,5437,7255,45,45,12,33,12,18,3,0,0,12
70,qm,blue,6640,2992,4576,48,48,9,39,6,18,15,0,0,9
71,qm,red,2357,7106,3946,30,30,15,15,0,9,6,0,0,15
71,qm,blue,323,1939,7804,61,61,12,46,4,21,21,3,0,12
72,qm,red,7430,2164,3616,36,36,12,15,0,9,6,9,0,12
72,qm,blue,7263,5809,6131,26,26,9,14,8,0,6,3,0,9
73,qm,red,5729,4336,5454,25,25,9,16,10,3,3,0,0,9
73,qm,blue,4603,7767,7766,50,50,15,29,2,18,9,6,0,15
74,qm,red,7467,7459,7878,11,11,3,8,2,0,6,0,0,3
74,qm,blue,7568,7842,4087,43,43,15,25,10,0,15,3,0,15
75,qm,red,6055,7702,7910,38,38,15,23,2,18,3,0,0,15
75,qm,blue,6404,3039,6586,56,56,12,31,4,18,9,13,0,12
76,qm,red,7655,3011,7123,27,27,9,8,2,0,6,10,0,9
76,qm,blue,7868,1723,3937,60,60,12,42,12,21,9,6,0,12
77,qm,red,6186,7908,6886,30,30,9,21,0,3,18,0,0,9
77,qm,blue,6840,1982,7846,42,42,9,23,2,15,6,10,0,9
78,qm,red,5002,3991,5437,43,43,12,31,10,15,6,0,0,12
78,qm,blue,5965,7483,4603,44,44,15,29,2,18,9,0,0,15
79,qm,red,5006,4087,323,54,54,15,39,6,21,12,0,0,15
79,qm,blue,7842,6640,7263,51,51,15,26,8,12,6,10,0,15
80,qm,red,7702,7467,6855,19,19,9,10,4,3,3,0,0,9
80,qm,blue,3616,7106,7766,48,48,15,27,6,6,15,6,0,15
81,qm,red,2357,7804,3011,30,30,9,21,0,12,9,0,0,9
81,qm,blue,7430,7896,2080,36,36,12,24,0,18,6,0,0,12
82,qm,red,7846,5454,7767,24,24,9,12,0,6,6,3,0,9
82,qm,blue,7568,6055,1723,24,24,15,9,0,0,9,0,0,15
83,qm,red,7910,7255,4336,34,34,15,19,10,0,9,0,0,15
83,qm,blue,5809,7868,5002,24,24,12,12,6,0,6,0,0,12
84,qm,red,3937,6586,5568,60,60,12,48,12,30,6,0,0,12
84,qm,blue,6186,6131,1939,46,46,15,31,4,18,9,0,0,15
85,qm,red,7459,7075,7908,24,24,6,18,6,6,6,0,0,6
85,qm,blue,2164,6886,5965,53,53,15,38,2,18,18,0,0,15
86,qm,red,6404,7798,7655,19,19,12,7,4,0,3,0,0,12
86,qm,blue,4576,6840,3946,6,6,3,3,0,0,3,0,0,3
87,qm,red,3039,2992,1982,59,59,15,44,14,9,21,0,0,15
87,qm,blue,7123,7878,5729,19,19,6,10,4,0,6,3,0,6
1,qf,red,3937,5006,1982,66,66,12,54,12,27,15,0,0,12
1,qf,blue,7766,6586,5568,38,38,15,20,8,6,6,3,0,15
2,qf,red,3937,5006,1982,69,69,6,60,12,30,18,3,0,6
2,qf,blue,7766,6586,5568,32,32,15,14,8,0,6,3,0,15
1,qf,red,5437,3616,5002,33,33,9,24,12,6,6,0,0,9
1,qf,blue,7767,4087,4603,62,62,15,47,8,21,18,0,0,15
2,qf,red,5437,3616,5002,45,45,12,30,12,12,6,3,0,12
2,qf,blue,7767,4087,4603,66,66,15,51,6,27,18,0,0,15
1,qf,red,1939,323,6131,68,68,15,47,8,27,12,6,0,15
1,qf,blue,3991,6886,2164,42,42,15,27,6,15,6,0,0,15
2,qf,red,1939,323,6131,46,46,15,31,4,18,9,0,0,15
2,qf,blue,3991,6886,2164,58,58,15,43,4,24,15,0,0,15
3,qf,red,1939,323,6131,72,72,15,45,6,21,18,12,0,15
3,qf,blue,3991,6886,2164,58,58,15,43,4,21,18,0,0,15
1,qf,red,2992,3039,2080,41,41,15,26,2,12,12,0,0,15
1,qf,blue,4336,6640,6055,51,51,15,36,18,9,9,0,0,15
2,qf,red,2992,3039,2080,61,61,15,46,4,21,21,0,0,15
2,qf,blue,4336,6640,6055,48,48,15,33,18,6,9,0,0,15
3,qf,red,2992,3039,2080,62,62,15,47,8,18,21,0,0,15
3,qf,blue,4336,6640,6055,44,44,15,29,14,6,9,0,0,15
1,sf,red,3937,5006,1982,63,63,12,42,6,18,18,9,0,12
1,sf,blue,7767,4087,4603,65,65,15,50,8,24,18,0,0,15
2,sf,red,3937,5006,1982,34,34,6,28,4,9,15,0,0,6
2,sf,blue,7767,4087,4603,61,61,15,46,10,30,6,0,0,15
1,sf,red,1939,323,6131,67,67,15,52,10,24,18,0,0,15
1,sf,blue,2992,3039,2080,69,69,15,54,12,24,18,0,0,15
2,sf,red,1939,323,6131,61,61,15,43,10,15,18,3,0,15
2,sf,blue,2992,3039,2080,68,68,15,53,8,24,21,0,0,15
1,f,red,7767,4087,4603,49,49,15,34,4,15,15,0,0,15
1,f,blue,2992,3039,2080,66,66,15,51,6,24,21,0,0,15
2,f,red,7767,4087,4603,43,43,15,28,4,15,9,0,0,15
2,f,blue,2992,3039,2080,80,80,15,52,10,21,21,13,0,15
