match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6510,7641,5516,23,23,6,17,2,0,15,0,0,6
1,qm,blue,4613,7644,7278,46,46,3,21,0,12,9,22,0,3
2,qm,red,7526,4802,7632,34,34,15,19,10,3,6,0,0,15
2,qm,blue,7523,4801,7527,41,41,6,32,8,15,9,3,0,6
3,qm,red,7128,4253,3881,41,41,12,29,2,18,9,0,0,12
3,qm,blue,7433,5308,7719,37,37,3,18,0,12,6,16,0,3
4,qm,red,5985,3132,4817,46,46,9,37,16,12,9,0,0,9
4,qm,blue,7130,6520,4774,45,45,9,36,6,21,9,0,0,9
5,qm,red,7163,6191,6996,32,32,15,17,8,0,9,0,0,15
5,qm,blue,6434,5449,7636,32,32,3,26,2,9,15,3,0,3
6,qm,red,7583,6083,6579,51,51,15,33,12,12,9,3,0,15
6,qm,blue,7124,6986,7593,53,53,12,38,8,12,18,3,0,12
7,qm,red,5593,7278,6050,41,41,6,22,4,0,18,13,0,6
7,qm,blue,5451,7023,4253,47,47,12,35,8,21,6,0,0,12
8,qm,red,5449,7719,7644,17,17,9,8,2,0,6,0,0,9
8,qm,blue,6996,7527,7641,40,40,15,25,4,15,6,0,0,15
9,qm,red,5985,7523,7632,62,62,15,44,8,18,18,3,0,15
9,qm,blue,6579,5516,4817,33,33,9,25,10,9,6,0,-1,9
10,qm,red,7163,5308,5451,45,45,12,33,6,9,18,0,0,12
10,qm,blue,6083,4613,7526,90,90,12,55,10,27,18,23,0,12
11,qm,red,6510,6434,7130,61,61,12,49,4,24,21,0,0,12
11,qm,blue,7433,6050,7128,35,35,9,26,2,9,15,0,0,9
12,qm,red,7124,4801,3881,23,23,9,11,8,3,0,3,0,9
12,qm,blue,7593,4774,7636,49,49,15,31,4,15,12,3,0,15
13,qm,red,6191,7023,5593,38,38,12,26,2,9,15,0,0,12
13,qm,blue,6986,4802,6520,52,52,9,33,0,15,18,10,0,9
14,qm,red,7526,7583,7527,46,46,15,28,10,15,3,3,0,15
14,qm,blue,3132,6996,6050,23,23,12,11,2,0,9,0,0,12
15,qm,red,6579,7124,7636,38,38,9,29,8,18,3,0,0,9
15,qm,blue,5308,7641,7128,20,20,9,11,2,0,9,0,0,9
16,qm,red,4802,6434,6191,18,18,9,9,0,3,6,0,0,9
16,qm,blue,4253,7593,7523,47,47,15,32,2,21,9,0,0,15
17,qm,red,7130,7719,5516,52,52,15,34,4,18,12,3,0,15
17,qm,blue,7023,6083,7163,50,50,6,41,8,24,9,3,0,6
18,qm,red,7632,6510,7583,50,50,15,35,2,15,18,0,0,15
18,qm,blue,5451,6520,5985,57,57,12,45,12,12,21,0,0,12
19,qm,red,4774,3132,5449,27,27,6,18,6,9,3,3,0,6
19,qm,blue,6986,7278,7433,47,47,9,38,2,15,21,0,0,9
20,qm,red,4801,4817,7644,18,18,9,9,0,0,9,0,0,9
20,qm,blue,5593,3881,4613,58,58,12,24,6,0,18,22,0,12
21,qm,red,4253,7636,5516,34,34,9,25,4,15,6,0,0,9
21,qm,blue,6050,6083,5451,50,50,12,38,8,12,18,0,0,12
22,qm,red,7719,7641,7526,44,44,15,29,8,15,6,0,0,15
22,qm,blue,7130,7632,7124,58,58,15,43,10,15,18,0,0,15
23,qm,red,4613,5449,7593,48,48,12,33,6,9,18,3,0,12
23,qm,blue,3132,5593,7128,48,48,12,33,12,15,6,3,0,12
24,qm,red,6579,7527,7163,48,48,12,33,6,21,6,3,0,12
24,qm,blue,5308,6510,6191,24,24,6,18,6,6,6,0,0,6
25,qm,red,7644,7583,3881,35,35,9,20,8,9,3,6,0,9
25,qm,blue,7278,5985,6434,64,64,12,52,10,24,18,0,0,12
26,qm,red,6996,7023,4802,16,16,6,10,4,0,6,0,0,6
26,qm,blue,4817,4774,7433,63,63,12,51,6,24,21,0,0,12
27,qm,red,6986,7523,6510,56,56,9,47,8,18,21,0,0,9
27,qm,blue,6520,7641,4801,24,24,12,12,0,6,6,0,0,12
28,qm,red,7526,5593,6579,62,62,15,47,14,15,18,0,0,15
28,qm,blue,3881,5516,7278,40,40,9,31,4,18,9,0,0,9
29,qm,red,6996,5451,7433,63,63,12,48,12,18,18,3,0,12
29,qm,blue,7719,5985,7163,52,52,15,37,10,9,18,0,0,15
30,qm,red,3132,5308,6083,47,47,12,35,14,15,6,0,0,12
30,qm,blue,6050,7644,4802,11,11,3,5,2,0,3,3,0,3
31,qm,red,7527,4613,4817,56,56,3,50,8,24,18,3,0,3
31,qm,blue,7583,7130,6986,63,63,15,48,6,21,21,0,0,15
32,qm,red,4253,5449,4801,40,40,6,25,4,12,9,9,0,6
32,qm,blue,7023,7124,6434,46,46,15,31,10,12,9,0,0,15
33,qm,red,6191,6520,7523,50,50,9,38,8,21,9,3,0,9
33,qm,blue,4774,7128,7632,53,53,9,41,2,21,18,3,0,9
34,qm,red,7636,7527,5451,54,54,12,39,6,15,18,3,0,12
34,qm,blue,7593,4802,6579,46,46,6,28,4,18,6,12,0,6
35,qm,red,7641,7124,5593,44,44,15,29,8,3,18,0,0,15
