match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6408,359,6390,62,62,9,53,8,27,18,0,0,9
1,qm,blue,7796,7170,6485,47,47,9,38,8,12,18,0,0,9
2,qm,red,6364,846,7158,32,32,6,26,8,12,6,0,0,6
2,qm,blue,7498,6719,7781,32,32,3,29,8,15,6,0,0,3
3,qm,red,2122,6486,7787,25,25,6,19,4,9,6,0,0,6
3,qm,blue,7805,6458,1452,20,20,6,14,2,3,9,0,0,6
4,qm,red,5597,7173,4627,29,29,6,23,2,21,0,0,0,6
4,qm,blue,7167,6351,2594,23,23,3,20,8,9,3,0,0,3
5,qm,red,4625,5118,7190,33,33,9,24,0,18,6,0,0,9
5,qm,blue,1482,7688,2438,16,16,6,10,4,3,3,0,0,6
6,qm,red,7135,2444,4334,49,49,12,37,4,24,9,0,0,12
6,qm,blue,7169,7287,7805,37,37,6,28,4,21,3,3,0,6
7,qm,red,7787,7173,7688,15,15,6,9,0,0,9,0,0,6
7,qm,blue,846,7498,7796,50,50,9,41,8,27,6,0,0,9
8,qm,red,6485,6719,2594,39,39,9,30,6,6,18,0,0,9
8,qm,blue,4625,1452,6390,27,27,12,15,0,6,9,0,0,12
9,qm,red,7170,7169,2444,54,54,9,45,12,24,9,0,0,9
9,qm,blue,7190,5597,7158,24,24,6,18,0,9,9,0,0,6
10,qm,red,359,2438,5118,61,61,12,43,4,21,18,6,0,12
10,qm,blue,2122,4334,4627,45,45,15,30,6,18,6,0,0,15
11,qm,red,7781,7167,6364,39,39,3,36,6,24,6,0,0,3
11,qm,blue,7287,6408,6486,33,33,12,18,12,0,6,3,0,12
12,qm,red,6351,6458,2438,26,26,6,20,2,9,9,0,0,6
12,qm,blue,7135,2594,1482,24,24,6,18,6,6,6,0,0,6
13,qm,red,6408,846,4627,39,39,15,21,6,6,9,3,0,15
13,qm,blue,7190,2444,7787,27,27,9,15,0,6,9,3,0,9
14,qm,red,7169,1452,6719,30,30,6,24,12,6,6,0,0,6
14,qm,blue,4334,6485,7173,63,63,15,45,6,24,15,3,0,15
15,qm,red,6486,1482,5118,20,20,9,11,2,3,6,0,0,9
15,qm,blue,7287,2122,4625,23,23,9,14,2,9,3,0,0,9
16,qm,red,6351,5597,7498,37,37,6,31,4,21,6,0,0,6
16,qm,blue,7781,7805,359,42,42,9,33,6,18,9,0,0,9
17,qm,red,7688,7135,7170,28,28,9,19,10,3,6,0,0,9
17,qm,blue,6390,6458,7158,46,46,12,34,4,21,9,0,0,12
18,qm,red,7796,7167,4625,39,39,15,18,0,9,9,6,0,15
18,qm,blue,6364,6351,7190,52,52,12,34,4,21,9,6,0,12
19,qm,red,5597,2594,7170,39,39,9,30,12,9,9,0,0,9
19,qm,blue,7787,7287,7158,25,25,6,19,4,9,6,0,0,6
20,qm,red,1452,4627,7167,49,49,12,37,4,21,12,0,0,12
20,qm,blue,7498,7688,2444,43,43,12,31,4,21,6,0,0,12
21,qm,red,5118,7135,6485,50,50,9,29,8,12,9,12,0,9
21,qm,blue,7173,7781,6458,35,35,15,17,2,6,9,3,0,15
22,qm,red,6390,7796,7169,45,45,12,27,6,15,6,6,0,12
22,qm,blue,2122,7805,6719,31,31,6,25,4,12,9,0,0,6
23,qm,red,846,359,4334,75,75,12,63,12,33,18,0,0,12
23,qm,blue,1482,6364,6408,52,52,15,34,4,24,6,3,0,15
24,qm,red,2438,7135,7787,30,30,12,18,0,6,12,0,0,12
24,qm,blue,6486,6719,2444,17,17,9,8,2,0,6,0,0,9
25,qm,red,6408,7805,7688,25,25,9,16,10,0,6,0,0,9
25,qm,blue,2594,6364,7173,45,45,9,36,12,15,9,0,0,9
26,qm,red,7158,359,1452,79,79,9,61,10,30,21,9,0,9
26,qm,blue,7796,2438,7287,17,17,9,8,2,3,3,0,0,9
27,qm,red,1482,7781,6390,46,46,15,28,4,18,6,3,0,15
27,qm,blue,4627,7498,7169,61,61,15,46,10,24,12,0,0,15
28,qm,red,6486,7167,5597,23,23,12,11,2,3,6,0,0,12
28,qm,blue,6458,6485,846,53,53,15,38,2,18,18,0,0,15
29,qm,red,4334,7190,7170,57,57,12,42,6,27,9,3,0,12
29,qm,blue,5118,6351,2122,42,42,6,36,6,24,6,0,0,6
30,qm,red,4625,7688,5597,41,41,12,11,2,3,6,18,0,12
30,qm,blue,7135,6408,7169,40,40,9,31,4,21,6,0,0,9
31,qm,red,6485,7158,7805,59,59,12,47,8,21,18,0,0,12
31,qm,blue,7167,1482,4334,59,59,15,38,8,21,9,6,0,15
32,qm,red,6364,1452,7287,53,53,6,44,8,27,9,3,0,6
32,qm,blue,6390,5118,4627,44,44,3,29,2,18,9,12,0,3
33,qm,red,7781,7796,7190,48,48,15,30,6,18,6,3,0,15
33,qm,blue,6458,4625,7787,30,30,15,15,0,6,9,0,0,15
34,qm,red,2438,2594,7498,57,57,15,36,6,18,12,6,0,15
34,qm,blue,359,7170,6719,55,55,9,46,4,24,18,0,0,9
35,qm,red,2444,2122,846,40,40,6,34,10,15,9,0,0,6
35,qm,blue,6351,6486,7173,41,41,12,23,8,9,6,6,0,12
36,qm,red,7787,4627,7805,42,42,12,30,0,18,12,0,0,12
36,qm,blue,7688,7158,5118,43,43,9,18,6,3,9,16,0,9
37,qm,red,7173,6408,7167,51,51,12,39,6,24,9,0,0,12
37,qm,blue,2438,7781,7169,44,44,9,35,8,15,12,0,0,9
38,qm,red,6351,7287,846,52,52,12,40,10,21,9,0,0,12
38,qm,blue,7190,6719,6458,46,46,12,34,4,21,9,0,0,12
39,qm,red,7135,7498,6486,42,42,15,27,0,18,9,0,0,15
39,qm,blue,4334,7796,5597,40,40,12,25,4,18,3,3,0,12
40,qm,red,2444,6390,6364,26,26,3,23,2,21,0,0,0,3
40,qm,blue,359,6485,1482,73,73,15,58,16,24,18,0,0,15
41,qm,red,1452,7170,2122,50,50,9,41,8,24,9,0,0,9
41,qm,blue,2594,4625,6408,40,40,15,22,4,12,6,3,0,15
42,qm,red,7787,4334,6351,58,58,12,37,4,24,9,9,0,12
42,qm,blue,7167,6390,7688,51,51,12,39,6,24,9,0,0,12
43,qm,red,7173,7190,1452,48,48,12,33,6,21,6,3,0,12
43,qm,blue,359,5597,6458,50,50,6,41,2,21,18,3,0,6
44,qm,red,7158,1482,2122,43,43,6,37,4,24,9,0,0,6
44,qm,blue,6364,4625,7135,48,48,9,39,6,27,6,0,0,9
45,qm,red,7498,7170,7287,52,52,15,37,4,24,9,0,0,15
45,qm,blue,7805,2438,6486,30,30,9,15,0,3,12,6,0,9
46,qm,red,2444,7796,5118,33,33,15,18,0,0,18,0,0,15
46,qm,blue,2594,846,7781,61,61,12,43,10,24,9,6,0,12
47,qm,red,7169,6485,7167,51,51,12,39,6,21,12,0,0,12
47,qm,blue,6719,4627,7135,43,43,9,34,4,21,9,0,0,9
48,qm,red,7805,6390,6351,38,38,9,29,2,18,9,0,0,9
48,qm,blue,6408,5118,1452,38,38,9,26,8,9,9,3,0,9
49,qm,red,2438,2122,7190,49,49,15,34,4,18,12,0,0,15
49,qm,blue,6485,7787,7781,62,62,15,47,8,21,18,0,0,15
50,qm,red,6719,7173,7796,26,26,9,17,2,9,6,0,0,9
50,qm,blue,7287,2444,1482,15,15,6,6,0,3,3,3,0,6
51,qm,red,6458,7169,2594,43,43,12,28,10,15,3,3,0,12
51,qm,blue,7498,6364,4334,56,56,15,41,8,27,6,0,0,15
52,qm,red,4627,7688,359,56,56,15,38,8,21,9,3,0,15
52,qm,blue,6486,7158,4625,32,32,15,14,2,3,9,3,0,15
53,qm,red,5597,846,1482,49,49,12,37,4,15,18,0,0,12
53,qm,blue,7170,6390,2438,62,62,12,38,8,18,12,12,0,12
54,qm,red,6719,7787,5118,52,52,15,27,0,18,9,10,0,15
54,qm,blue,7167,7135,359,65,65,12,50,8,24,18,3,0,12
55,qm,red,846,7190,6486,52,52,12,31,10,15,6,9,0,12
55,qm,blue,1452,2594,7796,41,41,12,26,2,15,9,3,0,12
56,qm,red,6458,6408,7498,44,44,15,29,2,21,6,0,0,15
56,qm,blue,2444,7158,6351,44,44,9,32,8,15,9,3,0,9
57,qm,red,5597,7287,6485,42,42,12,24,0,18,6,6,0,12
57,qm,blue,7688,7169,2122,59,59,12,47,8,30,9,0,0,12
58,qm,red,7781,4334,4625,56,56,15,41,8,24,9,0,0,15
58,qm,blue,7805,7173,7170,25,25,9,10,4,0,6,6,0,9
59,qm,red,2122,6458,6364,58,58,12,37,4,24,9,9,0,12
59,qm,blue,4627,2444,2438,41,41,12,29,2,15,12,0,0,12
60,qm,red,7190,1482,7805,45,45,15,24,6,12,6,6,0,15
60,qm,blue,1452,846,7135,47,47,12,35,2,15,18,0,0,12
61,qm,red,7169,6364,359,73,73,9,64,16,33,15,0,0,9
61,qm,blue,7170,7787,7167,51,51,12,39,6,24,9,0,0,12
62,qm,red,7158,7498,7173,57,57,12,39,6,27,6,6,0,12
62,qm,blue,6485,6486,6390,57,57,15,42,6,18,18,0,0,15
63,qm,red,6719,4334,7688,53,53,15,38,8,21,9,0,0,15
63,qm,blue,5118,7781,5597,41,41,15,20,2,9,9,6,0,15
64,qm,red,7287,4627,2594,41,41,9,29,2,15,12,3,0,9
64,qm,blue,7796,6351,6408,43,43,15,28,4,15,9,0,0,15
65,qm,red,4625,2444,6485,59,59,15,41,2,21,18,3,0,15
65,qm,blue,5118,7169,846,61,61,12,46,10,21,15,3,0,12
1,qf,red,7498,359,7796,81,81,15,63,12,33,18,3,0,15
1,qf,blue,2122,7170,6458,46,46,12,34,10,18,6,0,0,12
2,qf,red,7498,359,7796,79,79,15,58,10,30,18,6,0,15
2,qf,blue,2122,7170,6458,53,53,12,38,8,15,15,3,0,12
1,qf,red,7190,4334,2444,65,65,15,32,2,12,18,18,0,15
1,qf,blue,6486,7135,7158,41,41,15,26,2,15,9,0,0,15
2,qf,red,7190,4334,2444,44,44,15,29,2,9,18,0,0,15
2,qf,blue,6486,7135,7158,32,32,15,17,2,6,9,0,0,15
1,qf,red,6364,846,4627,67,67,12,55,10,27,18,0,0,12
1,qf,blue,7167,7781,6390,56,56,15,41,8,24,9,0,0,15
2,qf,red,6364,846,4627,64,64,12,52,10,30,12,0,0,12
2,qf,blue,7167,7781,6390,35,35,15,14,2,9,3,6,0,15
1,qf,red,7169,6485,2438,66,66,15,45,6,24,15,6,0,15
1,qf,blue,2594,6351,1452,50,50,9,38,8,21,9,3,0,9
2,qf,red,7169,6485,2438,68,68,15,53,8,24,21,0,0,15
2,qf,blue,2594,6351,1452,50,50,9,41,8,24,9,0,0,9
1,sf,red,7498,359,7796,77,77,15,56,8,30,18,6,0,15
1,sf,blue,7190,4334,2444,53,53,15,35,2,18,15,3,0,15
