match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3495,1351,1671,21,21,9,12,6,0,6,0,0,9
1,qm,blue,6305,7057,7663,31,31,6,12,6,0,6,13,0,6
2,qm,red,5274,6657,1280,26,26,12,14,2,6,6,0,0,12
2,qm,blue,5134,1323,6711,31,31,6,25,10,15,0,0,0,6
3,qm,red,6926,6884,5817,23,23,9,14,2,3,9,0,0,9
3,qm,blue,2489,6804,4698,28,28,6,22,10,6,6,0,0,6
4,qm,red,3189,7589,3303,54,54,9,36,6,21,9,9,0,9
4,qm,blue,5104,4135,5461,46,46,9,34,4,12,18,3,0,9
5,qm,red,701,751,6506,44,44,12,23,2,18,3,9,0,12
5,qm,blue,1072,3669,7413,37,37,15,22,4,18,0,0,0,15
6,qm,red,766,5458,1422,34,34,9,22,16,0,6,3,0,9
6,qm,blue,1388,1662,2135,30,30,6,24,6,3,15,0,0,6
7,qm,red,5728,3257,2085,44,44,15,29,2,21,6,0,0,15
7,qm,blue,2854,3970,585,18,18,3,15,0,9,6,0,0,3
8,qm,red,5852,5026,2813,35,35,9,26,2,6,18,0,0,9
8,qm,blue,1967,6981,6241,6,6,3,3,0,0,3,0,0,3
9,qm,red,1678,6804,6884,77,77,12,65,14,33,18,0,0,12
9,qm,blue,7589,1072,1280,57,57,9,38,8,24,6,10,0,9
10,qm,red,6926,3495,1422,44,44,15,14,2,3,9,15,0,15
10,qm,blue,5461,1323,1671,57,57,9,48,12,18,18,0,0,9
11,qm,red,6506,3257,1388,35,35,15,17,2,9,6,3,0,15
11,qm,blue,2489,5817,7663,26,26,6,14,8,0,6,6,0,6
12,qm,red,5458,585,1967,15,15,9,6,0,0,6,0,0,9
12,qm,blue,5026,3970,3189,52,52,12,40,10,9,21,0,0,12
13,qm,red,4135,2135,1351,32,32,15,14,2,6,6,3,0,15
13,qm,blue,6657,2085,2813,38,38,12,26,8,15,3,0,0,12
14,qm,red,5274,766,6981,26,26,9,17,8,3,6,0,0,9
14,qm,blue,5104,1678,3303,75,75,15,40,10,24,6,20,0,15
15,qm,red,2854,751,5728,27,27,15,9,0,3,6,3,0,15
15,qm,blue,1662,701,6711,55,55,12,40,4,18,18,3,0,12
16,qm,red,4698,5134,6305,26,26,15,11,2,0,9,0,0,15
16,qm,blue,7413,6241,5852,21,21,9,12,0,6,6,0,0,9
17,qm,red,585,7057,7589,38,38,9,26,2,18,6,3,0,9
17,qm,blue,1967,3669,1323,96,96,12,57,12,27,18,27,0,12
18,qm,red,6657,1351,2489,35,35,9,23,8,9,6,3,0,9
18,qm,blue,6981,1072,5104,37,37,9,28,4,18,6,0,0,9
19,qm,red,751,7663,5274,20,20,12,8,2,0,6,0,0,12
19,qm,blue,5728,5458,5026,62,62,15,47,8,21,18,0,0,15
20,qm,red,5852,4135,701,41,41,15,20,2,9,9,6,0,15
20,qm,blue,3970,6804,2135,40,40,15,22,4,9,9,3,0,15
21,qm,red,766,4698,1388,59,59,15,41,8,24,9,3,0,15
21,qm,blue,6711,6305,3669,17,17,12,5,2,0,3,0,0,12
22,qm,red,7057,1662,2085,49,49,12,37,4,18,15,0,0,12
22,qm,blue,6506,7413,6926,39,39,15,24,0,12,12,0,0,15
23,qm,red,2813,1671,5134,47,47,15,29,8,3,18,3,0,15
23,qm,blue,3189,1678,5817,32,32,6,26,2,12,12,0,0,6
24,qm,red,3303,6884,3495,40,40,9,31,4,18,9,0,0,9
24,qm,blue,1422,2854,3257,46,46,15,31,4,15,12,0,0,15
25,qm,red,6241,1072,5461,35,35,15,20,2,9,9,0,0,15
25,qm,blue,1280,585,6711,26,26,12,14,2,3,9,0,0,12
26,qm,red,5274,7589,6506,44,44,12,32,2,21,9,0,0,12
26,qm,blue,3970,6926,751,31,31,15,13,4,6,3,3,0,15
27,qm,red,7663,1662,1323,64,64,12,52,10,27,15,0,0,12
27,qm,blue,2135,4698,3189,50,50,15,23,8,9,6,12,0,15
28,qm,red,2085,6305,5104,57,57,15,36,0,18,18,6,0,15
28,qm,blue,1678,1967,3257,95,95,12,55,16,18,21,28,0,12
29,qm,red,1351,1280,5817,36,36,6,30,6,18,6,0,0,6
29,qm,blue,701,3303,2854,51,51,15,36,6,24,6,0,0,15
30,qm,red,6241,3495,2813,43,43,15,28,10,12,6,0,0,15
30,qm,blue,6884,5134,766,32,32,9,20,2,15,3,3,0,9
31,qm,red,7413,5728,7057,47,47,12,29,2,21,6,6,0,12
31,qm,blue,6981,1388,6804,39,39,12,27,6,3,18,0,0,12
32,qm,red,3669,1671,4135,32,32,15,14,8,0,6,3,0,15
32,qm,blue,2489,5852,5458,62,62,15,14,2,3,9,33,0,15
33,qm,red,1422,5461,1662,29,29,9,20,8,6,6,0,0,9
33,qm,blue,6657,5026,1678,82,82,12,70,16,36,18,0,0,12
34,qm,red,6241,5274,3189,12,12,6,6,0,0,6,0,0,6
34,qm,blue,1351,3257,7589,34,34,12,22,4,12,6,0,0,12
35,qm,red,2135,6305,3303,54,54,9,39,6,21,12,6,0,9
35,qm,blue,5134,6926,5728,38,38,12,26,2,15,9,0,0,12
36,qm,red,4698,1280,5458,42,42,15,27,6,12,9,0,0,15
36,qm,blue,7057,2813,6506,29,29,12,17,2,9,6,0,0,12
37,qm,red,2085,766,2489,48,48,12,36,6,21,9,0,0,12
37,qm,blue,751,5852,5461,32,32,15,14,2,0,12,3,0,15
38,qm,red,5104,6711,1422,29,29,9,20,2,0,18,0,0,9
38,qm,blue,6804,5817,1072,54,54,15,36,6,21,9,3,0,15
39,qm,red,6657,1967,701,49,49,9,37,4,24,9,3,0,9
39,qm,blue,7663,1388,1671,33,33,15,18,0,12,6,0,0,15
40,qm,red,7413,6981,585,42,42,12,8,2,0,6,22,0,12
40,qm,blue,4135,3495,2854,32,32,12,20,2,9,9,0,0,12
41,qm,red,6884,3669,3970,45,45,15,30,6,21,3,0,0,15
41,qm,blue,1323,5026,6926,62,62,15,47,14,15,18,0,0,15
42,qm,red,5461,2813,6804,45,45,15,30,6,9,15,0,0,15
42,qm,blue,3257,7057,5274,31,31,12,19,4,0,15,0,0,12
43,qm,red,1967,7663,5852,24,24,9,15,0,9,6,0,0,9
43,qm,blue,1662,3303,1280,55,55,12,43,4,21,18,0,0,12
44,qm,red,5728,4698,4135,46,46,15,31,4,18,9,0,0,15
44,qm,blue,1072,1678,1351,72,72,12,47,8,24,15,13,0,12
45,qm,red,6506,2489,3970,62,62,15,38,8,24,6,9,0,15
45,qm,blue,766,3189,6657,37,37,9,28,4,21,3,0,0,9
46,qm,red,6711,7413,5026,56,56,15,38,2,18,18,3,0,15
46,qm,blue,1671,2135,7589,30,30,15,15,0,9,6,0,0,15
47,qm,red,1323,6981,2854,74,74,12,42,12,12,18,20,0,12
47,qm,blue,5458,701,6305,29,29,12,14,8,6,0,3,0,12
48,qm,red,585,5134,751,21,21,15,6,0,3,3,0,0,15
48,qm,blue,1388,1422,6884,55,55,15,30,6,6,18,10,0,15
49,qm,red,5104,5817,3495,64,64,15,33,0,15,18,16,0,15
49,qm,blue,2085,6241,3669,44,44,15,26,2,18,6,3,0,15
50,qm,red,6711,3303,6926,37,37,15,22,4,12,6,0,0,15
50,qm,blue,2813,3970,7413,52,52,12,31,4,21,6,9,0,12
51,qm,red,1280,2135,2854,42,42,15,27,0,18,9,0,0,15
51,qm,blue,1671,5274,2489,45,45,15,30,6,9,15,0,0,15
52,qm,red,7663,1351,585,55,55,12,33,6,21,6,10,0,12
52,qm,blue,7589,766,6804,49,49,12,34,10,18,6,3,0,12
53,qm,red,1072,5728,1662,46,46,15,31,4,12,15,0,0,15
53,qm,blue,3257,3495,5461,62,62,12,30,6,12,12,20,0,12
54,qm,red,1323,6506,1678,89,89,9,64,16,33,15,16,0,9
54,qm,blue,5026,1388,6241,39,39,15,18,0,9,9,6,0,15
55,qm,red,1422,3189,5134,38,38,12,23,2,15,6,3,0,12
55,qm,blue,2085,4698,6981,49,49,9,24,0,18,6,16,0,9
56,qm,red,701,6884,7057,39,39,9,30,6,21,3,0,0,9
56,qm,blue,6657,5852,5104,38,38,6,29,2,21,6,3,0,6
57,qm,red,5817,6305,1967,44,44,15,29,2,18,9,0,0,15
57,qm,blue,5458,751,4135,46,46,12,31,10,15,6,3,0,12
58,qm,red,3669,1388,5728,38,38,15,23,2,6,15,0,0,15
58,qm,blue,7663,1280,2813,50,50,15,35,8,18,9,0,0,15
59,qm,red,3257,7413,2489,45,45,15,30,12,9,9,0,0,15
59,qm,blue,1323,1422,1351,76,76,12,64,16,30,18,0,0,12
60,qm,red,6804,6711,5852,40,40,9,25,4,12,9,6,0,9
60,qm,blue,3495,3189,6506,21,21,6,12,0,6,6,3,0,6
61,qm,red,3303,6657,1072,42,42,15,15,0,15,0,12,0,15
61,qm,blue,7589,5458,2085,51,51,12,39,6,24,9,0,0,12
62,qm,red,5026,1967,4698,53,53,15,35,2,18,15,3,0,15
62,qm,blue,2854,5104,766,44,44,9,35,14,15,6,0,0,9
63,qm,red,6926,701,2135,59,59,12,27,0,18,9,20,0,12
63,qm,blue,585,6241,1678,88,88,15,53,14,21,18,20,0,15
64,qm,red,1662,5274,3669,20,20,9,5,2,3,0,6,0,9
64,qm,blue,6884,4135,6305,44,44,15,29,14,6,9,0,0,15
65,qm,red,3970,5461,6981,41,41,15,26,2,18,6,0,0,15
65,qm,blue,1671,5817,751,48,48,15,23,2,12,9,10,0,15
66,qm,red,7057,2489,1072,54,54,12,42,12,24,6,0,0,12
66,qm,blue,3303,5026,5134,70,70,15,55,10,27,18,0,0,15
