match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3021,5627,2637,5,5,3,2,2,0,0,0,0,3
1,qm,blue,6885,1266,2658,32,32,9,23,2,6,15,0,0,9
2,qm,red,7441,4919,3245,14,14,3,8,2,0,6,3,0,3
2,qm,blue,2710,3704,498,24,24,12,9,0,3,6,3,0,12
3,qm,red,5514,5477,2443,36,36,9,27,6,15,6,0,0,9
3,qm,blue,6995,1622,3749,42,42,15,21,6,12,3,6,0,15
4,qm,red,6695,1538,3965,29,29,6,23,2,18,3,0,0,6
4,qm,blue,4481,2839,2485,67,67,12,45,18,12,15,10,0,12
5,qm,red,1572,4585,7415,27,27,3,24,0,18,6,0,0,3
5,qm,blue,6659,3647,4139,39,39,9,30,6,18,6,0,0,9
6,qm,red,2984,4486,4616,28,28,9,16,4,9,3,3,0,9
6,qm,blue,4160,4014,5933,26,26,12,14,2,9,3,0,0,12
7,qm,red,987,4583,2853,59,59,12,47,14,27,6,0,0,12
7,qm,blue,4322,6960,6904,21,21,6,15,0,15,0,0,0,6
8,qm,red,6668,3128,7626,30,30,12,12,6,3,3,6,0,12
8,qm,blue,7441,2827,812,46,46,6,24,6,6,12,16,0,6
9,qm,red,6995,6659,2443,35,35,9,26,8,12,6,0,0,9
9,qm,blue,5933,2839,4486,66,66,12,38,14,18,6,16,0,12
10,qm,red,3647,3749,2853,31,31,15,16,4,6,6,0,0,15
10,qm,blue,4616,3245,3965,18,18,6,12,0,3,9,0,0,6
11,qm,red,5477,4160,1266,38,38,9,29,8,15,6,0,0,9
11,qm,blue,6904,4481,6885,39,39,3,36,12,9,15,0,0,3
12,qm,red,4583,2984,4139,36,36,15,21,0,3,18,0,0,15
12,qm,blue,4919,6668,5514,28,28,6,19,4,9,6,3,0,6
13,qm,red,812,3021,1572,49,49,9,40,4,18,18,0,0,9
13,qm,blue,2710,4322,6695,30,30,6,18,0,15,3,6,0,6
14,qm,red,3704,5627,987,68,68,9,47,2,18,27,12,0,9
14,qm,blue,1622,2827,1538,24,24,15,9,0,3,6,0,0,15
15,qm,red,2637,2658,4014,36,36,9,21,0,15,6,6,0,9
15,qm,blue,498,7415,6960,42,42,12,18,0,12,6,12,0,12
