match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5856,4572,3461,27,27,9,12,6,3,3,6,0,9
1,qm,blue,4653,1071,175,31,31,15,16,4,9,3,0,0,15
2,qm,red,5686,7760,4055,11,11,9,2,2,0,0,0,0,9
2,qm,blue,716,1099,4557,34,34,9,22,16,0,6,3,0,9
3,qm,red,3182,237,228,22,22,9,13,10,0,3,0,0,9
3,qm,blue,236,1991,3464,45,45,12,33,6,15,12,0,0,12
4,qm,red,3314,571,176,64,64,12,42,12,12,18,10,0,12
4,qm,blue,3654,181,2170,27,27,15,12,6,0,6,0,0,15
5,qm,red,177,5746,2067,63,63,12,51,6,24,21,0,0,12
5,qm,blue,2836,558,3525,51,51,15,33,6,15,12,3,0,15
6,qm,red,178,2064,839,23,23,12,11,2,6,3,0,0,12
6,qm,blue,999,5142,6723,22,22,9,13,4,0,9,0,0,9
7,qm,red,6346,230,1676,43,43,12,31,16,6,9,0,0,12
7,qm,blue,4653,1124,4097,21,21,9,12,0,9,3,0,0,9
8,qm,red,3464,176,3525,39,39,9,30,12,0,18,0,0,9
8,qm,blue,3314,4572,558,45,45,12,33,6,21,6,0,0,12
9,qm,red,5856,2067,2170,30,30,3,27,6,12,9,0,0,3
9,qm,blue,716,2064,177,55,55,15,40,10,24,6,0,0,15
10,qm,red,5746,228,236,37,37,12,22,4,9,9,3,0,12
10,qm,blue,571,839,1099,48,48,15,33,6,9,18,0,0,15
11,qm,red,5686,230,3461,50,50,12,35,8,18,9,3,0,12
11,qm,blue,1676,3654,2836,52,52,15,37,10,12,15,0,0,15
12,qm,red,7760,3182,4097,18,18,3,15,0,12,3,0,0,3
12,qm,blue,181,5142,1071,48,48,9,39,12,9,18,0,0,9
13,qm,red,6346,4557,4055,40,40,9,31,10,9,12,0,0,9
13,qm,blue,178,999,237,40,40,6,34,10,9,15,0,0,6
14,qm,red,3464,1124,6723,50,50,15,25,10,0,15,10,0,15
14,qm,blue,1991,2067,175,37,37,9,28,4,12,12,0,0,9
15,qm,red,2170,1676,176,64,64,9,45,12,18,15,10,0,9
15,qm,blue,5746,7760,5856,25,25,9,16,4,6,6,0,0,9
16,qm,red,4572,237,2836,42,42,12,30,18,9,3,0,0,12
16,qm,blue,3182,4653,2064,36,36,15,21,0,15,6,0,0,15
17,qm,red,1099,177,1991,54,54,15,29,8,6,15,10,0,15
17,qm,blue,1071,230,839,55,55,9,46,10,18,18,0,0,9
18,qm,red,236,175,5686,47,47,15,32,8,12,12,0,0,15
18,qm,blue,178,3525,3654,28,28,6,22,10,3,9,0,0,6
19,qm,red,558,4055,716,54,54,15,36,6,21,9,3,0,15
19,qm,blue,1124,571,999,21,21,9,12,0,9,3,0,0,9
20,qm,red,228,6723,4557,51,51,12,36,6,15,15,3,0,12
20,qm,blue,4097,3314,5142,34,34,9,19,4,9,6,6,0,9
