match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1795,1002,6177,12,12,6,6,0,0,6,0,0,6
1,qm,blue,5293,6023,7060,32,32,12,17,2,12,3,3,0,12
2,qm,red,3091,4195,5219,0,0,0,0,0,0,0,0,0,0
2,qm,blue,5900,4468,4459,30,30,12,18,6,9,3,0,0,12
3,qm,red,7451,1771,6139,16,16,3,13,4,3,6,0,0,3
3,qm,blue,1311,3344,3581,23,23,15,8,2,0,6,0,0,15
4,qm,red,5332,4026,6712,38,38,6,32,8,9,15,0,0,6
4,qm,blue,3815,5608,4516,25,25,9,16,4,9,3,0,0,9
5,qm,red,3329,4749,5132,22,22,3,19,10,3,6,0,0,3
5,qm,blue,7427,6887,6944,13,13,3,10,4,3,3,0,0,3
6,qm,red,2974,6715,7104,34,34,6,28,16,6,6,0,0,6
6,qm,blue,6341,7883,4910,45,45,15,30,6,15,9,0,0,15
7,qm,red,6705,1771,1311,42,42,15,27,6,18,3,0,0,15
7,qm,blue,4080,6023,6177,12,12,9,3,0,0,3,0,0,9
8,qm,red,1002,6944,7060,28,28,12,16,10,0,6,0,0,12
8,qm,blue,5293,4516,4749,34,34,9,25,4,15,6,0,0,9
9,qm,red,2974,3581,6341,63,63,9,54,18,18,18,0,0,9
9,qm,blue,1795,6715,5132,21,21,6,15,12,0,3,0,0,6
10,qm,red,4026,7104,5219,32,32,9,23,8,0,15,0,0,9
10,qm,blue,7427,4195,4468,22,22,6,16,4,9,3,0,0,6
11,qm,red,3344,3815,3329,38,38,9,29,2,15,12,0,0,9
11,qm,blue,4910,6139,3091,40,40,6,34,4,12,18,0,0,6
12,qm,red,7451,6887,5608,28,28,12,16,4,3,9,0,0,12
12,qm,blue,6705,5900,6712,36,36,9,27,0,18,9,0,0,9
13,qm,red,4459,4080,3581,34,34,12,22,10,3,9,0,0,12
13,qm,blue,5332,7883,1311,35,35,15,20,2,12,6,0,0,15
14,qm,red,6023,5219,4516,15,15,6,9,0,9,0,0,0,6
14,qm,blue,3329,1795,2974,64,64,9,52,16,24,12,3,0,9
15,qm,red,3091,6341,5132,24,24,6,15,6,3,6,3,0,6
15,qm,blue,7104,1771,1002,49,49,15,34,4,12,18,0,0,15
16,qm,red,4459,4910,6944,53,53,15,38,8,12,18,0,0,15
16,qm,blue,7883,6712,7060,18,18,3,15,0,12,3,0,0,3
17,qm,red,3344,4749,4468,43,43,12,31,10,15,6,0,0,12
17,qm,blue,5608,6705,5293,36,36,3,23,2,12,9,10,0,3
18,qm,red,4080,7427,6715,24,24,9,15,6,0,9,0,0,9
18,qm,blue,6177,5900,7451,19,19,9,10,4,0,6,0,0,9
19,qm,red,5332,6139,3815,23,23,6,17,8,3,6,0,0,6
19,qm,blue,6887,4195,4026,46,46,9,37,16,3,18,0,0,9
20,qm,red,6023,1002,6705,43,43,3,40,10,21,9,0,0,3
20,qm,blue,3581,7104,6712,44,44,12,32,8,15,9,0,0,12
21,qm,red,6715,3091,6944,20,20,3,17,8,0,9,0,0,3
21,qm,blue,5608,6177,4749,29,29,12,17,14,0,3,0,0,12
22,qm,red,3344,5900,5132,35,35,12,23,8,9,6,0,0,12
22,qm,blue,3815,7883,4026,49,49,12,37,10,9,18,0,0,12
23,qm,red,4080,4910,1771,52,52,15,37,4,15,18,0,0,15
23,qm,blue,5219,1795,7427,6,6,0,6,6,0,0,0,0,0
24,qm,red,2974,1311,7060,45,45,9,36,12,18,6,0,0,9
24,qm,blue,4468,6887,3329,43,43,12,28,4,12,12,3,0,12
25,qm,red,4516,5332,4195,34,34,6,28,4,15,9,0,0,6
25,qm,blue,6341,7451,5293,38,38,9,26,2,15,9,3,0,9
26,qm,red,7427,6139,7883,34,34,9,25,10,9,6,0,0,9
26,qm,blue,4459,6705,6715,48,48,15,24,6,9,9,9,0,15
27,qm,red,3581,4910,4468,51,51,12,39,12,12,15,0,0,12
27,qm,blue,6177,6944,1771,30,30,15,15,0,6,9,0,0,15
28,qm,red,4749,3815,1795,37,37,15,22,10,3,9,0,0,15
28,qm,blue,5900,1311,1002,51,51,15,36,0,18,18,0,0,15
29,qm,red,7451,3329,4516,28,28,9,19,4,3,12,0,0,9
29,qm,blue,4195,5132,4459,39,39,9,30,18,3,9,0,0,9
30,qm,red,4026,5293,3344,45,45,9,36,0,18,18,0,0,9
30,qm,blue,6712,2974,3091,31,31,6,25,4,18,3,0,0,6
31,qm,red,6139,7060,6887,35,35,9,26,8,6,12,0,0,9
31,qm,blue,5219,6341,5332,36,36,6,30,6,18,6,0,0,6
32,qm,red,4080,5608,1795,27,27,6,21,12,0,9,0,0,6
32,qm,blue,7104,6023,3815,32,32,15,17,2,9,6,0,0,15
33,qm,red,4195,3329,6177,41,41,9,32,2,18,12,0,0,9
33,qm,blue,7883,3344,6705,42,42,15,27,0,18,9,0,0,15
34,qm,red,7060,4026,7451,28,28,6,22,4,0,18,0,0,6
34,qm,blue,4910,5219,5900,34,34,12,22,4,9,9,0,0,12
35,qm,red,1311,7104,4080,32,32,15,17,2,6,9,0,0,15
35,qm,blue,4516,5132,2974,41,41,9,32,14,9,9,0,0,9
36,qm,red,1771,5332,4749,58,58,15,43,4,21,18,0,0,15
36,qm,blue,6715,6712,6139,13,13,3,10,4,0,6,0,0,3
37,qm,red,1002,4459,6341,50,50,15,35,8,18,9,0,0,15
37,qm,blue,4468,5608,6944,39,39,15,24,6,9,9,0,0,15
38,qm,red,3091,5293,6887,33,33,9,24,0,18,6,0,0,9
38,qm,blue,6023,7427,3581,51,51,12,39,12,9,18,0,0,12
39,qm,red,7104,7451,4910,68,68,15,53,8,27,18,0,0,15
39,qm,blue,3329,4080,5332,51,51,9,42,6,24,12,0,0,9
40,qm,red,1771,1795,5900,49,49,15,34,4,9,21,0,0,15
40,qm,blue,5608,2974,4195,41,41,3,38,14,15,9,0,0,3
41,qm,red,6712,5132,4468,38,38,9,29,8,12,9,0,0,9
41,qm,blue,3581,6177,6139,15,15,3,12,6,3,3,0,0,3
42,qm,red,6944,3344,6023,18,18,15,3,0,0,3,0,0,15
42,qm,blue,3815,5219,6715,32,32,9,17,2,3,12,6,0,9
43,qm,red,4459,5293,7883,51,51,15,36,12,15,9,0,0,15
43,qm,blue,4749,6341,4026,59,59,12,47,14,15,18,0,0,12
44,qm,red,1002,7427,3091,30,30,9,18,0,12,6,3,0,9
44,qm,blue,4516,6705,6887,39,39,15,21,0,18,3,3,0,15
45,qm,red,1311,4468,5219,37,37,9,28,4,18,6,0,0,9
45,qm,blue,7060,5332,7104,31,31,12,19,4,9,6,0,0,12
46,qm,red,2974,5900,3815,58,58,12,46,10,21,15,0,0,12
46,qm,blue,5293,3581,3329,50,50,9,38,8,15,15,3,0,9
47,qm,red,6887,7883,1795,45,45,15,30,12,9,9,0,0,15
47,qm,blue,1771,3091,4516,42,42,12,30,6,15,9,0,0,12
48,qm,red,6715,4910,1311,60,60,15,45,18,9,18,0,0,15
48,qm,blue,3344,7451,1002,39,39,12,27,6,12,9,0,0,12
49,qm,red,5132,6705,6139,41,41,9,32,8,21,3,0,0,9
49,qm,blue,7060,4459,5608,32,32,15,14,8,0,6,3,0,15
50,qm,red,6341,6023,6712,38,38,12,26,2,15,9,0,0,12
50,qm,blue,6944,4026,4080,38,38,12,26,8,0,18,0,0,12
51,qm,red,6177,7427,2974,45,45,9,26,14,12,0,10,0,9
51,qm,blue,4195,4749,1002,56,56,12,34,10,15,9,10,0,12
52,qm,red,5900,7104,5293,32,32,9,23,2,12,9,0,0,9
52,qm,blue,6887,4459,3344,33,33,12,21,12,3,6,0,0,12
53,qm,red,6705,3329,3091,51,51,12,39,6,24,9,0,0,12
53,qm,blue,4910,5332,1795,43,43,15,28,4,9,15,0,0,15
54,qm,red,4026,4516,6715,49,49,15,34,10,6,18,0,0,15
54,qm,blue,4468,7060,1771,58,58,12,43,4,21,18,3,0,12
55,qm,red,4195,4080,7883,33,33,12,21,0,18,3,0,0,12
55,qm,blue,6139,5608,6023,37,37,12,9,6,0,3,16,0,12
56,qm,red,5132,3581,7451,46,46,9,37,16,3,18,0,0,9
56,qm,blue,6944,4749,5219,30,30,12,18,12,0,6,0,0,12
57,qm,red,6341,1311,6177,29,29,9,20,2,9,9,0,0,9
57,qm,blue,3815,6712,7427,35,35,9,26,8,9,9,0,0,9
58,qm,red,1795,4468,4026,50,50,12,38,8,15,15,0,0,12
58,qm,blue,1002,6887,4080,41,41,9,29,8,15,6,3,0,9
59,qm,red,4749,2974,6023,54,54,15,39,18,12,9,0,0,15
59,qm,blue,7451,3091,5332,21,21,6,15,6,6,3,0,0,6
60,qm,red,5293,3815,4195,31,31,3,28,4,15,9,0,0,3
60,qm,blue,6715,1771,3581,71,71,15,56,14,24,18,0,0,15
61,qm,red,5608,6341,3344,43,43,12,28,10,15,3,3,0,12
61,qm,blue,3329,1311,4459,38,38,15,23,8,6,9,0,0,15
62,qm,red,7427,7060,6705,36,36,12,18,6,9,3,6,0,12
62,qm,blue,7104,6944,7883,33,33,12,21,0,15,6,0,0,12
63,qm,red,6139,4516,5900,39,39,12,27,0,9,18,0,0,12
63,qm,blue,5132,6177,4910,56,56,9,37,16,6,15,10,0,9
