match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7560,3061,3488,37,37,6,31,10,12,9,0,0,6
1,qm,blue,1675,2451,5148,26,26,9,17,2,9,6,0,0,9
2,qm,red,7608,1884,2338,23,23,6,17,14,3,0,0,0,6
2,qm,blue,4702,2151,111,33,33,6,17,8,3,6,10,0,6
3,qm,red,2830,7609,101,45,45,15,30,6,15,9,0,0,15
3,qm,blue,2039,4292,16,35,35,12,23,2,15,6,0,0,12
4,qm,red,6968,1736,4096,40,40,15,25,10,6,9,0,0,15
4,qm,blue,4645,3067,2252,20,20,3,17,2,12,3,0,0,3
5,qm,red,4156,2016,3695,46,46,9,37,10,12,15,0,0,9
5,qm,blue,2022,3110,3734,29,29,6,23,2,15,6,0,0,6
6,qm,red,5934,5822,1739,38,38,12,26,8,12,6,0,0,12
6,qm,blue,7738,2062,4296,33,33,9,21,0,15,6,3,0,9
7,qm,red,930,5125,4787,37,37,12,25,10,9,6,0,0,12
7,qm,blue,7237,6906,1781,41,41,12,23,2,12,9,6,0,12
8,qm,red,2725,5847,5350,25,25,6,19,4,3,12,0,0,6
8,qm,blue,2709,1797,4241,24,24,6,18,0,18,0,0,0,6
9,qm,red,2358,6823,2136,17,17,3,5,2,0,3,9,0,3
9,qm,blue,48,6651,3734,40,40,15,25,4,15,6,0,0,15
10,qm,red,3067,7608,5148,15,15,3,12,0,6,6,0,0,3
10,qm,blue,2062,4292,5822,39,39,12,27,12,9,6,0,0,12
11,qm,red,111,6968,4787,41,41,6,25,10,12,3,10,0,6
11,qm,blue,16,2022,1675,63,63,12,51,6,27,18,0,0,12
12,qm,red,4702,7738,2830,52,52,15,27,6,12,9,10,0,15
12,qm,blue,6906,2725,2016,24,24,6,18,0,12,6,0,0,6
13,qm,red,2709,2358,7609,16,16,6,10,4,0,6,0,0,6
13,qm,blue,101,930,6823,42,42,9,27,18,9,0,6,0,9
14,qm,red,2136,5934,3695,45,45,9,36,6,24,6,0,0,9
14,qm,blue,1736,7237,2151,25,25,9,16,10,3,3,0,0,9
15,qm,red,3110,1781,2252,35,35,9,26,2,18,6,0,0,9
15,qm,blue,1797,2338,3488,65,65,9,46,10,21,15,10,0,9
16,qm,red,48,4156,4241,48,48,15,30,6,18,6,3,0,15
16,qm,blue,4296,1884,3061,34,34,9,25,4,9,12,0,0,9
17,qm,red,2039,6651,5125,31,31,15,16,4,3,9,0,0,15
17,qm,blue,4096,7560,5350,23,23,3,20,8,6,6,0,0,3
18,qm,red,5847,2451,16,62,62,15,47,8,21,18,0,0,15
18,qm,blue,4645,1739,7237,15,15,6,9,0,3,6,0,0,6
19,qm,red,3734,3067,1797,18,18,3,15,0,12,3,0,0,3
19,qm,blue,7609,5148,5934,31,31,9,19,4,12,3,3,0,9
20,qm,red,5822,2725,4241,20,20,9,11,8,0,3,0,0,9
20,qm,blue,2338,4156,930,55,55,9,46,10,18,18,0,0,9
21,qm,red,6968,2016,2709,12,12,3,9,6,0,3,0,0,3
21,qm,blue,7608,2151,6823,14,14,6,8,2,0,6,0,0,6
22,qm,red,1736,7560,1739,43,43,9,28,4,12,12,6,0,9
22,qm,blue,4292,5350,48,58,58,12,31,4,12,15,15,0,12
23,qm,red,2062,1781,2022,35,35,6,29,8,21,0,0,0,6
23,qm,blue,2451,4096,6651,45,45,15,30,6,18,6,0,0,15
24,qm,red,111,4296,3488,49,49,12,37,10,18,9,0,0,12
24,qm,blue,4787,2136,2039,27,27,12,15,0,9,6,0,0,12
25,qm,red,101,3061,5847,53,53,15,38,20,9,9,0,0,15
25,qm,blue,2252,2830,6906,40,40,9,31,4,21,6,0,0,9
26,qm,red,1675,4645,4702,15,15,6,9,6,0,3,0,0,6
26,qm,blue,3695,3110,7738,71,71,15,46,4,24,18,10,0,15
