match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2867,45,1741,24,24,15,6,0,0,6,3,0,15
1,qm,blue,829,1555,292,25,25,6,19,4,9,6,0,0,6
2,qm,red,1501,135,3176,60,60,15,45,12,18,15,0,0,15
2,qm,blue,4103,7502,234,42,42,15,27,12,9,6,0,0,15
3,qm,red,1720,3559,3936,33,33,3,30,6,9,15,0,0,3
3,qm,blue,3940,7198,1018,18,18,3,15,6,3,6,0,0,3
4,qm,red,4982,1646,461,44,44,12,32,2,21,9,0,0,12
4,qm,blue,4272,2909,1024,42,42,12,27,12,6,9,3,0,12
5,qm,red,7695,4580,7657,17,17,9,8,2,3,3,0,0,9
5,qm,blue,2171,6721,7477,18,18,9,9,0,3,6,0,0,9
6,qm,red,3147,1529,5484,21,21,3,18,6,0,12,0,0,3
6,qm,blue,71,3947,6498,52,52,12,40,10,21,9,0,0,12
7,qm,red,7454,2197,6956,41,41,9,32,2,21,9,0,0,9
7,qm,blue,447,3180,3865,13,13,0,13,4,3,6,0,0,0
8,qm,red,7657,3940,1555,30,30,9,21,0,9,12,0,0,9
8,qm,blue,1720,461,1024,75,75,12,60,12,33,15,3,0,12
9,qm,red,3147,829,71,50,50,9,41,2,18,21,0,0,9
9,qm,blue,4272,4103,2171,62,62,9,53,14,30,9,0,0,9
10,qm,red,7502,3559,3180,57,57,15,21,12,0,9,21,0,15
10,qm,blue,7477,7695,4982,29,29,12,11,2,3,6,6,0,12
11,qm,red,7198,5484,135,60,60,15,45,6,21,18,0,0,15
11,qm,blue,1501,2867,2909,53,53,12,41,2,21,18,0,0,12
12,qm,red,1529,3176,3947,36,36,9,27,6,15,6,0,0,9
12,qm,blue,3865,2197,45,23,23,9,14,8,0,6,0,0,9
13,qm,red,3936,4580,1018,17,17,6,5,2,3,0,6,0,6
13,qm,blue,292,1646,447,43,43,15,25,4,15,6,3,0,15
14,qm,red,234,6721,7454,68,68,15,50,14,24,12,3,0,15
