match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1574,7554,3388,17,17,6,11,2,9,0,0,0,6
1,qm,blue,5614,3835,4649,40,40,9,31,4,18,9,0,0,9
2,qm,red,4416,2679,7177,34,34,9,25,4,12,9,0,0,9
2,qm,blue,5654,5747,4744,57,57,15,32,2,15,15,10,0,15
3,qm,red,7112,6149,6741,34,34,6,28,10,15,3,0,0,6
3,qm,blue,5636,3034,3075,70,70,9,37,4,15,18,24,0,9
4,qm,red,4661,1657,2212,23,23,12,11,2,3,6,0,0,12
4,qm,blue,4586,1943,2231,67,67,12,55,10,27,18,0,0,12
5,qm,red,1577,4757,4338,62,62,9,53,8,24,21,0,0,9
5,qm,blue,1576,3211,1580,45,45,9,33,6,9,18,3,0,9
6,qm,red,5135,1574,4416,44,44,12,32,2,21,9,0,0,12
6,qm,blue,4661,2231,3034,52,52,12,31,4,21,6,9,0,12
7,qm,red,4649,1580,2679,32,32,9,23,2,21,0,0,0,9
7,qm,blue,7554,3075,1577,26,26,9,17,8,6,3,0,0,9
8,qm,red,4744,6149,3835,42,42,15,27,0,15,12,0,0,15
8,qm,blue,1943,1657,5135,54,54,15,33,6,15,12,6,0,15
9,qm,red,2212,6741,4338,65,65,12,50,8,24,18,3,0,12
9,qm,blue,7177,5614,5636,54,54,12,42,12,21,9,0,0,12
10,qm,red,4586,5654,3388,65,65,9,53,14,21,18,3,0,9
10,qm,blue,7112,5747,1576,43,43,9,31,4,18,9,3,0,9
11,qm,red,3211,1943,6149,52,52,6,46,10,15,21,0,0,6
11,qm,blue,5636,4757,3835,44,44,12,29,2,18,9,3,0,12
12,qm,red,1657,2231,7554,48,48,15,33,6,18,9,0,0,15
12,qm,blue,2679,4661,1576,2,2,0,2,2,0,0,0,0,0
13,qm,red,4416,1580,3388,42,42,12,27,0,9,18,3,0,12
13,qm,blue,5614,7112,3211,60,60,12,42,6,18,18,6,0,12
14,qm,red,4649,1577,5654,29,29,6,23,2,15,6,0,0,6
14,qm,blue,3034,2212,5747,57,57,9,48,12,27,9,0,0,9
15,qm,red,4744,3075,5135,73,73,15,58,10,30,18,0,0,15
15,qm,blue,4338,4586,1574,79,79,9,67,16,33,18,3,0,9
16,qm,red,7177,6741,5747,37,37,15,19,10,3,6,3,0,15
16,qm,blue,4649,1576,4757,21,21,6,15,0,12,3,0,0,6
17,qm,red,7554,4338,4661,50,50,9,41,2,21,18,0,0,9
17,qm,blue,2679,2212,5636,53,53,12,41,8,27,6,0,0,12
18,qm,red,1577,3835,7112,48,48,12,36,0,18,18,0,0,12
18,qm,blue,3211,7177,1657,38,38,12,26,2,18,6,0,0,12
19,qm,red,4757,1943,3034,46,46,9,37,10,21,6,0,0,9
19,qm,blue,3075,6149,5614,65,65,9,43,4,24,15,13,0,9
20,qm,red,1574,5654,1580,27,27,6,18,6,6,6,3,0,6
