match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6731,125,88,57,57,12,45,12,30,3,0,0,12
1,qm,blue,6333,5813,3205,26,26,6,20,2,12,6,0,0,6
2,qm,red,4169,69,2168,42,42,15,27,6,6,15,0,0,15
2,qm,blue,2523,6301,23,35,35,9,26,8,9,9,0,0,9
3,qm,red,2877,4151,5846,41,41,9,32,8,21,3,0,0,9
3,qm,blue,172,1965,5000,15,15,6,9,6,0,3,0,0,6
4,qm,red,1786,5112,246,18,18,9,3,0,0,3,6,0,9
4,qm,blue,6224,1153,121,57,57,12,35,8,12,15,10,0,12
5,qm,red,78,2079,97,65,65,12,43,10,15,18,10,0,12
5,qm,blue,58,4176,5422,18,18,9,9,0,3,6,0,0,9
6,qm,red,4048,173,3236,55,55,15,40,10,24,6,0,0,15
6,qm,blue,6201,1100,6529,27,27,9,15,0,15,0,3,0,9
7,qm,red,4169,88,6763,49,49,12,34,10,21,3,3,0,12
7,qm,blue,3566,6731,5112,31,31,9,22,10,3,9,0,0,9
8,qm,red,6224,2168,78,63,63,6,57,12,27,18,0,0,6
8,qm,blue,1786,58,1965,9,9,6,3,0,3,0,0,0,6
9,qm,red,125,173,1153,56,56,15,41,8,18,15,0,0,15
9,qm,blue,5422,69,6301,30,30,6,24,6,0,18,0,0,6
10,qm,red,2523,5000,2079,42,42,15,14,2,3,9,13,0,15
10,qm,blue,3236,6763,3566,53,53,15,38,8,21,9,0,0,15
11,qm,red,6201,4048,5846,33,33,12,18,0,9,9,3,0,12
11,qm,blue,246,2877,121,31,31,6,15,6,6,3,10,0,6
12,qm,red,172,6333,6529,20,20,6,14,2,0,12,0,0,6
12,qm,blue,97,5813,1100,29,29,15,14,2,3,9,0,0,15
13,qm,red,4176,23,69,52,52,12,40,10,15,15,0,0,12
13,qm,blue,3205,3236,4151,43,43,12,31,4,21,6,0,0,12
14,qm,red,2523,6224,6731,29,29,12,17,2,9,6,0,0,12
14,qm,blue,2877,125,4048,41,41,6,35,8,12,15,0,0,6
15,qm,red,1965,5422,5813,30,30,12,15,0,6,9,3,0,12
15,qm,blue,5000,88,5112,42,42,9,33,6,18,9,0,0,9
16,qm,red,6301,121,3205,42,42,12,27,0,18,9,3,0,12
16,qm,blue,4151,58,6529,48,48,15,30,12,0,18,3,0,15
17,qm,red,6763,78,23,70,70,12,55,10,27,18,3,0,12
17,qm,blue,1153,6333,2168,67,67,15,52,10,24,18,0,0,15
18,qm,red,4176,6201,1786,21,21,6,15,6,3,6,0,0,6
18,qm,blue,5846,3566,4169,54,54,15,39,12,15,12,0,0,15
19,qm,red,2079,172,1100,37,37,15,19,4,6,9,3,0,15
19,qm,blue,246,173,97,41,41,9,32,8,15,9,0,0,9
20,qm,red,23,6529,5000,36,36,12,24,0,15,9,0,0,12
20,qm,blue,6333,2523,88,42,42,6,30,6,21,3,6,0,6
21,qm,red,3205,1965,3566,59,59,15,44,8,24,12,0,0,15
21,qm,blue,5813,1786,1153,50,50,9,41,8,15,18,0,0,9
22,qm,red,6301,2079,4169,17,17,6,11,8,0,3,0,0,6
22,qm,blue,5846,2168,246,68,68,15,50,8,27,15,3,0,15
23,qm,red,6224,4176,2877,36,36,12,24,12,6,6,0,0,12
23,qm,blue,121,1100,69,56,56,9,47,8,24,15,0,0,9
24,qm,red,5112,3236,78,73,73,15,55,16,21,18,3,0,15
24,qm,blue,5422,6731,173,35,35,15,20,2,9,9,0,0,15
25,qm,red,4151,172,125,40,40,9,31,4,18,9,0,0,9
25,qm,blue,6763,97,6201,35,35,12,23,8,9,6,0,0,12
26,qm,red,6333,6301,58,47,47,12,35,8,12,15,0,0,12
26,qm,blue,69,4048,1786,31,31,12,19,4,0,15,0,0,12
27,qm,red,121,2079,4176,50,50,9,41,8,27,6,0,0,9
27,qm,blue,78,1153,88,72,72,15,57,12,24,21,0,0,15
28,qm,red,125,5000,3566,51,51,12,39,18,9,12,0,0,12
28,qm,blue,5846,5112,97,45,45,15,30,6,15,9,0,0,15
29,qm,red,173,6201,4151,34,34,9,25,4,15,6,0,0,9
29,qm,blue,1965,6763,1100,36,36,15,21,0,15,6,0,0,15
30,qm,red,5422,2523,3205,45,45,15,30,0,18,12,0,0,15
30,qm,blue,4048,172,6224,48,48,9,24,6,9,9,15,0,9
31,qm,red,246,3236,6731,41,41,15,26,8,15,3,0,0,15
31,qm,blue,58,4169,23,37,37,9,28,4,6,18,0,0,9
32,qm,red,5813,2168,6763,35,35,9,26,2,18,6,0,0,9
32,qm,blue,6529,2877,69,61,61,12,49,10,24,15,0,0,12
33,qm,red,88,172,6301,46,46,12,34,4,18,12,0,0,12
33,qm,blue,6201,6224,5000,35,35,12,23,14,0,9,0,0,12
34,qm,red,5846,1786,6731,45,45,15,27,6,15,6,3,0,15
34,qm,blue,4151,2523,1153,56,56,15,41,8,27,6,0,0,15
35,qm,red,58,5813,5112,39,39,12,27,6,6,15,0,0,12
35,qm,blue,2079,4048,6529,19,19,9,10,4,0,6,0,0,9
36,qm,red,1100,3205,4176,34,34,15,19,4,9,6,0,0,15
36,qm,blue,4169,246,78,60,60,9,35,8,12,15,16,0,9
37,qm,red,3236,2168,1965,75,75,15,60,12,30,18,0,0,15
37,qm,blue,121,97,125,35,35,6,29,2,21,6,0,0,6
38,qm,red,3566,23,173,57,57,15,39,12,18,9,3,0,15
38,qm,blue,5422,6333,2877,42,42,9,33,6,24,3,0,0,9
39,qm,red,5813,78,6731,52,52,9,43,4,21,18,0,0,9
39,qm,blue,6301,5846,6224,35,35,12,23,2,15,6,0,0,12
40,qm,red,4169,1153,4048,35,35,6,29,2,21,6,0,0,6
40,qm,blue,97,5000,3236,46,46,12,31,10,12,9,3,0,12
41,qm,red,3566,1100,4151,41,41,15,26,8,15,3,0,0,15
41,qm,blue,58,2079,125,52,52,15,34,4,12,18,3,0,15
42,qm,red,172,69,2523,59,59,15,44,8,12,24,0,0,15
42,qm,blue,1965,173,4176,46,46,12,28,4,18,6,6,0,12
43,qm,red,6201,121,6333,39,39,6,33,6,21,6,0,0,6
43,qm,blue,3205,23,2168,62,62,9,53,14,30,9,0,0,9
44,qm,red,1786,88,2877,57,57,9,48,12,27,9,0,0,9
44,qm,blue,246,5422,6763,29,29,15,14,2,6,6,0,0,15
45,qm,red,6529,78,2523,52,52,15,37,4,18,15,0,0,15
45,qm,blue,5112,4151,2079,27,27,15,12,0,9,3,0,0,15
46,qm,red,6731,3205,58,58,58,15,43,10,15,18,0,0,15
46,qm,blue,2168,6201,172,71,71,15,56,8,27,21,0,0,15
47,qm,red,5000,2877,6763,57,57,12,42,6,27,9,3,0,12
47,qm,blue,4048,6301,4176,24,24,6,18,6,6,6,0,0,6
48,qm,red,1153,5422,1100,52,52,15,37,4,24,9,0,0,15
48,qm,blue,5813,121,4169,55,55,12,40,10,21,9,3,0,12
49,qm,red,173,69,5846,72,72,15,57,12,27,18,0,0,15
49,qm,blue,88,97,23,52,52,15,37,10,27,0,0,0,15
50,qm,red,3566,246,6333,36,36,9,27,12,6,9,0,0,9
50,qm,blue,1965,6529,6224,41,41,12,29,8,15,6,0,0,12
51,qm,red,3236,1786,172,43,43,12,25,4,18,3,6,0,12
51,qm,blue,5112,125,6301,37,37,12,25,16,0,9,0,0,12
52,qm,red,97,1153,58,78,78,15,63,12,30,21,0,0,15
52,qm,blue,6731,4169,2877,46,46,12,34,4,21,9,0,0,12
53,qm,red,6763,5846,2523,39,39,15,24,0,18,6,0,0,15
53,qm,blue,1100,6224,6333,44,44,12,32,8,21,3,0,0,12
54,qm,red,2079,3566,5422,43,43,15,25,10,3,12,3,0,15
54,qm,blue,69,3205,6201,38,38,12,26,2,9,15,0,0,12
55,qm,red,6529,5112,173,44,44,15,29,8,15,6,0,0,15
55,qm,blue,2168,121,1786,60,60,15,45,12,27,6,0,0,15
56,qm,red,88,1965,246,48,48,9,39,6,27,6,0,0,9
56,qm,blue,23,3236,125,73,73,12,51,12,36,3,10,0,12
57,qm,red,5000,4048,5813,43,43,12,31,4,18,9,0,0,12
57,qm,blue,78,4176,4151,56,56,9,44,8,18,18,3,0,9
58,qm,red,6301,6731,97,27,27,15,12,6,6,0,0,0,15
58,qm,blue,1786,2523,3566,54,54,9,45,12,24,9,0,0,9
59,qm,red,6763,58,121,52,52,15,37,4,24,9,0,0,15
59,qm,blue,88,5422,5846,62,62,15,47,8,30,9,0,0,15
60,qm,red,1153,2877,1965,83,83,12,68,14,36,18,3,0,12
60,qm,blue,2079,3205,173,42,42,9,33,6,21,6,0,0,9
61,qm,red,6224,4151,5813,30,30,15,12,6,3,3,3,0,15
61,qm,blue,3236,4169,6201,19,19,9,10,4,0,6,0,0,9
62,qm,red,23,6333,4048,30,30,6,24,6,15,3,0,0,6
62,qm,blue,172,5112,4176,44,44,12,32,8,15,9,0,0,12
63,qm,red,125,6529,246,16,16,12,4,4,0,0,0,0,12
63,qm,blue,69,78,5000,63,63,12,51,12,21,18,0,0,12
64,qm,red,2168,97,5422,55,55,9,43,4,21,18,3,0,9
64,qm,blue,1100,58,2523,57,57,15,42,6,18,18,0,0,15
65,qm,red,6763,1786,6224,43,43,15,25,4,15,6,3,0,15
65,qm,blue,5813,23,2079,51,51,15,36,12,15,9,0,0,15
66,qm,red,121,88,3236,76,76,15,61,16,36,9,0,0,15
66,qm,blue,78,3566,172,75,75,6,63,12,30,21,6,0,6
67,qm,red,125,69,6333,40,40,12,28,10,3,15,0,0,12
67,qm,blue,3205,4169,5112,42,42,15,24,6,12,6,3,0,15
68,qm,red,4176,5846,1153,75,75,15,60,12,30,18,0,0,15
68,qm,blue,6731,6529,2168,48,48,15,33,18,9,6,0,0,15
69,qm,red,1100,246,4048,33,33,6,27,0,18,9,0,0,6
69,qm,blue,4151,6301,1965,36,36,6,21,0,18,3,9,0,6
70,qm,red,2877,6201,58,58,58,15,43,4,21,18,0,0,15
70,qm,blue,173,5000,1786,63,63,15,45,12,27,6,3,0,15
71,qm,red,97,6224,3205,45,45,15,30,12,15,3,0,0,15
71,qm,blue,6333,5846,3236,50,50,15,35,8,24,3,0,0,15
72,qm,red,1153,246,6301,80,80,15,55,10,27,18,10,0,15
72,qm,blue,2523,125,5813,74,74,15,41,8,21,12,18,0,15
73,qm,red,69,1965,2079,31,31,15,16,4,6,6,0,0,15
73,qm,blue,5000,6731,121,53,53,12,41,8,24,9,0,0,12
74,qm,red,6529,4176,4169,41,41,12,29,8,15,6,0,0,12
74,qm,blue,173,6763,172,57,57,15,42,12,21,9,0,0,15
75,qm,red,4048,4151,5422,19,19,9,10,4,6,0,0,0,9
75,qm,blue,2168,3566,88,55,55,9,46,16,27,3,0,0,9
76,qm,red,23,5112,6201,50,50,15,35,8,21,6,0,0,15
76,qm,blue,2877,1100,78,68,68,12,56,14,27,15,0,0,12
1,qf,red,2168,78,2523,75,75,15,60,18,27,15,0,0,15
1,qf,blue,6224,4151,23,38,38,15,23,2,18,3,0,0,15
2,qf,red,2168,78,2523,81,81,15,66,12,36,18,0,0,15
2,qf,blue,6224,4151,23,47,47,12,35,14,15,6,0,0,12
1,qf,red,2877,3236,3205,59,59,15,44,8,27,9,0,0,15
1,qf,blue,125,5846,1100,57,57,15,42,6,24,12,0,0,15
2,qf,red,2877,3236,3205,67,67,15,46,10,27,9,6,0,15
2,qf,blue,125,5846,1100,53,53,15,38,8,24,6,0,0,15
1,qf,red,58,1153,4169,78,78,15,63,12,30,21,0,0,15
1,qf,blue,4176,173,121,49,49,12,37,10,18,9,0,0,12
2,qf,red,58,1153,4169,63,63,12,51,6,24,21,0,0,12
2,qf,blue,4176,173,121,53,53,12,41,14,18,9,0,0,12
1,qf,red,88,69,5813,74,74,15,50,14,18,18,9,0,15
1,qf,blue,3566,172,5112,42,42,15,27,6,15,6,0,0,15
2,qf,red,88,69,5813,77,77,15,59,14,30,15,3,0,15
2,qf,blue,3566,172,5112,48,48,15,33,0,12,21,0,0,15
1,sf,red,2168,78,2523,98,98,15,73,16,36,21,10,0,15
1,sf,blue,2877,3236,3205,69,69,15,54,12,33,9,0,0,15
2,sf,red,2168,78,2523,66,66,15,51,12,30,9,0,0,15
2,sf,blue,2877,3236,3205,56,56,15,41,8,24,9,0,0,15
1,sf,red,58,1153,4169,59,59,15,44,14,15,15,0,0,15
1,sf,blue,88,69,5813,79,79,15,64,16,30,18,0,0,15
2,sf,red,58,1153,4169,84,84,15,66,12,33,21,3,0,15
2,sf,blue,88,69,5813,73,73,15,58,16,27,15,0,0,15
3,sf,red,58,1153,4169,68,68,15,53,8,24,21,0,0,15
3,sf,blue,88,69,5813,79,79,15,64,16,30,18,0,0,15
1,f,red,2168,78,2523,84,84,15,63,12,36,15,6,0,15
1,f,blue,88,69,5813,62,62,15,47,8,24,15,0,0,15
2,f,red,2168,78,2523,79,79,15,61,16,39,6,3,0,15
2,f,blue,88,69,5813,69,69,12,57,12,27,18,0,0,12
