match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5841,686,1885,47,47,6,41,8,18,15,0,0,6
1,qm,blue,2186,2900,1727,30,30,9,21,0,12,9,0,0,9
2,qm,red,7770,2537,1123,42,42,9,33,0,15,18,0,0,9
2,qm,blue,5243,2912,4456,49,49,12,31,4,6,21,6,0,12
3,qm,red,5115,4472,5945,22,22,9,13,4,0,9,0,0,9
3,qm,blue,1111,6239,4821,29,29,6,17,2,9,6,6,0,6
4,qm,red,4514,2849,4949,18,18,3,15,0,12,3,0,0,3
4,qm,blue,1915,3793,6326,25,25,6,19,4,3,12,0,0,6
5,qm,red,3389,5587,449,37,37,12,22,10,3,9,3,0,12
5,qm,blue,1389,3650,5830,22,22,0,12,0,3,9,10,0,0
6,qm,red,6213,6893,2914,11,11,3,8,2,6,0,0,0,3
6,qm,blue,7714,1446,4464,22,22,3,3,0,0,3,16,0,3
7,qm,red,1727,4514,4821,80,80,12,32,2,18,12,36,0,12
7,qm,blue,2186,5945,5841,11,11,6,5,2,0,3,0,0,6
8,qm,red,6239,5243,4472,45,45,12,33,6,18,9,0,0,12
8,qm,blue,4949,5115,1389,50,50,9,10,4,0,6,31,0,9
9,qm,red,449,2849,3793,32,32,12,20,8,6,6,0,0,12
9,qm,blue,6213,7714,3389,11,11,3,8,2,3,3,0,0,3
10,qm,red,3650,686,2912,62,62,9,29,8,9,12,24,0,9
10,qm,blue,1446,1885,2537,23,23,3,20,8,6,6,0,0,3
11,qm,red,7770,1915,1111,26,26,6,20,2,15,3,0,0,6
11,qm,blue,5830,6893,1123,27,27,9,18,0,0,18,0,0,9
12,qm,red,4464,2900,5587,23,23,12,11,2,9,0,0,0,12
12,qm,blue,6326,2914,4456,18,18,3,15,0,12,3,0,0,3
13,qm,red,5841,6213,449,21,21,6,15,6,6,3,0,0,6
13,qm,blue,686,4514,5115,32,32,9,23,2,12,9,0,0,9
14,qm,red,1389,3793,1111,36,36,9,27,0,9,18,0,0,9
14,qm,blue,1885,7770,1727,46,46,12,34,4,21,9,0,0,12
15,qm,red,5243,7714,5587,28,28,12,16,4,9,3,0,0,12
15,qm,blue,6239,5945,2900,30,30,6,24,0,6,18,0,0,6
16,qm,red,3650,1915,2537,15,15,9,6,0,0,6,0,0,9
16,qm,blue,2186,4456,4949,18,18,3,15,0,9,6,0,0,3
17,qm,red,2849,1446,5830,27,27,6,21,0,15,6,0,0,6
17,qm,blue,1123,4464,4821,42,42,9,33,0,15,18,0,0,9
18,qm,red,6326,6893,2912,31,31,9,22,4,9,9,0,0,9
18,qm,blue,2914,3389,4472,48,48,9,26,2,18,6,13,0,9
19,qm,red,3650,5945,1727,41,41,15,26,2,15,9,0,0,15
19,qm,blue,6213,2537,4514,29,29,6,20,2,9,9,3,0,6
20,qm,red,7770,4456,5115,41,41,9,32,8,18,6,0,0,9
20,qm,blue,5830,5587,1915,45,45,9,36,6,18,12,0,0,9
21,qm,red,5243,6893,4949,15,15,9,6,0,0,6,0,0,9
21,qm,blue,4821,2900,2912,39,39,12,27,6,15,6,0,0,12
22,qm,red,7714,6326,686,25,25,3,19,4,12,3,3,0,3
22,qm,blue,1885,2849,1123,55,55,9,46,4,24,18,0,0,9
23,qm,red,1446,449,1389,47,47,12,26,2,9,15,9,0,12
23,qm,blue,4464,4472,3793,59,59,15,41,2,21,18,3,0,15
24,qm,red,1111,5841,3389,32,32,9,23,2,12,9,0,0,9
24,qm,blue,6239,2186,2914,32,32,9,23,2,9,12,0,0,9
25,qm,red,7714,5115,5830,37,37,9,28,4,15,9,0,0,9
25,qm,blue,5945,4514,1885,42,42,9,33,6,18,9,0,0,9
26,qm,red,7770,4821,3793,83,83,15,56,8,30,18,12,0,15
26,qm,blue,2537,686,4472,45,45,9,36,6,21,9,0,0,9
27,qm,red,4949,2914,5587,45,45,9,36,6,21,9,0,0,9
27,qm,blue,6893,1389,2186,23,23,9,11,2,3,6,3,0,9
28,qm,red,6239,1123,1727,57,57,9,45,6,18,21,3,0,9
28,qm,blue,2912,4464,449,34,34,15,19,4,9,6,0,0,15
29,qm,red,3389,3650,2900,11,11,6,5,2,0,3,0,0,6
29,qm,blue,5841,1915,2849,28,28,6,22,4,9,9,0,0,6
30,qm,red,1111,4456,1446,36,36,9,24,0,6,18,3,0,9
30,qm,blue,6326,6213,5243,23,23,3,17,2,6,9,3,0,3
31,qm,red,5587,5945,686,49,49,15,28,4,18,6,6,0,15
31,qm,blue,1885,4464,1389,52,52,15,34,4,21,9,3,0,15
32,qm,red,3793,2537,2914,29,29,9,20,2,9,9,0,0,9
32,qm,blue,1915,6239,2912,31,31,12,19,4,6,9,0,0,12
33,qm,red,1111,449,5115,42,42,9,27,6,12,9,6,0,9
33,qm,blue,6893,5841,7714,17,17,12,5,2,0,3,0,0,12
34,qm,red,6213,1727,5830,47,47,9,38,2,21,15,0,0,9
34,qm,blue,2849,5243,3650,12,12,3,9,0,9,0,0,0,3
35,qm,red,2900,1123,1446,27,27,6,15,0,0,15,6,0,6
35,qm,blue,4472,4949,7770,31,31,9,22,4,15,3,0,0,9
36,qm,red,6326,2186,4514,27,27,6,18,0,15,3,3,0,6
36,qm,blue,4821,4456,3389,57,57,9,38,2,18,18,10,0,9
37,qm,red,2914,1885,7714,46,46,6,40,10,24,6,0,0,6
37,qm,blue,449,5830,5243,46,46,9,34,10,15,9,3,0,9
38,qm,red,3793,1123,4949,61,61,15,36,0,15,21,10,0,15
38,qm,blue,5587,5841,5115,40,40,15,19,4,9,6,6,0,15
39,qm,red,4456,6239,3650,38,38,15,20,2,12,6,3,0,15
39,qm,blue,686,1727,6893,59,59,9,44,2,21,21,6,0,9
40,qm,red,5945,1446,1915,24,24,9,15,0,12,3,0,0,9
40,qm,blue,3389,2849,6326,36,36,9,24,0,15,9,3,0,9
41,qm,red,4514,4472,2900,54,54,6,24,0,15,9,24,0,6
41,qm,blue,2537,1111,4464,36,36,12,24,0,18,6,0,0,12
42,qm,red,1389,4821,6213,24,24,12,12,0,12,0,0,0,12
42,qm,blue,2912,7770,2186,37,37,9,28,4,12,12,0,0,9
43,qm,red,4949,1727,7714,39,39,9,24,0,18,6,6,0,9
43,qm,blue,1123,449,1915,41,41,15,26,2,6,18,0,0,15
44,qm,red,2914,686,2849,55,55,12,43,4,24,15,0,0,12
44,qm,blue,4514,1111,5587,54,54,6,42,12,21,9,6,0,6
45,qm,red,5830,2912,2537,40,40,9,31,4,18,9,0,0,9
45,qm,blue,5115,2900,6213,26,26,9,17,2,9,6,0,0,9
46,qm,red,6893,1885,4456,74,74,12,52,10,27,15,10,0,12
46,qm,blue,4821,3650,4472,43,43,12,31,4,21,6,0,0,12
47,qm,red,1446,5841,6239,37,37,15,22,10,0,12,0,0,15
47,qm,blue,5945,1389,6326,24,24,9,15,0,6,9,0,0,9
48,qm,red,3793,2186,3389,47,47,12,35,2,18,15,0,0,12
48,qm,blue,4464,5243,7770,41,41,15,26,2,18,6,0,0,15
49,qm,red,5587,4821,1885,43,43,12,28,10,15,3,3,0,12
49,qm,blue,449,4949,2537,30,30,6,24,6,12,6,0,0,6
50,qm,red,1389,2912,4514,43,43,12,28,4,15,9,3,0,12
50,qm,blue,7714,1111,2849,29,29,9,20,2,15,3,0,0,9
51,qm,red,6893,3389,6239,24,24,15,9,0,6,3,0,0,15
51,qm,blue,1727,5115,1446,40,40,9,31,4,21,6,0,0,9
52,qm,red,2186,4472,1123,51,51,12,36,0,18,18,3,0,12
52,qm,blue,2914,5830,5945,36,36,9,24,0,15,9,3,0,9
53,qm,red,2900,1915,4456,30,30,6,24,0,9,15,0,0,6
53,qm,blue,686,3793,5243,38,38,12,26,2,18,6,0,0,12
54,qm,red,4464,6326,5841,21,21,9,12,6,0,6,0,0,9
54,qm,blue,3650,7770,6213,37,37,12,25,4,15,6,0,0,12
55,qm,red,1123,1389,7714,15,15,6,9,0,3,6,0,0,6
55,qm,blue,2537,4821,6893,30,30,9,21,0,12,9,0,0,9
56,qm,red,1915,2914,5243,48,48,12,21,0,15,6,15,0,12
56,qm,blue,3389,1446,686,36,36,12,24,0,18,6,0,0,12
57,qm,red,4472,2912,1111,57,57,12,35,8,21,6,10,0,12
57,qm,blue,3793,5587,3650,69,69,15,54,12,24,18,0,0,15
58,qm,red,5945,6213,4464,25,25,6,19,4,9,6,0,0,6
58,qm,blue,5841,4949,2900,10,10,6,4,4,0,0,0,0,6
59,qm,red,2849,5115,2186,36,36,12,24,0,18,6,0,0,12
59,qm,blue,4456,1727,449,59,59,12,47,8,27,12,0,0,12
60,qm,red,1885,6326,6239,39,39,9,30,12,15,3,0,0,9
60,qm,blue,5830,4514,7770,52,52,12,37,4,21,12,3,0,12
61,qm,red,1915,4464,686,29,29,3,26,2,21,3,0,0,3
61,qm,blue,2912,7714,5945,45,45,12,33,6,18,9,0,0,12
62,qm,red,2537,3389,1389,36,36,15,21,0,12,9,0,0,15
62,qm,blue,4456,1123,5841,36,36,15,15,0,0,15,6,0,15
63,qm,red,4472,6213,1446,32,32,9,23,2,15,6,0,0,9
63,qm,blue,5587,6239,2849,47,47,15,32,8,15,9,0,0,15
64,qm,red,4949,5830,4821,30,30,9,12,0,3,9,9,0,9
64,qm,blue,1727,2914,1111,42,42,12,30,0,18,12,0,0,12
65,qm,red,2900,6326,7770,45,45,9,15,0,9,6,21,0,9
65,qm,blue,4514,449,3650,50,50,12,38,8,21,9,0,0,12
66,qm,red,5243,1885,2186,40,40,9,28,4,21,3,3,0,9
66,qm,blue,5115,3793,6893,45,45,15,30,6,18,6,0,0,15
67,qm,red,3389,5830,4464,39,39,12,24,0,12,12,3,0,12
67,qm,blue,686,1389,6239,49,49,15,34,4,12,18,0,0,15
68,qm,red,4456,7714,4514,42,42,9,33,0,15,18,0,0,9
68,qm,blue,1446,4949,2912,40,40,15,25,4,9,12,0,0,15
69,qm,red,449,7770,6893,54,54,15,30,6,15,9,9,0,15
69,qm,blue,2849,2537,5945,45,45,15,27,0,18,9,3,0,15
70,qm,red,5115,3650,2914,38,38,12,23,2,15,6,3,0,12
70,qm,blue,2900,3793,1885,64,64,12,52,10,24,18,0,0,12
71,qm,red,1727,5243,5841,53,53,15,35,2,21,12,3,0,15
71,qm,blue,4472,5587,6326,71,71,12,59,14,36,9,0,0,12
72,qm,red,4821,2186,1915,36,36,12,21,0,12,9,3,0,12
72,qm,blue,1123,1111,6213,44,44,9,35,2,15,18,0,0,9
1,qf,red,2912,1123,2186,55,55,15,40,4,15,21,0,0,15
1,qf,blue,3650,4514,2914,24,24,12,12,0,12,0,0,0,12
2,qf,red,2912,1123,2186,53,53,15,35,2,12,21,3,0,15
2,qf,blue,3650,4514,2914,41,41,12,26,2,18,6,3,0,12
1,qf,red,7770,4456,6893,45,45,15,30,0,12,18,0,0,15
1,qf,blue,4472,1727,2537,74,74,15,47,8,27,12,12,0,15
2,qf,red,7770,4456,6893,47,47,15,32,2,15,15,0,0,15
2,qf,blue,4472,1727,2537,72,72,15,54,12,30,12,3,0,15
1,qf,red,5587,3793,5830,58,58,15,34,4,21,9,9,0,15
1,qf,blue,6239,686,3389,38,38,15,23,2,6,15,0,0,15
2,qf,red,5587,3793,5830,64,64,15,49,10,21,18,0,0,15
2,qf,blue,6239,686,3389,45,45,9,36,0,15,21,0,0,9
1,qf,red,449,1885,2849,138,138,12,56,14,30,12,70,0,12
1,qf,blue,1111,4821,4464,46,46,12,34,4,24,6,0,0,12
2,qf,red,449,1885,2849,60,60,12,48,12,24,12,0,0,12
2,qf,blue,1111,4821,2900,55,55,12,33,6,24,3,10,0,12
1,sf,red,2912,1123,2186,46,46,15,31,4,18,9,0,0,15
1,sf,blue,4472,1727,2537,64,64,15,49,10,30,9,0,0,15
2,sf,red,2912,1123,2186,46,46,15,28,4,15,9,3,0,15
2,sf,blue,4472,1727,2537,44,44,15,29,2,18,9,0,0,15
3,sf,red,2912,1123,2186,51,51,15,36,0,15,21,0,0,15
3,sf,blue,4472,1727,2537,59,59,9,50,8,30,12,0,0,9
1,sf,red,5587,3793,5830,63,63,15,48,6,21,21,0,0,15
1,sf,blue,449,1885,2849,78,78,15,63,18,36,9,0,0,15
2,sf,red,5587,3793,5830,66,66,15,51,12,21,18,0,0,15
2,sf,blue,449,1885,2849,79,79,12,64,16,36,12,3,0,12
1,f,red,4472,1727,2537,78,78,15,57,12,36,9,6,0,15
1,f,blue,449,1885,2849,80,80,12,62,14,36,12,6,0,12
2,f,red,4472,1727,2537,77,77,15,62,14,36,12,0,0,15
2,f,blue,449,1885,2849,76,76,15,58,16,33,9,3,0,15
3,f,red,4472,1727,2537,55,55,15,40,10,24,6,0,0,15
3,f,blue,449,1885,2849,74,74,12,56,14,30,12,6,0,12
