match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,247,3773,4840,20,20,12,8,2,0,6,0,0,12
1,qm,blue,1504,6101,3770,41,41,12,29,8,3,18,0,0,12
2,qm,red,5567,3656,5530,75,75,12,60,12,30,18,3,0,12
2,qm,blue,6615,5619,5066,32,32,9,23,2,9,12,0,0,9
3,qm,red,6152,5050,3875,80,80,15,45,6,24,15,20,0,15
3,qm,blue,7056,5915,6583,18,18,6,9,0,3,6,3,0,6
4,qm,red,313,7656,7788,50,50,15,29,2,18,9,6,0,15
4,qm,blue,240,6861,6057,63,63,15,38,14,15,9,10,0,15
5,qm,red,862,4405,7175,44,44,9,35,8,21,6,0,0,9
5,qm,blue,7211,6013,4395,61,61,9,25,4,9,12,27,0,9
6,qm,red,6089,1076,2137,28,28,9,19,4,12,3,0,0,9
6,qm,blue,6116,7859,6954,15,15,9,6,0,0,6,0,0,9
7,qm,red,6914,2832,313,37,37,12,16,4,9,3,9,0,12
7,qm,blue,1502,1025,7788,50,50,15,35,2,15,18,0,0,15
8,qm,red,5066,4405,7211,53,53,15,35,8,12,15,3,0,15
8,qm,blue,4840,6861,6583,25,25,9,16,10,3,3,0,0,9
9,qm,red,6615,6152,6116,27,27,9,18,0,9,9,0,0,9
9,qm,blue,862,7656,5050,51,51,15,36,12,9,15,0,0,15
10,qm,red,3773,2137,6013,30,30,9,18,0,12,6,3,0,9
10,qm,blue,7056,6914,5530,49,49,12,31,4,24,3,6,0,12
11,qm,red,6101,5915,1502,18,18,9,9,0,6,3,0,0,9
11,qm,blue,240,3656,1504,58,58,15,40,10,15,15,3,0,15
12,qm,red,7859,4395,3770,30,30,15,12,6,0,6,3,0,15
12,qm,blue,3875,7175,5567,31,31,9,19,4,0,15,3,0,9
13,qm,red,247,6057,5619,36,36,9,24,0,12,12,3,0,9
13,qm,blue,1076,6954,1025,53,53,15,38,2,21,15,0,0,15
14,qm,red,6089,240,5050,57,57,9,38,8,15,15,10,0,9
14,qm,blue,5530,2832,4840,51,51,12,39,12,9,18,0,0,12
15,qm,red,1502,862,313,42,42,12,21,6,6,9,9,0,12
15,qm,blue,6583,7175,7859,21,21,6,15,0,6,9,0,0,6
16,qm,red,3656,247,1076,52,52,12,37,4,18,15,3,0,12
16,qm,blue,1504,6013,4405,29,29,15,14,2,9,3,0,0,15
17,qm,red,3770,6089,6152,15,15,9,6,0,3,3,0,0,9
17,qm,blue,7056,3875,4395,35,35,15,20,2,9,9,0,0,15
18,qm,red,6954,6057,5567,56,56,15,41,8,15,18,0,0,15
18,qm,blue,6116,5066,1025,67,67,15,49,4,24,21,3,0,15
19,qm,red,7211,2137,7788,31,31,12,16,4,6,6,3,0,12
19,qm,blue,3773,7656,5619,27,27,9,18,0,9,9,0,0,9
20,qm,red,6914,6615,6101,37,37,15,22,4,12,6,0,0,15
20,qm,blue,2832,6861,5915,43,43,9,34,10,15,9,0,0,9
21,qm,red,6116,5567,6013,48,48,12,36,6,12,18,0,0,12
21,qm,blue,313,6583,247,37,37,12,22,4,12,6,3,0,12
22,qm,red,7175,1025,3770,58,58,15,40,4,18,18,3,0,15
22,qm,blue,7656,1076,240,32,32,15,17,2,12,3,0,0,15
23,qm,red,6861,1504,862,56,56,9,32,8,18,6,15,0,9
23,qm,blue,5619,5530,2137,41,41,12,29,2,21,6,0,0,12
24,qm,red,7211,2832,6152,37,37,12,25,10,3,12,0,0,12
24,qm,blue,7859,6057,3656,48,48,15,33,0,15,18,0,0,15
25,qm,red,3773,5066,6101,36,36,9,27,6,15,6,0,0,9
25,qm,blue,6914,5915,4405,27,27,12,15,0,12,3,0,0,12
26,qm,red,4395,1502,4840,36,36,12,24,6,9,9,0,0,12
26,qm,blue,6615,7056,6954,46,46,12,24,0,12,12,10,0,12
27,qm,red,1504,3875,6089,43,43,9,31,4,21,6,3,0,9
27,qm,blue,5050,7788,6013,52,52,15,37,4,15,18,0,0,15
28,qm,red,2832,6101,7175,39,39,15,21,6,6,9,3,0,15
28,qm,blue,6583,6152,5567,45,45,9,33,6,12,15,3,0,9
29,qm,red,2137,862,240,66,66,12,51,12,21,18,3,0,12
29,qm,blue,4840,313,1076,29,29,9,20,2,15,3,0,0,9
30,qm,red,1502,5619,6861,35,35,12,23,8,6,9,0,0,12
30,qm,blue,5066,5050,4395,67,67,15,49,10,21,18,3,0,15
31,qm,red,4405,7859,6615,28,28,15,13,4,6,3,0,0,15
31,qm,blue,1025,7056,247,57,57,12,45,6,24,15,0,0,12
32,qm,red,3656,6914,7656,52,52,12,40,4,18,18,0,0,12
32,qm,blue,6057,5530,3875,62,62,15,37,4,18,15,10,0,15
33,qm,red,5915,7788,6089,30,30,15,15,0,12,3,0,0,15
33,qm,blue,7211,6116,3770,29,29,15,14,8,0,6,0,0,15
34,qm,red,1502,3773,7056,33,33,15,15,0,6,9,3,0,15
34,qm,blue,6954,5619,6152,33,33,12,21,0,12,9,0,0,12
35,qm,red,4405,6057,6583,36,36,15,21,0,12,9,0,0,15
35,qm,blue,2137,7859,6861,61,61,9,49,10,21,18,3,0,9
36,qm,red,6914,240,1025,77,77,9,35,8,12,15,33,0,9
36,qm,blue,6089,7175,3656,54,54,15,36,0,18,18,3,0,15
37,qm,red,3875,4840,7211,47,47,9,38,8,21,9,0,0,9
37,qm,blue,1076,5567,3773,73,73,15,52,10,21,21,6,0,15
38,qm,red,5915,313,5066,36,36,15,21,0,15,6,0,0,15
38,qm,blue,2832,247,6615,38,38,15,23,8,12,3,0,0,15
39,qm,red,5530,6116,5050,43,43,12,31,4,24,3,0,0,12
39,qm,blue,7788,4395,1504,55,55,15,31,4,21,6,9,0,15
40,qm,red,6013,3770,7656,41,41,15,26,2,15,9,0,0,15
40,qm,blue,6954,6101,862,42,42,12,30,6,15,9,0,0,12
41,qm,red,313,6615,6089,33,33,15,18,0,9,9,0,0,15
41,qm,blue,6861,3656,3773,65,65,15,50,8,21,21,0,0,15
42,qm,red,4840,7175,7056,45,45,15,27,0,18,9,3,0,15
42,qm,blue,6057,1076,5915,35,35,15,20,2,9,9,0,0,15
43,qm,red,2137,1025,1504,52,52,6,46,4,21,21,0,0,6
43,qm,blue,5066,3770,6583,29,29,12,17,2,3,12,0,0,12
44,qm,red,7211,5530,862,60,60,9,48,12,27,9,3,0,9
44,qm,blue,2832,6954,6013,25,25,15,10,4,6,0,0,0,15
45,qm,red,4395,5567,4405,71,71,15,44,8,9,27,12,0,15
45,qm,blue,5050,6101,7859,49,49,12,37,4,18,15,0,0,12
46,qm,red,6116,6914,5619,14,14,3,11,2,3,6,0,0,3
46,qm,blue,7656,3875,1502,50,50,15,35,2,21,12,0,0,15
47,qm,red,240,7788,2832,60,60,15,45,18,18,9,0,0,15
47,qm,blue,6152,247,2137,52,52,9,43,4,21,18,0,0,9
48,qm,red,5915,3773,5050,60,60,15,45,6,18,21,0,0,15
48,qm,blue,862,6089,7859,51,51,12,39,6,27,6,0,0,12
49,qm,red,6583,1076,3875,47,47,15,32,2,21,9,0,0,15
49,qm,blue,5530,313,6101,65,65,15,47,2,21,24,3,0,15
50,qm,red,3770,4405,247,38,38,15,23,8,12,3,0,0,15
50,qm,blue,7656,6615,7211,47,47,15,32,2,18,12,0,0,15
