match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5282,5235,217,32,32,6,26,2,15,9,0,0,6
1,qm,blue,5224,494,2604,51,51,9,39,12,12,15,3,0,9
2,qm,red,6073,5046,7813,27,27,9,18,6,6,6,0,0,9
2,qm,blue,4961,322,5660,40,40,6,34,4,21,9,0,0,6
3,qm,red,5524,7660,6093,32,32,15,17,14,3,0,0,0,15
3,qm,blue,6638,314,4998,21,21,12,9,0,6,3,0,0,12
4,qm,red,5509,2619,5048,48,48,15,33,6,18,9,0,0,15
4,qm,blue,894,1243,7817,11,11,6,5,2,0,3,0,0,6
5,qm,red,7192,6538,5662,36,36,6,30,6,9,15,0,0,6
5,qm,blue,6085,3667,1684,64,64,12,52,10,24,18,0,0,12
6,qm,red,5166,5712,5517,38,38,12,26,8,0,18,0,0,12
6,qm,blue,5238,3534,6033,46,46,12,34,4,21,9,0,0,12
7,qm,red,5524,6877,5155,41,41,15,23,2,12,9,3,0,15
7,qm,blue,5509,6631,894,18,18,6,12,0,6,6,0,0,6
8,qm,red,5235,5660,7817,26,26,12,11,2,3,6,3,0,12
8,qm,blue,7660,4998,6538,40,40,9,28,16,6,6,3,0,9
9,qm,red,3534,5046,6085,42,42,15,27,12,15,0,0,0,15
9,qm,blue,6638,5712,2604,24,24,6,18,6,0,12,0,0,6
10,qm,red,5155,3667,7813,48,48,9,39,6,15,18,0,0,9
10,qm,blue,6033,5282,5166,41,41,9,32,8,12,12,0,0,9
11,qm,red,5662,5048,322,44,44,15,10,10,0,0,19,0,15
11,qm,blue,6093,5238,494,50,50,15,35,14,12,9,0,0,15
12,qm,red,6631,217,5224,59,59,9,40,4,18,18,10,0,9
12,qm,blue,5517,314,2619,51,51,15,36,6,24,6,0,0,15
13,qm,red,7192,1243,6877,27,27,15,12,0,3,9,0,0,15
13,qm,blue,6073,4961,1684,61,61,12,49,16,24,9,0,0,12
14,qm,red,5155,5662,494,39,39,12,27,6,6,15,0,0,12
14,qm,blue,7817,7813,5712,46,46,12,34,16,0,18,0,0,12
15,qm,red,5046,2619,5166,57,57,15,39,12,18,9,3,0,15
15,qm,blue,6538,5517,5235,33,33,9,18,6,9,3,6,0,9
16,qm,red,6638,5509,5524,31,31,9,22,4,12,6,0,0,9
16,qm,blue,1684,322,5224,57,57,6,41,14,18,9,10,0,6
17,qm,red,6877,5660,3667,59,59,15,44,2,21,21,0,0,15
17,qm,blue,217,5048,6033,63,63,15,48,12,27,9,0,0,15
18,qm,red,6631,1243,6093,33,33,9,24,6,3,15,0,0,9
18,qm,blue,3534,5282,314,65,65,15,44,8,24,12,6,0,15
19,qm,red,2604,4998,894,23,23,9,14,2,3,9,0,0,9
19,qm,blue,7192,4961,5238,57,57,12,33,6,15,12,12,0,12
20,qm,red,6085,6073,5048,49,49,15,34,16,12,6,0,0,15
20,qm,blue,3667,5046,7660,61,61,12,49,10,21,18,0,0,12
21,qm,red,494,5509,7813,52,52,9,43,16,18,9,0,0,9
21,qm,blue,1243,2619,5155,73,73,15,40,4,18,18,18,0,15
22,qm,red,7817,4961,2604,57,57,15,26,2,15,9,16,0,15
22,qm,blue,5517,5662,6033,21,21,9,12,0,6,6,0,0,9
23,qm,red,5166,4998,5660,47,47,15,32,8,18,6,0,0,15
23,qm,blue,6877,6638,1684,43,43,9,34,10,6,18,0,0,9
24,qm,red,894,3534,5224,62,62,12,50,8,27,15,0,0,12
24,qm,blue,6093,6538,6085,58,58,9,29,14,12,3,20,0,9
25,qm,red,7192,5235,322,34,34,9,25,4,15,6,0,0,9
25,qm,blue,314,6631,5238,41,41,9,32,2,21,9,0,0,9
26,qm,red,5712,5524,5282,70,70,15,55,16,18,21,0,0,15
26,qm,blue,217,6073,7660,61,61,12,49,16,24,9,0,0,12
27,qm,red,1684,5155,4998,48,48,12,36,12,9,15,0,0,12
27,qm,blue,3667,5224,5517,54,54,9,45,6,18,21,0,0,9
28,qm,red,5662,6093,5509,29,29,9,20,2,12,6,0,0,9
28,qm,blue,5235,6631,2619,29,29,9,20,2,9,9,0,0,9
29,qm,red,894,314,6085,49,49,15,34,4,21,9,0,0,15
29,qm,blue,6073,5166,7817,43,43,15,28,10,12,6,0,0,15
30,qm,red,7813,5238,1243,52,52,15,34,10,15,9,3,0,15
30,qm,blue,5046,217,5712,70,70,15,55,16,27,12,0,0,15
31,qm,red,2604,3534,322,35,35,9,26,2,15,9,0,0,9
31,qm,blue,5660,7192,5524,25,25,9,16,4,6,6,0,0,9
32,qm,red,5048,6638,4961,57,57,15,42,12,21,9,0,0,15
32,qm,blue,6538,6033,494,65,65,12,28,10,12,6,25,0,12
33,qm,red,5282,7817,7660,61,61,15,40,16,12,12,6,0,15
33,qm,blue,6877,217,5166,66,66,15,48,12,27,9,3,0,15
34,qm,red,5224,5509,7192,64,64,12,42,6,18,18,10,0,12
34,qm,blue,5517,5046,6093,44,44,15,29,14,6,9,0,0,15
35,qm,red,5235,1684,314,65,65,12,53,14,30,9,0,0,12
35,qm,blue,5712,894,4961,60,60,9,51,6,27,18,0,0,9
36,qm,red,2604,7660,1243,34,34,12,22,16,0,6,0,0,12
36,qm,blue,5048,7813,6631,42,42,12,21,12,3,6,9,0,12
37,qm,red,494,5282,4998,62,62,15,47,14,24,9,0,0,15
37,qm,blue,3534,6538,6073,53,53,12,41,8,24,9,0,0,12
38,qm,red,5660,5238,6638,27,27,9,18,0,12,6,0,0,9
38,qm,blue,2619,5524,3667,60,60,12,48,6,21,21,0,0,12
39,qm,red,322,6033,5155,47,47,9,26,2,15,9,12,0,9
39,qm,blue,6085,6877,5662,21,21,12,9,6,0,3,0,0,12
40,qm,red,4961,5517,5509,42,42,12,24,0,18,6,6,0,12
40,qm,blue,7660,5166,5048,65,65,15,50,26,18,6,0,0,15
41,qm,red,6538,314,5046,58,58,15,43,10,27,6,0,0,15
41,qm,blue,7813,1684,6093,53,53,15,38,8,12,18,0,0,15
42,qm,red,5238,894,6877,44,44,12,26,2,15,9,6,0,12
42,qm,blue,1243,6085,494,45,45,15,30,18,9,3,0,0,15
43,qm,red,6033,5712,3667,88,88,9,60,6,24,30,19,0,9
43,qm,blue,322,5524,6631,22,22,9,13,4,0,9,0,0,9
44,qm,red,2619,7192,217,38,38,15,23,8,9,6,0,0,15
44,qm,blue,7817,6638,5224,58,58,12,34,4,15,15,12,0,12
45,qm,red,5155,2604,6073,27,27,15,12,0,9,3,0,0,15
45,qm,blue,3534,5235,4998,37,37,9,28,4,18,6,0,0,9
46,qm,red,5282,5517,6877,42,42,15,27,0,12,15,0,0,15
46,qm,blue,5662,5660,314,47,47,15,32,2,21,9,0,0,15
47,qm,red,7817,494,6631,38,38,15,20,8,6,6,3,0,15
47,qm,blue,5046,5524,4961,31,31,9,22,4,9,9,0,0,9
48,qm,red,7813,6033,6085,21,21,9,12,0,9,3,0,0,9
48,qm,blue,217,5509,4998,44,44,9,35,8,21,6,0,0,9
49,qm,red,3667,7192,6638,61,61,15,46,4,24,18,0,0,15
49,qm,blue,5048,894,5282,43,43,15,28,10,9,9,0,0,15
50,qm,red,6093,5712,5155,63,63,15,39,12,6,21,9,0,15
50,qm,blue,2604,5660,2619,35,35,15,20,2,12,6,0,0,15
51,qm,red,1684,3534,5662,40,40,12,28,10,3,15,0,0,12
51,qm,blue,5235,7660,5238,29,29,9,20,2,12,6,0,0,9
52,qm,red,5166,5224,6538,62,62,12,50,14,18,18,0,0,12
52,qm,blue,322,6073,1243,31,31,6,25,4,6,15,0,0,6
53,qm,red,6033,6093,2619,39,39,15,24,0,15,9,0,0,15
53,qm,blue,5517,494,7192,53,53,15,35,14,15,6,3,0,15
54,qm,red,6631,6638,7660,43,43,9,22,16,0,6,12,0,9
54,qm,blue,5155,894,5235,69,69,12,37,4,18,15,20,0,12
55,qm,red,5712,5048,3534,78,78,15,63,18,27,18,0,0,15
55,qm,blue,322,5166,7813,33,33,12,21,6,6,9,0,0,12
56,qm,red,5238,2604,6538,43,43,12,28,4,18,6,3,0,12
56,qm,blue,5509,6877,6073,42,42,12,30,0,18,12,0,0,12
57,qm,red,4961,217,1243,85,85,15,40,4,24,12,30,0,15
57,qm,blue,4998,5662,5524,36,36,15,21,6,3,12,0,0,15
58,qm,red,1684,7817,5046,69,69,15,54,12,24,18,0,0,15
58,qm,blue,5224,6085,5282,64,64,15,46,4,21,21,3,0,15
59,qm,red,314,3667,5509,70,70,12,58,10,30,18,0,0,12
59,qm,blue,5660,494,3534,56,56,15,41,14,21,6,0,0,15
60,qm,red,5166,5662,6638,31,31,15,16,10,0,6,0,0,15
60,qm,blue,7813,2604,7192,24,24,15,9,0,0,9,0,0,15
61,qm,red,1684,6538,217,63,63,12,51,12,21,18,0,0,12
61,qm,blue,6631,5155,5046,54,54,15,39,6,21,12,0,0,15
62,qm,red,6085,5235,5524,56,56,15,38,8,12,18,3,0,15
62,qm,blue,1243,5517,5660,67,67,12,31,4,18,9,24,0,12
63,qm,red,314,6093,6073,76,76,15,51,12,27,12,10,0,15
63,qm,blue,5048,7817,3667,67,67,15,46,10,18,18,6,0,15
64,qm,red,5224,2619,5712,64,64,15,46,16,9,21,3,0,15
64,qm,blue,4998,4961,6877,44,44,12,32,2,21,9,0,0,12
65,qm,red,5238,322,5282,15,15,3,12,0,3,9,0,0,3
65,qm,blue,894,7660,6033,54,54,12,42,12,21,9,0,0,12
66,qm,red,217,7813,5517,48,48,15,33,6,18,9,0,0,15
66,qm,blue,6638,6093,5235,30,30,9,21,0,18,3,0,0,9
67,qm,red,2619,7817,3534,64,64,9,46,10,27,9,9,0,9
67,qm,blue,5524,5048,1684,66,66,15,48,18,12,18,3,0,15
68,qm,red,494,5166,894,44,44,15,26,14,6,6,3,0,15
68,qm,blue,5046,5224,5660,78,78,15,53,8,24,21,10,0,15
69,qm,red,4998,6085,322,21,21,9,9,0,0,9,3,0,9
69,qm,blue,4961,5282,6631,65,65,12,47,8,27,12,6,0,12
70,qm,red,5712,7660,7192,68,68,15,53,20,15,18,0,0,15
70,qm,blue,5509,5155,6538,57,57,12,45,6,21,18,0,0,12
71,qm,red,314,6033,2604,47,47,15,32,2,21,9,0,0,15
71,qm,blue,6073,5238,5662,44,44,12,29,2,15,12,3,0,12
72,qm,red,1243,3667,5235,55,55,9,43,4,18,21,3,0,9
72,qm,blue,6877,322,7817,21,21,12,9,0,0,9,0,0,12
73,qm,red,5524,217,3534,56,56,15,41,8,21,12,0,0,15
73,qm,blue,6093,7192,5166,49,49,15,31,16,9,6,3,0,15
74,qm,red,5660,6073,6631,57,57,12,42,6,15,21,3,0,12
74,qm,blue,2619,6085,6638,64,64,9,40,10,24,6,15,0,9
75,qm,red,4998,5224,5048,59,59,12,47,14,15,18,0,0,12
75,qm,blue,5662,7813,894,45,45,15,30,6,18,6,0,0,15
76,qm,red,5517,1684,5238,58,58,12,46,4,24,18,0,0,12
76,qm,blue,494,6877,5712,75,75,15,51,18,3,30,9,0,15
77,qm,red,6538,3667,4961,76,76,12,64,16,30,18,0,0,12
77,qm,blue,5282,2604,5509,44,44,15,29,2,18,9,0,0,15
78,qm,red,6033,1243,5046,48,48,9,39,6,18,15,0,0,9
78,qm,blue,7660,5155,314,60,60,15,42,12,24,6,3,0,15
1,qf,red,3534,5224,5660,55,55,15,40,4,21,15,0,0,15
1,qf,blue,4961,6033,7660,60,60,12,48,12,24,12,0,0,12
2,qf,red,3534,5224,5660,63,63,15,48,6,24,18,0,0,15
2,qf,blue,4961,6033,7660,64,64,12,52,10,33,9,0,0,12
1,qf,red,5048,1684,5282,68,68,15,50,14,15,21,3,0,15
1,qf,blue,5166,217,6085,57,57,15,42,12,21,9,0,0,15
2,qf,red,5048,1684,5282,72,72,15,57,12,24,21,0,0,15
2,qf,blue,5166,217,6085,54,54,15,39,12,21,6,0,0,15
1,qf,red,494,3667,6093,81,81,15,54,18,21,15,12,0,15
1,qf,blue,2619,5046,5235,31,31,15,16,4,6,6,0,0,15
2,qf,red,494,3667,6093,71,71,15,56,14,24,18,0,0,15
2,qf,blue,2619,5046,5235,43,43,15,28,4,18,6,0,0,15
1,qf,red,314,5712,6073,73,73,15,58,10,27,21,0,0,15
1,qf,blue,6538,5155,5509,52,52,15,37,4,21,12,0,0,15
2,qf,red,314,5712,6073,0,0,15,49,10,21,18,3,-67,15
2,qf,blue,6538,5155,5509,88,88,12,50,8,24,18,26,0,12
3,qf,red,314,5712,6073,66,66,15,51,6,27,18,0,0,15
3,qf,blue,6538,5155,5509,42,42,12,30,6,21,3,0,0,12
1,sf,red,4961,6033,7660,61,61,12,49,10,27,12,0,0,12
1,sf,blue,5048,1684,5282,68,68,15,53,14,21,18,0,0,15
2,sf,red,4961,6033,7660,64,64,15,43,10,24,9,6,0,15
2,sf,blue,5048,1684,5282,71,71,15,53,14,21,18,3,0,15
1,sf,red,494,3667,6093,74,74,15,56,14,24,18,3,0,15
1,sf,blue,314,5712,6073,56,56,15,41,14,15,12,0,0,15
2,sf,red,494,3667,6093,77,77,15,59,14,27,18,3,0,15
2,sf,blue,314,5712,6073,54,54,15,39,6,18,15,0,0,15
1,f,red,5048,1684,5282,64,64,15,49,16,18,15,0,0,15
1,f,blue,494,3667,6093,70,70,15,55,16,24,15,0,0,15
2,f,red,5048,1684,5282,69,69,15,54,12,24,18,0,0,15
2,f,blue,494,3667,6093,77,77,15,56,14,24,18,6,0,15
