match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7209,5685,5227,28,28,6,22,4,9,9,0,0,6
1,qm,blue,6556,5708,4327,22,22,9,7,4,3,0,6,0,9
2,qm,red,6137,4381,5256,33,33,12,21,0,12,9,0,0,12
2,qm,blue,3658,4408,6150,35,35,12,23,8,0,15,0,0,12
3,qm,red,5559,4482,2054,70,70,12,48,12,18,18,10,0,12
3,qm,blue,5710,6580,503,30,30,12,18,12,3,3,0,0,12
4,qm,red,7794,7203,5205,42,42,9,33,6,15,12,0,0,9
4,qm,blue,6425,5926,6002,44,44,12,32,8,6,18,0,0,12
5,qm,red,7811,6138,1918,34,34,12,22,4,9,9,0,0,12
5,qm,blue,7144,4568,5676,56,56,9,47,8,30,9,0,0,9
6,qm,red,5674,7219,7223,35,35,12,23,2,12,9,0,0,12
6,qm,blue,6053,830,6092,17,17,6,8,2,6,0,3,0,6
7,qm,red,6556,4453,5501,35,35,15,20,2,9,9,0,0,15
7,qm,blue,7911,6425,6580,47,47,9,38,8,12,18,0,0,9
8,qm,red,6150,4327,503,21,21,12,9,6,0,3,0,0,12
8,qm,blue,5926,7144,5710,43,43,15,28,4,6,18,0,0,15
9,qm,red,3658,7209,5205,45,45,9,36,12,21,3,0,0,9
9,qm,blue,7223,5227,4408,20,20,3,17,2,3,12,0,0,3
10,qm,red,7219,6053,4482,28,28,9,10,4,0,6,9,0,9
10,qm,blue,5676,6002,5685,52,52,9,43,10,15,18,0,0,9
11,qm,red,830,5708,7203,16,16,6,10,4,0,6,0,0,6
11,qm,blue,4568,7911,5674,41,41,15,26,2,18,6,0,0,15
12,qm,red,4453,2054,5256,48,48,15,33,6,18,9,0,0,15
12,qm,blue,6092,4381,1918,41,41,6,35,8,9,18,0,0,6
13,qm,red,5559,6137,6138,21,21,6,15,0,6,9,0,0,6
13,qm,blue,5501,7794,7811,32,32,9,23,2,6,15,0,0,9
14,qm,red,830,4408,6556,39,39,9,30,6,6,18,0,0,9
14,qm,blue,5205,4482,4327,33,33,9,24,6,15,3,0,0,9
15,qm,red,5708,7144,6150,9,9,6,3,0,0,3,0,0,6
15,qm,blue,7203,3658,5685,22,22,0,12,6,3,3,10,0,0
16,qm,red,4568,5227,5501,49,49,9,40,4,15,21,0,0,9
16,qm,blue,6002,6092,7223,29,29,3,26,8,15,3,0,0,3
17,qm,red,503,5256,7811,31,31,12,19,10,3,6,0,0,12
17,qm,blue,5710,7219,6138,36,36,15,21,6,3,12,0,0,15
18,qm,red,4381,5559,5676,51,51,9,42,12,21,9,0,0,9
18,qm,blue,7209,5926,5674,45,45,15,20,2,3,15,10,0,15
19,qm,red,4453,7911,7794,46,46,15,21,0,12,9,10,0,15
19,qm,blue,6053,6580,6137,27,27,6,21,6,6,9,0,0,6
20,qm,red,2054,1918,7203,79,79,9,50,14,18,18,20,0,9
20,qm,blue,6425,6138,6150,27,27,15,12,0,6,6,0,0,15
21,qm,red,5685,7811,7219,14,14,6,8,2,0,6,0,0,6
21,qm,blue,3658,6556,4381,45,45,12,33,6,21,6,0,0,12
22,qm,red,503,7144,6002,50,50,12,35,14,3,18,3,0,12
22,qm,blue,7209,6092,6137,27,27,9,18,0,15,3,0,0,9
23,qm,red,4327,4453,4408,43,43,12,31,4,18,9,0,0,12
23,qm,blue,5205,4568,2054,82,82,12,60,12,33,15,10,0,12
24,qm,red,1918,6053,5676,67,67,12,55,16,24,15,0,0,12
24,qm,blue,5708,5710,5501,45,45,15,30,0,12,18,0,0,15
25,qm,red,7911,7223,5926,38,38,9,29,2,9,18,0,0,9
25,qm,blue,5256,6580,4482,67,67,15,52,10,24,18,0,0,15
26,qm,red,5674,5559,830,35,35,15,20,8,3,9,0,0,15
26,qm,blue,7794,6425,5227,39,39,15,14,2,6,6,10,0,15
27,qm,red,7219,5676,6092,38,38,12,26,8,15,3,0,0,12
27,qm,blue,7144,3658,4327,22,22,15,7,4,3,0,0,0,15
28,qm,red,5708,1918,4568,25,25,6,19,4,15,0,0,0,6
28,qm,blue,6137,5205,5926,25,25,12,13,4,6,3,0,0,12
29,qm,red,7794,5710,7209,42,42,15,27,6,12,9,0,0,15
29,qm,blue,4482,7203,6556,44,44,9,35,14,3,18,0,0,9
30,qm,red,5685,5256,6425,22,22,6,6,0,3,3,10,0,6
30,qm,blue,4453,5674,5227,37,37,15,22,4,6,12,0,0,15
31,qm,red,6580,5501,6002,63,63,12,51,12,15,24,0,0,12
31,qm,blue,4381,830,503,43,43,9,34,10,18,6,0,0,9
32,qm,red,5559,6053,7911,36,36,9,27,0,18,9,0,0,9
