match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7174,468,3707,52,52,6,37,4,24,9,9,0,6
1,qm,blue,5460,6078,6193,66,66,15,45,12,24,9,6,0,15
2,qm,red,5561,6071,7783,40,40,15,25,4,3,18,0,0,15
2,qm,blue,3536,5214,7598,43,43,12,22,4,6,12,9,0,12
3,qm,red,5697,6545,66,35,35,9,26,8,15,3,0,0,9
3,qm,blue,4776,7791,5562,29,29,3,16,4,9,3,10,0,3
4,qm,red,4362,7912,7188,6,6,0,6,0,0,6,0,0,0
4,qm,blue,5053,67,5167,39,39,6,23,2,18,3,10,0,6
5,qm,red,835,7220,6610,26,26,6,20,2,12,6,0,0,6
5,qm,blue,308,7254,3668,49,49,12,37,10,18,9,0,0,12
6,qm,red,5263,6550,7818,28,28,15,13,4,6,3,0,0,15
6,qm,blue,3098,7553,6344,57,57,9,45,12,12,21,3,0,9
7,qm,red,7195,5603,5562,32,32,9,23,8,6,9,0,0,9
7,qm,blue,7225,7178,468,18,18,6,12,0,3,9,0,0,6
8,qm,red,3668,6078,5167,43,43,12,31,4,21,6,0,0,12
8,qm,blue,66,6610,67,52,52,12,40,4,18,18,0,0,12
9,qm,red,7791,5053,7188,31,31,9,19,4,12,3,3,0,9
9,qm,blue,5460,308,6071,54,54,15,39,18,15,6,0,0,15
10,qm,red,5697,835,5561,51,51,12,39,6,15,18,0,0,12
10,qm,blue,7225,7818,7783,30,30,12,18,0,6,12,0,0,12
11,qm,red,3098,6193,7598,43,43,15,28,10,6,12,0,0,15
11,qm,blue,6550,7912,7195,23,23,9,11,8,0,3,3,0,9
12,qm,red,6344,6545,3707,64,64,12,46,4,24,18,6,0,12
12,qm,blue,5603,7178,7220,34,34,9,25,4,12,9,0,0,9
13,qm,red,5214,4362,7553,23,23,6,17,2,9,6,0,0,6
13,qm,blue,3536,7254,4776,59,59,15,44,8,18,18,0,0,15
14,qm,red,5263,5460,5053,36,36,15,21,6,6,9,0,0,15
