match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5473,244,288,9,9,3,3,0,0,3,3,0,3
1,qm,blue,3688,5204,5878,28,28,15,13,4,3,6,0,0,15
2,qm,red,4409,5980,3620,53,53,15,38,2,18,18,0,0,15
2,qm,blue,5927,7814,5152,45,45,15,30,6,15,9,0,0,15
3,qm,red,3452,6568,74,31,31,6,25,4,15,6,0,0,6
3,qm,blue,7234,4337,5110,17,17,6,11,2,3,6,0,0,6
4,qm,red,5182,1940,5194,12,12,3,9,6,0,3,0,0,3
4,qm,blue,4325,5462,4003,34,34,6,28,4,15,9,0,0,6
5,qm,red,1254,4237,2767,43,43,6,37,4,18,15,0,0,6
5,qm,blue,3603,2959,5248,31,31,9,16,4,9,3,6,0,9
6,qm,red,7210,6588,7809,17,17,6,11,2,0,9,0,0,6
6,qm,blue,5610,85,5056,36,36,9,24,6,12,6,3,0,9
7,qm,red,2337,5535,6568,33,33,9,24,0,15,9,0,0,9
7,qm,blue,216,6627,5110,16,16,6,10,4,3,3,0,0,6
8,qm,red,1254,5204,5194,29,29,9,20,8,6,6,0,0,9
8,qm,blue,4337,3620,4237,60,60,12,45,6,24,15,3,0,12
9,qm,red,288,5610,7234,15,15,6,9,0,0,9,0,0,6
9,qm,blue,4409,1940,3603,26,26,6,20,2,12,6,0,0,6
10,qm,red,216,3688,5535,38,38,9,29,2,21,6,0,0,9
10,qm,blue,2767,5462,5248,51,51,9,42,6,18,18,0,0,9
11,qm,red,5927,2959,4325,49,49,15,34,10,3,21,0,0,15
11,qm,blue,7210,6627,5152,32,32,9,23,2,12,9,0,0,9
12,qm,red,3452,5473,7809,30,30,9,21,0,3,18,0,0,9
12,qm,blue,6588,5980,5182,18,18,6,12,0,3,9,0,0,6
13,qm,red,5878,2337,85,43,43,12,31,4,18,9,0,0,12
13,qm,blue,4003,7814,5056,34,34,6,25,4,15,6,3,0,6
14,qm,red,2767,74,3688,62,62,15,41,8,12,21,6,0,15
14,qm,blue,7210,5610,244,20,20,6,11,2,0,9,3,0,6
15,qm,red,1940,288,6588,18,18,3,15,0,6,9,0,0,3
15,qm,blue,3452,3620,5535,38,38,6,32,2,15,15,0,0,6
16,qm,red,4325,7809,5056,50,50,12,38,14,18,6,0,0,12
16,qm,blue,5204,5473,6568,18,18,9,9,0,9,0,0,0,9
17,qm,red,85,216,5927,44,44,9,35,8,12,15,0,0,9
17,qm,blue,4337,4003,1254,46,46,12,34,4,12,18,0,0,12
18,qm,red,5878,5182,244,32,32,12,20,8,6,6,0,0,12
18,qm,blue,5152,3603,5980,33,33,12,13,4,0,9,10,-2,12
19,qm,red,7234,5248,2337,36,36,6,30,0,15,15,0,0,6
19,qm,blue,4237,6627,74,42,42,6,33,6,21,6,3,0,6
20,qm,red,5462,5110,2959,26,26,6,14,2,3,9,6,0,6
20,qm,blue,4409,5194,7814,54,54,15,29,8,12,9,10,0,15
21,qm,red,2767,5980,1940,66,66,9,47,8,21,18,10,0,9
21,qm,blue,5056,5152,6568,38,38,12,23,2,12,9,3,0,12
22,qm,red,2337,4337,7210,44,44,9,35,2,18,15,0,0,9
22,qm,blue,5535,6588,5610,34,34,9,25,4,12,9,0,0,9
23,qm,red,85,288,5110,44,44,15,26,2,15,9,3,0,15
23,qm,blue,4237,2959,5182,40,40,9,31,4,18,9,0,0,9
24,qm,red,4003,5473,3688,65,65,15,50,8,21,21,0,0,15
24,qm,blue,3603,5927,7234,40,40,6,34,4,18,12,0,0,6
25,qm,red,4409,5878,5462,27,27,3,24,0,15,9,0,0,3
25,qm,blue,5204,3620,216,54,54,12,42,6,21,15,0,0,12
26,qm,red,5248,7814,74,36,36,12,24,0,15,9,0,0,12
26,qm,blue,5194,4325,3452,54,54,15,39,18,12,9,0,0,15
27,qm,red,244,1254,5110,26,26,15,11,2,6,3,0,0,15
27,qm,blue,6627,7809,1940,11,11,6,5,2,0,3,0,0,6
28,qm,red,4237,6568,5462,42,42,9,23,2,12,9,10,0,9
28,qm,blue,3620,7210,2959,39,39,12,18,0,0,18,9,0,12
29,qm,red,5152,85,6588,45,45,9,24,0,12,12,12,0,9
29,qm,blue,7234,2767,5204,60,60,9,45,6,24,15,6,0,9
30,qm,red,4337,5927,5473,60,60,15,35,8,18,9,10,0,15
30,qm,blue,288,216,7814,27,27,12,15,0,9,6,0,0,12
31,qm,red,6627,5878,5194,16,16,9,4,4,0,0,3,0,9
31,qm,blue,3688,7809,5980,52,52,15,37,4,24,9,0,0,15
32,qm,red,1254,5248,3452,32,32,12,20,8,9,3,0,0,12
32,qm,blue,2337,4409,5182,47,47,12,35,8,21,6,0,0,12
33,qm,red,5610,4325,3603,41,41,3,28,10,0,18,10,0,3
33,qm,blue,5056,244,5535,46,46,12,34,10,18,6,0,0,12
34,qm,red,4003,6588,6627,31,31,9,22,4,12,6,0,0,9
34,qm,blue,74,5462,5473,42,42,9,33,6,21,6,0,0,9
35,qm,red,2337,2767,3452,71,71,12,56,14,24,18,3,0,12
35,qm,blue,5878,7809,5927,53,53,15,38,14,18,6,0,0,15
36,qm,red,5056,4237,288,40,40,9,31,4,18,9,0,0,9
36,qm,blue,5610,1254,5152,48,48,12,30,6,18,6,6,0,12
37,qm,red,2959,4337,244,32,32,12,20,2,15,3,0,0,12
37,qm,blue,5248,5110,1940,34,34,9,22,4,12,6,3,0,9
38,qm,red,3620,4003,85,51,51,9,42,6,15,21,0,0,9
38,qm,blue,4325,3688,4409,66,66,15,51,6,27,18,0,0,15
39,qm,red,7814,5204,5980,36,36,9,21,6,6,9,6,0,9
39,qm,blue,5535,74,7234,46,46,9,31,4,18,9,6,0,9
40,qm,red,216,3603,5182,32,32,12,20,2,6,12,0,0,12
40,qm,blue,5194,6568,7210,36,36,15,21,12,0,9,0,0,15
41,qm,red,7809,1254,3620,36,36,15,21,6,6,9,0,0,15
41,qm,blue,2959,5056,2337,57,57,9,45,6,24,15,3,0,9
42,qm,red,6588,4409,4237,36,36,15,21,0,15,6,0,0,15
42,qm,blue,4325,5110,2767,66,66,15,48,6,24,18,3,0,15
43,qm,red,74,1940,7210,36,36,12,24,0,18,6,0,0,12
43,qm,blue,4003,5248,5878,56,56,9,47,8,21,18,0,0,9
44,qm,red,5980,6568,5610,28,28,12,16,10,0,6,0,0,12
44,qm,blue,7814,3452,85,56,56,15,38,2,15,21,3,0,15
45,qm,red,5462,5152,4337,38,38,15,23,2,9,12,0,0,15
45,qm,blue,3603,5535,5473,42,42,12,24,6,9,9,6,0,12
46,qm,red,6627,3688,7234,33,33,6,27,0,18,9,0,0,6
46,qm,blue,5204,5182,288,29,29,9,20,2,9,9,0,0,9
47,qm,red,5927,244,4409,60,60,15,45,12,21,12,0,0,15
47,qm,blue,5194,216,6588,46,46,15,31,16,9,6,0,0,15
48,qm,red,74,3603,5878,37,37,9,25,4,12,9,3,0,9
48,qm,blue,2959,85,1254,39,39,15,24,0,12,12,0,0,15
49,qm,red,3452,288,7210,44,44,15,29,8,3,18,0,0,15
49,qm,blue,5152,4325,2337,62,62,12,50,8,24,18,0,0,12
50,qm,red,5182,7234,4003,35,35,9,26,2,6,18,0,0,9
50,qm,blue,3620,244,2767,52,52,12,37,4,15,18,3,0,12
51,qm,red,5110,5056,5473,46,46,9,28,4,15,9,9,0,9
51,qm,blue,4337,5535,5980,34,34,6,28,4,15,9,0,0,6
52,qm,red,5927,4237,3688,50,50,15,35,8,18,9,0,0,15
52,qm,blue,1940,7814,6568,33,33,9,14,2,3,9,10,0,9
53,qm,red,5462,5204,5610,44,44,9,22,4,9,9,13,0,9
