match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5464,2574,3102,59,59,15,44,8,18,18,0,0,15
1,qm,blue,5299,6146,2503,33,33,9,24,6,0,18,0,0,9
2,qm,red,6217,6628,3381,51,51,15,30,6,21,3,6,0,15
2,qm,blue,4845,5638,167,61,61,15,36,12,21,3,10,0,15
3,qm,red,3294,5253,4728,42,42,6,36,6,15,15,0,0,6
3,qm,blue,4166,6318,5999,17,17,6,11,2,0,9,0,0,6
4,qm,red,7864,5690,4217,23,23,9,14,2,9,3,0,0,9
4,qm,blue,3275,4230,7893,17,17,9,8,2,0,6,0,0,9
5,qm,red,3750,5586,4009,66,66,6,57,12,30,15,3,0,6
5,qm,blue,5542,5348,7797,53,53,9,44,8,21,15,0,0,9
6,qm,red,6047,6160,2506,29,29,6,20,8,3,9,3,0,6
6,qm,blue,3755,5991,7041,43,43,3,37,10,12,15,3,0,3
7,qm,red,4207,2531,1816,51,51,12,39,6,15,18,0,0,12
7,qm,blue,3277,4674,3008,42,42,6,18,6,3,9,18,0,6
8,qm,red,2264,2526,5653,42,42,9,33,0,12,21,0,0,9
8,qm,blue,3291,3740,7235,34,34,12,22,4,9,9,0,0,12
9,qm,red,6022,7068,4511,36,36,12,24,6,12,6,0,0,12
9,qm,blue,6045,4741,4480,43,43,6,37,16,12,9,0,0,6
10,qm,red,5913,2977,93,12,12,6,6,0,3,3,0,0,6
10,qm,blue,4238,5290,6453,12,12,6,6,6,0,0,0,0,6
11,qm,red,5999,4539,5348,56,56,12,44,14,15,15,0,0,12
11,qm,blue,3134,3381,3276,36,36,9,27,0,9,18,0,0,9
12,qm,red,3275,2506,4009,58,58,6,49,10,21,18,3,0,6
12,qm,blue,3277,3294,2503,57,57,9,24,6,3,15,24,0,9
13,qm,red,4674,4845,5586,25,25,6,19,10,6,3,0,0,6
13,qm,blue,4728,5991,3102,64,64,12,52,16,18,18,0,0,12
14,qm,red,7893,7068,3740,47,47,15,32,8,18,6,0,0,15
14,qm,blue,7797,5638,6160,61,61,9,40,10,15,15,12,0,9
15,qm,red,5653,4741,167,73,73,9,49,16,24,9,15,0,9
15,qm,blue,6453,3755,1816,38,38,9,29,2,9,18,0,0,9
16,qm,red,6217,4238,3291,31,31,9,13,4,0,9,9,0,9
16,qm,blue,5464,6146,4166,26,26,9,17,2,9,6,0,0,9
17,qm,red,5290,2264,4207,43,43,15,28,4,9,15,0,0,15
17,qm,blue,7041,6045,3134,59,59,15,44,8,18,18,0,0,15
18,qm,red,4511,3276,7864,28,28,6,22,4,9,9,0,0,6
18,qm,blue,3750,93,4217,39,39,6,33,12,15,6,0,0,6
19,qm,red,4480,5253,7235,35,35,15,20,2,12,6,0,0,15
19,qm,blue,4539,5690,6047,43,43,9,34,4,15,15,0,0,9
20,qm,red,2574,6628,2531,37,37,12,22,4,15,3,3,0,12
20,qm,blue,2977,5542,6022,37,37,12,25,4,12,9,0,0,12
21,qm,red,6318,4230,2526,22,22,9,13,4,0,9,0,0,9
21,qm,blue,3008,5913,5299,18,18,9,3,0,0,3,6,0,9
