match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7019,4531,876,43,43,6,37,10,12,15,0,0,6
1,qm,blue,6624,5903,6574,34,34,9,25,4,15,6,0,0,9
2,qm,red,2491,3054,2501,47,47,15,32,8,18,6,0,0,15
2,qm,blue,4593,7103,6758,57,57,9,25,4,15,6,23,0,9
3,qm,red,4859,3883,3754,39,39,9,21,6,6,9,9,0,9
3,qm,blue,4624,3267,4703,23,23,12,11,2,3,6,0,0,12
4,qm,red,2846,4607,7311,27,27,12,9,0,3,6,6,0,12
4,qm,blue,3630,5434,5720,19,19,9,10,4,0,6,0,0,9
5,qm,red,2470,4623,6044,13,13,3,10,4,0,6,0,0,3
5,qm,blue,2512,3691,4182,46,46,15,28,4,18,6,3,0,15
6,qm,red,2511,7028,3297,28,28,3,25,4,18,3,0,0,3
6,qm,blue,2826,4198,525,63,63,15,48,6,24,18,0,0,15
7,qm,red,3100,2052,2450,65,65,15,50,8,24,18,0,0,15
7,qm,blue,2987,2823,5019,48,48,15,23,8,9,6,10,0,15
8,qm,red,2499,5232,1792,37,37,12,25,10,9,6,0,0,12
8,qm,blue,3081,3212,4693,49,49,15,34,16,9,9,0,0,15
9,qm,red,5143,6707,7530,15,15,3,12,6,0,6,0,0,3
9,qm,blue,2847,6147,4226,41,41,12,29,2,21,6,0,0,12
10,qm,red,2509,3130,6819,17,17,3,14,2,6,6,0,0,3
10,qm,blue,1732,6132,2861,47,47,9,38,20,9,9,0,0,9
11,qm,red,4703,4531,7311,16,16,6,10,4,0,6,0,0,6
11,qm,blue,3297,2826,2512,32,32,9,23,2,18,3,0,0,9
12,qm,red,2501,6758,2470,40,40,9,31,16,9,6,0,0,9
12,qm,blue,3267,2450,7028,48,48,12,36,12,15,9,0,0,12
13,qm,red,3054,4693,4859,20,20,3,17,2,9,6,0,0,3
13,qm,blue,3630,7019,525,66,66,9,57,12,27,18,0,0,9
14,qm,red,7103,876,2499,45,45,6,39,18,12,9,0,0,6
14,qm,blue,4607,5720,3691,46,46,6,40,10,18,12,0,0,6
15,qm,red,4182,4593,5903,60,60,12,48,12,24,12,0,0,12
15,qm,blue,3081,3130,2987,33,33,15,18,0,12,6,0,0,15
16,qm,red,4624,4198,1732,44,44,9,35,14,3,18,0,0,9
16,qm,blue,5019,1792,5143,31,31,9,22,4,3,15,0,0,9
17,qm,red,6574,3883,3100,50,50,6,41,2,21,18,3,0,6
17,qm,blue,2847,2052,5232,65,65,15,38,2,18,18,12,0,15
18,qm,red,4623,6819,5434,55,55,9,34,4,21,9,12,0,9
18,qm,blue,2509,6044,6147,21,21,6,15,6,6,3,0,0,6
19,qm,red,2823,2511,3212,58,58,9,49,10,21,18,0,0,9
19,qm,blue,2491,7530,4226,53,53,15,38,8,18,12,0,0,15
20,qm,red,3754,2861,2846,23,23,6,14,8,3,3,3,0,6
20,qm,blue,6132,6624,6707,43,43,15,28,4,18,6,0,0,15
21,qm,red,4593,1732,2450,40,40,6,34,10,18,6,0,0,6
21,qm,blue,7311,4859,876,53,53,6,47,8,21,18,0,0,6
22,qm,red,3130,3100,2512,38,38,3,35,2,18,15,0,0,3
22,qm,blue,3630,2499,6758,43,43,9,31,10,12,9,3,0,9
23,qm,red,1792,4693,5720,40,40,15,25,4,3,18,0,0,15
23,qm,blue,6147,2987,2826,51,51,12,36,6,12,18,3,0,12
24,qm,red,4703,5019,7530,40,40,9,31,16,6,9,0,0,9
24,qm,blue,4531,2470,5232,37,37,12,25,4,15,6,0,0,12
25,qm,red,525,4226,6574,65,65,9,53,14,21,18,3,0,9
25,qm,blue,2861,6044,3081,30,30,9,21,6,6,9,0,0,9
26,qm,red,2491,3754,2052,46,46,15,31,4,15,12,0,0,15
26,qm,blue,7019,4623,4198,31,31,6,22,4,15,3,3,0,6
27,qm,red,2846,3267,2511,29,29,12,17,8,6,3,0,0,12
27,qm,blue,2847,4182,6819,65,65,15,50,8,30,12,0,0,15
28,qm,red,5903,6132,5143,59,59,9,40,10,21,9,10,0,9
28,qm,blue,5434,3212,3054,49,49,15,28,10,9,9,6,0,15
29,qm,red,6707,4624,3883,43,43,15,28,4,12,12,0,0,15
29,qm,blue,7103,6624,7028,43,43,9,31,10,12,9,3,0,9
30,qm,red,3691,2509,2823,48,48,12,36,12,18,6,0,0,12
30,qm,blue,2501,3297,4607,41,41,6,35,8,24,3,0,0,6
31,qm,red,4226,4859,2987,54,54,15,36,6,21,9,3,0,15
31,qm,blue,4531,6758,4198,42,42,9,30,6,6,18,3,0,9
32,qm,red,5720,2491,2470,58,58,12,34,10,15,9,12,0,12
32,qm,blue,6574,6819,3754,31,31,9,22,4,12,6,0,0,9
33,qm,red,7019,2847,5434,40,40,12,28,4,18,6,0,0,12
33,qm,blue,2450,525,4182,70,70,15,46,4,24,18,9,0,15
34,qm,red,2512,876,2861,47,47,12,35,14,12,9,0,0,12
34,qm,blue,3100,3212,2826,76,76,15,61,10,33,18,0,0,15
35,qm,red,5903,3630,2823,51,51,9,39,12,21,6,3,0,9
35,qm,blue,4623,7103,1792,49,49,6,43,10,15,18,0,0,6
36,qm,red,5232,2846,5019,34,34,15,19,4,9,6,0,0,15
36,qm,blue,7311,7028,3691,61,61,12,46,16,21,9,3,0,12
37,qm,red,2499,6147,4607,40,40,9,31,4,21,6,0,0,9
37,qm,blue,6132,2501,3883,53,53,9,26,8,15,3,18,0,9
38,qm,red,7530,4693,6624,42,42,15,27,0,18,9,0,0,15
38,qm,blue,4703,2052,2509,60,60,15,45,6,21,18,0,0,15
39,qm,red,2511,3081,4624,56,56,12,44,8,18,18,0,0,12
39,qm,blue,3054,1732,3130,37,37,12,25,4,15,6,0,0,12
40,qm,red,5143,4593,3267,38,38,9,29,8,15,6,0,0,9
40,qm,blue,6707,6044,3297,18,18,12,6,0,0,6,0,0,12
41,qm,red,4859,2512,2491,31,31,15,13,4,6,3,3,0,15
41,qm,blue,5434,2861,5903,47,47,9,29,8,18,3,9,0,9
42,qm,red,4607,2847,3212,56,56,9,47,14,27,6,0,0,9
42,qm,blue,3754,6758,7311,20,20,3,17,2,12,3,0,0,3
43,qm,red,2501,6624,525,64,64,15,49,10,21,18,0,0,15
43,qm,blue,4623,5232,5720,47,47,15,29,2,18,9,3,0,15
44,qm,red,2052,7103,3630,58,58,12,46,4,24,18,0,0,12
44,qm,blue,4182,4226,1732,54,54,15,39,12,18,9,0,0,15
45,qm,red,7028,5143,3130,54,54,9,45,12,15,18,0,0,9
45,qm,blue,2987,1792,4531,67,67,12,52,10,21,21,3,0,12
46,qm,red,2499,4198,2509,48,48,9,33,12,12,9,6,0,9
46,qm,blue,6044,2846,2450,21,21,9,12,0,6,6,0,0,9
47,qm,red,6819,3081,6707,26,26,15,11,2,3,6,0,0,15
47,qm,blue,876,2823,4703,42,42,6,36,12,9,15,0,0,6
48,qm,red,6132,2470,3297,42,42,9,33,6,21,6,0,0,9
48,qm,blue,3883,2511,4693,63,63,12,36,6,12,18,15,0,12
49,qm,red,2826,6574,7019,65,65,12,53,8,27,18,0,0,12
49,qm,blue,4593,5019,4624,40,40,12,25,4,15,6,3,0,12
50,qm,red,3691,3054,3267,45,45,15,30,6,12,12,0,0,15
50,qm,blue,6147,7530,3100,57,57,9,45,6,27,12,3,0,9
51,qm,red,6044,3630,4531,59,59,12,37,10,18,9,10,0,12
51,qm,blue,2450,5232,2491,50,50,15,32,2,21,9,3,0,15
52,qm,red,6819,4607,2052,65,65,9,47,8,21,18,9,0,9
52,qm,blue,5903,525,7028,58,58,12,46,10,18,18,0,0,12
53,qm,red,4198,4703,2847,46,46,15,31,10,21,0,0,0,15
53,qm,blue,2823,2861,2499,29,29,9,17,8,0,9,3,0,9
54,qm,red,3297,2987,4623,50,50,12,38,2,18,18,0,0,12
54,qm,blue,4624,3212,2846,38,38,12,26,8,6,12,0,0,12
55,qm,red,6624,7311,3081,47,47,9,38,8,27,3,0,0,9
55,qm,blue,6147,3267,4693,49,49,15,34,10,18,6,0,0,15
56,qm,red,6758,5143,3691,27,27,15,12,0,3,9,0,0,15
