match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7546,5948,7725,12,12,0,9,0,3,6,3,0,0
1,qm,blue,5959,5874,6348,20,20,6,11,2,3,6,3,0,6
2,qm,red,6156,3478,4775,42,42,9,33,6,18,9,0,0,9
2,qm,blue,6170,6702,4355,19,19,3,16,4,9,3,0,0,3
3,qm,red,6676,5312,6106,36,36,6,30,6,15,9,0,0,6
3,qm,blue,6647,6010,6200,28,28,6,22,4,15,3,0,0,6
4,qm,red,7102,3933,6218,21,21,6,15,6,6,3,0,0,6
4,qm,blue,7421,7740,3510,22,22,3,9,6,0,3,10,0,3
5,qm,red,3480,6666,4635,27,27,3,24,6,12,6,0,0,3
5,qm,blue,4782,4010,6896,9,9,0,9,0,9,0,0,0,0
6,qm,red,6694,6017,4403,15,15,3,12,0,3,9,0,0,3
6,qm,blue,4735,3526,6444,11,11,3,8,2,0,6,0,0,3
7,qm,red,3158,6652,4584,27,27,15,12,6,3,3,0,0,15
7,qm,blue,7299,5133,4400,19,19,3,13,4,6,3,3,0,3
8,qm,red,6666,7421,3478,31,31,6,25,4,18,3,0,0,6
8,qm,blue,4775,7546,6319,33,33,9,24,0,18,6,0,0,9
9,qm,red,6444,6017,6010,29,29,9,17,2,6,9,3,0,9
9,qm,blue,5959,7102,6896,21,21,6,15,0,9,6,0,0,6
10,qm,red,6200,7725,5874,18,18,6,12,0,6,6,0,0,6
10,qm,blue,3510,4635,3526,30,30,9,21,0,12,9,0,0,9
11,qm,red,6652,6106,6170,28,28,6,19,4,6,9,3,0,6
11,qm,blue,6676,3158,6702,40,40,9,31,4,18,9,0,0,9
12,qm,red,4584,6319,4403,21,21,9,12,6,0,6,0,0,9
12,qm,blue,6218,6348,4782,14,14,6,8,2,0,6,0,0,6
13,qm,red,6647,3480,6156,43,43,9,34,4,24,6,0,0,9
13,qm,blue,5133,4735,3933,32,32,6,26,8,15,3,0,0,6
14,qm,red,4010,6694,7740,32,32,0,17,2,9,6,15,0,0
14,qm,blue,5312,5948,4355,27,27,3,24,0,18,6,0,0,3
15,qm,red,7102,6319,7299,22,22,6,16,4,3,9,0,0,6
15,qm,blue,4400,5874,6676,21,21,3,18,0,9,9,0,0,3
16,qm,red,6666,4403,6647,27,27,6,21,6,9,6,0,0,6
16,qm,blue,6200,3478,3510,35,35,9,26,2,15,9,0,0,9
17,qm,red,6444,4635,5312,45,45,12,33,6,21,6,0,0,12
17,qm,blue,7421,3933,4775,56,56,12,41,8,24,9,3,0,12
18,qm,red,6896,7299,7546,6,6,6,0,0,0,0,0,0,6
18,qm,blue,3526,6106,4010,31,31,9,16,10,0,6,6,0,9
19,qm,red,6348,5133,3158,33,33,9,24,0,18,6,0,0,9
19,qm,blue,6017,5959,6218,40,40,12,28,4,18,6,0,0,12
20,qm,red,5948,4782,4735,12,12,6,6,0,6,0,0,0,6
20,qm,blue,6010,6652,6702,24,24,12,12,6,0,6,0,0,12
21,qm,red,3480,6170,6694,47,47,6,38,8,21,9,3,0,6
21,qm,blue,4400,4584,7740,49,49,9,40,10,21,9,0,0,9
22,qm,red,6218,4355,6156,14,14,3,11,2,0,9,0,0,3
22,qm,blue,7725,5312,7102,24,24,6,18,0,15,3,0,0,6
23,qm,red,7421,7299,6676,18,18,3,15,6,0,9,0,0,3
23,qm,blue,5133,6666,6896,6,6,3,3,0,0,3,0,0,3
24,qm,red,3933,3510,4782,27,27,6,21,0,15,6,0,0,6
24,qm,blue,7546,6170,4735,14,14,6,8,2,3,3,0,0,6
25,qm,red,6694,5959,3526,36,36,12,24,0,18,6,0,0,12
25,qm,blue,6702,6647,5874,44,44,9,35,8,18,9,0,0,9
26,qm,red,4400,4010,6156,24,24,3,21,0,15,6,0,0,3
26,qm,blue,6444,6348,6200,35,35,12,23,2,15,6,0,0,12
27,qm,red,6010,7740,3158,34,34,6,28,4,18,6,0,0,6
27,qm,blue,3478,4635,6319,40,40,12,28,10,9,9,0,0,12
28,qm,red,4403,5948,6106,31,31,6,25,4,15,6,0,0,6
28,qm,blue,4775,3480,7725,49,49,6,31,4,21,6,12,0,6
29,qm,red,4355,6652,4010,6,6,6,0,0,0,0,0,0,6
29,qm,blue,3510,4584,6017,29,29,12,17,8,6,3,0,0,12
30,qm,red,6896,4635,4735,43,43,9,34,4,21,9,0,0,9
30,qm,blue,5312,3478,4400,46,46,9,37,4,21,12,0,0,9
31,qm,red,7740,4403,5959,26,26,6,20,2,9,9,0,0,6
31,qm,blue,6156,6319,6676,17,17,9,8,2,0,6,0,0,9
32,qm,red,6702,6444,7546,28,28,15,13,4,0,9,0,0,15
32,qm,blue,6652,6218,6647,28,28,6,22,4,12,6,0,0,6
33,qm,red,5948,3526,6200,24,24,12,9,0,9,0,3,0,12
33,qm,blue,4584,7421,5133,27,27,12,15,6,3,6,0,0,12
34,qm,red,5874,4355,6017,29,29,6,23,2,15,6,0,0,6
34,qm,blue,6010,3480,6106,33,33,3,30,6,15,9,0,0,3
