match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6565,5607,5190,37,37,6,31,4,18,9,0,0,6
1,qm,blue,7029,4828,2642,11,11,0,11,2,3,6,0,0,0
2,qm,red,3796,4816,5919,6,6,3,0,0,0,0,3,0,3
2,qm,blue,6426,7715,3459,13,13,6,7,4,0,3,0,0,6
3,qm,red,6240,7739,435,3,3,3,0,0,0,0,0,0,3
3,qm,blue,7463,3737,6500,14,14,6,8,2,3,3,0,0,6
4,qm,red,7671,5160,3229,47,47,9,38,14,15,9,0,0,9
4,qm,blue,3336,2059,4561,29,29,9,20,2,12,6,0,0,9
5,qm,red,6332,4291,7763,12,12,0,2,2,0,0,10,0,0
5,qm,blue,7675,900,5762,49,49,6,25,4,6,15,18,0,6
6,qm,red,5511,6215,5518,19,19,9,7,4,0,3,3,0,9
6,qm,blue,6502,6908,2682,45,45,12,33,12,15,6,0,0,12
7,qm,red,3336,7715,6565,15,15,3,12,0,6,6,0,0,3
7,qm,blue,435,6426,7671,27,27,12,15,0,9,6,0,0,12
8,qm,red,6332,5762,2059,45,45,6,27,0,12,15,12,0,6
8,qm,blue,7675,4828,5190,17,17,3,14,2,9,3,0,0,3
9,qm,red,3796,6500,5518,13,13,6,4,4,0,0,3,0,6
9,qm,blue,3737,5511,7763,48,48,9,36,12,6,18,3,0,9
10,qm,red,900,5919,3459,18,18,6,9,6,3,0,3,0,6
10,qm,blue,6502,7463,7739,5,5,3,2,2,0,0,0,0,3
11,qm,red,6908,7029,4816,21,21,3,18,0,18,0,0,0,3
11,qm,blue,2682,5607,4561,56,56,15,35,8,18,9,6,0,15
12,qm,red,3229,6240,2642,49,49,12,31,4,21,6,6,0,12
12,qm,blue,6215,4291,5160,8,8,6,2,2,0,0,0,0,6
13,qm,red,5518,7671,7675,32,32,6,23,2,12,9,3,0,6
13,qm,blue,7739,5919,4828,8,8,3,5,2,0,3,0,0,3
14,qm,red,3459,5762,3336,39,39,3,27,0,18,9,9,0,3
14,qm,blue,3737,6565,6502,30,30,9,21,6,6,9,0,0,9
15,qm,red,6215,7029,4561,27,27,12,15,0,9,6,0,0,12
15,qm,blue,7463,3796,7715,15,15,0,3,0,0,3,12,0,0
16,qm,red,5160,6426,2682,49,49,15,31,10,12,9,3,0,15
16,qm,blue,4291,2642,2059,46,46,12,28,4,24,0,6,0,12
17,qm,red,5511,6332,6240,28,28,3,25,10,3,12,0,0,3
17,qm,blue,3229,4816,7763,34,34,9,25,4,18,3,0,0,9
18,qm,red,6908,6500,5190,41,41,9,32,8,18,6,0,0,9
18,qm,blue,5607,900,435,27,27,9,18,6,6,6,0,0,9
19,qm,red,7739,6426,6565,21,21,12,9,0,0,9,0,0,12
19,qm,blue,4291,2682,7671,31,31,12,16,4,3,9,3,0,12
20,qm,red,3459,7675,4816,21,21,6,12,0,6,6,3,0,6
20,qm,blue,4561,2642,5518,46,46,15,31,10,12,9,0,0,15
21,qm,red,5919,6332,3737,18,18,6,9,6,0,3,3,0,6
21,qm,blue,5160,6908,5762,31,31,9,22,4,12,6,0,0,9
22,qm,red,7463,6215,6240,3,3,0,3,0,0,3,0,0,0
22,qm,blue,3796,900,3336,31,31,6,25,4,12,9,0,0,6
23,qm,red,4828,6500,5607,27,27,6,21,0,15,6,0,0,6
23,qm,blue,3229,7715,5511,47,47,9,29,2,12,15,9,0,9
24,qm,red,2059,5190,6502,31,31,9,19,4,15,0,3,0,9
24,qm,blue,435,7029,7763,18,18,3,15,0,9,6,0,0,3
25,qm,red,5762,3796,2642,47,47,12,25,4,18,3,10,0,12
25,qm,blue,6565,7675,6908,48,48,15,9,0,0,9,24,0,15
26,qm,red,900,3737,4291,64,64,9,19,10,3,6,36,0,9
26,qm,blue,5518,4828,6426,46,46,9,24,6,3,15,13,0,9
27,qm,red,5511,4561,5919,57,57,12,45,6,24,15,0,0,12
27,qm,blue,5190,7763,7739,47,47,6,38,8,24,6,3,0,6
28,qm,red,6502,3336,5607,32,32,9,23,2,12,9,0,0,9
28,qm,blue,2059,6240,3459,15,15,6,9,0,0,9,0,0,6
29,qm,red,435,7463,5160,33,33,6,12,6,0,6,15,0,6
29,qm,blue,7671,6215,4816,21,21,6,15,0,9,6,0,0,6
30,qm,red,6332,2682,7715,26,26,3,20,2,12,6,3,0,3
30,qm,blue,7029,3229,6500,50,50,12,28,4,21,3,10,0,12
31,qm,red,4291,5518,7739,16,16,6,7,4,0,3,3,0,6
31,qm,blue,5190,3796,6240,26,26,6,17,2,9,6,3,0,6
32,qm,red,5160,4561,900,42,42,12,30,6,15,9,0,0,12
32,qm,blue,5607,5762,5511,63,63,6,44,8,18,18,13,0,6
33,qm,red,6426,3336,5919,24,24,9,12,0,3,9,3,0,9
33,qm,blue,6215,6500,6332,33,33,6,27,0,18,9,0,0,6
34,qm,red,7763,7675,7463,75,75,6,3,0,3,0,66,0,6
34,qm,blue,2642,7715,435,45,45,9,36,6,24,6,0,0,9
35,qm,red,3459,6502,7029,12,12,6,3,0,0,3,3,0,6
35,qm,blue,6908,3737,7671,33,33,9,21,6,12,3,3,0,9
36,qm,red,3229,4828,2059,46,46,9,37,4,15,18,0,0,9
36,qm,blue,4816,2682,6565,39,39,15,24,0,18,6,0,0,15
37,qm,red,2642,6426,5511,49,49,3,43,10,18,15,3,0,3
37,qm,blue,5518,435,6332,23,23,3,20,8,6,6,0,0,3
38,qm,red,7675,6502,4561,46,46,12,31,4,21,6,3,0,12
38,qm,blue,6240,5607,4291,9,9,9,0,0,0,0,0,0,9
39,qm,red,6500,3459,6565,30,30,9,21,0,15,6,0,0,9
39,qm,blue,7739,2059,6215,27,27,6,15,0,0,15,6,0,6
40,qm,red,900,6908,7715,48,48,9,30,12,0,18,9,0,9
40,qm,blue,5190,3229,5919,39,39,12,27,6,12,9,0,0,12
41,qm,red,3737,7029,5762,32,32,6,26,2,18,6,0,0,6
41,qm,blue,4816,5160,3336,30,30,3,27,6,15,6,0,0,3
42,qm,red,4828,2682,7463,21,21,6,9,0,6,3,6,0,6
42,qm,blue,7671,7763,3796,24,24,9,15,0,9,6,0,0,9
43,qm,red,435,5511,6500,50,50,9,41,8,18,15,0,0,9
43,qm,blue,4561,4291,3459,58,58,12,34,4,21,9,12,0,12
44,qm,red,6215,5919,7675,21,21,6,12,0,3,9,3,0,6
44,qm,blue,900,6565,3229,39,39,15,18,12,0,6,6,0,15
45,qm,red,5762,7763,4828,27,27,6,21,0,12,9,0,0,6
45,qm,blue,6426,6240,6908,37,37,9,18,0,9,9,10,0,9
46,qm,red,2682,7739,3796,30,30,9,15,0,9,6,6,0,9
46,qm,blue,3336,6332,7029,21,21,6,15,0,9,6,0,0,6
47,qm,red,5607,5160,3737,41,41,12,29,14,9,6,0,0,12
47,qm,blue,7715,6502,5518,23,23,9,14,8,3,3,0,0,9
48,qm,red,2642,4816,5190,39,39,3,36,6,21,9,0,0,3
48,qm,blue,2059,7671,7463,42,42,6,36,0,18,18,0,0,6
49,qm,red,4291,3336,6908,27,27,3,24,0,18,6,0,0,3
49,qm,blue,2682,7763,900,32,32,9,20,8,0,12,3,0,9
50,qm,red,7715,5607,7029,15,15,9,3,0,0,3,3,0,9
50,qm,blue,6565,6215,5762,36,36,12,24,0,18,6,0,0,12
51,qm,red,6332,7671,6502,35,35,6,29,2,21,6,0,0,6
51,qm,blue,4816,4828,5511,33,33,6,21,6,0,15,6,0,6
52,qm,red,6500,7675,2642,38,38,12,26,2,18,6,0,0,12
52,qm,blue,7739,3459,5160,36,36,6,30,6,6,18,0,0,6
53,qm,red,6426,3229,3737,60,60,15,42,12,24,6,3,0,15
53,qm,blue,5190,4561,7463,62,62,9,30,6,21,3,23,0,9
54,qm,red,2059,435,3796,40,40,9,31,4,12,15,0,0,9
54,qm,blue,5919,5518,6240,17,17,6,8,2,0,6,3,0,6
55,qm,red,4816,6332,7739,12,12,6,6,0,0,6,0,0,6
55,qm,blue,7715,4291,7675,39,39,9,15,0,6,9,15,0,9
56,qm,red,5607,7463,6908,42,42,9,21,0,15,6,12,0,9
56,qm,blue,6500,6502,6426,38,38,12,26,2,18,6,0,0,12
57,qm,red,4561,7671,4828,67,67,12,46,4,24,18,9,0,12
57,qm,blue,2642,3336,6215,41,41,9,29,2,21,6,3,0,9
58,qm,red,7763,5160,6240,23,23,3,20,8,3,9,0,0,3
58,qm,blue,6565,5919,7029,27,27,12,15,0,9,6,0,0,12
59,qm,red,5511,2059,900,46,46,9,37,10,9,18,0,0,9
59,qm,blue,3459,3737,3796,29,29,9,20,8,6,6,0,0,9
60,qm,red,2682,5518,3229,51,51,15,36,6,24,6,0,0,15
60,qm,blue,5762,5190,435,47,47,9,32,2,21,9,6,0,9
61,qm,red,4561,4816,6426,42,42,12,24,0,18,6,6,0,12
61,qm,blue,4828,6565,5160,39,39,12,27,6,3,18,0,0,12
62,qm,red,7671,2642,900,52,52,9,37,4,24,9,6,0,9
62,qm,blue,7715,6240,6500,33,33,6,27,0,18,9,0,0,6
63,qm,red,6502,3796,6215,24,24,9,15,6,0,9,0,0,9
63,qm,blue,5762,7739,3229,18,18,3,15,0,9,6,0,0,3
64,qm,red,5919,6908,2059,47,47,9,38,2,18,18,0,0,9
64,qm,blue,7029,5511,4291,52,52,9,33,6,12,15,10,0,9
65,qm,red,3737,5190,3336,60,60,12,48,12,33,3,0,0,12
65,qm,blue,7675,435,2682,38,38,12,23,2,15,6,3,0,12
66,qm,red,7763,5518,5607,39,39,15,24,12,6,6,0,0,15
66,qm,blue,7463,3459,6332,18,18,9,9,0,0,9,0,0,9
67,qm,red,6240,5762,6502,16,16,3,13,4,3,6,0,0,3
67,qm,blue,6500,2059,4816,36,36,9,27,0,15,12,0,0,9
68,qm,red,7029,900,6426,45,45,12,33,6,9,18,0,0,12
68,qm,blue,3336,5511,7675,59,59,12,47,8,21,18,0,0,12
69,qm,red,5160,5190,7715,35,35,6,29,8,18,3,0,0,6
69,qm,blue,6215,3459,2682,9,9,6,3,0,0,3,0,0,6
70,qm,red,3796,3229,4291,48,48,12,36,6,21,9,0,0,12
70,qm,blue,5607,7739,7671,30,30,9,18,0,12,6,3,0,9
71,qm,red,4828,435,3737,33,33,9,24,6,12,6,0,0,9
71,qm,blue,7763,2642,5919,46,46,15,31,10,15,6,0,0,15
72,qm,red,5518,7463,6565,24,24,15,6,0,0,6,3,0,15
72,qm,blue,6908,4561,6332,24,24,12,12,0,6,6,0,0,12
1,qf,red,4561,5511,4291,51,51,6,45,6,21,18,0,0,6
1,qf,blue,3459,5607,6502,30,30,12,18,0,12,6,0,0,12
2,qf,red,4561,5511,4291,61,61,12,49,10,21,18,0,0,12
2,qf,blue,3459,5607,6502,44,44,12,29,2,18,9,3,0,12
1,qf,red,3737,2059,7029,47,47,12,32,2,12,18,3,0,12
1,qf,blue,2682,3229,7763,52,52,15,31,4,18,9,6,0,15
2,qf,red,3737,2059,7029,46,46,6,34,4,9,21,6,0,6
2,qf,blue,2682,3229,7763,38,38,15,17,2,6,9,6,0,15
3,qf,red,3737,2059,7029,49,49,9,37,4,12,21,3,0,9
3,qf,blue,2682,3229,7763,31,31,9,22,4,9,9,0,0,9
1,qf,red,5190,7671,4828,50,50,6,44,2,21,21,0,0,6
1,qf,blue,6500,5762,5518,47,47,15,29,2,21,6,3,0,15
2,qf,red,5190,7671,4828,54,54,9,35,8,21,6,10,0,9
2,qf,blue,6500,5762,5518,43,43,12,31,4,18,9,0,0,12
1,qf,red,2642,900,6332,33,33,9,24,6,15,3,0,0,9
1,qf,blue,5160,6908,6565,35,35,12,23,2,15,6,0,0,12
2,qf,red,2642,900,6332,63,63,15,42,6,18,18,6,0,15
2,qf,blue,5160,6908,6565,38,38,6,32,2,21,9,0,0,6
