match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1768,41,7045,32,32,3,19,10,3,6,10,0,3
1,qm,blue,5310,5732,193,9,9,3,6,0,6,0,0,0,3
2,qm,red,1143,2577,5992,48,48,12,36,6,12,18,0,0,12
2,qm,blue,1279,1989,1228,21,21,12,9,6,0,3,0,0,12
3,qm,red,75,2070,6860,19,19,3,13,10,0,3,3,0,3
3,qm,blue,1403,303,11,26,26,15,11,8,3,0,0,0,15
4,qm,red,1923,6945,1257,42,42,12,27,6,18,3,3,0,12
4,qm,blue,7853,4035,4361,17,17,6,8,2,0,6,3,0,6
5,qm,red,222,2600,1672,43,43,9,34,10,18,6,0,0,9
5,qm,blue,2590,555,6943,30,30,12,15,0,9,6,3,0,12
6,qm,red,25,3142,219,46,46,12,34,16,6,12,0,0,12
6,qm,blue,1089,6016,3515,23,23,9,11,2,3,6,3,0,9
7,qm,red,1143,1228,5438,21,21,3,12,0,9,3,6,0,3
7,qm,blue,7045,6945,6860,21,21,6,15,0,3,12,0,0,6
8,qm,red,2577,2590,4361,51,51,12,39,6,12,21,0,0,12
8,qm,blue,5310,4035,1768,23,23,3,20,8,9,3,0,0,3
9,qm,red,6016,7853,555,26,26,9,17,8,9,0,0,0,9
9,qm,blue,1403,1923,1989,48,48,12,33,6,18,9,3,0,12
10,qm,red,11,3142,222,54,54,15,39,12,18,9,0,0,15
10,qm,blue,25,41,303,80,80,12,62,14,30,18,6,0,12
11,qm,red,2600,1089,6943,41,41,12,23,8,9,6,6,0,12
11,qm,blue,1257,219,5438,43,43,12,31,4,18,9,0,0,12
12,qm,red,3515,2070,5732,6,6,3,3,0,0,3,0,0,3
12,qm,blue,5992,1672,75,42,42,12,30,6,18,6,0,0,12
13,qm,red,1279,25,7853,43,43,12,28,10,15,3,3,0,12
13,qm,blue,193,6860,303,76,76,6,37,10,21,6,33,0,6
14,qm,red,1228,1403,6945,21,21,9,12,6,0,6,0,0,9
14,qm,blue,11,1923,6943,44,44,9,35,8,24,3,0,0,9
15,qm,red,1089,1143,5732,26,26,6,20,2,12,6,0,0,6
15,qm,blue,2600,4361,3142,39,39,12,24,6,6,12,3,0,12
16,qm,red,3515,1279,5310,32,32,6,26,2,21,3,0,0,6
16,qm,blue,2070,1257,1768,40,40,9,31,4,21,6,0,0,9
17,qm,red,193,222,41,49,49,15,34,10,18,6,0,0,15
17,qm,blue,6016,2577,1672,38,38,12,26,8,18,0,0,0,12
18,qm,red,75,1989,2590,27,27,6,21,0,12,9,0,0,6
18,qm,blue,7045,5438,4035,11,11,6,2,2,0,0,3,0,6
19,qm,red,555,219,1768,31,31,6,25,4,15,6,0,0,6
19,qm,blue,5992,11,1279,64,64,12,49,10,30,9,3,0,12
20,qm,red,1672,6860,1923,46,46,9,28,4,18,6,9,0,9
20,qm,blue,3515,2577,2600,41,41,12,29,8,6,15,0,0,12
21,qm,red,1143,4035,2070,38,38,3,32,2,21,9,3,0,3
21,qm,blue,41,7853,1989,35,35,9,23,8,9,6,3,0,9
22,qm,red,555,1403,5992,33,33,9,18,0,15,3,6,0,9
22,qm,blue,3142,303,5438,30,30,12,18,0,9,9,0,0,12
23,qm,red,5310,2590,25,42,42,9,27,12,0,15,6,0,9
23,qm,blue,5732,6945,6943,39,39,9,27,0,12,15,3,0,9
24,qm,red,1089,1257,75,44,44,12,32,14,0,18,0,0,12
24,qm,blue,6016,7045,193,32,32,9,20,8,9,3,3,0,9
25,qm,red,222,1923,1228,69,69,15,33,12,15,6,21,0,15
25,qm,blue,4361,219,1989,57,57,6,42,0,15,27,9,0,6
26,qm,red,1672,7853,3142,38,38,12,26,2,15,9,0,0,12
26,qm,blue,1768,2600,1403,38,38,9,29,8,15,6,0,0,9
27,qm,red,2590,6016,1143,44,44,12,29,2,18,9,3,0,12
27,qm,blue,193,3515,11,32,32,12,20,2,12,6,0,0,12
28,qm,red,6945,303,219,56,56,12,44,8,18,18,0,0,12
28,qm,blue,1257,7045,555,43,43,9,31,4,12,15,3,0,9
29,qm,red,6860,5310,4361,27,27,6,21,0,12,9,0,0,6
29,qm,blue,5992,222,1089,56,56,12,41,20,15,6,3,0,12
30,qm,red,2070,1228,2577,47,47,12,17,2,0,15,18,0,12
30,qm,blue,5732,25,5438,40,40,6,34,4,21,9,0,0,6
31,qm,red,41,6943,1279,41,41,15,26,8,12,6,0,0,15
31,qm,blue,4035,75,6016,12,12,3,9,6,0,3,0,0,3
32,qm,red,3515,1989,7045,27,27,9,18,0,9,9,0,0,9
32,qm,blue,1923,5992,1768,67,67,9,45,12,27,6,13,0,9
33,qm,red,5732,3142,6860,9,9,3,6,0,0,6,0,0,3
33,qm,blue,5310,5438,555,17,17,6,8,2,3,3,3,0,6
34,qm,red,2577,75,6945,57,57,12,42,18,12,12,3,0,12
34,qm,blue,1257,6943,7853,47,47,15,32,2,12,18,0,0,15
35,qm,red,25,4035,11,41,41,6,26,8,12,6,9,0,6
35,qm,blue,1228,1672,1089,30,30,9,21,12,3,6,0,0,9
36,qm,red,2600,303,1279,60,60,15,42,6,27,9,3,0,15
36,qm,blue,2070,4361,41,35,35,9,26,8,12,6,0,0,9
37,qm,red,193,1143,1403,49,49,9,40,10,24,6,0,0,9
37,qm,blue,2590,219,222,74,74,15,59,14,27,18,0,0,15
38,qm,red,6860,1768,3515,33,33,9,11,2,3,6,13,0,9
38,qm,blue,6943,1228,75,56,56,15,20,2,12,6,21,0,15
39,qm,red,303,6016,5992,65,65,12,53,14,27,12,0,0,12
39,qm,blue,2577,1257,5732,60,60,12,48,6,24,18,0,0,12
40,qm,red,555,1279,4035,35,35,6,29,2,21,6,0,0,6
40,qm,blue,222,1143,25,64,64,12,52,16,33,3,0,0,12
41,qm,red,1089,4361,7045,40,40,9,31,10,12,9,0,0,9
41,qm,blue,1923,7853,2590,41,41,6,35,8,21,6,0,0,6
42,qm,red,41,5438,1672,38,38,9,29,2,15,12,0,0,9
42,qm,blue,219,1403,5310,34,34,6,28,4,6,18,0,0,6
43,qm,red,1989,2070,193,37,37,6,28,4,18,6,3,0,6
43,qm,blue,6945,11,2600,44,44,9,32,8,18,6,3,0,9
44,qm,red,3142,2577,555,46,46,15,31,4,9,18,0,0,15
44,qm,blue,75,7853,7045,18,18,6,12,6,0,6,0,0,6
45,qm,red,1257,5310,1143,38,38,9,29,8,18,3,0,0,9
45,qm,blue,303,1768,1672,66,66,12,54,12,30,12,0,0,12
46,qm,red,219,1089,41,55,55,12,40,10,12,18,3,0,12
46,qm,blue,2070,222,1403,39,39,9,27,12,6,9,3,0,9
47,qm,red,3142,6943,6016,39,39,15,24,0,18,6,0,0,15
47,qm,blue,1279,193,1923,45,45,9,36,6,21,9,0,0,9
48,qm,red,11,4361,5732,42,42,6,33,6,18,9,3,0,6
48,qm,blue,4035,2590,3515,27,27,9,18,0,12,6,0,0,9
49,qm,red,1989,5992,2600,53,53,9,41,14,24,3,3,0,9
49,qm,blue,1228,6860,25,42,42,9,33,6,21,6,0,0,9
50,qm,red,5438,1768,6016,41,41,9,32,8,21,3,0,0,9
50,qm,blue,6945,41,1143,56,56,12,41,2,18,21,3,0,12
51,qm,red,2577,7045,1279,49,49,12,37,10,9,18,0,0,12
51,qm,blue,11,555,1089,42,42,9,33,6,21,6,0,0,9
52,qm,red,1403,25,75,64,64,9,34,4,21,9,21,0,9
52,qm,blue,219,2600,5310,16,16,6,10,4,3,3,0,0,6
53,qm,red,4361,1672,1257,52,52,12,34,10,12,12,6,0,12
53,qm,blue,6860,6943,1989,38,38,12,26,2,18,6,0,0,12
54,qm,red,5438,3515,5992,79,79,9,34,4,21,9,36,0,9
54,qm,blue,222,6945,4035,57,57,15,42,12,12,18,0,0,15
55,qm,red,303,2070,2590,60,60,9,29,8,12,9,22,0,9
