match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7651,5964,333,33,33,6,27,6,12,9,0,0,6
1,qm,blue,7400,714,2875,20,20,9,11,2,0,9,0,0,9
2,qm,red,1493,3799,639,75,75,12,53,14,27,12,10,0,12
2,qm,blue,4508,145,694,50,50,12,38,8,21,9,0,0,12
3,qm,red,7565,7718,5943,14,14,6,8,2,0,6,0,0,6
3,qm,blue,5881,334,7031,21,21,9,12,0,9,3,0,0,9
4,qm,red,7563,20,6484,43,43,6,37,4,18,15,0,0,6
4,qm,blue,5149,250,1551,26,26,9,17,2,9,6,0,0,9
5,qm,red,2791,358,6300,73,73,15,58,16,27,15,0,0,15
5,qm,blue,1860,6463,1665,44,44,9,25,4,6,15,10,0,9
6,qm,red,6880,6621,3044,30,30,12,18,0,15,3,0,0,12
6,qm,blue,514,3996,7030,33,33,12,21,6,6,9,0,0,12
7,qm,red,250,333,7563,33,33,9,24,6,15,3,0,0,9
7,qm,blue,4508,5943,20,62,62,12,38,8,12,18,12,0,12
8,qm,red,5149,3799,145,43,43,12,28,4,15,9,3,0,12
8,qm,blue,1665,5881,358,30,30,9,18,0,12,6,3,0,9
9,qm,red,1860,7565,7400,21,21,6,15,6,3,6,0,0,6
9,qm,blue,6463,6621,2875,20,20,9,11,2,6,3,0,0,9
10,qm,red,7030,6880,1551,44,44,9,32,2,21,9,3,0,9
10,qm,blue,2791,334,694,60,60,12,48,12,18,18,0,0,12
11,qm,red,7031,1493,3996,32,32,9,23,8,6,9,0,0,9
11,qm,blue,514,714,5964,20,20,9,8,2,0,6,3,0,9
12,qm,red,3044,6484,7718,30,30,15,15,0,12,3,0,0,15
12,qm,blue,6300,639,7651,115,115,15,38,8,21,9,62,0,15
13,qm,red,2875,334,5943,48,48,12,23,2,12,9,13,0,12
13,qm,blue,20,358,6621,49,49,9,40,4,18,18,0,0,9
14,qm,red,333,5881,7400,40,40,6,34,10,21,3,0,0,6
14,qm,blue,1551,145,3996,49,49,9,40,10,21,9,0,0,9
15,qm,red,714,2791,7565,56,56,6,47,14,18,15,3,0,6
15,qm,blue,7718,3799,7563,17,17,6,11,2,0,9,0,0,6
16,qm,red,1665,514,7031,41,41,15,23,8,9,6,3,0,15
16,qm,blue,639,6484,7030,50,50,12,29,2,21,6,9,0,12
17,qm,red,6300,1860,1493,76,76,12,55,10,24,21,9,0,12
17,qm,blue,5149,6880,7651,21,21,9,12,0,3,9,0,0,9
18,qm,red,4508,3044,6463,40,40,15,19,4,9,6,6,0,15
18,qm,blue,5964,694,250,47,47,9,38,2,21,15,0,0,9
19,qm,red,7565,3996,20,44,44,6,35,2,15,18,3,0,6
19,qm,blue,1665,5943,145,56,56,15,41,2,21,18,0,0,15
20,qm,red,7030,7400,2791,47,47,12,35,8,9,18,0,0,12
20,qm,blue,358,6484,334,37,37,15,22,10,3,9,0,0,15
21,qm,red,1860,250,514,61,61,15,46,10,18,18,0,0,15
21,qm,blue,7031,6300,333,50,50,15,35,14,12,9,0,0,15
22,qm,red,7651,694,1551,50,50,12,38,8,24,6,0,0,12
22,qm,blue,5149,714,6463,33,33,12,21,0,15,6,0,0,12
23,qm,red,5881,6621,1493,44,44,15,29,8,15,6,0,0,15
23,qm,blue,7563,3044,5964,39,39,12,24,0,15,9,3,0,12
24,qm,red,6880,4508,3799,22,22,3,16,10,0,6,3,0,3
24,qm,blue,7718,639,2875,32,32,12,20,2,12,6,0,0,12
25,qm,red,145,514,334,44,44,15,29,2,9,18,0,0,15
25,qm,blue,20,6463,7031,60,60,15,42,6,18,18,3,0,15
26,qm,red,6300,5943,694,85,85,12,49,10,24,15,24,0,12
26,qm,blue,2791,3044,5881,66,66,15,48,12,21,15,3,0,15
27,qm,red,2875,6880,1665,71,71,12,33,0,15,18,26,0,12
27,qm,blue,6621,6484,250,30,30,12,8,2,0,6,10,0,12
28,qm,red,7030,5149,5964,48,48,12,33,6,18,9,3,0,12
28,qm,blue,3799,333,714,48,48,15,33,6,15,12,0,0,15
29,qm,red,1551,7400,7563,39,39,6,30,0,12,18,3,0,6
29,qm,blue,7651,7565,1493,35,35,6,29,8,12,9,0,0,6
30,qm,red,3996,358,7718,27,27,15,9,0,3,6,3,0,15
30,qm,blue,1860,639,4508,47,47,12,32,2,12,18,3,0,12
31,qm,red,145,333,6880,33,33,9,24,6,3,15,0,0,9
31,qm,blue,714,250,3044,23,23,15,8,2,3,3,0,0,15
32,qm,red,6463,5964,334,47,47,15,23,2,18,3,9,0,15
32,qm,blue,6484,7565,3799,41,41,9,16,10,3,3,16,0,9
33,qm,red,7651,2791,1665,69,69,15,48,12,24,12,6,0,15
33,qm,blue,7563,694,514,41,41,15,26,8,12,6,0,0,15
34,qm,red,5943,3996,639,48,48,15,33,0,15,18,0,0,15
34,qm,blue,2875,5881,5149,33,33,6,24,0,18,6,3,0,6
35,qm,red,6300,7400,7718,48,48,15,33,12,12,9,0,0,15
35,qm,blue,1493,7030,20,82,82,15,67,16,30,21,0,0,15
36,qm,red,6621,1860,7031,51,51,12,36,6,21,9,3,0,12
36,qm,blue,358,4508,1551,44,44,9,35,8,15,12,0,0,9
37,qm,red,7565,145,5964,41,41,6,35,2,15,18,0,0,6
37,qm,blue,514,5149,6484,41,41,12,26,8,12,6,3,0,12
38,qm,red,639,1665,714,41,41,9,32,2,21,9,0,0,9
38,qm,blue,1493,7400,250,56,56,12,41,8,24,9,3,0,12
39,qm,red,2875,7031,358,41,41,9,29,2,18,9,3,0,9
39,qm,blue,5881,7563,6300,38,38,15,17,8,6,3,6,0,15
40,qm,red,6621,5943,7030,24,24,12,9,0,6,3,3,0,12
40,qm,blue,334,4508,7651,47,47,15,32,2,21,9,0,0,15
41,qm,red,1551,1860,3799,48,48,6,42,6,21,15,0,0,6
41,qm,blue,3996,694,3044,75,75,15,54,6,27,21,6,0,15
42,qm,red,333,7718,20,52,52,15,37,10,15,12,0,0,15
42,qm,blue,2791,6463,6880,59,59,12,41,8,15,18,6,0,12
43,qm,red,6621,1665,4508,30,30,12,18,6,0,12,0,0,12
43,qm,blue,145,7031,7651,44,44,15,29,2,18,9,0,0,15
44,qm,red,639,5149,358,47,47,15,32,8,12,12,0,0,15
44,qm,blue,250,6300,7565,69,69,12,21,6,6,9,36,0,12
45,qm,red,694,2875,333,54,54,12,42,6,18,18,0,0,12
45,qm,blue,7718,514,1493,50,50,6,44,14,18,12,0,0,6
46,qm,red,3044,7030,334,42,42,15,27,0,18,9,0,0,15
46,qm,blue,3996,1860,7563,48,48,15,30,0,18,12,3,0,15
47,qm,red,7400,6463,6484,20,20,6,14,8,0,6,0,0,6
47,qm,blue,5943,6880,714,17,17,12,5,2,0,3,0,0,12
48,qm,red,5881,5964,3799,31,31,9,22,4,12,6,0,0,9
48,qm,blue,1551,20,2791,86,86,9,77,14,39,24,0,0,9
49,qm,red,250,2875,3996,42,42,15,27,6,12,9,0,0,15
49,qm,blue,7030,7651,358,39,39,15,21,0,12,9,3,0,15
50,qm,red,7400,5149,3044,39,39,12,27,0,18,9,0,0,12
50,qm,blue,7031,7718,4508,31,31,9,19,4,6,9,3,0,9
51,qm,red,6484,333,1860,53,53,9,44,8,27,9,0,0,9
51,qm,blue,1665,7563,7565,34,34,9,12,0,9,3,13,0,9
52,qm,red,6463,5881,514,28,28,12,16,10,3,3,0,0,12
52,qm,blue,5964,20,6880,86,86,6,49,10,21,18,31,0,6
53,qm,red,694,714,6621,26,26,9,14,2,6,6,3,0,9
53,qm,blue,334,3799,6300,49,49,15,19,4,6,9,15,0,15
54,qm,red,145,639,2791,45,45,15,27,18,6,3,3,0,15
54,qm,blue,1493,1551,5943,71,71,15,50,8,21,21,6,0,15
55,qm,red,250,7651,5881,39,39,15,24,0,15,9,0,0,15
55,qm,blue,358,3044,514,51,51,15,33,6,18,9,3,0,15
56,qm,red,4508,6300,5149,35,35,12,23,8,6,9,0,0,12
56,qm,blue,3799,2875,7030,46,46,15,31,4,18,9,0,0,15
57,qm,red,6484,3996,6880,30,30,6,24,0,6,18,0,0,6
57,qm,blue,7031,1551,7565,29,29,12,17,2,3,12,0,0,12
58,qm,red,639,7563,6463,60,60,15,23,2,15,6,22,0,15
58,qm,blue,333,2791,6621,51,51,15,27,12,9,6,9,0,15
59,qm,red,714,1493,145,42,42,15,27,6,15,6,0,0,15
59,qm,blue,20,334,1860,65,65,12,50,8,24,18,3,0,12
60,qm,red,694,1665,7718,58,58,15,33,0,15,18,10,0,15
60,qm,blue,7400,5964,5943,46,46,12,31,4,18,9,3,0,12
61,qm,red,3044,1551,6300,64,64,15,49,10,21,18,0,0,15
61,qm,blue,7565,7030,6463,47,47,15,29,2,18,9,3,0,15
62,qm,red,334,7563,714,29,29,15,14,2,3,9,0,0,15
62,qm,blue,6880,514,639,49,49,15,31,10,12,9,3,0,15
63,qm,red,694,20,5149,63,63,9,54,12,24,18,0,0,9
63,qm,blue,7718,145,6621,34,34,15,19,4,9,6,0,0,15
64,qm,red,6484,4508,5881,30,30,12,15,0,12,3,3,0,12
64,qm,blue,358,1493,333,75,75,15,60,12,36,12,0,0,15
65,qm,red,5943,7651,1860,47,47,15,29,2,21,6,3,0,15
65,qm,blue,5964,2791,2875,52,52,9,40,10,12,18,3,0,9
66,qm,red,3799,7031,250,52,52,15,37,10,12,15,0,0,15
66,qm,blue,3996,1665,7400,46,46,15,31,10,15,6,0,0,15
67,qm,red,714,7030,4508,38,38,12,17,2,12,3,9,0,12
67,qm,blue,6880,7565,5881,34,34,12,22,4,12,6,0,0,12
68,qm,red,514,7651,20,70,70,15,49,10,21,18,6,0,15
68,qm,blue,333,1551,639,64,64,12,52,10,24,18,0,0,12
69,qm,red,250,7718,2791,54,54,15,36,6,18,12,3,0,15
69,qm,blue,3799,6621,7400,31,31,15,16,4,0,12,0,0,15
70,qm,red,7563,358,145,52,52,15,37,4,21,12,0,0,15
70,qm,blue,5964,6300,3996,41,41,15,26,8,12,6,0,0,15
71,qm,red,6463,1493,694,76,76,15,37,4,24,9,24,0,15
71,qm,blue,5943,7031,6484,36,36,15,21,0,9,12,0,0,15
72,qm,red,334,1665,5149,40,40,12,28,4,15,9,0,0,12
72,qm,blue,3044,2875,1860,47,47,12,32,8,6,18,3,0,12
1,qf,red,2791,20,7651,86,86,15,65,14,36,15,6,0,15
1,qf,blue,334,6880,333,41,41,9,32,8,18,6,0,0,9
