match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,128,3324,1708,63,63,9,54,18,30,6,0,0,9
1,qm,blue,279,3484,6964,53,53,12,31,4,12,15,10,0,12
2,qm,red,537,156,4521,26,26,6,20,8,3,9,0,0,6
2,qm,blue,302,7460,4028,47,47,9,38,8,12,18,0,0,9
3,qm,red,5413,3777,5811,63,63,12,51,12,30,9,0,0,12
3,qm,blue,2202,2383,5740,34,34,9,25,4,15,6,0,0,9
4,qm,red,4283,1014,3138,29,29,15,14,8,0,6,0,0,15
4,qm,blue,6032,5973,2051,38,38,12,26,8,12,6,0,0,12
5,qm,red,3492,7165,4150,49,49,15,34,10,15,9,0,0,15
5,qm,blue,451,3266,1317,45,45,12,33,6,18,9,0,0,12
6,qm,red,5724,2172,4269,36,36,9,27,12,12,3,0,0,9
6,qm,blue,4145,695,6084,18,18,9,9,0,3,6,0,0,9
7,qm,red,1038,4467,337,21,21,9,12,6,3,3,0,0,9
7,qm,blue,3792,6936,1787,39,39,12,27,6,15,6,0,0,12
8,qm,red,7434,4611,2603,29,29,9,20,2,6,12,0,0,9
8,qm,blue,554,1308,6927,35,35,6,29,2,21,6,0,0,6
9,qm,red,4027,4284,7486,54,54,9,45,12,18,15,0,0,9
9,qm,blue,3814,6834,5492,48,48,12,36,12,18,6,0,0,12
10,qm,red,3201,3504,5667,40,40,12,28,10,9,9,0,0,12
10,qm,blue,144,3010,677,50,50,15,35,8,18,9,0,0,15
11,qm,red,128,4269,3492,27,27,12,15,6,3,6,0,0,12
11,qm,blue,2383,2172,302,53,53,9,34,4,21,9,10,0,9
12,qm,red,4150,279,4028,58,58,12,46,10,18,18,0,0,12
12,qm,blue,5724,4145,1787,42,42,12,30,6,15,9,0,0,12
13,qm,red,1317,695,4611,43,43,15,28,4,15,9,0,0,15
13,qm,blue,451,6964,7434,25,25,12,10,4,3,3,3,0,12
14,qm,red,5973,1708,3266,32,32,9,14,2,9,3,9,0,9
14,qm,blue,3777,5492,1038,48,48,15,23,8,6,9,10,0,15
15,qm,red,3201,3484,6834,28,28,3,25,4,15,6,0,0,3
15,qm,blue,7460,5811,4467,48,48,9,36,12,21,3,3,0,9
16,qm,red,4284,6936,4283,48,48,6,42,6,24,12,0,0,6
16,qm,blue,156,1308,3010,35,35,12,20,8,3,9,3,0,12
17,qm,red,6084,2202,337,41,41,12,29,8,12,9,0,0,12
17,qm,blue,7486,5667,2603,47,47,9,38,8,21,9,0,0,9
18,qm,red,5740,7165,3504,45,45,9,36,6,18,12,0,0,9
18,qm,blue,4027,4521,2051,20,20,3,17,2,9,6,0,0,3
19,qm,red,3814,1014,144,48,48,15,30,6,18,6,3,0,15
19,qm,blue,3138,554,3324,64,64,12,52,16,27,9,0,0,12
20,qm,red,677,537,6927,15,15,9,6,0,0,6,0,0,9
20,qm,blue,3792,6032,5413,51,51,12,39,12,21,6,0,0,12
21,qm,red,5973,128,1038,26,26,9,17,8,3,6,0,0,9
21,qm,blue,3201,1317,4145,35,35,9,26,2,12,12,0,0,9
22,qm,red,7486,3266,2383,56,56,6,50,8,21,21,0,0,6
22,qm,blue,7434,4028,3010,37,37,12,22,4,12,6,3,0,12
23,qm,red,6964,4283,5740,38,38,9,19,4,12,3,10,0,9
23,qm,blue,4284,337,695,56,56,12,34,16,12,6,10,0,12
24,qm,red,6936,5492,144,66,66,15,45,12,24,9,6,0,15
24,qm,blue,4521,5724,5811,26,26,9,17,2,9,6,0,0,9
25,qm,red,7460,5413,677,39,39,15,24,6,12,6,0,0,15
25,qm,blue,2051,4467,1708,36,36,9,27,12,6,9,0,0,9
26,qm,red,6032,4269,156,57,57,12,33,12,15,6,12,0,12
26,qm,blue,5667,6834,4611,36,36,12,24,6,9,9,0,0,12
27,qm,red,1308,3492,3792,27,27,9,18,0,15,3,0,0,9
27,qm,blue,3814,6084,3777,33,33,15,15,6,6,3,3,0,15
28,qm,red,554,4027,302,59,59,9,50,14,15,21,0,0,9
28,qm,blue,4150,2202,3138,39,39,15,24,6,12,6,0,0,15
29,qm,red,279,6927,451,24,24,9,12,0,0,12,3,0,9
29,qm,blue,1014,537,3504,42,42,6,36,6,12,18,0,0,6
30,qm,red,2172,2603,1787,53,53,12,41,8,27,6,0,0,12
30,qm,blue,3484,3324,7165,100,100,12,75,18,36,21,13,0,12
31,qm,red,4611,7460,5740,47,47,15,32,2,18,12,0,0,15
31,qm,blue,3266,5724,4283,61,61,12,39,6,21,12,10,0,12
32,qm,red,4028,337,2051,58,58,12,40,16,3,21,6,0,12
32,qm,blue,3492,3201,3814,25,25,15,10,4,0,6,0,0,15
33,qm,red,695,144,6964,41,41,9,32,8,18,6,0,0,9
33,qm,blue,6032,2202,3777,58,58,15,37,10,21,6,6,0,15
34,qm,red,4521,5667,554,38,38,9,29,8,9,12,0,0,9
34,qm,blue,4467,4145,451,21,21,15,3,0,0,3,3,0,15
35,qm,red,3010,1787,537,57,57,15,36,6,21,9,6,0,15
35,qm,blue,4027,5973,4269,33,33,12,21,12,6,3,0,0,12
36,qm,red,7434,3792,6834,45,45,15,30,6,18,6,0,0,15
36,qm,blue,279,7165,302,58,58,15,40,4,21,15,3,0,15
37,qm,red,6927,6084,2383,24,24,6,18,0,12,6,0,0,6
37,qm,blue,3484,6936,1038,68,68,9,39,12,21,6,20,0,9
38,qm,red,156,1317,5492,71,71,15,56,14,30,12,0,0,15
38,qm,blue,677,1014,2172,36,36,15,21,0,18,3,0,0,15
39,qm,red,5811,128,1308,45,45,9,33,12,18,3,3,0,9
39,qm,blue,3504,7486,3324,70,70,12,43,16,21,6,15,0,12
40,qm,red,3138,5413,1708,54,54,12,42,12,27,3,0,0,12
40,qm,blue,2603,4150,4284,32,32,6,26,8,12,6,0,0,6
41,qm,red,337,3814,279,40,40,15,25,10,0,15,0,0,15
41,qm,blue,302,451,5973,41,41,12,29,2,21,6,0,0,12
42,qm,red,2051,3201,3792,46,46,12,34,10,15,9,0,0,12
42,qm,blue,3266,6964,1787,76,76,9,47,8,27,12,20,0,9
43,qm,red,677,4467,4027,46,46,6,37,10,15,12,3,0,6
43,qm,blue,4269,6927,144,50,50,12,38,14,21,3,0,0,12
44,qm,red,2202,3484,7486,50,50,12,35,8,18,9,3,0,12
44,qm,blue,7165,156,5724,48,48,15,30,6,18,6,3,0,15
45,qm,red,4284,3010,7460,51,51,9,32,2,18,12,10,0,9
45,qm,blue,3324,1317,6084,52,52,12,37,10,21,6,3,0,12
46,qm,red,4611,3777,2383,60,60,15,42,6,15,21,3,0,15
46,qm,blue,4521,4150,1014,37,37,9,28,4,18,6,0,0,9
47,qm,red,4028,1708,6032,62,62,9,53,14,21,18,0,0,9
47,qm,blue,2172,5740,1308,29,29,12,17,2,9,6,0,0,12
48,qm,red,5492,3138,5667,60,60,15,42,12,24,6,3,0,15
48,qm,blue,6936,7434,128,54,54,12,42,12,21,9,0,0,12
49,qm,red,2603,4283,4145,31,31,9,16,4,6,6,6,0,9
49,qm,blue,537,6834,5811,49,49,12,31,4,18,9,6,0,12
50,qm,red,5413,1038,3492,36,36,12,24,6,9,9,0,0,12
50,qm,blue,554,695,3504,51,51,12,36,6,15,15,3,0,12
51,qm,red,2383,144,279,66,66,15,51,12,18,21,0,0,15
51,qm,blue,6084,2051,4611,43,43,15,28,4,12,12,0,0,15
52,qm,red,1317,4521,6032,49,49,9,40,10,18,12,0,0,9
52,qm,blue,337,4027,3484,67,67,12,55,16,27,12,0,0,12
53,qm,red,1308,302,3266,56,56,9,38,2,15,21,9,0,9
53,qm,blue,1014,1787,4467,48,48,15,30,6,21,3,3,0,15
54,qm,red,6964,5811,4028,57,57,12,45,12,24,9,0,0,12
54,qm,blue,5667,677,7165,44,44,15,29,8,15,6,0,0,15
55,qm,red,3010,3324,695,61,61,12,31,4,15,12,18,0,12
55,qm,blue,1708,554,3792,60,60,12,48,12,24,12,0,0,12
56,qm,red,5973,2603,5724,39,39,9,30,6,15,9,0,0,9
56,qm,blue,3492,7434,4284,43,43,15,28,10,9,9,0,0,15
57,qm,red,4145,3138,7460,41,41,15,26,8,12,6,0,0,15
57,qm,blue,7486,5740,6927,24,24,9,15,0,6,9,0,0,9
58,qm,red,2172,3814,6936,25,25,9,16,4,9,3,0,0,9
58,qm,blue,537,5413,3201,49,49,9,40,10,24,6,0,0,9
59,qm,red,4269,3504,4150,68,68,12,50,8,15,27,6,0,12
59,qm,blue,5492,4283,2202,45,45,15,30,6,12,12,0,0,15
60,qm,red,128,3777,451,25,25,15,10,4,3,3,0,0,15
60,qm,blue,6834,1038,156,38,38,12,26,14,3,9,0,0,12
61,qm,red,5667,5811,4027,74,74,9,65,20,30,15,0,0,9
61,qm,blue,695,279,1308,23,23,12,11,2,0,9,0,0,12
62,qm,red,7165,6032,6964,54,54,15,39,12,15,12,0,0,15
62,qm,blue,7460,3492,5973,32,32,15,17,2,9,6,0,0,15
63,qm,red,1014,4611,4145,56,56,15,41,8,21,12,0,0,15
63,qm,blue,337,1708,6936,33,33,12,18,0,9,9,3,0,12
64,qm,red,3504,302,4467,70,70,12,48,6,24,18,10,0,12
64,qm,blue,2383,2603,1317,49,49,9,40,4,15,21,0,0,9
65,qm,red,4028,451,7486,52,52,12,40,4,21,15,0,0,12
65,qm,blue,4283,144,5413,64,64,15,46,10,27,9,3,0,15
66,qm,red,5740,7434,3324,70,70,12,55,16,27,12,3,0,12
66,qm,blue,1038,537,4150,54,54,9,30,12,9,9,15,0,9
67,qm,red,3484,2051,4269,15,15,6,9,0,6,3,0,0,6
67,qm,blue,3792,4284,3777,39,39,15,21,0,9,12,3,0,15
68,qm,red,5724,3814,2202,41,41,9,32,8,18,6,0,0,9
68,qm,blue,6927,3010,128,28,28,15,13,4,6,3,0,0,15
69,qm,red,6834,677,3266,44,44,15,29,2,18,9,0,0,15
69,qm,blue,3138,4521,2172,37,37,9,28,4,15,9,0,0,9
70,qm,red,5492,6084,554,50,50,12,38,8,21,9,0,0,12
70,qm,blue,156,1787,3201,56,56,12,44,14,24,6,0,0,12
71,qm,red,144,1308,7165,47,47,12,35,8,18,9,0,0,12
71,qm,blue,4150,337,5413,76,76,9,58,16,36,6,9,0,9
72,qm,red,4467,7486,1317,54,54,15,39,6,21,12,0,0,15
72,qm,blue,3777,279,537,44,44,15,29,8,3,18,0,0,15
73,qm,red,695,3792,7460,45,45,15,30,6,24,0,0,0,15
73,qm,blue,2603,128,1014,52,52,9,30,6,15,9,13,0,9
74,qm,red,6936,4269,6964,53,53,15,38,8,24,6,0,0,15
74,qm,blue,3504,4028,3814,63,63,15,45,6,15,24,3,0,15
75,qm,red,6084,5973,6834,29,29,15,14,2,3,9,0,0,15
75,qm,blue,5740,554,677,42,42,12,27,0,18,9,3,0,12
76,qm,red,3010,302,3492,70,70,9,43,4,21,18,18,0,9
76,qm,blue,5492,4611,3484,69,69,15,41,8,18,15,13,0,15
77,qm,red,5811,156,2172,48,48,9,39,12,18,9,0,0,9
77,qm,blue,1038,3138,2051,59,59,15,41,14,18,9,3,0,15
78,qm,red,3324,5667,4283,63,63,12,51,18,18,15,0,0,12
78,qm,blue,3266,6927,4521,27,27,12,15,0,9,6,0,0,12
79,qm,red,451,2383,5724,62,62,15,47,8,24,15,0,0,15
79,qm,blue,1708,4027,3201,54,54,9,45,6,24,15,0,0,9
80,qm,red,1787,7434,2202,42,42,15,27,6,18,3,0,0,15
80,qm,blue,4145,6032,4284,58,58,12,46,10,24,12,0,0,12
81,qm,red,3504,3792,3484,56,56,15,41,8,18,15,0,0,15
81,qm,blue,4611,7486,5973,56,56,15,35,8,15,12,6,0,15
82,qm,red,4467,5492,695,52,52,15,37,4,21,12,0,0,15
82,qm,blue,7165,4028,3138,66,66,15,42,6,18,18,9,0,15
83,qm,red,3777,2172,554,47,47,12,35,8,15,12,0,0,12
83,qm,blue,6927,7460,337,42,42,15,27,12,12,3,0,0,15
84,qm,red,4521,5740,279,29,29,6,23,2,12,9,0,0,6
84,qm,blue,4269,3201,2603,66,66,15,45,12,24,9,6,0,15
85,qm,red,302,1038,1014,67,67,12,49,10,21,18,6,0,12
85,qm,blue,6964,5724,5667,51,51,15,36,12,18,6,0,0,15
86,qm,red,2202,2051,1317,42,42,15,27,6,12,9,0,0,15
86,qm,blue,6834,1308,6936,35,35,12,23,2,15,6,0,0,12
87,qm,red,4150,451,6032,66,66,12,51,18,24,9,3,0,12
87,qm,blue,5811,6084,3010,45,45,15,30,6,18,6,0,0,15
88,qm,red,1787,677,3814,49,49,15,31,4,21,6,3,0,15
88,qm,blue,4283,2383,7434,62,62,15,47,14,24,9,0,0,15
89,qm,red,1708,4284,537,41,41,9,32,2,18,12,0,0,9
89,qm,blue,144,3266,128,65,65,12,53,14,30,9,0,0,12
