match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2795,2773,7464,14,14,6,8,2,3,3,0,0,6
1,qm,blue,31,6464,1410,23,23,6,14,8,3,3,3,0,6
2,qm,red,1619,6891,4293,62,62,15,47,14,18,15,0,0,15
2,qm,blue,2359,3593,2341,50,50,12,38,8,21,9,0,0,12
3,qm,red,6026,4522,2395,32,32,6,26,2,18,6,0,0,6
3,qm,blue,3160,4523,1750,40,40,12,28,4,12,12,0,0,12
4,qm,red,5098,3152,3507,30,30,0,12,6,0,6,18,0,0
4,qm,blue,2461,4550,2996,68,68,12,53,14,30,9,3,0,12
5,qm,red,6809,4005,4499,62,62,12,44,8,27,9,6,0,12
5,qm,blue,2165,2424,1209,16,16,6,10,4,6,0,0,0,6
6,qm,red,4418,5930,3247,35,35,12,17,2,3,12,6,0,12
6,qm,blue,2333,4959,6900,10,10,0,10,4,0,6,0,0,0
7,qm,red,2354,5889,1561,55,55,12,43,10,18,15,0,0,12
7,qm,blue,6800,2765,2723,28,28,3,25,4,12,9,0,0,3
8,qm,red,4500,5578,662,38,38,15,23,8,12,3,0,0,15
8,qm,blue,5730,2986,3612,28,28,9,9,0,6,3,10,0,9
9,qm,red,3931,2410,3457,36,36,9,27,0,12,15,0,0,9
9,qm,blue,932,7473,2352,29,29,6,23,8,3,12,0,0,6
10,qm,red,3179,2373,7744,29,29,9,20,2,12,6,0,0,9
10,qm,blue,3465,5621,2398,22,22,6,16,4,3,9,0,0,6
11,qm,red,2424,4005,5550,39,39,6,27,6,18,3,6,0,6
11,qm,blue,3163,2395,6891,26,26,9,17,2,6,9,0,0,9
12,qm,red,2765,3160,6026,25,25,9,16,4,3,9,0,0,9
12,qm,blue,6900,4499,1619,60,60,12,48,12,15,21,0,0,12
13,qm,red,2986,3593,3152,17,17,3,14,2,9,3,0,0,3
13,qm,blue,1209,5098,4523,44,44,9,35,2,21,12,0,0,9
14,qm,red,3931,932,5889,45,45,9,36,6,24,6,0,0,9
14,qm,blue,7464,31,2341,57,57,15,32,8,12,12,10,0,15
15,qm,red,7744,4959,2410,44,44,9,35,2,15,18,0,0,9
15,qm,blue,2773,2461,4500,12,12,6,6,0,3,3,0,0,6
16,qm,red,4550,6809,2398,18,18,3,12,0,6,6,3,0,3
