match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3131,4043,3711,63,63,12,48,12,18,18,3,0,12
1,qm,blue,6831,3223,6696,17,17,0,7,4,3,0,10,0,0
2,qm,red,4057,7204,7034,51,51,6,35,14,6,15,10,0,6
2,qm,blue,753,2550,7032,6,6,3,3,0,0,3,0,0,3
3,qm,red,957,955,2915,25,25,6,19,4,6,9,0,0,6
3,qm,blue,7448,3673,1359,6,6,3,3,0,0,3,0,0,3
4,qm,red,847,4051,5977,15,15,3,9,0,6,3,3,0,3
4,qm,blue,2990,3024,3636,31,31,3,28,4,12,12,0,0,3
5,qm,red,997,2733,5468,45,45,9,30,18,6,6,6,0,9
5,qm,blue,6443,6845,4125,35,35,6,20,8,0,12,9,0,6
6,qm,red,1540,1425,2811,56,56,12,41,8,15,18,3,0,12
6,qm,blue,6343,6445,5198,25,25,6,16,4,12,0,3,0,6
7,qm,red,4692,3673,6831,25,25,9,16,4,6,6,0,0,9
7,qm,blue,3223,3636,5085,48,48,9,23,2,15,6,16,0,9
8,qm,red,997,2990,7448,36,36,9,27,0,18,9,0,0,9
8,qm,blue,3131,753,6696,19,19,6,7,4,0,3,6,0,6
9,qm,red,7034,4051,4043,35,35,9,26,14,6,6,0,0,9
9,qm,blue,847,1540,6845,68,68,9,56,14,24,18,3,0,9
10,qm,red,4692,2915,5468,37,37,12,25,4,12,9,0,0,12
10,qm,blue,7032,1425,6445,62,62,6,20,2,12,6,36,0,6
11,qm,red,5977,2733,1359,14,14,0,14,8,0,6,0,0,0
11,qm,blue,3711,2550,5085,49,49,12,34,4,12,18,3,0,12
12,qm,red,6443,3024,5198,39,39,15,24,6,0,18,0,0,15
12,qm,blue,4057,955,2811,33,33,6,27,6,6,15,0,0,6
13,qm,red,6343,4043,4125,45,45,9,36,12,15,9,0,0,9
13,qm,blue,7204,957,7448,18,18,9,3,0,0,3,6,0,9
14,qm,red,4051,6831,2550,25,25,15,10,4,3,3,0,0,15
14,qm,blue,1425,7034,753,44,44,9,35,2,18,15,0,0,9
15,qm,red,1359,5198,2990,33,33,9,24,6,15,3,0,0,9
15,qm,blue,5468,3636,955,21,21,6,15,6,6,3,0,0,6
16,qm,red,957,4125,7032,24,24,6,18,6,3,9,0,0,6
