match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3929,486,5407,39,39,12,27,6,3,18,0,0,12
1,qm,blue,4454,1791,2191,9,9,3,3,0,0,3,3,0,3
2,qm,red,1168,433,4750,53,53,9,44,14,15,15,0,0,9
2,qm,blue,3151,4575,4638,24,24,6,18,6,6,6,0,0,6
3,qm,red,1495,272,204,34,34,6,28,4,15,9,0,0,6
3,qm,blue,87,484,365,32,32,9,23,2,12,9,0,0,9
4,qm,red,5113,7110,834,36,36,9,27,0,15,12,0,0,9
4,qm,blue,4342,2180,5420,44,44,12,32,2,12,18,0,0,12
5,qm,red,1370,341,1391,24,24,6,15,6,3,6,3,0,6
5,qm,blue,5404,1640,1811,48,48,15,33,6,18,9,0,0,15
6,qm,red,3151,1712,272,42,42,9,27,6,12,9,6,0,9
6,qm,blue,423,2180,5113,32,32,9,23,2,18,3,0,0,9
7,qm,red,204,5420,1811,30,30,9,12,0,9,3,9,0,9
7,qm,blue,2191,4638,5404,62,62,12,50,8,24,18,0,0,12
8,qm,red,1168,1370,4454,40,40,12,28,10,9,9,0,0,12
8,qm,blue,341,1712,4750,14,14,6,8,2,0,6,0,0,6
9,qm,red,1791,433,1495,47,47,6,41,8,15,18,0,0,6
9,qm,blue,5407,4342,7110,55,55,12,43,10,12,21,0,0,12
10,qm,red,1391,87,486,44,44,12,32,2,9,21,0,0,12
10,qm,blue,834,484,4575,46,46,12,34,4,21,9,0,0,12
11,qm,red,1640,423,1370,34,34,12,22,4,9,9,0,0,12
11,qm,blue,365,5404,3929,66,66,15,51,12,30,9,0,0,15
12,qm,red,486,3151,1168,29,29,12,17,8,6,3,0,0,12
12,qm,blue,87,272,4638,72,72,9,37,10,18,9,26,0,9
13,qm,red,433,5407,834,82,82,15,49,4,21,24,18,0,15
13,qm,blue,7110,423,1712,39,39,9,24,6,9,9,6,0,9
14,qm,red,2191,4750,3929,31,31,12,19,4,15,0,0,0,12
14,qm,blue,1811,1495,365,41,41,15,26,2,18,6,0,0,15
15,qm,red,4454,4342,204,15,15,3,12,0,9,3,0,0,3
15,qm,blue,5420,1640,1391,78,78,15,63,12,30,21,0,0,15
16,qm,red,341,484,5113,39,39,15,24,0,18,6,0,0,15
