match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1296,7534,5613,35,35,12,17,2,0,15,6,0,12
1,qm,blue,5417,7573,6133,22,22,9,3,0,0,3,10,0,9
2,qm,red,2613,4734,4799,19,19,9,10,4,0,6,0,0,9
2,qm,blue,2657,6315,3366,25,25,9,16,4,9,3,0,0,9
3,qm,red,4694,5212,7649,7,7,3,4,4,0,0,0,0,3
3,qm,blue,5783,3037,6974,46,46,12,25,4,15,6,9,0,12
4,qm,red,7271,4301,148,63,63,15,42,6,21,15,6,0,15
4,qm,blue,5888,1817,4153,41,41,9,29,8,9,12,3,0,9
5,qm,red,4641,5866,3310,25,25,3,22,4,18,0,0,0,3
5,qm,blue,4734,4717,7540,13,13,0,13,4,0,9,0,0,0
6,qm,red,7573,3037,7534,36,36,6,6,0,0,6,24,0,6
6,qm,blue,7649,4301,5783,22,22,9,13,4,3,6,0,0,9
7,qm,red,4641,5212,5888,15,15,0,12,0,9,3,3,0,0
7,qm,blue,3366,5866,4153,53,53,9,44,8,27,9,0,0,9
8,qm,red,6133,4799,1817,18,18,6,9,6,0,3,3,0,6
8,qm,blue,6315,1296,4694,26,26,12,14,2,3,9,0,0,12
9,qm,red,5613,4717,6974,53,53,15,38,8,15,15,0,0,15
9,qm,blue,2657,2613,148,70,70,15,52,16,18,18,3,0,15
10,qm,red,7271,5866,3310,65,65,15,50,8,24,18,0,0,15
10,qm,blue,7540,5417,3037,17,17,6,11,8,0,3,0,0,6
11,qm,red,6133,6315,4641,15,15,9,6,0,0,6,0,0,9
11,qm,blue,5212,7573,4717,15,15,9,3,0,0,3,3,0,9
12,qm,red,5783,1296,4799,26,26,15,11,8,0,3,0,0,15
12,qm,blue,7540,6974,4301,46,46,12,28,4,15,9,6,0,12
13,qm,red,148,7649,1817,50,50,15,35,14,18,3,0,0,15
13,qm,blue,5888,4734,4694,40,40,15,12,0,6,6,13,0,15
14,qm,red,5613,4153,5417,52,52,9,33,12,9,12,10,0,9
14,qm,blue,7534,3310,2657,46,46,9,34,10,18,6,3,0,9
15,qm,red,7540,3366,2613,53,53,12,41,14,15,12,0,0,12
15,qm,blue,7649,7271,6133,32,32,15,17,2,9,6,0,0,15
16,qm,red,4799,148,6315,67,67,15,46,10,18,18,6,0,15
16,qm,blue,5866,6974,5888,49,49,15,34,4,24,6,0,0,15
17,qm,red,5417,4734,4301,15,15,9,6,0,0,6,0,0,9
17,qm,blue,2657,4717,4694,21,21,12,9,0,3,6,0,0,12
18,qm,red,4153,7271,2613,51,51,15,27,6,9,12,9,0,15
18,qm,blue,3037,4641,1296,12,12,6,3,0,0,3,3,0,6
19,qm,red,5783,5613,3366,40,40,6,24,6,12,6,10,0,6
19,qm,blue,5212,3310,1817,48,48,6,42,18,21,3,0,0,6
20,qm,red,7534,7649,4734,56,56,15,19,4,9,6,22,0,15
20,qm,blue,7573,7540,1296,40,40,15,19,4,6,9,6,0,15
21,qm,red,6133,3037,2657,8,8,3,5,2,0,3,0,0,3
21,qm,blue,5888,1817,6974,43,43,9,34,4,24,6,0,0,9
22,qm,red,3310,4301,4153,75,75,12,63,18,27,18,0,0,12
22,qm,blue,4694,4799,5866,25,25,9,16,4,6,6,0,0,9
23,qm,red,4717,5613,4641,6,6,3,3,0,0,3,0,0,3
23,qm,blue,6315,7534,7271,44,44,15,29,2,18,9,0,0,15
24,qm,red,2613,5212,5783,33,33,12,15,6,3,6,6,0,12
24,qm,blue,5417,3366,148,57,57,9,48,12,30,6,0,0,9
25,qm,red,7573,5888,3037,21,21,9,12,0,9,3,0,0,9
25,qm,blue,4641,4301,5613,46,46,6,24,0,15,9,16,0,6
26,qm,red,7534,5417,2613,33,33,12,18,6,0,12,3,0,12
26,qm,blue,1817,5783,5866,46,46,15,31,4,24,3,0,0,15
27,qm,red,3366,7649,6315,29,29,6,23,2,18,3,0,0,6
27,qm,blue,4153,7540,4799,59,59,15,38,14,12,12,6,0,15
28,qm,red,4717,7271,1296,33,33,15,18,0,12,6,0,0,15
28,qm,blue,5212,2657,4734,12,12,3,9,0,3,6,0,0,3
29,qm,red,6974,6133,4694,24,24,15,6,0,0,6,3,0,15
29,qm,blue,148,3310,7573,37,37,9,28,10,15,3,0,0,9
30,qm,red,4301,2657,1817,82,82,9,37,4,24,9,36,0,9
30,qm,blue,7649,5417,4641,37,37,9,25,4,12,9,3,0,9
31,qm,red,7540,4694,5783,34,34,9,25,4,15,6,0,0,9
31,qm,blue,6133,4734,5866,37,37,9,28,4,18,6,0,0,9
32,qm,red,3310,6315,7573,59,59,12,41,14,18,9,6,0,12
32,qm,blue,5613,5888,7271,26,26,9,14,8,0,6,3,0,9
33,qm,red,4799,5212,3366,34,34,9,25,4,18,3,0,0,9
33,qm,blue,1296,7534,148,56,56,15,41,8,18,15,0,0,15
34,qm,red,4717,4153,3037,26,26,6,20,2,6,12,0,0,6
34,qm,blue,6974,2613,7573,51,51,15,36,6,21,9,0,0,15
35,qm,red,4734,1296,3310,63,63,9,54,12,24,18,0,0,9
35,qm,blue,4301,6315,5212,33,33,9,24,0,18,6,0,0,9
36,qm,red,4641,2657,7540,37,37,9,28,4,15,9,0,0,9
36,qm,blue,148,5783,6133,66,66,15,45,12,18,15,6,0,15
37,qm,red,7271,6974,3366,47,47,12,29,2,21,6,6,0,12
37,qm,blue,1817,5613,7649,44,44,12,29,8,15,6,3,0,12
38,qm,red,4717,5888,5417,52,52,12,27,6,15,6,13,0,12
38,qm,blue,4694,2613,4153,43,43,15,28,10,3,15,0,0,15
39,qm,red,5866,7534,7540,36,36,9,27,6,12,9,0,0,9
39,qm,blue,3037,5613,4799,12,12,9,3,0,0,3,0,0,9
40,qm,red,1296,4153,2657,45,45,6,36,6,18,12,3,0,6
