match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7312,7521,7872,32,32,9,23,2,15,6,0,0,9
1,qm,blue,3028,6830,3545,5,5,0,5,2,0,3,0,0,0
2,qm,red,653,5754,7088,15,15,3,12,6,3,3,0,0,3
2,qm,blue,6733,3997,6754,0,0,0,0,0,0,0,0,0,0
3,qm,red,3029,4332,5726,3,3,0,3,0,0,3,0,0,0
3,qm,blue,4219,457,2966,26,26,6,20,8,3,9,0,0,6
4,qm,red,5960,5103,7621,44,44,15,29,2,18,9,0,0,15
4,qm,blue,2969,7837,5986,6,6,3,3,0,0,3,0,0,3
5,qm,red,3240,4412,3481,14,14,6,8,2,0,6,0,0,6
5,qm,blue,5894,7063,6155,24,24,6,18,0,9,9,0,0,6
6,qm,red,3035,6935,5681,9,9,3,3,0,0,3,3,0,3
6,qm,blue,3561,3345,5572,40,40,9,31,4,18,9,0,0,9
7,qm,red,5103,3997,653,21,21,6,12,0,9,3,3,0,6
7,qm,blue,3029,6830,5754,11,11,6,5,2,0,3,0,0,6
8,qm,red,4332,6754,7872,15,15,3,2,2,0,0,10,0,3
8,qm,blue,2969,5894,457,17,17,3,14,2,6,6,0,0,3
9,qm,red,5726,3240,5572,32,32,9,23,2,18,3,0,0,9
9,qm,blue,7837,7063,5960,24,24,6,18,0,15,3,0,0,6
10,qm,red,3345,4219,4412,15,15,3,9,0,3,6,3,0,3
10,qm,blue,7312,5986,5681,12,12,6,6,0,0,6,0,0,6
11,qm,red,3035,3561,6733,24,24,12,12,0,12,0,0,0,12
11,qm,blue,3545,2966,7621,6,6,3,3,0,0,3,0,0,3
12,qm,red,6935,7521,3028,36,36,6,24,0,18,6,6,0,6
12,qm,blue,3481,7088,6155,21,21,3,18,0,15,3,0,0,3
13,qm,red,5960,6830,3345,27,27,12,15,0,12,3,0,0,12
13,qm,blue,457,5986,5103,41,41,15,26,8,9,9,0,0,15
14,qm,red,5681,6733,2966,10,10,0,10,4,0,6,0,0,0
14,qm,blue,653,4219,7872,14,14,6,8,2,0,6,0,0,6
15,qm,red,7312,6155,3035,39,39,9,21,0,15,6,9,0,9
15,qm,blue,3029,3481,3561,36,36,12,24,0,15,9,0,0,12
16,qm,red,6754,3545,5894,24,24,3,15,0,9,6,6,0,3
16,qm,blue,7837,3028,5726,14,14,3,11,2,3,6,0,0,3
17,qm,red,5754,3997,4412,18,18,3,12,6,3,3,3,0,3
17,qm,blue,3240,4332,6935,38,38,9,29,2,9,18,0,0,9
18,qm,red,2969,7621,7063,22,22,6,6,0,0,6,10,0,6
18,qm,blue,5572,7521,7088,36,36,9,27,6,15,6,0,0,9
19,qm,red,3345,7312,653,9,9,0,9,0,6,3,0,0,0
19,qm,blue,7872,5726,5960,35,35,15,20,2,12,6,0,0,15
20,qm,red,3035,3545,3029,43,43,6,27,0,18,9,10,0,6
20,qm,blue,3997,6155,4332,42,42,3,24,0,18,6,15,0,3
21,qm,red,3481,5103,6830,45,45,15,27,0,18,9,3,0,15
21,qm,blue,2966,3028,6754,11,11,0,8,2,0,6,3,0,0
22,qm,red,3240,7088,2969,15,15,6,9,0,3,6,0,0,6
22,qm,blue,5681,5572,4412,20,20,3,17,2,12,3,0,0,3
23,qm,red,7063,457,6935,24,24,6,18,6,3,9,0,0,6
23,qm,blue,7521,6733,4219,33,33,6,24,0,15,9,3,0,6
24,qm,red,3561,5986,7621,29,29,15,14,8,6,0,0,0,15
24,qm,blue,5894,7837,5754,27,27,6,21,6,6,9,0,0,6
25,qm,red,3997,2969,5726,29,29,9,11,2,3,6,9,0,9
25,qm,blue,4412,6830,3035,27,27,6,21,0,15,6,0,0,6
26,qm,red,3028,6155,6733,27,27,3,18,0,18,0,6,0,3
