match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4681,2906,4060,12,12,0,12,6,0,6,0,0,0
1,qm,blue,2976,3588,5588,49,49,12,37,16,15,6,0,0,12
2,qm,red,5937,3574,3393,42,42,9,23,8,6,9,10,0,9
2,qm,blue,1258,2907,4131,45,45,12,33,12,12,9,0,0,12
3,qm,red,5827,6350,948,30,30,6,24,6,12,6,0,0,6
3,qm,blue,3681,2412,2929,8,8,3,5,2,0,3,0,0,3
4,qm,red,2097,2046,3218,26,26,9,17,8,9,0,0,0,9
4,qm,blue,4915,1983,3237,22,22,9,7,4,3,0,6,0,9
5,qm,red,7461,5450,3684,32,32,3,26,2,18,6,3,0,3
5,qm,blue,6959,2557,4918,25,25,9,16,4,3,9,0,0,9
6,qm,red,4205,2927,488,13,13,6,7,4,0,3,0,0,6
6,qm,blue,1899,1294,4450,39,39,12,27,0,18,9,0,0,12
7,qm,red,5827,3681,568,17,17,3,11,8,0,3,3,0,3
7,qm,blue,6503,3588,5937,29,29,12,17,2,6,9,0,0,12
8,qm,red,2929,2557,2906,11,11,3,8,2,0,6,0,0,3
8,qm,blue,3218,3393,3237,23,23,6,17,2,9,6,0,0,6
9,qm,red,1899,4131,2412,41,41,12,29,8,15,6,0,0,12
9,qm,blue,2046,1258,5450,56,56,12,44,8,18,18,0,0,12
10,qm,red,2927,1983,1294,35,35,9,23,2,18,3,3,0,9
10,qm,blue,4060,948,7461,60,60,15,30,0,18,12,15,0,15
11,qm,red,4918,568,2976,16,16,3,13,4,6,3,0,0,3
11,qm,blue,6503,4915,5588,19,19,3,10,4,3,3,6,0,3
12,qm,red,2907,4681,6959,38,38,3,12,0,6,6,23,0,3
12,qm,blue,3574,3684,4450,47,47,15,32,2,12,18,0,0,15
13,qm,red,2097,488,948,35,35,12,23,2,12,9,0,0,12
13,qm,blue,6350,4205,2557,38,38,9,23,8,9,6,6,0,9
14,qm,red,3393,1899,1983,63,63,9,39,6,18,15,15,0,9
14,qm,blue,568,7461,2906,12,12,12,0,0,0,0,0,0,12
15,qm,red,5450,3237,5588,24,24,6,15,6,6,3,3,0,6
15,qm,blue,1294,3218,2907,33,33,9,24,0,18,6,0,0,9
16,qm,red,5937,1258,2097,40,40,9,31,4,15,12,0,0,9
16,qm,blue,2929,3684,3588,12,12,3,9,6,0,3,0,0,3
17,qm,red,2976,4915,6350,48,48,15,33,12,15,6,0,0,15
17,qm,blue,4450,4131,6959,30,30,6,24,6,15,3,0,0,6
18,qm,red,4681,488,3681,35,35,6,29,8,18,3,0,0,6
18,qm,blue,2412,2046,4918,52,52,12,40,10,12,18,0,0,12
19,qm,red,3574,4060,2927,25,25,9,7,4,0,3,9,0,9
19,qm,blue,5827,6503,4205,31,31,3,28,10,0,18,0,0,3
20,qm,red,3237,1294,2929,9,9,6,3,0,0,3,0,0,6
20,qm,blue,6350,3588,4131,54,54,15,36,12,15,9,3,0,15
21,qm,red,4450,4915,2097,39,39,9,27,0,9,18,3,0,9
21,qm,blue,5588,6959,2906,19,19,9,10,4,3,3,0,0,9
22,qm,red,2976,2412,3393,49,49,12,37,10,21,6,0,0,12
22,qm,blue,3684,5937,2927,16,16,9,7,4,3,0,0,0,9
23,qm,red,2907,4205,2046,68,68,15,53,14,24,15,0,0,15
23,qm,blue,4681,5827,4918,33,33,3,30,6,9,15,0,0,3
24,qm,red,7461,3218,3574,29,29,12,17,8,0,9,0,0,12
24,qm,blue,5450,3681,948,33,33,9,24,0,18,6,0,0,9
25,qm,red,1258,2557,6503,31,31,3,28,10,9,9,0,0,3
25,qm,blue,4060,1899,488,42,42,15,27,6,12,9,0,0,15
26,qm,red,4131,4915,568,47,47,3,44,8,18,18,0,0,3
26,qm,blue,4205,1983,2929,54,54,12,42,6,18,18,0,0,12
27,qm,red,2097,2976,3237,46,46,6,40,10,27,3,0,0,6
27,qm,blue,3393,948,1294,48,48,15,24,0,18,6,9,0,15
28,qm,red,6350,2906,488,24,24,15,6,0,0,6,3,0,15
