match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4451,442,1466,40,40,6,31,4,18,9,3,0,6
1,qm,blue,1319,3959,342,43,43,12,31,4,24,3,0,0,12
2,qm,red,7512,7111,7428,14,14,3,11,2,0,9,0,0,3
2,qm,blue,6145,4306,6107,27,27,15,12,0,6,6,0,0,15
3,qm,red,16,3814,1421,69,69,15,54,12,24,18,0,0,15
3,qm,blue,2556,5858,7693,14,14,6,8,2,0,6,0,0,6
4,qm,red,2783,3792,5005,35,35,12,23,2,18,3,0,0,12
4,qm,blue,4965,4764,6157,42,42,9,33,6,18,9,0,0,9
5,qm,red,4924,7525,5045,29,29,6,20,2,12,6,3,0,6
5,qm,blue,5410,4265,456,25,25,9,16,4,0,12,0,0,9
6,qm,red,547,7313,34,60,60,6,18,0,15,3,36,0,6
6,qm,blue,2183,3319,5058,49,49,9,30,6,15,9,10,0,9
7,qm,red,3843,3139,6937,9,9,6,0,0,0,0,3,0,6
7,qm,blue,6404,6366,7484,49,49,9,40,16,12,12,0,0,9
8,qm,red,234,538,4533,79,79,15,64,16,30,18,0,0,15
8,qm,blue,2973,7072,5616,45,45,6,29,2,18,9,10,0,6
9,qm,red,4740,364,63,55,55,9,46,4,24,18,0,0,9
9,qm,blue,4013,2815,7446,29,29,12,17,8,3,6,0,0,12
10,qm,red,27,342,442,77,77,9,53,14,21,18,15,0,9
10,qm,blue,3792,5410,4764,39,39,15,21,0,12,9,3,0,15
11,qm,red,7525,1319,7428,30,30,6,24,6,12,6,0,0,6
11,qm,blue,4924,2183,16,57,57,9,48,12,21,15,0,0,9
12,qm,red,1421,7484,5058,48,48,12,26,14,6,6,10,0,12
12,qm,blue,7111,6404,4451,60,60,9,51,6,24,21,0,0,9
13,qm,red,4965,7512,3319,46,46,9,27,6,12,9,10,0,9
13,qm,blue,538,5045,3139,41,41,12,29,2,18,9,0,0,12
14,qm,red,63,234,4265,38,38,9,29,8,6,15,0,0,9
14,qm,blue,3843,4740,6157,33,33,6,21,6,9,6,6,0,6
15,qm,red,7072,547,2556,36,36,9,24,6,15,3,3,0,9
15,qm,blue,364,5858,27,60,60,15,45,12,18,15,0,0,15
16,qm,red,1466,4533,2973,47,47,15,32,8,15,9,0,0,15
16,qm,blue,4013,7693,2783,40,40,12,28,4,18,6,0,0,12
17,qm,red,6366,6145,7446,51,51,15,36,6,15,15,0,0,15
17,qm,blue,3959,3814,5616,51,51,15,36,6,24,6,0,0,15
18,qm,red,7313,6107,6937,21,21,12,9,0,6,3,0,0,12
18,qm,blue,34,5005,456,59,59,15,44,8,18,18,0,0,15
19,qm,red,4306,4265,3319,34,34,12,22,4,12,6,0,0,12
19,qm,blue,234,442,2815,49,49,9,34,10,9,15,6,0,9
20,qm,red,538,4924,2556,48,48,12,36,6,18,12,0,0,12
20,qm,blue,4764,7111,63,40,40,12,25,10,3,12,3,0,12
21,qm,red,7072,5858,2183,41,41,6,35,8,21,6,0,0,6
21,qm,blue,2783,6404,5045,56,56,12,44,8,27,9,0,0,12
22,qm,red,6145,5410,4740,20,20,12,5,2,0,3,3,0,12
22,qm,blue,1319,547,4965,35,35,12,14,8,3,3,9,0,12
23,qm,red,3139,3959,27,55,55,9,46,10,30,6,0,0,9
23,qm,blue,7525,7313,4013,14,14,6,8,2,3,3,0,0,6
24,qm,red,456,4306,3792,61,61,15,36,6,12,18,10,0,15
24,qm,blue,34,5616,7693,39,39,9,27,0,18,9,3,0,9
25,qm,red,364,342,3814,82,82,15,67,16,30,21,0,0,15
25,qm,blue,2973,7428,6107,47,47,15,29,8,15,6,3,0,15
26,qm,red,6157,16,7446,65,65,12,53,8,24,21,0,0,12
26,qm,blue,6366,5058,1466,28,28,12,16,4,3,9,0,0,12
27,qm,red,7484,3843,7512,16,16,9,7,4,0,3,0,0,9
27,qm,blue,2815,4533,1421,71,71,15,47,14,18,15,9,0,15
28,qm,red,4451,4265,538,79,79,9,58,10,27,21,12,0,9
28,qm,blue,6937,5005,4013,34,34,15,19,4,9,6,0,0,15
