match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6508,7129,7709,44,44,9,35,2,18,15,0,0,9
1,qm,blue,6035,6304,6579,59,59,15,41,8,21,12,3,0,15
2,qm,red,5876,7551,7146,30,30,12,18,0,12,6,0,0,12
2,qm,blue,6520,4729,4802,29,29,9,20,2,15,3,0,0,9
3,qm,red,5449,6510,4613,73,73,9,64,16,30,18,0,0,9
3,qm,blue,6996,6997,4537,42,42,9,24,12,6,6,9,0,9
4,qm,red,5584,6007,7838,34,34,9,16,10,3,3,9,0,9
4,qm,blue,7074,5648,7844,28,28,9,19,10,0,9,0,0,9
5,qm,red,7780,5308,3132,64,64,12,42,6,27,9,10,0,12
5,qm,blue,6575,7719,5451,42,42,9,33,6,12,15,0,0,9
6,qm,red,6063,7433,5663,54,54,9,45,6,24,15,0,0,9
6,qm,blue,5985,7707,5988,43,43,9,34,10,6,18,0,0,9
7,qm,red,6986,6083,7586,58,58,9,43,10,18,15,6,0,9
7,qm,blue,6813,6524,6441,9,9,3,3,0,0,3,3,0,3
8,qm,red,7593,7113,7047,43,43,9,28,4,18,6,6,0,9
8,qm,blue,5522,7588,7601,19,19,9,4,4,0,0,6,0,9
9,qm,red,4774,5333,5516,40,40,12,28,4,21,3,0,0,12
9,qm,blue,6386,6432,4270,47,47,9,38,2,18,18,0,0,9
10,qm,red,7561,7884,4739,26,26,6,20,2,12,6,0,0,6
10,qm,blue,3881,6476,4614,39,39,12,18,6,9,3,9,0,12
11,qm,red,5663,5451,7741,67,67,9,46,10,21,15,12,0,9
11,qm,blue,7838,5876,2437,35,35,12,23,8,12,3,0,0,12
12,qm,red,6083,7433,7707,51,51,9,39,6,24,9,3,0,9
12,qm,blue,6996,3132,7074,53,53,15,38,8,24,6,0,0,15
13,qm,red,7709,7113,7146,33,33,12,18,0,12,6,3,0,12
13,qm,blue,5584,6997,5988,57,57,12,32,2,15,15,13,0,12
14,qm,red,4774,6510,4729,47,47,9,38,2,15,21,0,0,9
14,qm,blue,7780,5985,6813,63,63,15,48,12,18,18,0,0,15
15,qm,red,5516,6579,7129,21,21,3,15,0,12,3,3,0,3
15,qm,blue,7047,5449,4614,41,41,9,29,8,6,15,3,0,9
16,qm,red,7719,6524,7884,31,31,12,13,4,6,3,6,0,12
16,qm,blue,5333,6007,5522,37,37,12,25,4,12,9,0,0,12
17,qm,red,6304,7601,6386,60,60,12,48,6,18,24,0,0,12
17,qm,blue,7551,7561,7741,53,53,15,38,8,24,6,0,0,15
18,qm,red,6035,5308,3881,37,37,12,25,4,12,9,0,0,12
18,qm,blue,4613,6520,6432,47,47,12,35,2,18,15,0,0,12
19,qm,red,4537,6508,5648,51,51,9,39,12,12,15,3,0,9
19,qm,blue,6063,6441,7593,29,29,9,10,4,6,0,10,0,9
20,qm,red,7844,6476,4739,25,25,9,13,4,3,6,3,0,9
20,qm,blue,6575,7586,7588,9,9,6,3,0,0,3,0,0,6
21,qm,red,5449,4802,2437,30,30,6,24,0,12,12,0,0,6
21,qm,blue,6986,4270,5988,55,55,9,46,10,18,18,0,0,9
22,qm,red,7780,6510,7561,71,71,15,50,8,24,18,6,0,15
22,qm,blue,5663,5333,5584,46,46,15,31,4,15,12,0,0,15
23,qm,red,7074,7884,6813,36,36,12,24,6,3,15,0,0,12
23,qm,blue,6035,6996,5516,46,46,15,28,10,12,6,3,0,15
24,qm,red,7601,4614,6441,21,21,9,12,0,6,6,0,0,9
24,qm,blue,7838,4774,5308,63,63,15,39,6,15,18,9,0,15
25,qm,red,5876,7719,7588,32,32,15,17,2,12,3,0,0,15
25,qm,blue,6508,6579,7433,63,63,9,48,12,21,15,6,0,9
26,qm,red,6997,6063,3132,53,53,15,35,8,21,6,3,0,15
26,qm,blue,6524,4729,3881,28,28,12,13,4,3,6,3,0,12
27,qm,red,4802,6386,5985,47,47,6,41,14,12,15,0,0,6
27,qm,blue,6432,6575,7129,18,18,12,6,0,0,6,0,0,12
28,qm,red,6520,7844,7709,44,44,12,32,2,21,9,0,0,12
28,qm,blue,6083,7593,7741,73,73,9,61,16,36,9,3,0,9
29,qm,red,6476,7047,7586,47,47,9,32,20,3,9,6,0,9
29,qm,blue,7146,4270,5451,54,54,9,45,6,24,15,0,0,9
30,qm,red,7707,4613,5648,52,52,6,34,4,15,15,12,0,6
30,qm,blue,2437,6304,7113,46,46,12,34,4,21,9,0,0,12
31,qm,red,4739,4537,5522,35,35,9,26,2,18,6,0,0,9
31,qm,blue,6007,7551,6986,42,42,9,33,0,15,18,0,0,9
32,qm,red,6508,3132,6813,74,74,15,56,14,24,18,3,0,15
32,qm,blue,5333,7601,5449,51,51,9,42,6,18,18,0,0,9
33,qm,red,6432,4614,7074,37,37,9,25,4,6,15,3,0,9
33,qm,blue,5988,7844,7719,32,32,12,14,8,3,3,6,0,12
34,qm,red,7588,7146,7433,51,51,9,42,6,21,15,0,0,9
34,qm,blue,6386,7780,6524,42,42,15,24,0,15,9,3,0,15
35,qm,red,7884,5876,6997,43,43,15,25,10,3,12,3,0,15
35,qm,blue,5648,5985,4270,76,76,15,58,16,24,18,3,0,15
36,qm,red,6579,7741,4774,47,47,15,32,8,18,6,0,0,15
36,qm,blue,5663,4739,4729,39,39,15,14,2,6,6,10,0,15
37,qm,red,5584,4802,7707,24,24,9,15,6,3,6,0,0,9
37,qm,blue,4537,7047,3881,63,63,12,36,12,15,9,15,0,12
38,qm,red,7561,5522,5516,54,54,15,39,6,24,9,0,0,15
38,qm,blue,7709,4613,7586,53,53,9,35,2,18,15,9,0,9
39,qm,red,6986,6441,6996,42,42,12,24,6,12,6,6,0,12
39,qm,blue,5451,6304,6520,101,101,12,56,8,27,21,33,0,12
40,qm,red,6575,6007,6035,24,24,12,6,0,0,6,6,0,12
40,qm,blue,7113,6083,6063,66,66,9,27,6,15,6,30,0,9
41,qm,red,7593,7838,7551,48,48,12,36,6,21,9,0,0,12
41,qm,blue,6476,6510,5308,55,55,15,34,4,12,18,6,0,15
42,qm,red,7129,6997,7844,47,47,15,32,8,15,9,0,0,15
42,qm,blue,2437,6813,7707,39,39,9,15,6,3,6,15,0,9
43,qm,red,5648,6432,5449,52,52,9,31,4,9,18,12,0,9
43,qm,blue,6524,5663,7601,38,38,12,26,2,9,15,0,0,12
44,qm,red,4270,3881,7780,38,38,15,20,2,12,6,3,0,15
44,qm,blue,4614,7709,6986,50,50,15,35,2,18,15,0,0,15
45,qm,red,4739,5988,6035,24,24,12,12,0,3,9,0,0,12
45,qm,blue,6386,6441,3132,39,39,9,30,6,15,9,0,0,9
46,qm,red,7586,6063,5584,46,46,12,24,6,15,3,10,0,12
46,qm,blue,7719,6996,7551,44,44,12,32,8,18,6,0,0,12
47,qm,red,7047,7074,6575,41,41,6,22,10,3,9,13,0,6
47,qm,blue,6510,7741,5876,53,53,15,38,2,15,21,0,0,15
48,qm,red,5308,7146,5985,58,58,15,37,10,12,15,6,0,15
48,qm,blue,5516,7113,6508,51,51,12,36,0,18,18,3,0,12
49,qm,red,6007,2437,6520,35,35,9,26,2,18,6,0,0,9
49,qm,blue,4802,4774,7561,39,39,9,27,6,18,3,3,0,9
50,qm,red,7433,5333,5451,65,65,9,56,14,30,12,0,0,9
50,qm,blue,4613,7129,7593,52,52,15,37,10,18,9,0,0,15
51,qm,red,4729,4537,7588,40,40,9,28,4,15,9,3,0,9
51,qm,blue,7884,7838,6304,49,49,15,34,10,18,6,0,0,15
52,qm,red,5522,6579,6432,45,45,15,27,6,15,6,3,0,15
52,qm,blue,6083,6476,7780,48,48,15,33,6,18,9,0,0,15
53,qm,red,3881,6575,6813,37,37,15,22,4,12,6,0,0,15
53,qm,blue,7551,5663,5648,66,66,12,42,6,24,12,12,0,12
54,qm,red,7719,5449,5985,68,68,15,38,8,12,18,15,0,15
54,qm,blue,7709,6035,7047,40,40,12,28,10,15,3,0,0,12
55,qm,red,5876,7844,6986,69,69,12,42,6,15,21,15,0,12
55,qm,blue,5516,7601,6063,41,41,9,32,2,18,12,0,0,9
