match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5429,1891,6922,30,30,9,15,12,3,0,6,0,9
1,qm,blue,3133,2478,1011,33,33,12,21,0,18,3,0,0,12
2,qm,red,7547,1726,3009,22,22,9,13,4,6,3,0,0,9
2,qm,blue,6674,996,670,32,32,6,23,2,18,3,3,0,6
3,qm,red,498,6127,1828,40,40,9,21,6,9,6,10,0,9
3,qm,blue,687,1622,2486,51,51,12,39,6,24,9,0,0,12
4,qm,red,5059,7897,3019,31,31,12,19,4,9,6,0,0,12
4,qm,blue,5678,4146,6413,12,12,9,3,0,0,3,0,0,9
5,qm,red,6824,6656,1138,67,67,12,39,6,18,15,16,0,12
5,qm,blue,6546,842,7424,18,18,3,6,0,0,6,9,0,3
6,qm,red,4565,5496,3187,27,27,6,21,6,12,3,0,0,6
6,qm,blue,6474,118,3853,76,76,9,67,16,33,18,0,0,9
7,qm,red,60,7620,1165,45,45,12,33,12,15,6,0,0,12
7,qm,blue,7214,4183,2403,57,57,15,42,12,12,18,0,0,15
8,qm,red,6871,4063,2840,38,38,6,32,14,3,15,0,0,6
8,qm,blue,5539,2240,3230,47,47,6,41,8,15,18,0,0,6
9,qm,red,7426,6821,3577,40,40,9,28,4,18,6,3,0,9
9,qm,blue,991,3133,5133,18,18,9,9,0,3,6,0,0,9
10,qm,red,6922,2486,6546,33,33,9,24,0,18,6,0,0,9
10,qm,blue,7897,7547,6413,10,10,3,4,4,0,0,3,0,3
11,qm,red,5678,6127,5496,30,30,6,24,0,12,12,0,0,6
11,qm,blue,996,7214,4565,38,38,9,16,4,6,6,13,0,9
12,qm,red,2240,5429,498,59,59,15,41,8,15,18,3,0,15
12,qm,blue,3230,3187,1726,67,67,12,55,10,27,18,0,0,12
13,qm,red,6821,1011,4063,46,46,15,28,4,9,15,3,0,15
13,qm,blue,1165,670,7426,36,36,15,21,0,12,9,0,0,15
14,qm,red,6871,1828,6474,37,37,6,31,10,12,9,0,0,6
14,qm,blue,4183,5133,842,49,49,9,40,10,15,15,0,0,9
15,qm,red,3577,7424,5539,20,20,6,14,2,3,9,0,0,6
15,qm,blue,687,118,5059,71,71,12,56,14,27,15,3,0,12
16,qm,red,60,2403,1622,34,34,6,28,4,9,15,0,0,6
16,qm,blue,6824,1891,3009,58,58,15,43,16,18,9,0,0,15
17,qm,red,6674,7620,991,21,21,3,18,6,6,6,0,0,3
17,qm,blue,1138,4146,2478,53,53,15,38,8,15,15,0,0,15
18,qm,red,2840,6656,2486,36,36,9,27,0,18,9,0,0,9
18,qm,blue,3019,3853,6821,23,23,15,8,2,3,3,0,0,15
19,qm,red,6922,3230,7897,33,33,15,18,0,0,18,0,0,15
19,qm,blue,4565,5539,7426,50,50,9,38,14,21,3,3,0,9
20,qm,red,5496,2240,3133,62,62,12,44,14,9,21,6,0,12
20,qm,blue,4183,6546,1622,53,53,9,41,2,21,18,3,0,9
21,qm,red,1726,118,1891,82,82,12,70,22,30,18,0,0,12
21,qm,blue,6871,4146,7620,49,49,9,34,16,9,9,6,0,9
22,qm,red,6413,1138,6474,32,32,6,26,2,18,6,0,0,6
22,qm,blue,5429,1828,60,44,44,9,32,8,15,9,3,0,9
23,qm,red,3577,842,687,59,59,9,37,10,21,6,13,0,9
23,qm,blue,1011,5678,7547,36,36,9,21,0,12,9,6,0,9
24,qm,red,3009,670,3019,44,44,15,29,8,15,6,0,0,15
24,qm,blue,7424,1165,6127,21,21,9,12,0,3,9,0,0,9
25,qm,red,996,991,2478,49,49,9,34,4,24,6,6,0,9
25,qm,blue,3853,6656,7214,12,12,12,0,0,0,0,0,0,12
26,qm,red,5059,6824,3187,41,41,15,26,8,15,3,0,0,15
26,qm,blue,6674,4063,5133,46,46,3,43,10,15,18,0,0,3
27,qm,red,498,3133,118,62,62,12,50,14,18,18,0,0,12
27,qm,blue,2403,1138,2840,38,38,15,23,8,0,15,0,0,15
28,qm,red,3009,4565,842,72,72,12,60,12,30,18,0,0,12
28,qm,blue,7620,5429,6546,47,47,12,35,14,12,9,0,0,12
29,qm,red,1622,5496,3853,39,39,6,33,0,15,18,0,0,6
29,qm,blue,670,3577,1726,48,48,6,36,6,15,15,6,0,6
30,qm,red,2478,687,1165,72,72,12,60,12,30,18,0,0,12
30,qm,blue,5133,4146,5059,33,33,9,24,0,15,9,0,0,9
31,qm,red,5678,6871,7897,36,36,12,24,6,9,9,0,0,12
31,qm,blue,991,6824,2840,35,35,9,26,8,9,9,0,0,9
32,qm,red,3019,1828,5539,23,23,6,14,2,3,9,3,0,6
32,qm,blue,2240,7214,6821,52,52,15,34,10,9,15,3,0,15
33,qm,red,6656,6674,498,37,37,9,28,10,12,6,0,0,9
33,qm,blue,6922,4063,60,48,48,9,39,12,9,18,0,0,9
34,qm,red,3187,4183,996,45,45,9,36,6,12,18,0,0,9
34,qm,blue,3230,2486,1891,48,48,3,36,6,12,18,9,0,3
