match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,1159,7607,5805,46,46,9,34,10,21,3,3,0,9
1,qm,blue,207,6947,6803,36,36,6,30,12,15,3,0,0,6
2,qm,red,691,5089,3925,35,35,12,23,8,12,3,0,0,12
2,qm,blue,5818,7595,2659,49,49,12,30,6,18,6,6,1,12
3,qm,red,2584,2404,7042,31,31,12,19,4,9,6,0,0,12
3,qm,blue,6353,1661,2429,27,27,12,15,0,9,6,0,0,12
4,qm,red,6060,3863,6833,52,52,12,34,4,24,6,6,0,12
4,qm,blue,4711,5453,696,45,45,9,33,0,18,15,3,0,9
5,qm,red,4470,3882,5285,31,31,9,22,4,18,0,0,0,9
5,qm,blue,7645,3501,6560,49,49,6,10,4,0,6,33,0,6
6,qm,red,599,1868,4,46,46,15,31,4,9,18,0,0,15
6,qm,blue,7327,3993,3512,23,23,6,17,8,3,6,0,0,6
7,qm,red,6833,5818,5453,36,36,9,24,6,18,0,3,0,9
7,qm,blue,1159,207,1661,44,44,9,35,8,24,3,0,0,9
8,qm,red,3501,691,4711,33,33,12,11,8,0,3,10,0,12
8,qm,blue,696,2659,2429,55,55,15,40,4,18,18,0,0,15
9,qm,red,7607,7327,7595,18,18,9,9,0,3,6,0,0,9
9,qm,blue,3993,5805,6353,24,24,9,18,6,6,6,0,-3,9
10,qm,red,3925,7042,3882,50,50,12,38,8,24,6,0,0,12
10,qm,blue,599,6060,4470,38,38,15,23,8,3,12,0,0,15
11,qm,red,3863,1868,6560,58,58,12,46,16,24,6,0,0,12
11,qm,blue,6803,7645,2584,32,32,9,23,2,18,3,0,0,9
12,qm,red,2404,6947,4,47,47,9,20,2,15,3,18,0,9
12,qm,blue,5089,3512,5285,41,41,15,26,2,15,9,0,0,15
13,qm,red,599,3501,207,28,28,9,19,4,3,12,0,0,9
13,qm,blue,691,6353,7042,31,31,9,19,10,3,6,3,0,9
14,qm,red,7327,4711,2659,44,44,15,29,2,18,9,0,0,15
14,qm,blue,5818,3882,1661,52,52,15,31,10,21,0,6,0,15
15,qm,red,1159,3993,7645,47,47,9,35,8,24,3,3,0,9
15,qm,blue,2584,5089,6060,48,48,15,33,6,21,6,0,0,15
16,qm,red,696,6947,7595,51,51,15,30,0,15,15,6,0,15
16,qm,blue,7607,5453,2404,21,21,3,18,0,12,6,0,0,3
17,qm,red,5285,3925,4,46,46,15,31,4,24,3,0,0,15
17,qm,blue,6560,6833,6803,52,52,6,43,10,18,15,3,0,6
18,qm,red,3863,3512,2429,52,52,12,40,10,24,6,0,0,12
18,qm,blue,4470,5805,1868,46,46,15,31,10,15,6,0,0,15
19,qm,red,3993,7607,3501,13,13,3,10,4,3,3,0,0,3
19,qm,blue,3882,5089,5453,58,58,9,27,6,18,3,22,0,9
20,qm,red,7645,696,6833,61,61,15,40,4,18,18,6,0,15
20,qm,blue,6947,7327,6353,50,50,15,35,8,21,6,0,0,15
21,qm,red,1661,1868,6060,58,58,15,34,4,21,9,9,0,15
21,qm,blue,3925,5805,599,57,57,15,42,12,24,6,0,0,15
22,qm,red,4,2429,207,61,61,12,39,6,15,18,10,0,12
22,qm,blue,7595,6560,691,41,41,6,35,2,15,18,0,0,6
23,qm,red,4711,5818,2584,32,32,9,23,8,9,6,0,0,9
23,qm,blue,4470,3863,2404,49,49,15,34,4,24,6,0,0,15
24,qm,red,5285,6803,1159,36,36,9,24,0,18,6,3,0,9
24,qm,blue,3512,7042,2659,47,47,15,26,2,15,9,6,0,15
25,qm,red,7327,1661,6560,64,64,15,46,10,18,18,3,0,15
25,qm,blue,7595,4,5453,31,31,12,19,4,15,0,0,0,12
26,qm,red,207,2404,5818,58,58,9,46,10,30,6,3,0,9
26,qm,blue,1868,6833,7607,38,38,15,23,2,12,9,0,0,15
27,qm,red,2429,6947,4711,27,27,15,9,0,3,6,3,0,15
27,qm,blue,3512,3501,2584,51,51,15,30,0,18,12,6,0,15
28,qm,red,2659,4470,3925,49,49,15,34,4,21,9,0,0,15
28,qm,blue,5285,599,7645,58,58,15,43,4,21,18,0,0,15
29,qm,red,6060,691,5805,51,51,15,33,24,0,9,3,0,15
29,qm,blue,3882,1159,6353,37,37,9,28,4,18,6,0,0,9
30,qm,red,5089,7042,3993,35,35,9,26,2,15,9,0,0,9
30,qm,blue,6803,3863,696,76,76,15,55,16,24,15,6,0,15
31,qm,red,4,2659,1661,47,47,15,32,8,18,6,0,0,15
31,qm,blue,6947,7645,5818,49,49,9,40,10,15,15,0,0,9
32,qm,red,207,4470,5453,61,61,12,46,10,27,9,3,0,12
32,qm,blue,2404,7327,5805,58,58,15,40,10,12,18,3,0,15
33,qm,red,6060,5285,3501,58,58,15,40,10,27,3,3,0,15
33,qm,blue,3863,6353,5089,32,32,12,20,2,12,6,0,0,12
34,qm,red,3993,3882,6833,25,25,9,16,4,9,3,0,0,9
34,qm,blue,2584,7595,599,50,50,15,35,2,18,15,0,0,15
35,qm,red,696,6560,3925,49,49,9,40,4,21,15,0,0,9
35,qm,blue,3512,1159,4711,35,35,15,20,2,12,6,0,0,15
36,qm,red,7042,1868,6803,52,52,12,40,4,18,18,0,0,12
36,qm,blue,2429,7607,691,24,24,9,12,6,3,3,3,0,9
37,qm,red,5453,5285,6947,42,42,15,27,0,18,9,0,0,15
37,qm,blue,6353,5818,599,45,45,15,24,6,9,9,6,0,15
38,qm,red,2584,4,3993,48,48,12,36,12,21,3,0,0,12
38,qm,blue,7327,207,6060,66,66,15,48,18,27,3,3,0,15
39,qm,red,6803,4470,1661,52,52,15,34,10,9,15,3,0,15
39,qm,blue,1159,696,1868,70,70,15,55,10,27,18,0,0,15
40,qm,red,7645,691,3512,56,56,15,41,8,15,18,0,0,15
40,qm,blue,3925,4711,7607,39,39,15,24,0,15,9,0,0,15
41,qm,red,2659,3882,5805,36,36,12,24,6,12,6,0,0,12
41,qm,blue,5089,6560,2429,52,52,9,43,4,21,18,0,0,9
42,qm,red,7595,6833,2404,34,34,15,9,0,6,3,10,0,15
42,qm,blue,7042,3501,3863,42,42,12,30,6,21,3,0,0,12
43,qm,red,6947,6060,3512,52,52,15,24,6,12,6,13,0,15
43,qm,blue,5285,207,691,52,52,9,31,10,18,3,12,0,9
44,qm,red,4470,6353,4711,42,42,15,27,0,18,9,0,0,15
44,qm,blue,5089,4,7607,49,49,12,37,4,24,9,0,0,12
45,qm,red,696,2584,3882,45,45,15,30,0,12,18,0,0,15
45,qm,blue,2404,3925,1868,45,45,15,20,2,12,6,10,0,15
46,qm,red,2659,3993,6803,52,52,9,43,10,18,15,0,0,9
46,qm,blue,3501,1661,6833,29,29,15,14,2,9,3,0,0,15
47,qm,red,6560,1159,599,68,68,12,53,8,24,21,3,0,12
47,qm,blue,5805,7595,3863,52,52,15,37,10,21,6,0,0,15
48,qm,red,7042,2429,5818,41,41,15,23,2,15,6,3,0,15
48,qm,blue,7645,5453,7327,57,57,12,32,8,18,6,13,0,12
49,qm,red,1661,3512,7607,39,39,15,21,0,12,9,3,0,15
49,qm,blue,6833,691,4470,27,27,15,12,6,3,3,0,0,15
50,qm,red,6560,6353,6060,66,66,9,47,8,21,18,10,0,9
50,qm,blue,1868,2659,3501,70,70,15,55,10,27,18,0,0,15
51,qm,red,7042,1159,7595,37,37,9,28,4,21,3,0,0,9
51,qm,blue,4,7645,3882,45,45,12,33,6,21,6,0,0,12
52,qm,red,5818,5089,696,81,81,15,66,12,36,18,0,0,15
52,qm,blue,5805,2584,207,75,75,15,60,18,33,9,0,0,15
53,qm,red,5453,599,3993,49,49,12,37,4,24,9,0,0,12
53,qm,blue,4711,2404,5285,42,42,15,24,0,18,6,3,0,15
54,qm,red,2429,6803,7327,54,54,6,48,12,18,18,0,0,6
54,qm,blue,3925,3863,6947,69,69,15,51,12,24,15,3,0,15
55,qm,red,7042,6060,696,53,53,15,38,2,18,18,0,0,15
55,qm,blue,4,6560,5818,75,75,15,57,12,27,18,3,0,15
56,qm,red,3501,4470,1159,43,43,12,31,4,18,9,0,0,12
56,qm,blue,7595,5285,1868,54,54,15,36,6,27,3,3,0,15
57,qm,red,6833,2429,7327,47,47,9,38,8,21,9,0,0,9
57,qm,blue,4711,6803,5089,72,72,12,57,12,27,18,3,0,12
58,qm,red,207,7607,3863,74,74,12,62,20,36,6,0,0,12
58,qm,blue,3882,599,6947,48,48,15,33,6,21,6,0,0,15
59,qm,red,3512,5805,5453,65,65,15,44,8,27,9,6,0,15
59,qm,blue,691,2659,2584,58,58,15,43,10,24,9,0,0,15
60,qm,red,6353,3925,7645,48,48,12,36,6,24,6,0,0,12
60,qm,blue,2404,1661,3993,21,21,12,9,6,0,3,0,0,12
61,qm,red,3863,5818,1159,58,58,12,46,16,24,6,0,0,12
61,qm,blue,3501,7327,4,45,45,15,30,6,6,18,0,0,15
62,qm,red,599,6833,5089,61,61,15,46,10,30,6,0,0,15
62,qm,blue,7607,2584,6560,83,83,12,40,4,21,15,31,0,12
63,qm,red,3925,7595,3512,42,42,15,18,0,12,6,9,0,15
63,qm,blue,1661,696,5285,47,47,15,20,2,18,0,12,0,15
64,qm,red,1868,4711,7645,55,55,12,43,10,24,9,0,0,12
64,qm,blue,6947,7042,5805,33,33,9,24,6,6,12,0,0,9
65,qm,red,2659,6353,207,50,50,9,41,8,24,9,0,0,9
65,qm,blue,3993,2429,4470,53,53,12,35,8,18,9,6,0,12
66,qm,red,6803,5453,691,68,68,12,56,14,24,18,0,0,12
66,qm,blue,3882,6060,2404,45,45,12,33,6,21,6,0,0,12
67,qm,red,5805,696,7327,66,66,15,42,12,21,9,9,0,15
67,qm,blue,6833,5285,7042,52,52,15,37,4,24,9,0,0,15
68,qm,red,1661,2584,3863,70,70,15,45,12,27,6,10,0,15
68,qm,blue,7607,7645,2659,41,41,9,29,2,18,9,3,0,9
69,qm,red,6353,6803,7595,39,39,9,20,8,6,6,10,0,9
69,qm,blue,5818,3512,4470,44,44,15,26,8,9,9,3,0,15
70,qm,red,2429,599,2404,43,43,15,28,4,18,6,0,0,15
70,qm,blue,6060,4,1159,48,48,12,36,6,12,18,0,0,12
71,qm,red,6560,4711,3882,49,49,12,37,4,15,18,0,0,12
71,qm,blue,691,3993,6947,40,40,15,25,10,9,6,0,0,15
72,qm,red,1868,207,5089,73,73,12,61,16,27,18,0,0,12
72,qm,blue,5453,3925,3501,43,43,12,31,10,18,3,0,0,12
1,qf,red,5818,6560,2429,69,69,12,57,12,27,18,0,0,12
1,qf,blue,691,2584,2404,46,46,15,28,4,12,12,3,0,15
2,qf,red,5818,6560,2429,62,62,12,50,14,27,9,0,0,12
2,qf,blue,691,2584,7042,65,65,15,44,14,12,18,6,0,15
3,qf,red,5818,6560,2429,63,63,12,51,12,21,18,0,0,12
3,qf,blue,691,2584,7042,66,66,15,45,12,15,18,6,0,15
1,qf,red,207,7645,3512,55,55,15,40,10,24,6,0,0,15
1,qf,blue,1159,4,5285,46,46,15,31,4,24,3,0,0,15
2,qf,red,207,7645,3512,73,73,15,55,10,27,18,3,0,15
2,qf,blue,1159,4,5285,38,38,15,23,2,18,3,0,0,15
1,qf,red,3863,696,3925,62,62,15,47,8,21,18,0,0,15
1,qf,blue,599,6060,5453,70,70,15,32,2,21,9,23,0,15
2,qf,red,3863,696,3925,46,46,15,31,4,15,12,0,0,15
2,qf,blue,599,6060,5453,53,53,12,41,8,21,12,0,0,12
1,qf,red,6803,1868,2659,69,69,12,57,12,27,18,0,0,12
1,qf,blue,5805,5089,1661,41,41,9,32,8,15,9,0,0,9
2,qf,red,6803,1868,2659,70,70,12,58,10,30,18,0,0,12
2,qf,blue,5805,5089,1661,32,32,12,14,2,6,6,6,0,12
1,sf,red,691,2584,7042,70,70,15,55,10,27,18,0,0,15
1,sf,blue,207,7645,3512,78,78,15,50,8,27,15,13,0,15
2,sf,red,691,2584,7042,71,71,15,47,14,15,18,9,0,15
2,sf,blue,207,7645,3512,68,68,15,50,8,24,18,3,0,15
3,sf,red,691,2584,7042,56,56,15,41,8,21,12,0,0,15
3,sf,blue,207,7645,3512,49,49,15,34,4,15,15,0,0,15
1,sf,red,599,6060,5453,57,57,12,45,12,21,12,0,0,12
1,sf,blue,6803,1868,2659,69,69,12,57,12,27,18,0,0,12
2,sf,red,599,6060,5453,58,58,12,37,10,21,6,9,0,12
2,sf,blue,6803,1868,2659,76,76,12,61,10,33,18,3,0,12
1,f,red,691,2584,7042,42,42,15,27,18,3,6,0,0,15
1,f,blue,6803,1868,2659,51,51,12,36,12,21,3,3,0,12
2,f,red,691,2584,7042,47,47,15,32,8,18,6,0,0,15
2,f,blue,6803,1868,2659,67,67,12,55,10,27,18,0,0,12
