match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,4990,6418,668,31,31,15,16,10,0,6,0,0,15
1,qm,blue,6036,1700,4159,37,37,12,25,4,18,3,0,0,12
2,qm,red,2144,5499,7686,33,33,9,24,6,9,9,0,0,9
2,qm,blue,5700,7847,6962,35,35,6,26,8,12,6,3,0,6
3,qm,red,5940,7245,6718,16,16,6,10,4,0,6,0,0,6
3,qm,blue,2551,253,5419,59,59,12,38,8,24,6,9,0,12
4,qm,red,6920,4904,7478,41,41,9,32,8,15,9,0,0,9
4,qm,blue,7445,971,3045,48,48,12,36,6,15,15,0,0,12
5,qm,red,840,6662,4186,23,23,15,8,2,0,6,0,0,15
5,qm,blue,4669,649,3880,65,65,12,35,14,12,9,18,0,12
6,qm,red,4765,604,7468,64,64,15,49,10,21,18,0,0,15
6,qm,blue,6814,7419,5507,63,63,12,48,12,18,18,3,0,12
7,qm,red,254,3390,100,65,65,15,41,14,9,18,9,0,15
7,qm,blue,4973,115,5924,35,35,3,32,8,21,3,0,0,3
8,qm,red,7686,4990,972,22,22,6,16,4,3,9,0,0,6
8,qm,blue,3045,4669,6718,24,24,12,12,0,3,9,0,0,12
9,qm,red,5419,4159,5940,29,29,9,17,8,0,9,3,0,9
9,qm,blue,6920,5507,2144,37,37,3,34,4,15,15,0,0,3
10,qm,red,5700,100,649,43,43,15,28,10,6,12,0,0,15
10,qm,blue,6418,6814,254,77,77,12,42,12,12,18,23,0,12
11,qm,red,253,5499,4973,47,47,9,35,8,18,9,3,0,9
11,qm,blue,971,7419,5924,78,78,12,60,12,30,18,6,0,12
12,qm,red,4904,2551,1700,59,59,15,44,8,27,9,0,0,15
12,qm,blue,7468,7445,4186,52,52,9,37,10,9,18,6,0,9
13,qm,red,3880,7478,6662,24,24,15,9,0,9,0,0,0,15
13,qm,blue,604,6962,115,73,73,15,55,10,24,21,3,0,15
14,qm,red,7245,840,7847,6,6,0,6,0,0,6,0,0,0
14,qm,blue,668,6036,972,52,52,9,25,4,12,9,18,0,9
15,qm,red,5940,3390,7445,41,41,12,29,8,15,6,0,0,12
15,qm,blue,649,4765,4990,45,45,12,24,12,0,12,9,0,12
16,qm,red,3045,4159,6418,27,27,12,12,0,3,9,3,0,12
16,qm,blue,7686,6662,4973,29,29,15,11,2,3,6,3,0,15
17,qm,red,254,604,5700,86,86,15,71,20,36,15,0,0,15
17,qm,blue,6718,5419,4904,32,32,12,20,14,3,3,0,0,12
18,qm,red,6036,3880,7847,25,25,12,13,4,9,0,0,0,12
18,qm,blue,253,3390,5507,65,65,15,50,8,24,18,0,0,15
19,qm,red,100,2144,971,53,53,15,38,8,15,15,0,0,15
19,qm,blue,7478,972,2551,44,44,6,38,8,21,9,0,0,6
20,qm,red,7419,115,6920,56,56,12,44,14,24,6,0,0,12
20,qm,blue,840,1700,4669,30,30,12,18,6,3,9,0,0,12
21,qm,red,7245,6962,4765,46,46,6,27,6,15,6,13,0,6
21,qm,blue,6814,4186,5924,23,23,9,14,2,3,9,0,0,9
22,qm,red,5499,668,4904,51,51,12,36,6,18,12,3,0,12
22,qm,blue,3390,7468,6418,52,52,15,37,4,15,18,0,0,15
23,qm,red,253,6920,649,45,45,9,36,6,15,15,0,0,9
23,qm,blue,4159,5700,7478,29,29,6,10,4,0,6,13,0,6
24,qm,red,6962,7686,6718,29,29,6,23,2,12,9,0,0,6
24,qm,blue,971,5940,840,77,77,12,62,14,30,18,3,0,12
25,qm,red,6036,5419,4669,14,14,9,5,2,3,0,0,0,9
25,qm,blue,254,4973,1700,64,64,15,49,16,18,15,0,0,15
26,qm,red,5499,4765,6814,47,47,9,38,8,18,12,0,0,9
26,qm,blue,2551,3045,4990,46,46,9,37,10,21,6,0,0,9
27,qm,red,115,7468,5507,71,71,9,62,14,30,18,0,0,9
27,qm,blue,6662,7245,972,6,6,0,6,0,0,6,0,0,0
28,qm,red,5924,7445,100,30,30,9,21,0,12,9,0,0,9
28,qm,blue,604,7847,668,50,50,12,35,8,12,15,3,0,12
29,qm,red,2144,7419,3045,38,38,9,29,2,21,6,0,0,9
29,qm,blue,3880,4186,971,72,72,15,57,18,21,18,0,0,15
30,qm,red,649,5499,7468,79,79,9,61,16,27,18,9,0,9
30,qm,blue,115,7686,253,72,72,15,45,12,27,6,12,0,15
31,qm,red,5924,6662,3390,44,44,9,20,2,15,3,15,0,9
31,qm,blue,6718,6920,4159,15,15,6,6,0,0,6,3,0,6
32,qm,red,6962,5507,1700,71,71,12,59,14,27,18,0,0,12
32,qm,blue,100,4990,604,54,54,9,45,12,18,15,0,0,9
33,qm,red,2551,7419,4669,52,52,9,43,10,24,9,0,0,9
33,qm,blue,6418,7478,5419,28,28,6,22,4,9,9,0,0,6
34,qm,red,972,2144,4186,47,47,15,32,8,18,6,0,0,15
34,qm,blue,254,668,7445,63,63,12,48,12,18,18,3,0,12
35,qm,red,4904,5700,3880,31,31,15,16,4,6,6,0,0,15
35,qm,blue,4765,840,6036,40,40,9,31,10,9,12,0,0,9
36,qm,red,7245,6814,4973,21,21,12,9,0,0,9,0,0,12
36,qm,blue,7847,5940,5499,40,40,6,34,10,12,12,0,0,6
37,qm,red,3390,971,7478,72,72,15,57,12,27,18,0,0,15
37,qm,blue,4990,1700,4186,64,64,15,49,16,21,12,0,0,15
38,qm,red,5507,6036,2551,74,74,9,55,10,24,21,10,0,9
38,qm,blue,7686,5924,6920,15,15,3,12,0,9,3,0,0,3
39,qm,red,115,7245,100,44,44,9,35,8,18,9,0,0,9
39,qm,blue,7419,604,5940,79,79,15,64,16,30,18,0,0,15
40,qm,red,972,6814,4904,41,41,15,26,8,12,6,0,0,15
40,qm,blue,6662,4159,2144,18,18,6,12,0,3,9,0,0,6
41,qm,red,3045,840,254,51,51,15,33,6,12,15,3,0,15
41,qm,blue,7847,6418,253,51,51,15,36,12,15,9,0,0,15
42,qm,red,5419,6962,649,72,72,9,63,24,21,18,0,0,9
42,qm,blue,668,3880,4765,32,32,12,20,14,6,0,0,0,12
43,qm,red,4669,4973,7468,37,37,15,22,10,3,9,0,0,15
43,qm,blue,6718,7445,5700,26,26,9,17,8,9,0,0,0,9
44,qm,red,840,6418,604,58,58,15,40,4,18,18,3,0,15
44,qm,blue,2144,2551,3390,30,30,9,21,0,15,6,0,0,9
45,qm,red,5940,4990,6662,38,38,9,23,14,6,3,6,0,9
45,qm,blue,4904,5924,254,63,63,15,48,6,27,15,0,0,15
46,qm,red,5507,4973,6718,50,50,12,38,2,18,18,0,0,12
46,qm,blue,7478,649,7419,50,50,12,38,8,15,15,0,0,12
47,qm,red,7445,5419,3880,59,59,12,47,20,12,15,0,0,12
47,qm,blue,5499,3045,115,70,70,12,58,10,33,15,0,0,12
48,qm,red,971,7468,4159,62,62,15,47,14,18,15,0,0,15
48,qm,blue,6920,7847,100,21,21,3,18,6,6,6,0,0,3
49,qm,red,1700,4765,5700,64,64,15,46,16,18,12,3,0,15
49,qm,blue,7245,668,7686,33,33,6,27,6,12,9,0,0,6
50,qm,red,972,4669,253,43,43,15,28,4,15,9,0,0,15
50,qm,blue,6814,6036,6962,34,34,9,22,4,15,3,3,0,9
51,qm,red,4186,6418,5507,59,59,15,41,8,15,18,3,0,15
51,qm,blue,4159,115,7445,72,72,15,57,12,30,15,0,0,15
52,qm,red,7847,5924,3045,25,25,9,6,0,0,6,10,0,9
52,qm,blue,1700,5940,649,99,99,12,57,12,27,18,30,0,12
53,qm,red,2551,6662,971,68,68,9,59,14,30,15,0,0,9
53,qm,blue,6036,5700,3390,47,47,12,35,8,24,3,0,0,12
54,qm,red,3880,254,7686,65,65,15,47,14,18,15,3,0,15
54,qm,blue,7478,7468,6814,28,28,15,13,4,0,9,0,0,15
55,qm,red,4973,4765,7419,33,33,15,18,12,3,3,0,0,15
55,qm,blue,972,6920,6962,26,26,3,20,2,12,6,3,0,3
56,qm,red,668,6718,840,36,36,12,24,0,15,9,0,0,12
56,qm,blue,100,5419,5499,61,61,12,46,10,24,12,3,0,12
57,qm,red,2144,253,7245,51,51,12,39,6,24,9,0,0,12
57,qm,blue,4669,4904,4990,42,42,15,24,12,6,6,3,0,15
58,qm,red,4186,649,7686,73,73,12,48,12,18,18,13,0,12
58,qm,blue,604,4973,972,52,52,15,37,4,21,12,0,0,15
59,qm,red,7445,6662,6036,41,41,12,29,2,18,9,0,0,12
59,qm,blue,7419,840,5499,42,42,0,39,6,21,12,3,0,0
60,qm,red,100,253,1700,65,65,15,50,14,24,12,0,0,15
60,qm,blue,4765,4904,2144,37,37,6,28,10,9,9,3,0,6
61,qm,red,6418,6718,971,55,55,18,34,4,15,15,3,0,18
61,qm,blue,3880,604,7245,61,61,12,37,4,18,15,12,0,12
62,qm,red,7847,115,7478,49,49,12,34,4,21,9,3,0,12
62,qm,blue,6920,6814,2551,42,42,3,39,6,21,12,0,0,3
63,qm,red,4990,5924,7468,40,40,15,25,10,3,12,0,0,15
63,qm,blue,5700,4186,5419,48,48,9,27,12,12,3,12,0,9
64,qm,red,3390,668,4669,49,49,12,31,4,21,6,6,0,12
64,qm,blue,5940,5507,3045,71,71,12,59,14,30,15,0,0,12
65,qm,red,4159,254,2551,87,87,15,69,12,33,24,3,0,15
65,qm,blue,6962,3880,7419,54,54,15,39,6,18,15,0,0,15
66,qm,red,6662,6920,6418,38,38,15,23,8,6,9,0,0,15
66,qm,blue,4186,100,4765,42,42,15,27,12,3,12,0,0,15
67,qm,red,5924,7478,5940,59,59,9,27,12,9,6,23,0,9
67,qm,blue,5700,972,840,62,62,15,38,8,21,9,9,0,15
68,qm,red,649,3045,6036,65,65,12,53,8,24,21,0,0,12
68,qm,blue,7468,6962,2144,39,39,9,27,0,18,9,3,0,9
69,qm,red,5419,4990,3390,63,63,12,51,18,21,12,0,0,12
69,qm,blue,4904,7686,7847,47,47,12,35,8,18,9,0,0,12
70,qm,red,5507,4159,604,63,63,15,45,12,30,3,3,0,15
70,qm,blue,5499,4669,254,62,62,15,41,8,24,9,6,0,15
71,qm,red,6814,6718,253,35,35,9,26,8,12,6,0,0,9
71,qm,blue,1700,7445,7245,65,65,12,43,10,24,9,10,0,12
72,qm,red,668,649,115,78,78,12,66,12,33,21,0,0,12
72,qm,blue,4973,971,4990,87,87,15,54,12,21,21,18,0,15
73,qm,red,7686,3045,5700,63,63,15,42,6,24,12,6,0,15
73,qm,blue,7419,100,6662,63,63,9,54,18,24,12,0,0,9
74,qm,red,4186,7478,604,49,49,12,34,4,15,15,3,0,12
74,qm,blue,253,5940,6036,46,46,9,28,4,18,6,9,0,9
75,qm,red,4765,7847,4159,31,31,12,19,10,3,6,0,0,12
75,qm,blue,6718,2144,115,51,51,15,33,6,18,9,3,0,15
76,qm,red,7445,4669,6814,30,30,12,18,6,3,9,0,0,12
76,qm,blue,5419,971,668,55,55,9,46,16,15,15,0,0,9
77,qm,red,1700,972,5924,42,42,9,33,6,21,6,0,0,9
77,qm,blue,6418,5499,3880,57,57,15,42,12,24,6,0,0,15
78,qm,red,840,3390,6920,43,43,12,28,4,21,3,3,0,12
78,qm,blue,7468,254,7245,66,66,15,48,12,24,12,3,0,15
79,qm,red,6962,2551,4973,65,65,12,41,8,24,9,12,0,12
79,qm,blue,5507,4904,6662,53,53,15,38,8,21,9,0,0,15
1,qf,red,254,971,5700,92,92,12,74,14,33,27,6,0,12
1,qf,blue,100,3045,5940,33,33,15,15,6,6,3,3,0,15
2,qf,red,254,971,5700,80,80,15,65,14,36,15,0,0,15
2,qf,blue,100,3045,5940,36,36,15,18,6,3,9,3,0,15
1,qf,red,7419,5507,668,63,63,12,51,12,24,15,0,0,12
1,qf,blue,253,7468,6962,64,64,15,49,10,24,15,0,0,15
2,qf,red,7419,5507,668,57,57,12,42,12,24,6,3,0,12
2,qf,blue,253,7468,6962,50,50,15,35,8,18,9,0,0,15
3,qf,red,7419,5507,668,74,74,12,59,14,27,18,3,0,12
3,qf,blue,253,7468,6962,56,56,15,41,8,24,9,0,0,15
1,qf,red,115,604,6418,75,75,15,60,12,27,21,0,0,15
1,qf,blue,5419,2551,4990,52,52,12,40,10,18,12,0,0,12
2,qf,red,115,604,6418,75,75,15,54,12,21,21,6,0,15
2,qf,blue,5419,2551,4990,72,72,12,51,12,27,12,9,0,12
1,qf,red,5499,649,4159,80,80,15,55,10,30,15,10,0,15
1,qf,blue,3880,1700,3390,70,70,15,52,10,27,15,3,0,15
2,qf,red,5499,649,4159,83,83,15,68,14,36,18,0,0,15
2,qf,blue,3880,1700,3390,49,49,15,34,4,15,15,0,0,15
1,sf,red,254,971,5700,91,91,15,67,16,33,18,9,0,15
1,sf,blue,7419,5507,668,58,58,12,40,10,24,6,6,0,12
2,sf,red,254,971,5700,100,100,15,70,16,33,21,15,0,15
2,sf,blue,7419,5507,668,63,63,12,51,12,21,18,0,0,12
1,sf,red,115,604,6418,78,78,15,57,12,24,21,6,0,15
1,sf,blue,5499,649,4159,82,82,15,64,10,30,24,3,0,15
2,sf,red,115,604,6418,81,81,15,66,12,36,18,0,0,15
2,sf,blue,5499,649,4159,75,75,15,60,12,30,18,0,0,15
3,sf,red,115,604,6418,49,49,15,34,10,18,6,0,0,15
3,sf,blue,5499,649,4159,67,67,15,52,10,24,18,0,0,15
1,f,red,254,971,5700,94,94,15,76,16,36,24,3,0,15
1,f,blue,5499,649,4159,64,64,15,46,10,30,6,3,0,15
