match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5816,6473,3653,33,33,12,21,12,0,9,0,0,12
1,qm,blue,1744,3932,7450,44,44,9,32,2,12,18,3,0,9
2,qm,red,7231,5145,4118,34,34,12,19,10,6,3,3,0,12
2,qm,blue,5753,1649,1772,41,41,9,32,2,21,9,0,0,9
3,qm,red,6322,5283,7431,12,12,3,9,0,0,9,0,0,3
3,qm,blue,2152,1557,3410,43,43,15,28,4,9,15,0,0,15
4,qm,red,7774,1251,7193,17,17,6,11,2,3,6,0,0,6
4,qm,blue,3242,1065,4024,14,14,3,12,0,6,6,0,-1,3
5,qm,red,6743,4471,744,47,47,3,34,4,21,9,10,0,3
5,qm,blue,179,5842,180,65,65,15,50,14,21,15,0,0,15
6,qm,red,5472,5557,4562,50,50,12,38,8,9,21,0,0,12
6,qm,blue,6184,7026,79,24,24,12,12,0,6,6,0,0,12
7,qm,red,801,1902,233,12,12,3,9,0,3,6,0,0,3
7,qm,blue,4179,3627,5276,19,19,6,0,0,0,0,13,0,6
8,qm,red,945,3164,21,25,25,6,19,4,6,9,0,0,6
8,qm,blue,7500,7754,2797,34,34,12,22,4,3,15,0,0,12
9,qm,red,3556,386,6527,49,49,15,34,4,9,21,0,0,15
9,qm,blue,4972,1592,59,45,45,12,33,12,15,6,0,0,12
10,qm,red,6722,1523,7728,29,29,9,20,2,9,9,0,0,9
10,qm,blue,1382,4065,5722,34,34,9,25,4,15,6,0,0,9
11,qm,red,4622,7231,86,38,38,12,26,8,15,3,0,0,12
11,qm,blue,2152,2383,6850,65,65,12,41,2,18,21,12,0,12
12,qm,red,5842,3932,3627,30,30,9,18,0,3,15,3,0,9
12,qm,blue,179,5557,5145,41,41,15,26,8,12,6,0,0,15
13,qm,red,7500,4471,5283,17,17,6,11,2,0,9,0,0,6
13,qm,blue,7026,7193,6473,33,33,12,21,6,6,9,0,0,12
14,qm,red,5276,4118,5816,40,40,15,25,16,3,6,0,0,15
14,qm,blue,945,1065,79,27,27,9,18,0,12,6,0,0,9
15,qm,red,5722,6527,744,36,36,9,21,6,9,6,6,0,9
15,qm,blue,1251,801,3164,14,14,3,11,2,3,6,0,0,3
16,qm,red,386,7450,5753,58,58,9,49,10,21,18,0,0,9
16,qm,blue,7774,86,4065,40,40,6,34,10,18,6,0,0,6
17,qm,red,6722,2797,1592,30,30,6,11,8,3,0,13,0,6
17,qm,blue,1649,4622,4179,36,36,9,15,0,12,3,12,0,9
18,qm,red,6322,180,4024,39,39,9,24,12,3,9,6,0,9
18,qm,blue,6184,5472,1902,46,46,9,37,10,18,9,0,0,9
