match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,832,5632,6325,44,44,9,35,2,15,18,0,0,9
1,qm,blue,6829,5848,7499,14,14,3,11,2,9,0,0,0,3
2,qm,red,7315,7076,6471,39,39,6,33,0,18,15,0,0,6
2,qm,blue,3998,5734,4730,33,33,9,24,0,18,6,0,0,9
3,qm,red,6750,7470,1683,33,33,15,18,0,9,9,0,0,15
3,qm,blue,5074,3329,6925,24,24,3,21,0,12,9,0,0,3
4,qm,red,2415,3635,5840,14,14,3,11,2,6,3,0,0,3
4,qm,blue,4701,1261,4240,38,38,9,29,2,18,9,0,0,9
5,qm,red,6177,4193,5828,14,14,6,8,2,0,6,0,0,6
5,qm,blue,6919,1002,4941,69,69,12,51,6,18,27,6,0,12
6,qm,red,3635,7470,4730,25,25,6,16,4,6,6,3,0,6
6,qm,blue,5840,3998,6925,43,43,9,34,4,21,9,0,0,9
7,qm,red,6471,5848,5734,23,23,6,17,2,9,6,0,0,6
7,qm,blue,5828,2415,5074,3,3,0,3,0,0,3,0,0,0
8,qm,red,7076,4701,4941,48,48,12,36,6,24,6,0,0,12
8,qm,blue,7499,1683,1261,18,18,12,6,0,0,6,0,0,12
9,qm,red,4193,5632,1002,40,40,15,25,4,12,9,0,0,15
9,qm,blue,832,6829,7315,56,56,9,47,8,21,18,0,0,9
10,qm,red,6750,3329,6919,45,45,12,30,6,6,18,3,0,12
10,qm,blue,6325,4240,6177,18,18,9,9,0,3,6,0,0,9
11,qm,red,4941,5074,5840,42,42,6,36,6,24,6,0,0,6
11,qm,blue,5848,7315,6925,18,18,3,15,0,12,3,0,0,3
12,qm,red,832,1261,3635,50,50,12,38,8,24,6,0,0,12
12,qm,blue,6471,5632,6750,45,45,15,30,6,6,18,0,0,15
13,qm,red,1002,7076,5828,27,27,12,15,0,6,9,0,0,12
13,qm,blue,6919,4193,7470,32,32,9,20,2,0,18,3,0,9
14,qm,red,4240,3998,7499,41,41,9,32,2,21,9,0,0,9
14,qm,blue,6325,3329,4730,30,30,9,21,6,9,6,0,0,9
15,qm,red,6829,4701,5734,44,44,15,17,2,12,3,12,0,15
15,qm,blue,1683,6177,2415,38,38,12,26,2,15,9,0,0,12
16,qm,red,1261,4941,6750,52,52,15,37,4,24,9,0,0,15
16,qm,blue,4240,7315,5632,42,42,9,33,6,18,9,0,0,9
17,qm,red,3329,5734,3998,48,48,12,33,6,21,6,3,0,12
17,qm,blue,6925,6919,3635,40,40,6,34,4,15,15,0,0,6
18,qm,red,832,6177,5074,58,58,6,37,4,15,18,15,0,6
18,qm,blue,4193,4701,7470,43,43,12,31,4,21,6,0,0,12
19,qm,red,5828,6325,6829,28,28,9,19,4,12,3,0,0,9
19,qm,blue,2415,7499,7076,9,9,6,3,0,0,3,0,0,6
20,qm,red,6471,4730,5840,49,49,9,40,4,18,18,0,0,9
20,qm,blue,1002,5848,1683,41,41,9,29,2,21,6,3,0,9
21,qm,red,3998,3635,7315,49,49,12,37,4,24,9,0,0,12
21,qm,blue,6750,4701,5828,45,45,15,27,0,18,9,3,0,15
22,qm,red,3329,1683,6471,62,62,12,50,8,24,18,0,0,12
22,qm,blue,5848,832,6177,45,45,9,36,0,18,18,0,0,9
23,qm,red,1261,1002,4941,62,62,12,44,8,27,9,6,0,12
23,qm,blue,5734,6325,2415,20,20,6,14,2,9,3,0,0,6
24,qm,red,4730,5074,6919,34,34,9,25,10,9,6,0,0,9
24,qm,blue,7076,6829,5632,42,42,12,27,12,12,3,3,0,12
25,qm,red,6925,4240,5840,40,40,6,31,4,21,6,3,0,6
25,qm,blue,7470,7499,4193,9,9,3,6,0,3,3,0,0,3
26,qm,red,4941,1683,6325,46,46,12,34,4,21,9,0,0,12
26,qm,blue,6829,6750,6177,41,41,12,29,8,18,3,0,0,12
27,qm,red,7499,3635,5632,44,44,9,35,8,15,12,0,0,9
27,qm,blue,5074,6471,4193,30,30,9,21,0,3,18,0,0,9
28,qm,red,6925,2415,1261,24,24,9,15,0,9,6,0,0,9
28,qm,blue,6919,7076,3998,47,47,12,32,8,18,6,3,0,12
29,qm,red,4240,4730,832,41,41,9,32,2,21,9,0,0,9
29,qm,blue,5828,5734,1002,32,32,12,20,2,9,9,0,0,12
30,qm,red,3329,5848,7470,37,37,9,22,4,6,12,6,0,9
30,qm,blue,7315,5840,4701,44,44,12,32,2,21,9,0,0,12
31,qm,red,5734,6925,832,54,54,12,42,6,21,15,0,0,12
31,qm,blue,6177,4941,7499,46,46,6,40,10,24,6,0,0,6
32,qm,red,5632,7470,2415,31,31,9,22,4,12,6,0,0,9
32,qm,blue,4730,7315,1683,39,39,12,27,0,18,9,0,0,12
33,qm,red,5074,3998,6829,46,46,12,31,4,21,6,3,0,12
33,qm,blue,3635,5828,4240,41,41,9,32,2,21,9,0,0,9
34,qm,red,5848,5840,4193,41,41,9,29,2,18,9,3,0,9
34,qm,blue,7076,1261,3329,34,34,12,19,4,9,6,3,0,12
35,qm,red,4701,6750,1002,51,51,15,36,6,21,9,0,0,15
35,qm,blue,6325,6471,6919,39,39,6,33,6,15,12,0,0,6
36,qm,red,7499,832,7315,50,50,6,44,2,21,21,0,0,6
36,qm,blue,4193,1683,4240,36,36,12,24,0,15,9,0,0,12
37,qm,red,7470,6177,7076,34,34,6,25,10,9,6,3,0,6
37,qm,blue,3635,5074,5848,43,43,6,37,4,24,9,0,0,6
38,qm,red,4730,5828,1261,39,39,12,27,0,18,9,0,0,12
38,qm,blue,5840,6750,5734,46,46,12,31,4,21,6,3,0,12
39,qm,red,5632,4941,3998,63,63,15,36,6,21,9,12,0,15
39,qm,blue,2415,3329,4701,56,56,12,44,8,24,12,0,0,12
40,qm,red,6925,6919,6325,27,27,9,18,12,0,6,0,0,9
40,qm,blue,1002,6829,6471,64,64,9,55,10,30,15,0,0,9
41,qm,red,6750,4730,7076,18,18,9,9,0,3,6,0,0,9
41,qm,blue,3329,832,4941,52,52,9,43,10,12,21,0,0,9
42,qm,red,1683,4240,5074,33,33,12,21,0,15,6,0,0,12
42,qm,blue,4193,3998,6325,35,35,9,26,2,21,3,0,0,9
43,qm,red,7499,5828,5848,21,21,9,12,0,0,12,0,0,9
43,qm,blue,1002,7315,2415,47,47,6,38,8,24,6,3,0,6
44,qm,red,6919,5840,6829,62,62,9,53,14,30,9,0,0,9
44,qm,blue,4701,6471,3635,65,65,12,50,8,24,18,3,0,12
45,qm,red,7470,6925,6177,43,43,12,31,10,15,6,0,0,12
45,qm,blue,5632,1261,5734,46,46,15,25,4,12,9,6,0,15
46,qm,red,1683,3635,7076,76,76,12,32,2,21,9,32,0,12
46,qm,blue,4941,4730,5848,43,43,9,34,4,21,9,0,0,9
47,qm,red,6471,6925,7499,44,44,15,29,2,6,21,0,0,15
47,qm,blue,4701,6750,832,51,51,15,36,6,21,9,0,0,15
48,qm,red,1261,4193,6829,31,31,9,22,10,3,9,0,0,9
48,qm,blue,2415,4240,3329,33,33,12,21,6,6,9,0,0,12
49,qm,red,7315,5734,6177,51,51,12,36,6,21,9,3,0,12
49,qm,blue,3998,1002,5074,55,55,9,46,10,27,9,0,0,9
50,qm,red,5828,6919,5632,35,35,15,20,8,3,9,0,0,15
50,qm,blue,5840,6325,7470,32,32,6,26,2,18,6,0,0,6
51,qm,red,6177,6471,1261,44,44,6,38,8,12,18,0,0,6
51,qm,blue,6829,6925,4730,50,50,12,38,8,24,6,0,0,12
52,qm,red,5734,7499,3329,46,46,12,34,4,21,9,0,0,12
52,qm,blue,5632,5840,1683,44,44,15,29,8,15,6,0,0,15
53,qm,red,7470,1002,4240,54,54,9,35,8,21,6,10,0,9
53,qm,blue,7076,4941,3635,47,47,9,38,8,24,6,0,0,9
54,qm,red,6325,5074,4701,33,33,6,24,0,18,6,3,0,6
54,qm,blue,3998,832,5828,45,45,9,36,0,18,18,0,0,9
55,qm,red,6919,2415,5848,46,46,12,34,16,0,18,0,0,12
55,qm,blue,7315,4193,6750,40,40,6,24,0,18,6,10,0,6
56,qm,red,6177,5632,4701,61,61,15,31,4,18,9,15,0,15
56,qm,blue,4730,7499,1002,50,50,12,38,8,21,9,0,0,12
57,qm,red,4941,6829,4193,43,43,9,34,10,18,6,0,0,9
57,qm,blue,5734,6919,3635,61,61,9,52,10,24,18,0,0,9
58,qm,red,5074,3329,7315,37,37,3,28,4,15,9,6,0,3
58,qm,blue,1683,5828,6925,35,35,6,29,2,18,9,0,0,6
59,qm,red,5848,6325,6750,15,15,9,6,0,0,6,0,0,9
59,qm,blue,1261,7470,3998,46,46,15,31,4,18,9,0,0,15
60,qm,red,4240,2415,6471,36,36,12,18,0,12,6,6,0,12
60,qm,blue,5840,7076,832,57,57,9,45,6,21,18,3,0,9
1,qf,red,6829,832,7499,62,62,12,47,8,24,15,3,0,12
1,qf,blue,4240,5632,1261,39,39,12,24,6,9,9,3,0,12
2,qf,red,6829,832,7499,56,56,12,41,8,15,18,3,0,12
2,qf,blue,4240,5632,1261,37,37,15,22,10,3,9,0,0,15
1,qf,red,1002,4941,7470,60,60,15,42,6,18,18,3,0,15
1,qf,blue,3329,5840,6750,45,45,6,39,6,24,9,0,0,6
2,qf,red,1002,4941,7470,63,63,15,48,12,27,9,0,0,15
2,qf,blue,3329,5840,6750,40,40,6,31,4,24,3,3,0,6
1,qf,red,6919,3998,6925,47,47,15,32,8,6,18,0,0,15
1,qf,blue,1683,3635,6177,53,53,15,38,8,18,12,0,0,15
2,qf,red,6919,3998,6925,57,57,9,48,12,21,15,0,0,9
2,qf,blue,1683,3635,6177,62,62,15,44,8,24,12,3,0,15
1,qf,red,7315,6471,2415,24,24,9,15,0,12,3,0,0,9
1,qf,blue,4701,5734,4730,46,46,12,28,4,15,9,6,0,12
2,qf,red,7315,6471,2415,48,48,12,36,0,18,18,0,0,12
2,qf,blue,4701,5734,4730,41,41,9,26,2,15,9,6,0,9
3,qf,red,7315,6471,2415,49,49,12,27,0,18,9,10,0,12
3,qf,blue,4701,5734,4730,39,39,15,24,0,18,6,0,0,15
1,sf,red,6829,832,7499,66,66,12,54,12,27,15,0,0,12
1,sf,blue,1002,4941,7470,52,52,15,37,4,24,9,0,0,15
2,sf,red,6829,832,7499,68,68,12,56,14,21,21,0,0,12
2,sf,blue,1002,4941,7470,61,61,15,46,10,30,6,0,0,15
1,sf,red,1683,3635,6177,61,61,15,46,10,24,12,0,0,15
1,sf,blue,7315,6471,2415,42,42,12,30,0,12,18,0,0,12
2,sf,red,1683,3635,6177,57,57,15,36,6,18,12,6,0,15
2,sf,blue,7315,6471,2415,48,48,12,36,0,18,18,0,0,12
1,f,red,6829,832,7499,62,62,12,50,14,21,15,0,0,12
1,f,blue,1683,3635,6177,59,59,15,44,8,30,6,0,0,15
2,f,red,6829,832,7499,53,53,12,41,8,15,18,0,0,12
2,f,blue,1683,3635,6177,48,48,12,33,6,18,9,3,0,12
