match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6424,1730,2457,49,49,12,31,4,15,12,6,0,12
1,qm,blue,4522,7513,1825,49,49,6,43,16,21,6,0,0,6
2,qm,red,6941,4400,5141,42,42,9,33,6,21,6,0,0,9
2,qm,blue,1108,1987,6907,33,33,12,21,12,0,9,0,0,12
3,qm,red,6359,5801,3160,49,49,15,34,10,15,9,0,0,15
3,qm,blue,3184,6940,935,29,29,15,14,8,3,3,0,0,15
4,qm,red,1986,7785,3465,63,63,9,54,12,24,18,0,0,9
4,qm,blue,938,1827,1710,14,14,3,11,2,6,3,0,0,3
5,qm,red,2560,1994,3284,51,51,6,35,8,21,6,10,0,6
5,qm,blue,5013,5126,1764,51,51,15,6,0,0,6,30,0,15
6,qm,red,1997,2001,2220,42,42,12,30,6,6,18,0,0,12
6,qm,blue,5082,2345,4786,21,21,12,9,0,0,9,0,0,12
7,qm,red,1710,1987,7785,36,36,15,21,6,6,9,0,0,15
7,qm,blue,1108,2457,6940,36,36,12,24,0,15,9,0,0,12
8,qm,red,3160,3284,1827,47,47,12,29,2,18,9,6,0,12
8,qm,blue,7513,1994,938,6,6,3,3,0,0,3,0,0,3
9,qm,red,5141,4522,5126,48,48,15,33,6,18,9,0,0,15
9,qm,blue,2001,5082,1986,47,47,6,41,8,18,15,0,0,6
10,qm,red,1730,5013,4786,44,44,15,29,2,18,9,0,0,15
10,qm,blue,3465,6907,1764,26,26,12,14,2,6,6,0,0,12
11,qm,red,4400,935,1997,56,56,12,41,8,24,9,3,0,12
11,qm,blue,3184,2560,6424,47,47,15,32,8,15,9,0,0,15
12,qm,red,5801,6941,2345,56,56,9,47,8,24,15,0,0,9
12,qm,blue,6359,1825,2220,40,40,9,31,4,21,6,0,0,9
13,qm,red,4522,1827,1987,51,51,15,36,12,21,3,0,0,15
13,qm,blue,938,5013,3160,9,9,6,3,0,0,3,0,0,6
14,qm,red,1710,3184,6907,36,36,12,24,0,12,12,0,0,12
14,qm,blue,1997,1986,3284,53,53,9,44,14,12,18,0,0,9
15,qm,red,3465,1108,5126,30,30,9,21,0,12,9,0,0,9
