match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,2084,7795,5556,33,33,12,21,0,15,6,0,0,12
1,qm,blue,3958,95,4909,53,53,12,38,20,15,3,3,0,12
2,qm,red,7822,4929,2262,35,35,12,23,2,3,18,0,0,12
2,qm,blue,2876,6161,2713,12,12,12,0,0,0,0,0,0,12
3,qm,red,4169,5735,4906,23,23,9,14,2,6,6,0,0,9
3,qm,blue,1474,1761,5752,39,39,12,27,6,12,9,0,0,12
4,qm,red,5265,2648,238,38,38,12,26,8,15,3,0,0,12
4,qm,blue,4761,157,1027,42,42,6,36,6,12,18,0,0,6
5,qm,red,5962,4905,23,58,58,12,46,4,21,21,0,0,12
5,qm,blue,5459,1289,5563,28,28,9,10,4,0,6,9,0,9
6,qm,red,1757,3930,1073,26,26,6,20,2,6,12,0,0,6
6,qm,blue,6153,2423,501,42,42,12,21,12,6,3,9,0,12
7,qm,red,1474,2713,4311,52,52,12,40,10,18,12,0,0,12
7,qm,blue,7438,7795,5265,48,48,9,39,6,21,12,0,0,9
8,qm,red,4905,4909,1027,29,29,6,23,2,12,9,0,0,6
8,qm,blue,5752,4929,5962,40,40,12,28,4,9,15,0,0,12
9,qm,red,2262,5735,3930,25,25,12,10,4,3,3,3,0,12
9,qm,blue,5556,6153,238,45,45,9,36,6,21,9,0,0,9
10,qm,red,4906,1757,2648,44,44,15,26,2,15,9,3,0,15
10,qm,blue,7438,5459,1073,58,58,12,33,6,12,15,13,0,12
11,qm,red,23,4169,157,36,36,6,30,6,15,9,0,0,6
11,qm,blue,95,6161,7822,63,63,15,48,18,18,12,0,0,15
12,qm,red,2876,2084,501,44,44,15,16,4,6,6,13,0,15
12,qm,blue,1761,2423,4311,33,33,12,21,6,3,12,0,0,12
13,qm,red,5265,1289,3958,38,38,6,32,20,3,9,0,0,6
13,qm,blue,2713,4761,5563,48,48,6,32,8,6,18,10,0,6
14,qm,red,5459,2262,1027,27,27,9,15,0,6,9,3,0,9
14,qm,blue,1073,4169,7795,48,48,12,21,6,6,9,15,0,12
15,qm,red,4906,5962,2423,48,48,15,33,6,15,12,0,0,15
15,qm,blue,5735,4311,157,29,29,15,14,8,0,6,0,0,15
16,qm,red,2084,7822,6153,41,41,9,29,8,18,3,3,0,9
16,qm,blue,238,1474,7438,50,50,12,35,2,18,15,3,0,12
17,qm,red,1761,501,95,42,42,15,24,6,12,6,3,0,15
17,qm,blue,4929,4905,3958,59,59,9,50,8,21,21,0,0,9
18,qm,red,5752,2648,1289,46,46,12,34,4,21,9,0,0,12
18,qm,blue,3930,23,2876,42,42,12,30,6,15,9,0,0,12
19,qm,red,5563,4909,5556,29,29,9,20,2,12,6,0,0,9
19,qm,blue,6161,1757,4761,53,53,12,41,14,6,21,0,0,12
20,qm,red,238,1073,3958,61,61,12,49,16,24,9,0,0,12
20,qm,blue,5735,2713,1761,18,18,6,12,6,0,6,0,0,6
21,qm,red,5962,7795,157,40,40,12,28,4,9,15,0,0,12
21,qm,blue,2262,4169,7438,63,63,12,41,14,6,21,10,0,12
22,qm,red,2084,5265,4761,38,38,9,26,8,6,12,3,0,9
22,qm,blue,501,4929,3930,31,31,6,22,4,3,15,3,0,6
23,qm,red,95,5563,1474,61,61,15,46,16,18,12,0,0,15
23,qm,blue,5459,4311,4905,61,61,12,39,6,24,9,10,0,12
24,qm,red,2876,4909,4906,46,46,15,31,4,12,15,0,0,15
24,qm,blue,6153,2648,6161,57,57,15,42,18,15,9,0,0,15
25,qm,red,5556,1027,5752,30,30,6,18,6,3,9,6,0,6
25,qm,blue,7822,1289,1757,31,31,9,22,4,12,6,0,0,9
26,qm,red,23,3958,5735,56,56,12,44,14,24,6,0,0,12
26,qm,blue,2423,5265,4169,32,32,9,23,14,3,6,0,0,9
27,qm,red,4906,4761,6153,64,64,12,52,22,15,15,0,0,12
27,qm,blue,2084,5563,4905,38,38,9,29,2,21,6,0,0,9
28,qm,red,5556,95,1289,45,45,12,33,6,18,9,0,0,12
28,qm,blue,7438,501,5752,45,45,12,33,6,15,12,0,0,12
29,qm,red,238,1761,4909,43,43,9,34,4,21,9,0,0,9
29,qm,blue,23,1757,5459,39,39,9,30,6,18,6,0,0,9
30,qm,red,3930,7822,157,38,38,9,29,8,15,6,0,0,9
30,qm,blue,4311,2262,1073,46,46,15,31,10,3,18,0,0,15
