match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3373,6584,888,35,35,12,23,8,12,3,0,0,12
1,qm,blue,5945,2849,5830,52,52,15,31,4,18,9,6,0,15
2,qm,red,4949,4638,614,54,54,15,39,12,24,3,0,0,15
2,qm,blue,6239,3793,3389,30,30,9,21,12,0,9,0,0,9
3,qm,red,686,4099,4456,58,58,12,43,4,21,18,3,0,12
3,qm,blue,1629,5243,5338,55,55,12,43,10,21,12,0,0,12
4,qm,red,4541,6326,1389,35,35,15,20,2,9,9,0,0,15
4,qm,blue,3714,1719,7879,35,35,3,22,4,6,12,10,0,3
5,qm,red,2988,4505,836,61,61,15,46,10,15,21,0,0,15
5,qm,blue,5549,3748,3941,40,40,12,28,4,15,9,0,0,12
6,qm,red,2199,1111,6863,61,61,9,37,4,15,18,15,0,9
6,qm,blue,7886,2377,7770,50,50,12,38,8,21,9,0,0,12
7,qm,red,2961,4456,3714,6,6,3,3,0,3,0,0,0,3
7,qm,blue,4099,3389,2537,42,42,15,27,0,18,9,0,0,15
8,qm,red,6326,5243,7879,24,24,9,15,0,9,6,0,0,9
8,qm,blue,5945,6239,3941,62,62,15,44,8,24,12,3,0,15
9,qm,red,3793,7770,836,57,57,15,39,6,15,18,3,0,15
9,qm,blue,686,2849,5549,58,58,12,46,4,24,18,0,0,12
10,qm,red,4949,5830,6584,28,28,12,16,4,0,12,0,0,12
10,qm,blue,2199,4505,7886,66,66,9,48,6,24,18,9,0,9
11,qm,red,1389,3373,1629,36,36,12,21,6,0,15,3,0,12
11,qm,blue,2988,5338,614,51,51,15,36,6,6,24,0,0,15
12,qm,red,888,2961,2537,50,50,12,38,2,18,18,0,0,12
12,qm,blue,6863,4638,4541,34,34,9,25,10,6,9,0,0,9
13,qm,red,6239,1719,3748,71,71,12,59,14,24,21,0,0,12
13,qm,blue,4505,1111,2377,55,55,15,40,10,24,6,0,0,15
14,qm,red,5945,2988,3714,37,37,12,25,4,12,9,0,0,12
14,qm,blue,4949,2199,5338,64,64,12,52,10,21,21,0,0,12
15,qm,red,3389,5549,6326,37,37,12,25,4,15,6,0,0,12
15,qm,blue,7770,3373,6863,56,56,12,44,8,27,9,0,0,12
16,qm,red,5830,2377,1719,60,60,12,45,12,12,21,3,0,12
16,qm,blue,614,686,2961,60,60,12,48,12,24,12,0,0,12
17,qm,red,7879,1629,6584,49,49,9,40,10,12,18,0,0,9
17,qm,blue,3793,4456,4638,54,54,12,42,12,18,12,0,0,12
18,qm,red,7886,1389,2849,44,44,15,29,2,21,6,0,0,15
18,qm,blue,2537,3748,5243,49,49,15,34,4,21,9,0,0,15
19,qm,red,4099,3941,1111,39,39,15,24,6,15,3,0,0,15
19,qm,blue,4541,888,836,60,60,12,48,6,21,21,0,0,12
20,qm,red,5945,5338,3793,58,58,15,37,4,12,21,6,0,15
20,qm,blue,4505,2961,3389,30,30,9,21,0,15,6,0,0,9
21,qm,red,614,6863,7886,50,50,12,32,2,18,12,6,0,12
21,qm,blue,5243,3714,686,54,54,9,29,2,12,15,16,0,9
