match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,33,4811,6566,57,57,9,45,18,9,18,3,0,9
1,qm,blue,3096,4405,7854,18,18,12,6,0,3,3,0,0,12
2,qm,red,1,3539,4815,37,37,12,22,4,15,3,3,0,12
2,qm,blue,818,910,453,11,11,6,5,2,0,3,0,0,6
3,qm,red,7247,1701,7188,44,44,15,23,2,15,6,6,0,15
3,qm,blue,4779,51,6096,35,35,12,23,2,15,6,0,0,12
4,qm,red,3175,5214,1025,61,61,15,46,4,24,18,0,0,15
4,qm,blue,2960,469,6091,36,36,15,21,6,9,6,0,0,15
5,qm,red,6099,6958,1189,28,28,6,19,4,9,6,3,0,6
5,qm,blue,5225,5239,7232,15,15,9,6,0,3,3,0,0,9
6,qm,red,6567,5555,7224,32,32,9,23,2,18,3,0,0,9
6,qm,blue,7211,7597,3322,38,38,15,20,2,6,12,3,0,15
7,qm,red,7206,2851,1,34,34,9,25,10,3,12,0,0,9
7,qm,blue,4810,3539,7762,47,47,15,29,8,18,3,3,0,15
8,qm,red,6096,2960,3175,40,40,9,28,4,15,9,3,0,9
8,qm,blue,4405,33,7188,51,51,15,36,6,15,15,0,0,15
9,qm,red,910,4815,7247,24,24,15,9,0,3,6,0,0,15
9,qm,blue,4811,1189,6091,32,32,12,20,2,9,9,0,0,12
10,qm,red,4810,3322,469,24,24,9,15,0,6,9,0,0,9
10,qm,blue,1701,7762,7597,38,38,15,20,2,9,9,3,0,15
11,qm,red,6566,453,7206,39,39,15,24,6,9,9,0,0,15
11,qm,blue,2851,818,5555,62,62,15,44,8,24,12,3,0,15
12,qm,red,6099,4779,7232,59,59,12,15,0,6,9,32,0,12
12,qm,blue,7854,5214,6567,26,26,9,17,2,6,9,0,0,9
13,qm,red,1025,7211,7224,53,53,12,38,2,21,15,3,0,12
13,qm,blue,5239,51,6958,59,59,9,35,2,18,15,15,0,9
14,qm,red,5225,4405,469,43,43,15,18,0,9,9,10,0,15
14,qm,blue,7206,3096,7247,33,33,15,18,0,9,9,0,0,15
15,qm,red,910,6567,1701,53,53,12,35,8,21,6,6,0,12
15,qm,blue,818,33,4779,76,76,15,45,6,21,18,16,0,15
16,qm,red,6091,5239,1025,47,47,9,38,2,21,15,0,0,9
16,qm,blue,7188,7854,1,32,32,9,20,2,9,9,3,0,9
17,qm,red,4810,6096,4815,24,24,6,18,0,12,6,0,0,6
17,qm,blue,3539,6958,5214,35,35,15,17,2,6,9,3,0,15
18,qm,red,51,5225,3322,45,45,15,30,0,15,15,0,0,15
18,qm,blue,6566,2960,2851,44,44,15,26,2,18,6,3,0,15
19,qm,red,1189,453,7597,39,39,15,18,0,9,9,6,0,15
19,qm,blue,7762,3096,6099,29,29,12,14,2,3,9,3,0,12
20,qm,red,7211,5555,4811,45,45,9,36,6,18,12,0,0,9
20,qm,blue,7232,7224,3175,33,33,6,24,0,18,6,3,0,6
21,qm,red,6958,1,818,47,47,15,29,2,21,6,3,0,15
21,qm,blue,4405,3322,1701,66,66,15,32,2,15,15,19,0,15
22,qm,red,7762,1189,6567,29,29,12,17,2,12,3,0,0,12
22,qm,blue,7247,1025,6566,67,67,15,37,4,15,18,15,0,15
23,qm,red,7232,4810,7211,43,43,12,28,4,15,9,3,0,12
23,qm,blue,6091,5225,7854,24,24,15,9,0,0,9,0,0,15
24,qm,red,453,5239,5555,36,36,15,21,0,12,9,0,0,15
24,qm,blue,4779,4815,7597,42,42,15,21,12,3,6,6,0,15
25,qm,red,7206,33,3175,96,96,15,65,14,33,18,16,0,15
25,qm,blue,5214,51,3096,21,21,9,12,0,6,6,0,0,9
26,qm,red,2960,6099,910,55,55,12,43,10,24,9,0,0,12
26,qm,blue,2851,6096,4811,52,52,12,40,10,24,6,0,0,12
27,qm,red,469,3539,1189,51,51,15,33,12,12,9,3,0,15
27,qm,blue,7224,7188,3322,49,49,15,24,0,15,9,10,0,15
28,qm,red,5239,33,1,63,63,15,48,6,21,21,0,0,15
28,qm,blue,5555,7206,5225,40,40,12,28,4,18,6,0,0,12
29,qm,red,2851,7597,1025,75,75,15,60,12,36,12,0,0,15
29,qm,blue,3175,818,4405,40,40,15,19,4,9,6,6,0,15
30,qm,red,6091,4779,4810,33,33,9,24,6,12,6,0,0,9
30,qm,blue,51,6566,7224,54,54,9,45,6,21,18,0,0,9
31,qm,red,7188,469,4815,24,24,15,9,0,6,3,0,0,15
31,qm,blue,6958,7211,2960,42,42,15,27,6,12,9,0,0,15
32,qm,red,5214,910,7762,48,48,12,36,6,21,9,0,0,12
32,qm,blue,3096,7232,3539,51,51,15,26,8,9,9,10,0,15
33,qm,red,1701,6096,453,39,39,15,24,0,15,9,0,0,15
33,qm,blue,4811,6567,6099,35,35,9,20,2,12,6,6,0,9
34,qm,red,7854,2851,33,79,79,15,61,10,30,21,3,0,15
34,qm,blue,7247,1189,4779,64,64,12,39,12,18,9,13,0,12
