match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,7196,6862,5532,35,35,9,26,2,18,6,0,0,9
1,qm,blue,815,5498,226,78,78,15,51,12,21,18,12,0,15
2,qm,red,3632,4390,7143,5,5,3,2,2,0,0,0,0,3
2,qm,blue,6029,5901,6532,42,42,15,27,6,15,6,0,0,15
3,qm,red,4854,4851,5756,25,25,12,13,4,3,6,0,0,12
3,qm,blue,4758,7168,7145,21,21,6,12,6,0,6,3,0,6
4,qm,red,2673,7820,5217,8,8,6,2,2,0,0,0,0,6
4,qm,blue,5577,6616,2676,35,35,15,14,2,6,6,6,0,15
5,qm,red,2591,7769,4680,52,52,12,30,0,15,15,10,0,12
5,qm,blue,4838,2048,3641,72,72,15,57,12,24,21,0,0,15
6,qm,red,7865,4768,5467,29,29,15,11,8,0,3,3,0,15
6,qm,blue,2224,5065,5197,26,26,9,17,8,0,9,0,0,9
7,qm,red,7789,7191,7143,29,29,15,14,2,3,9,0,0,15
7,qm,blue,123,4390,7820,37,37,12,19,4,6,9,6,0,12
8,qm,red,4680,4838,5532,51,51,15,36,0,18,18,0,0,15
8,qm,blue,7168,5577,6532,14,14,9,5,2,0,3,0,0,9
9,qm,red,6616,4758,2224,27,27,9,18,6,6,6,0,0,9
9,qm,blue,3632,7865,226,24,24,9,15,0,9,6,0,0,9
10,qm,red,5901,4768,5197,45,45,15,30,6,15,9,0,0,15
10,qm,blue,2048,815,2673,25,25,15,10,10,0,0,0,0,15
11,qm,red,5065,6029,7789,27,27,9,18,0,9,9,0,0,9
11,qm,blue,4854,7145,3641,44,44,12,32,2,12,18,0,0,12
12,qm,red,4851,5498,5217,26,26,9,11,2,6,3,6,0,9
12,qm,blue,7196,7191,2591,41,41,15,23,2,15,6,3,0,15
13,qm,red,5756,123,6862,33,33,12,18,0,6,12,3,0,12
13,qm,blue,5467,7769,2676,36,36,15,21,0,3,18,0,0,15
14,qm,red,6616,4838,4768,30,30,15,15,0,9,6,0,0,15
14,qm,blue,2224,4390,4680,53,53,6,47,8,21,18,0,0,6
15,qm,red,6029,5197,7168,14,14,3,11,8,0,3,0,0,3
15,qm,blue,3632,7820,7789,12,12,6,6,0,6,0,0,0,6
16,qm,red,5217,3641,7143,40,40,9,31,4,9,18,0,0,9
16,qm,blue,7865,5532,4854,42,42,9,18,0,9,9,15,0,9
17,qm,red,5901,2591,2048,57,57,15,39,6,24,9,3,0,15
17,qm,blue,5065,7196,4758,37,37,9,28,4,15,9,0,0,9
18,qm,red,2676,7145,815,33,33,9,24,6,0,18,0,0,9
18,qm,blue,7191,2673,4851,63,63,12,14,8,0,6,37,0,12
19,qm,red,6532,5467,6862,34,34,15,9,6,0,3,10,0,15
19,qm,blue,5577,5498,5756,59,59,12,27,0,18,9,20,0,12
20,qm,red,226,123,5901,61,61,15,40,10,12,18,6,0,15
20,qm,blue,4838,7820,7769,21,21,12,9,0,3,6,0,0,12
21,qm,red,5217,4758,5532,25,25,12,13,4,0,9,0,0,12
21,qm,blue,7145,2048,5197,116,116,15,16,4,6,6,85,0,15
22,qm,red,7196,5756,7865,42,42,15,27,0,18,9,0,0,15
22,qm,blue,5577,4680,2673,64,64,12,46,10,21,15,6,0,12
23,qm,red,5065,4851,6616,81,81,9,18,0,3,15,54,0,9
23,qm,blue,7789,7769,6862,21,21,9,12,0,6,6,0,0,9
24,qm,red,3632,6029,5498,35,35,9,26,8,9,9,0,0,9
24,qm,blue,4768,123,7143,41,41,6,35,2,21,12,0,0,6
25,qm,red,6532,7191,815,34,34,9,25,10,0,15,0,0,9
25,qm,blue,2224,7168,4854,17,17,3,14,8,0,6,0,0,3
26,qm,red,2676,2591,3641,48,48,15,33,0,15,18,0,0,15
26,qm,blue,4390,226,5467,57,57,12,25,10,12,3,20,0,12
27,qm,red,4838,5577,123,47,47,15,32,2,18,12,0,0,15
27,qm,blue,4851,7145,4768,27,27,12,15,0,9,6,0,0,12
28,qm,red,7191,5901,6616,44,44,15,29,2,15,12,0,0,15
28,qm,blue,7769,5197,5756,45,45,12,30,0,15,15,3,0,12
29,qm,red,7865,4680,815,72,72,15,54,12,24,18,3,0,15
29,qm,blue,3632,7196,2676,21,21,15,6,0,0,6,0,0,15
30,qm,red,5065,3641,226,65,65,6,41,2,21,18,18,0,6
30,qm,blue,5217,6532,2591,17,17,9,8,2,3,3,0,0,9
31,qm,red,7789,4758,4390,37,37,12,25,4,12,9,0,0,12
31,qm,blue,5467,7143,5498,32,32,12,20,2,12,6,0,0,12
32,qm,red,2224,6862,2048,37,37,9,28,4,12,12,0,0,9
32,qm,blue,6029,4854,7820,54,54,12,15,0,12,3,27,0,12
33,qm,red,5532,2673,123,53,53,15,35,8,15,12,3,0,15
33,qm,blue,7168,3632,7191,37,37,12,13,4,0,9,12,0,12
34,qm,red,4390,5756,6616,46,46,12,34,10,15,9,0,0,12
34,qm,blue,4768,226,7196,55,55,12,43,10,24,9,0,0,12
35,qm,red,815,6862,6029,24,24,15,9,6,0,3,0,0,15
35,qm,blue,4838,7865,2591,30,30,15,15,0,9,6,0,0,15
36,qm,red,4680,2676,5197,59,59,15,44,8,21,15,0,0,15
36,qm,blue,4854,7143,4758,14,14,3,11,2,0,9,0,0,3
37,qm,red,7145,5577,2224,26,26,9,8,2,3,3,9,0,9
37,qm,blue,3641,7789,5901,57,57,15,42,12,12,18,0,0,15
38,qm,red,4851,5532,7168,39,39,9,21,12,0,9,9,0,9
38,qm,blue,7769,5217,5065,12,12,9,3,0,3,0,0,0,9
39,qm,red,7820,2048,5467,55,55,15,37,10,12,15,3,0,15
39,qm,blue,2673,6532,5498,40,40,15,25,10,9,6,0,0,15
40,qm,red,7191,4768,5577,49,49,12,37,4,24,9,0,0,12
40,qm,blue,6862,4854,4390,42,42,15,27,6,12,9,0,0,15
41,qm,red,7168,7196,7769,55,55,12,43,4,24,15,0,0,12
41,qm,blue,7143,2224,2676,32,32,15,17,8,0,9,0,0,15
42,qm,red,4758,6532,7865,31,31,15,16,4,3,9,0,0,15
42,qm,blue,2048,6029,4851,38,38,12,26,8,6,12,0,0,12
43,qm,red,5901,815,4838,50,50,15,32,8,21,3,3,0,15
43,qm,blue,5467,5756,5217,36,36,6,30,6,12,12,0,0,6
44,qm,red,3641,4680,3632,78,78,12,39,12,21,6,27,0,12
44,qm,blue,7820,5065,5498,33,33,15,18,0,9,9,0,0,15
45,qm,red,5197,226,2673,53,53,9,28,4,9,15,16,0,9
45,qm,blue,5532,7145,7789,45,45,15,30,0,18,12,0,0,15
46,qm,red,2591,6616,4854,44,44,15,29,2,21,6,0,0,15
46,qm,blue,123,2676,6532,41,41,15,26,8,12,6,0,0,15
47,qm,red,5467,7196,815,54,54,15,39,12,21,6,0,0,15
47,qm,blue,3641,4768,7168,71,71,9,62,14,30,18,0,0,9
48,qm,red,2673,3632,7769,21,21,9,9,0,9,0,3,0,9
48,qm,blue,4390,5217,7145,17,17,9,8,2,3,3,0,0,9
49,qm,red,7143,5756,5532,27,27,9,15,0,6,9,3,0,9
49,qm,blue,4851,2224,4838,31,31,12,19,10,3,6,0,0,12
50,qm,red,7820,5901,4758,28,28,9,19,4,12,3,0,0,9
50,qm,blue,7789,6616,4680,70,70,15,46,4,15,27,9,0,15
51,qm,red,2048,5065,123,64,64,15,29,2,18,9,20,0,15
51,qm,blue,5197,6862,5577,35,35,12,23,8,9,6,0,0,12
52,qm,red,7865,5498,7191,49,49,15,24,0,12,12,10,0,15
52,qm,blue,6029,226,2591,70,70,12,49,10,21,18,9,0,12
53,qm,red,7143,7820,7145,24,24,6,6,6,0,0,12,0,6
