match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5069,5161,7187,34,34,12,22,4,6,12,0,0,12
1,qm,blue,1254,7254,5675,57,57,15,42,12,24,6,0,0,15
2,qm,red,6120,5462,5559,24,24,6,18,0,3,15,0,0,6
2,qm,blue,5256,3538,7256,55,55,15,40,10,18,12,0,0,15
3,qm,red,6589,7658,5152,36,36,12,24,6,15,3,0,0,12
3,qm,blue,5501,6053,7208,35,35,9,26,2,12,12,0,0,9
4,qm,red,5688,4381,68,41,41,12,29,2,21,6,0,0,12
4,qm,blue,7195,5623,4130,46,46,12,28,4,18,6,6,0,12
5,qm,red,5194,322,7221,26,26,6,20,14,3,3,0,0,6
5,qm,blue,5843,6568,4855,46,46,9,37,10,15,12,0,0,9
6,qm,red,5248,1940,6642,33,33,3,27,6,18,3,3,0,3
6,qm,blue,3357,5182,6588,51,51,12,39,6,21,12,0,0,12
7,qm,red,6043,7254,6053,30,30,15,15,0,9,6,0,0,15
7,qm,blue,1254,5204,5256,46,46,15,31,10,9,12,0,0,15
8,qm,red,5623,3538,5152,88,88,15,58,10,27,21,15,0,15
8,qm,blue,4381,7256,5194,35,35,12,23,2,12,9,0,0,12
9,qm,red,5161,5182,322,18,18,6,12,0,3,9,0,0,6
9,qm,blue,5069,6589,5559,24,24,9,15,6,0,9,0,0,9
10,qm,red,4855,7187,1940,48,48,15,33,6,18,9,0,0,15
10,qm,blue,6043,4130,6642,30,30,6,24,0,9,15,0,0,6
11,qm,red,6588,5204,6120,92,92,15,24,0,15,9,53,0,15
11,qm,blue,7221,68,5501,40,40,12,28,4,6,18,0,0,12
12,qm,red,6568,5462,5248,65,65,12,43,4,21,18,10,0,12
12,qm,blue,3357,5688,7658,41,41,6,29,14,6,9,6,0,6
13,qm,red,7195,5675,6043,41,41,9,32,8,15,9,0,0,9
13,qm,blue,5843,7256,7208,44,44,12,32,20,3,9,0,0,12
14,qm,red,6588,4130,5559,48,48,15,33,6,18,9,0,0,15
14,qm,blue,6120,6053,5069,26,26,15,11,2,3,6,0,0,15
15,qm,red,6568,322,3357,30,30,6,24,6,9,9,0,0,6
15,qm,blue,5501,5623,5161,50,50,12,38,2,21,15,0,0,12
16,qm,red,5688,5182,4855,56,56,12,44,8,24,12,0,0,12
16,qm,blue,7254,7658,5843,31,31,6,25,10,6,9,0,0,6
17,qm,red,7195,5194,1940,47,47,9,38,20,9,9,0,0,9
17,qm,blue,5152,7221,5204,35,35,12,23,2,12,9,0,0,12
18,qm,red,5256,4381,5248,42,42,12,24,0,18,6,6,0,12
18,qm,blue,6589,5675,3538,61,61,12,49,10,24,15,0,0,12
19,qm,red,7208,1254,68,27,27,15,9,0,0,9,3,0,15
19,qm,blue,6642,5462,7187,57,57,9,23,2,6,15,25,0,9
20,qm,red,5194,5623,6043,34,34,9,22,10,3,9,3,0,9
20,qm,blue,5559,5161,7221,21,21,9,12,6,3,3,0,0,9
21,qm,red,6589,4855,6588,56,56,15,38,2,18,18,3,0,15
21,qm,blue,5182,6568,5204,44,44,12,32,2,21,9,0,0,12
22,qm,red,68,5256,6053,52,52,15,34,4,24,6,3,0,15
22,qm,blue,5675,5843,3357,56,56,9,47,14,27,6,0,0,9
23,qm,red,4381,1254,5462,47,47,12,35,2,21,12,0,0,12
23,qm,blue,7195,5248,5501,46,46,12,34,10,15,9,0,0,12
24,qm,red,7208,1940,5152,53,53,15,38,8,12,18,0,0,15
24,qm,blue,3538,5688,5069,53,53,9,44,8,18,18,0,0,9
25,qm,red,4130,7658,7256,50,50,9,41,8,18,15,0,0,9
25,qm,blue,7187,322,6120,29,29,6,20,2,12,6,3,0,6
26,qm,red,7254,6568,7195,38,38,15,23,8,6,9,0,0,15
26,qm,blue,6642,5194,6053,37,37,12,25,16,0,9,0,0,12
27,qm,red,1254,5501,5182,51,51,15,36,6,18,12,0,0,15
27,qm,blue,7221,7208,5256,33,33,15,18,0,18,0,0,0,15
28,qm,red,5161,5675,5152,47,47,9,38,2,18,18,0,0,9
28,qm,blue,4130,5688,6589,32,32,12,20,2,3,15,0,0,12
29,qm,red,3538,68,6120,68,68,15,53,8,30,15,0,0,15
29,qm,blue,4855,7254,322,42,42,12,27,0,18,9,3,0,12
30,qm,red,7658,5248,6043,47,47,15,32,2,21,9,0,0,15
30,qm,blue,1940,6588,5462,42,42,15,31,4,9,18,0,-4,15
31,qm,red,5843,7187,5623,60,60,12,48,12,24,12,0,0,12
31,qm,blue,5559,5204,4381,54,54,6,48,6,24,18,0,0,6
32,qm,red,7256,6642,7195,35,35,6,19,10,0,9,10,0,6
32,qm,blue,5069,3357,7221,53,53,9,44,8,24,12,0,0,9
33,qm,red,5152,5501,6568,68,68,15,47,8,18,21,6,0,15
33,qm,blue,5462,322,5675,38,38,9,29,2,18,9,0,0,9
34,qm,red,7208,7254,5248,35,35,15,20,2,12,6,0,0,15
34,qm,blue,4855,68,4130,66,66,15,51,6,24,21,0,0,15
35,qm,red,6120,3357,4381,68,68,6,62,14,30,18,0,0,6
35,qm,blue,5182,6043,5069,40,40,12,28,4,12,12,0,0,12
36,qm,red,5559,5843,5688,32,32,12,20,14,0,6,0,0,12
36,qm,blue,6588,1254,7256,38,38,15,20,8,3,9,3,0,15
37,qm,red,5256,7187,6589,62,62,15,37,4,24,9,10,0,15
37,qm,blue,1940,6053,5623,44,44,15,29,8,15,6,0,0,15
38,qm,red,5194,3538,5161,57,57,12,45,12,15,18,0,0,12
38,qm,blue,7658,6642,5204,26,26,9,17,2,3,12,0,0,9
39,qm,red,5688,5152,7254,78,78,15,60,12,30,18,3,0,15
39,qm,blue,5501,6120,6043,53,53,15,38,8,15,15,0,0,15
40,qm,red,5843,7221,5462,39,39,9,30,6,6,18,0,0,9
40,qm,blue,4130,1940,6568,40,40,15,25,4,15,6,0,0,15
41,qm,red,5623,68,3357,40,40,12,28,4,21,3,0,0,12
41,qm,blue,7658,5256,5194,67,67,15,46,16,21,9,6,0,15
42,qm,red,5248,3538,6588,73,73,15,58,10,30,18,0,0,15
42,qm,blue,5161,4381,7208,46,46,9,37,4,12,21,0,0,9
43,qm,red,7256,6589,5182,36,36,6,30,6,12,12,0,0,6
43,qm,blue,7187,1254,7195,61,61,15,36,6,18,12,10,0,15
44,qm,red,5675,5069,6642,49,49,9,40,10,24,6,0,0,9
44,qm,blue,6053,4855,5559,46,46,15,31,4,21,6,0,0,15
45,qm,red,5204,5843,5501,66,66,12,54,12,21,21,0,0,12
45,qm,blue,322,5248,5623,46,46,12,34,4,24,6,0,0,12
46,qm,red,5256,3357,7195,62,62,12,50,14,24,12,0,0,12
46,qm,blue,6588,7187,6568,33,33,15,18,0,15,3,0,0,15
47,qm,red,7208,5462,6589,21,21,12,9,0,3,6,0,0,12
47,qm,blue,5194,6120,7254,60,60,15,39,12,18,9,6,0,15
48,qm,red,7221,4130,5675,60,60,12,42,6,21,15,6,0,12
48,qm,blue,1254,7658,3538,58,58,15,40,4,18,18,3,0,15
49,qm,red,6053,7256,322,29,29,15,14,8,0,6,0,0,15
49,qm,blue,5182,1940,4381,74,74,12,62,14,27,21,0,0,12
50,qm,red,5204,5069,68,47,47,12,35,2,21,12,0,0,12
50,qm,blue,5161,6043,5688,29,29,15,14,8,3,3,0,0,15
51,qm,red,5559,6642,5623,51,51,6,45,12,24,9,0,0,6
51,qm,blue,4855,5152,5248,70,70,12,58,10,30,18,0,0,12
52,qm,red,7254,6588,7221,36,36,15,18,0,15,3,3,0,15
52,qm,blue,322,6589,4381,39,39,12,27,0,9,18,0,0,12
53,qm,red,1940,5501,7658,53,53,15,38,8,12,18,0,0,15
53,qm,blue,5069,5194,1254,44,44,15,29,14,6,9,0,0,15
54,qm,red,4130,5843,5182,38,38,12,23,8,9,6,3,0,12
54,qm,blue,3357,5559,7208,43,43,12,31,4,21,6,0,0,12
55,qm,red,5204,6053,5161,47,47,12,35,8,15,12,0,0,12
55,qm,blue,5462,5152,7256,65,65,9,56,8,27,21,0,0,9
56,qm,red,6642,6568,3538,61,61,12,33,6,18,9,16,0,12
56,qm,blue,68,6043,7187,33,33,15,18,0,12,6,0,0,15
57,qm,red,5675,5256,4855,67,67,9,49,10,24,15,9,0,9
57,qm,blue,6120,7195,5688,37,37,15,22,10,6,6,0,0,15
58,qm,red,5623,6588,7658,56,56,15,31,4,18,9,10,0,15
58,qm,blue,7256,5161,7254,42,42,12,30,6,12,12,0,0,12
59,qm,red,5204,5194,4130,44,44,9,32,8,21,3,3,0,9
59,qm,blue,5182,5152,6642,62,62,6,53,8,24,21,3,0,6
60,qm,red,4381,4855,5501,72,72,15,57,12,30,15,0,0,15
