match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,6569,4988,7713,33,33,12,18,0,12,6,3,0,12
1,qm,blue,6581,3617,7816,0,0,0,0,0,0,0,0,0,0
2,qm,red,1596,5989,4835,13,13,3,10,4,0,6,0,0,3
2,qm,blue,7826,7638,6079,20,20,6,11,2,3,6,3,0,6
3,qm,red,6345,7782,7156,23,23,12,11,2,9,0,0,0,12
3,qm,blue,5486,7768,5702,18,18,0,8,2,3,3,10,0,0
4,qm,red,6558,6112,4715,33,33,9,24,0,18,6,0,0,9
4,qm,blue,4391,2586,6557,48,48,12,36,12,18,6,0,0,12
5,qm,red,4970,7020,4827,26,26,3,23,2,15,6,0,0,3
5,qm,blue,5213,7154,6075,18,18,3,15,0,15,0,0,0,3
6,qm,red,4375,3602,5706,31,31,3,28,4,15,9,0,0,3
6,qm,blue,6637,245,7827,46,46,6,40,4,21,15,0,0,6
7,qm,red,857,6113,3617,25,25,9,16,4,6,6,0,0,9
7,qm,blue,4835,3875,6088,33,33,9,24,0,18,6,0,0,9
8,qm,red,7768,6581,6079,27,27,6,21,0,15,6,0,0,6
8,qm,blue,5213,6557,7020,32,32,9,23,2,15,6,0,0,9
9,qm,red,7713,4391,4970,45,45,6,39,6,24,9,0,0,6
9,qm,blue,7827,5702,1596,15,15,6,9,0,9,0,0,0,6
10,qm,red,4715,6637,7154,37,37,9,18,0,9,9,10,0,9
10,qm,blue,7638,7156,6113,15,15,6,9,0,0,9,0,0,6
11,qm,red,5989,6558,5706,31,31,12,16,4,9,3,3,0,12
11,qm,blue,6112,857,5486,16,16,3,13,4,3,6,0,0,3
12,qm,red,6075,7782,6088,50,50,15,29,2,18,9,6,0,15
12,qm,blue,3602,3875,2586,66,66,12,54,18,27,9,0,0,12
13,qm,red,4827,4988,7816,9,9,9,0,0,0,0,0,0,9
13,qm,blue,6345,245,7826,35,35,6,26,2,18,6,3,0,6
14,qm,red,3617,6569,7638,35,35,9,26,2,18,6,0,0,9
14,qm,blue,4715,6079,4375,29,29,6,23,2,12,9,0,0,6
15,qm,red,5486,3602,6558,24,24,9,12,6,3,3,3,0,9
15,qm,blue,7827,7020,7154,38,38,9,26,2,18,6,3,0,9
16,qm,red,6088,4391,245,50,50,15,32,8,15,9,3,0,15
16,qm,blue,6581,4988,6112,30,30,9,21,0,18,3,0,0,9
17,qm,red,4827,6557,7826,12,12,9,3,0,0,3,0,0,9
17,qm,blue,4835,5706,6637,34,34,6,28,4,18,6,0,0,6
18,qm,red,1596,6113,6075,27,27,12,15,0,12,3,0,0,12
18,qm,blue,3875,5702,4375,37,37,9,28,4,15,9,0,0,9
19,qm,red,5989,6345,2586,31,31,15,13,10,0,3,3,0,15
19,qm,blue,7782,7768,7713,25,25,6,19,4,6,9,0,0,6
20,qm,red,4970,5213,857,31,31,9,22,4,15,3,0,0,9
20,qm,blue,7156,7816,6569,39,39,15,24,0,15,9,0,0,15
21,qm,red,4375,1596,245,55,55,15,40,10,24,6,0,0,15
21,qm,blue,6558,4835,6557,24,24,15,9,0,3,6,0,0,15
22,qm,red,4715,7768,7638,18,18,6,12,0,3,9,0,0,6
22,qm,blue,7713,6079,3602,40,40,15,25,4,12,9,0,0,15
23,qm,red,4391,5486,7816,38,38,9,29,2,18,9,0,0,9
23,qm,blue,6637,3617,6112,35,35,9,23,2,12,9,3,0,9
24,qm,red,5702,6075,4988,15,15,12,3,0,0,3,0,0,12
24,qm,blue,5706,6569,857,45,45,12,33,6,15,12,0,0,12
