match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,3546,6098,6582,27,27,15,12,0,9,3,0,0,15
1,qm,blue,6100,4376,4337,42,42,12,30,6,3,21,0,0,12
2,qm,red,7689,4398,6065,21,21,6,15,0,6,9,0,0,6
2,qm,blue,4004,7855,7794,29,29,9,20,2,12,6,0,0,9
3,qm,red,3603,6094,858,29,29,12,17,2,3,12,0,0,12
3,qm,blue,6020,7790,6122,18,18,6,12,6,3,3,0,0,6
4,qm,red,7160,5114,1711,24,24,6,18,0,18,0,0,0,6
4,qm,blue,7810,5860,6074,24,24,6,18,6,6,6,0,0,6
5,qm,red,4956,3767,4967,31,31,6,25,10,12,3,0,0,6
5,qm,blue,3618,2405,7602,22,22,3,16,4,12,0,3,0,3
6,qm,red,3458,6005,5247,5,5,3,2,2,0,0,0,0,3
6,qm,blue,3572,6097,6090,52,52,12,40,10,9,21,0,0,12
7,qm,red,6128,7160,7054,17,17,3,11,2,3,6,3,0,3
7,qm,blue,6561,6098,6122,18,18,6,12,0,9,3,0,0,6
8,qm,red,6074,7794,4967,24,24,3,21,0,15,6,0,0,3
8,qm,blue,5114,3767,6094,43,43,15,28,4,15,9,0,0,15
9,qm,red,4956,7810,7855,30,30,12,18,6,6,6,0,0,12
9,qm,blue,7790,4004,6100,33,33,9,24,6,15,3,0,0,9
10,qm,red,6582,7689,7054,41,41,12,29,2,18,9,0,0,12
10,qm,blue,6097,7602,3458,26,26,9,14,2,6,6,3,0,9
11,qm,red,858,5247,3572,30,30,6,24,6,6,12,0,0,6
11,qm,blue,6065,3618,6090,61,61,15,46,10,27,9,0,0,15
12,qm,red,6561,6020,3603,41,41,9,32,8,12,12,0,0,9
12,qm,blue,4376,2405,5860,56,56,12,44,8,18,18,0,0,12
13,qm,red,4337,6005,3546,32,32,12,20,2,0,18,0,0,12
13,qm,blue,4398,1711,6128,21,21,9,12,0,3,9,0,0,9
14,qm,red,6074,7160,6090,53,53,15,28,4,15,9,10,0,15
14,qm,blue,6098,858,7689,15,15,6,9,0,0,9,0,0,6
15,qm,red,7790,5114,4967,39,39,9,30,6,6,18,0,0,9
15,qm,blue,3572,6100,7054,56,56,9,47,8,21,18,0,0,9
16,qm,red,6122,6065,3546,41,41,9,29,2,9,18,3,0,9
16,qm,blue,5247,3603,5860,38,38,12,26,2,15,9,0,0,12
17,qm,red,4376,7602,6005,33,33,3,30,6,6,18,0,0,3
17,qm,blue,6020,4337,7810,45,45,15,30,6,6,18,0,0,15
18,qm,red,2405,1711,3767,61,61,12,37,10,24,3,12,0,12
18,qm,blue,7855,6561,6128,34,34,12,9,0,3,6,13,0,12
19,qm,red,7794,4398,6094,24,24,6,15,0,6,9,3,0,6
19,qm,blue,4956,6582,6097,29,29,15,14,2,3,9,0,0,15
20,qm,red,7790,5860,3458,19,19,9,10,4,0,6,0,0,9
20,qm,blue,4004,3618,7160,36,36,12,24,6,12,6,0,0,12
21,qm,red,5247,6090,7602,56,56,12,34,10,15,9,10,0,12
21,qm,blue,6074,7855,1711,33,33,12,21,0,12,9,0,0,12
22,qm,red,6100,3767,4398,44,44,9,35,2,15,18,0,0,9
22,qm,blue,4376,6020,6097,50,50,12,35,8,15,12,3,0,12
23,qm,red,3458,6094,2405,43,43,15,25,4,12,9,3,0,15
23,qm,blue,3603,6098,7810,37,37,9,28,4,12,12,0,0,9
