match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,teleopPoints,hatchPanelPoints,cargoPoints,habClimbPoints,foulPoints,adjustPoints,sandStormBonusPoints
1,qm,red,5060,2408,5583,12,12,9,3,0,0,3,0,0,9
1,qm,blue,7472,4500,2707,33,33,9,21,0,12,9,3,0,9
2,qm,red,6660,4232,6391,14,14,9,2,2,0,0,3,0,9
2,qm,blue,3330,7496,7117,27,27,9,18,0,12,6,0,0,9
3,qm,red,1288,1208,4187,20,20,3,17,2,12,3,0,0,3
3,qm,blue,7452,4256,2978,43,43,3,37,10,15,12,3,0,3
4,qm,red,4329,2010,5147,31,31,12,19,10,0,9,0,0,12
4,qm,blue,7773,1444,5836,37,37,9,28,4,18,6,0,0,9
5,qm,red,7746,1329,3397,42,42,6,36,6,21,9,0,0,6
5,qm,blue,1985,5176,1259,50,50,9,41,8,24,9,0,0,9
6,qm,red,1178,7747,3197,41,41,6,35,14,12,9,0,0,6
6,qm,blue,4246,4356,6817,26,26,6,20,8,0,12,0,0,6
7,qm,red,4213,1706,4330,45,45,15,30,12,9,9,0,0,15
7,qm,blue,4143,4931,5326,63,63,9,54,12,24,18,0,0,9
8,qm,red,7435,6744,931,35,35,6,29,2,21,6,0,0,6
8,qm,blue,1658,1501,706,52,52,12,40,4,21,15,0,0,12
9,qm,red,2408,6660,2010,20,20,6,14,8,0,6,0,0,6
9,qm,blue,1329,1259,4232,61,61,9,52,16,30,6,0,0,9
10,qm,red,7496,5836,4187,9,9,6,3,0,0,3,0,0,6
10,qm,blue,1288,7746,7117,18,18,3,15,0,12,3,0,0,3
11,qm,red,4329,1178,3330,46,46,12,34,4,12,18,0,0,12
11,qm,blue,5147,5326,1208,29,29,9,20,8,9,3,0,0,9
12,qm,red,2978,6817,7773,46,46,6,24,0,6,18,16,0,6
12,qm,blue,931,4213,706,58,58,12,46,16,12,18,0,0,12
13,qm,red,7472,1985,7452,22,22,9,13,4,3,6,0,0,9
13,qm,blue,1706,4500,4256,62,62,12,47,14,18,15,3,0,12
14,qm,red,1444,3397,6391,55,55,12,43,10,24,9,0,0,12
14,qm,blue,4330,7435,5583,15,15,9,6,0,6,0,0,0,9
15,qm,red,5176,4931,6744,46,46,9,34,10,9,15,3,0,9
15,qm,blue,3197,5060,2707,29,29,6,23,2,15,6,0,0,6
16,qm,red,1658,4143,4246,57,57,12,45,6,21,18,0,0,12
16,qm,blue,4356,7747,1501,64,64,15,49,4,24,21,0,0,15
17,qm,red,2408,1178,1985,14,14,3,11,2,6,3,0,0,3
17,qm,blue,7773,706,1288,45,45,12,33,6,18,9,0,0,12
18,qm,red,4213,6817,1329,52,52,9,43,10,27,6,0,0,9
18,qm,blue,4256,1444,3330,53,53,12,31,10,15,6,10,0,12
19,qm,red,3397,7117,6744,36,36,9,27,6,12,9,0,0,9
19,qm,blue,2010,2978,7472,25,25,6,19,10,3,6,0,0,6
20,qm,red,5176,931,4500,61,61,15,46,4,21,21,0,0,15
20,qm,blue,1706,3197,6391,29,29,12,17,8,6,3,0,0,12
21,qm,red,5060,1658,1208,54,54,9,45,6,21,18,0,0,9
21,qm,blue,4330,7496,6660,25,25,9,16,4,6,6,0,0,9
22,qm,red,7452,4931,4187,54,54,15,36,6,9,21,3,0,15
22,qm,blue,7435,5147,7747,47,47,12,32,8,15,9,3,0,12
23,qm,red,1501,5836,4246,41,41,6,32,2,15,15,3,0,6
23,qm,blue,1259,5583,2707,60,60,15,39,6,24,9,6,0,15
24,qm,red,5326,4329,7746,34,34,9,22,4,3,15,3,0,9
24,qm,blue,4356,4232,4143,57,57,12,45,6,18,21,0,0,12
25,qm,red,1329,7472,706,43,43,9,34,16,9,9,0,0,9
25,qm,blue,6817,1208,4330,23,23,9,14,8,3,3,0,0,9
26,qm,red,1288,6744,2010,55,55,9,30,6,18,6,16,0,9
26,qm,blue,3397,1706,6660,34,34,12,22,4,15,3,0,0,12
27,qm,red,7117,931,7747,39,39,15,24,6,9,9,0,0,15
27,qm,blue,5147,4500,2408,51,51,15,30,0,18,12,6,0,15
28,qm,red,5583,4232,4256,38,38,9,29,2,18,9,0,0,9
28,qm,blue,4931,1178,1658,67,67,9,58,16,24,18,0,0,9
29,qm,red,3197,7773,3330,47,47,15,32,2,12,18,0,0,15
29,qm,blue,7496,1501,7746,46,46,9,37,4,15,18,0,0,9
30,qm,red,7452,4329,4246,55,55,15,40,10,6,24,0,0,15
30,qm,blue,6391,4213,5060,49,49,12,37,10,12,15,0,0,12
31,qm,red,1985,5326,4356,40,40,9,31,10,3,18,0,0,9
31,qm,blue,2707,4187,1444,35,35,12,23,8,9,6,0,0,12
32,qm,red,5836,1259,4143,39,39,6,33,6,12,15,0,0,6
32,qm,blue,7435,5176,2978,43,43,9,34,4,15,15,0,0,9
33,qm,red,4232,7773,4931,55,55,15,40,10,12,18,0,0,15
33,qm,blue,4500,1329,6744,67,67,12,55,16,27,12,0,0,12
34,qm,red,6391,2408,1501,53,53,15,38,8,12,18,0,0,15
34,qm,blue,4256,4329,6817,63,63,12,51,6,24,21,0,0,12
35,qm,red,5326,2010,3197,32,32,9,23,8,6,9,0,0,9
35,qm,blue,7747,1985,1288,25,25,9,16,10,0,6,0,0,9
36,qm,red,7472,4143,931,51,51,9,42,6,18,18,0,0,9
36,qm,blue,5836,6660,1178,29,29,6,23,2,15,6,0,0,6
37,qm,red,706,7496,5176,32,32,9,23,14,6,3,0,0,9
37,qm,blue,7452,5583,1444,26,26,15,11,2,3,6,0,0,15
38,qm,red,3330,1658,4330,44,44,12,32,8,18,6,0,0,12
38,qm,blue,4187,4246,1706,28,28,6,22,10,6,6,0,0,6
39,qm,red,5147,5060,4356,44,44,15,26,8,0,18,3,0,15
39,qm,blue,2978,1259,3397,56,56,9,47,8,30,9,0,0,9
40,qm,red,2707,7117,7435,9,9,6,3,0,0,3,0,0,6
40,qm,blue,1208,4213,7746,53,53,9,38,8,21,9,6,0,9
41,qm,red,6391,5836,6817,37,37,9,15,6,3,6,13,0,9
41,qm,blue,6660,6744,5326,35,35,9,26,2,15,9,0,0,9
42,qm,red,5583,5176,4187,48,48,15,33,0,15,18,0,0,15
42,qm,blue,4329,7472,2408,44,44,9,35,8,9,18,0,0,9
43,qm,red,3197,3397,1985,46,46,9,37,10,9,18,0,0,9
43,qm,blue,4232,7452,1658,57,57,15,32,8,6,18,10,0,15
44,qm,red,7496,1288,4500,46,46,12,34,4,18,12,0,0,12
44,qm,blue,4143,2707,706,45,45,9,36,12,6,18,0,0,9
45,qm,red,7746,5060,4330,16,16,6,10,4,6,0,0,0,6
45,qm,blue,1178,4213,2010,55,55,12,43,10,21,12,0,0,12
46,qm,red,1501,1706,7435,47,47,6,38,2,21,15,3,0,6
46,qm,blue,1329,5147,2978,32,32,9,23,2,15,6,0,0,9
47,qm,red,7117,4256,7773,45,45,12,33,6,15,12,0,0,12
47,qm,blue,4246,7747,1444,39,39,9,30,12,9,9,0,0,9
48,qm,red,4931,4356,1259,77,77,15,46,10,15,21,16,0,15
48,qm,blue,1208,3330,931,51,51,15,36,6,21,9,0,0,15
49,qm,red,6660,706,4329,52,52,9,40,10,15,15,3,0,9
49,qm,blue,5176,5326,7452,39,39,12,27,6,3,18,0,0,12
50,qm,red,1501,1985,4213,60,60,15,39,12,12,15,6,0,15
50,qm,blue,2408,3397,5836,26,26,9,17,2,9,6,0,0,9
51,qm,red,4500,7435,1178,49,49,12,34,4,21,9,3,0,12
51,qm,blue,6817,2010,7496,28,28,12,16,4,6,6,0,0,12
52,qm,red,1288,4330,1329,55,55,12,43,10,27,6,0,0,12
52,qm,blue,7117,5583,4356,42,42,15,24,6,0,18,3,0,15
53,qm,red,6391,4246,7746,36,36,15,21,6,6,9,0,0,15
53,qm,blue,1706,7472,4931,49,49,9,37,16,3,18,3,0,9
54,qm,red,2707,2978,3330,39,39,15,24,0,18,6,0,0,15
54,qm,blue,1658,7773,7747,66,66,12,54,18,18,18,0,0,12
55,qm,red,1208,1444,4232,48,48,12,36,6,24,6,0,0,12
55,qm,blue,931,4187,5060,42,42,15,27,6,15,6,0,0,15
56,qm,red,4256,5147,1259,71,71,15,56,14,30,12,0,0,15
56,qm,blue,4143,6744,3197,69,69,9,60,12,30,18,0,0,9
57,qm,red,1178,3397,6817,35,35,12,23,2,9,12,0,0,12
57,qm,blue,4931,7117,4329,63,63,12,51,12,18,21,0,0,12
58,qm,red,2010,2707,4356,43,43,12,31,16,0,15,0,0,12
58,qm,blue,706,6391,7452,43,43,15,25,4,9,12,3,0,15
59,qm,red,1444,6660,4500,54,54,12,42,6,24,12,0,0,12
59,qm,blue,4187,1501,2978,56,56,15,38,2,18,18,3,0,15
60,qm,red,5836,1658,5326,47,47,6,41,8,18,15,0,0,6
60,qm,blue,3197,2408,1329,44,44,9,26,8,12,6,9,0,9
61,qm,red,1985,4143,4256,64,64,12,52,16,15,21,0,0,12
61,qm,blue,3330,7435,5060,38,38,15,23,2,18,3,0,0,15
62,qm,red,5583,1208,7747,39,39,15,18,0,9,9,6,0,15
62,qm,blue,6744,7746,1706,33,33,6,24,6,18,0,3,0,6
63,qm,red,1259,4330,7472,61,61,15,43,10,24,9,3,0,15
63,qm,blue,7773,7496,5147,43,43,15,28,4,18,6,0,0,15
64,qm,red,5176,4246,4213,64,64,15,49,10,21,18,0,0,15
64,qm,blue,4232,1288,931,31,31,9,22,4,9,9,0,0,9
65,qm,red,706,5326,7117,22,22,9,13,4,6,3,0,0,9
65,qm,blue,4931,5060,1501,71,71,9,50,8,15,27,12,0,9
66,qm,red,6744,7452,2408,35,35,12,23,8,3,12,0,0,12
66,qm,blue,7746,3330,4143,57,57,9,45,6,24,15,3,0,9
67,qm,red,2707,7773,1706,51,51,9,32,14,9,9,10,0,9
67,qm,blue,4187,3197,6660,33,33,12,21,6,9,6,0,0,12
68,qm,red,5836,1329,1208,41,41,6,35,8,21,6,0,0,6
68,qm,blue,3397,4246,4500,52,52,15,37,4,21,12,0,0,15
69,qm,red,1444,1259,1658,89,89,9,80,20,42,18,0,0,9
69,qm,blue,1178,1288,7472,26,26,6,20,8,3,9,0,0,6
70,qm,red,7747,2978,4213,66,66,15,51,12,27,12,0,0,15
70,qm,blue,4329,6391,7496,60,60,15,45,6,24,15,0,0,15
71,qm,red,931,6817,5147,33,33,12,21,6,3,12,0,0,12
71,qm,blue,2010,5583,1985,32,32,9,23,8,3,12,0,0,9
72,qm,red,4356,4256,7435,60,60,9,36,12,3,21,15,0,9
72,qm,blue,4330,4232,5176,54,54,15,39,6,15,18,0,0,15
73,qm,red,7117,4187,1329,48,48,12,30,6,18,6,6,0,12
73,qm,blue,1259,7452,1178,48,48,9,39,6,27,6,0,0,9
74,qm,red,7747,3330,1706,48,48,15,33,6,21,6,0,0,15
74,qm,blue,5060,706,5836,18,18,6,12,6,0,6,0,0,6
75,qm,red,2978,2408,1444,45,45,12,33,6,21,6,0,0,12
75,qm,blue,4246,2010,4931,39,39,12,23,8,3,12,3,1,12
76,qm,red,6744,4356,4329,76,76,15,55,10,24,21,6,0,15
76,qm,blue,4500,4330,1985,46,46,15,31,4,21,6,0,0,15
77,qm,red,1501,4143,7773,74,74,15,59,14,27,18,0,0,15
77,qm,blue,1208,6391,5176,58,58,12,46,10,21,15,0,0,12
78,qm,red,5147,7746,4232,29,29,12,17,2,6,9,0,0,12
78,qm,blue,6817,1658,1288,49,49,9,40,10,12,18,0,0,9
79,qm,red,6660,7472,5583,25,25,12,13,4,3,6,0,0,12
79,qm,blue,4213,3197,7435,43,43,9,34,4,24,6,0,0,9
80,qm,red,5326,2707,7496,35,35,12,23,2,12,9,0,0,12
80,qm,blue,4256,931,3397,70,70,12,43,4,24,15,15,0,12
1,qf,red,1259,1658,7747,78,78,12,66,12,36,18,0,0,12
1,qf,blue,3197,706,1444,46,46,3,31,4,21,6,12,0,3
2,qf,red,1259,1658,7747,75,75,15,60,12,30,18,0,0,15
2,qf,blue,3197,706,1444,61,61,12,49,16,21,12,0,0,12
1,qf,red,4143,4256,7472,74,74,12,62,14,30,18,0,0,12
1,qf,blue,4329,4356,1178,53,53,15,38,2,18,18,0,0,15
2,qf,red,4143,4256,7472,57,57,12,45,12,24,9,0,0,12
2,qf,blue,4329,4356,1178,58,58,15,43,10,12,21,0,0,15
3,qf,red,4143,4256,7472,70,70,12,58,10,27,21,0,0,12
3,qf,blue,4329,4356,1178,64,64,15,49,10,18,21,0,0,15
1,qf,red,4213,4931,5326,49,49,12,37,4,12,21,0,0,12
1,qf,blue,3330,7773,1706,56,56,15,38,8,21,9,3,0,15
2,qf,red,4213,4931,5326,58,58,12,46,10,18,18,0,0,12
2,qf,blue,3330,7773,1706,43,43,15,28,4,15,9,0,0,15
3,qf,red,4213,4931,5326,82,82,12,60,12,27,21,10,0,12
3,qf,blue,3330,7773,1706,54,54,15,39,6,24,9,0,0,15
1,qf,red,4500,1501,6391,100,100,15,67,16,30,21,18,0,15
1,qf,blue,1329,5176,1208,49,49,9,40,4,18,18,0,0,9
2,qf,red,4500,1501,6391,83,83,15,65,14,30,21,3,0,15
2,qf,blue,1329,5176,1208,47,47,9,38,2,21,15,0,0,9
1,sf,red,1259,1658,7747,72,72,15,57,12,27,18,0,0,15
1,sf,blue,4143,4256,7472,64,64,12,49,10,18,21,3,0,12
